,start_date,content
862,1987-12-15,time process fascin econom develop southeast appear similar heard other comment nation pictur manufactur trade relat activ case includ textil chemic clearli better texa oklahoma oil ga industri final show_sign life yet think littl concern project shelf restart discourag price oil fall stay lower level minor concern oil patch paperboard packag busi report backlog grown cannot shut plant normal mainten somebodi somewher think busi go good much heard other around_tabl retail report sale come close expect number peopl point scale expect last half_year mid think use word strong retail tom melzer indic point littl concern earli part next_year past christma season final regard region last board meet bit uneasi earli part next_year express tennesse becom kind mini detroit lot automobil consum durabl relat busi tennesse done look temporari problem littl disappoint perhap mind earli part next_year nation comfort greenbook_forecast differ margin might modestli improv trade deficit prospect manufactur invest perhap littl stronger indic morri suggest tend balanc overal reason comfort will moder_growth littl concern perhap downsid_risk earli part next_year might littl stronger upsid_risk
988,1987-12-15,basic favor chang_polici time although must confess nag gut feel littl disappoint growth mild prefer tilt direct gentli suggest eas quickli tighten profess meet know maintain polici million million borrow normal time favor shift opportun time target borrow rather fed_fund can accomplish around year_end favor assum impli toler fluctuat fed_fund_rate want let fed_fund_rate gyrat great extent year_end great_deal invest tri keep thing calm stabl mean stretch adjust borrow next_year favor
14225,1995-12-19,thank mr chairman southeast continu_grow rate appear nation_averag thu far sector appear overextend wage_price_pressur stabl district pretti extens manufactur survey show net movement either input final good price scatter labor shortag saw earlier_year particularli atlanta nashvil market appear abat without persist effect wage time year everyon els watch retail activ district retail_sale quit good compar last_year expect especi end good jewelri home furnish pattern pretti across district cours auto_sale notic weak other indic part countri might mention commerci construct southeast quit_strong construct_activ concentr retail sector see specul build retail space mostli atlanta miami yet worrisom level see expans offic industri build build suit basi littl specul build offic market might expect olymp relat build public project ad measur activ atlanta surround citi get draw olymp overal sixth district expand smartli although activ slow notic time_last_year remain hard find problem widespread worsen either econom_activ price practic far nation_outlook concern atlanta forecast surfac remark similar greenbook includ moder_growth consum_spend strong deceler busi_fix_invest littl net contribut can either direct net_export fairli stabl inflat near percent level neither forecast see seriou imbal nevertheless differ interpret forecast_greenbook implic polici discuss will polici around interpret rel benign inflat environ larg measur outcom last fifteen year tough inflat polici greenbook seem confid chang underscor point stern toward end comment fundament chang taken place reason can optimist inflat_outlook current forecast rigid limit potenti growth view moder addit growth like effect inflat cost outlook somewhat differ greenbook somewhat differ comment around_tabl thank mr chairman
14303,1995-12-19,earlier comment suggest prefer altern think basi_point symmetr_direct right construct think can add argument alreadi will spare repetit argument
14380,1996-01-30,thank mr chairman economi atlanta district grow moder pace maintain advantag nation growth_rate best can tell see sign deceler nonetheless cyclic factor nation_level damp growth part countri southeast economi like balanc enjoy moder_growth throughout southeast continu benefit longstand secular trend migrat popul corpor reloc driven rapid_growth_rate rel favor cost factor abat time soon feed retail trade servic construct gener healthi region present time construct hold firm atlanta olymp effect buttress region overal indic activ compon industri construct domin warehous distribut center inventori unsold hous remain extrem low multifamili activ remain_strong although vacanc_rate recent begun rise expect slowdown multifamili construct later year know concentr construct relat manufactur southeast industri_product continu weaken slowdown pronounc region countri cushion continu migrat auto relat product southeastern state growth continu though auto_industri whole slow al broaddu begin steal auto job mike know better wors continu move part countri assembl job support activ sixth district job_growth deceler fourth_quarter weak area particularli notic nondur manufactur_sector region year_year job_growth outpac nation consider margin discern evid present time acceler overal wage_price manufactur survey indic price_pressur finish good increas pressur input price turn_nation_economi overal economi_continu move forward without major impedi without momentum saw earlier outlook chang substant number month case recent atlanta forecast_greenbook fairli close atlanta person consumpt grow slowli greenbook stronger busi_fix_invest net_export forecast show real_gdp grow close percent next_year inflat continu rate far recent experi although cpi slow deceler cours neither forecast see much chang expect unemploy_rate differ outlook board_staff interpret potenti read greenbook show economi expand near potenti faster growth will inevit result acceler_inflat potenti probabl somewhat_higher importantli believ current modest steadi inflat environ result year anti inflationari monetari_polici spontan reduct inflat_expect ration respons inflationari environ cours someth cannot demonstr categor believ evid labor_market financi_market tend support view
14418,1996-01-30,thank mr chairman other around_tabl step tough term stanc inflat support eas time unless risk quit clearli side weaken econom_growth judg much favor inflat set economi_grow somewhat potenti although moder_growth period ahead recent_data_suggest need ad caution thing unfold yet sens major stall expans although risk clearli seem greater side time increasingli convinc achiev much favor inflat environ give latitud modest addit eas without substanti risk prospect deterior inflat policymak must alway tri differenti temporari longer last influenc view good_deal evid favor chang inflat_expect behavior inde persist basi support modest eas basi_point time
14501,1996-03-26,thank mr chairman look anomali last_sever_month appear sixth district_continu_grow moder pace bad weather like simpli increas amplitud season pattern activ rather exert last effect overal perform look beyond distract think southeast will continu outperform rest nation probabl smaller margin case past_year improv perform base continu migrat busi_peopl region retail_sale grew unevenli district month year notabl slow start earli year especi northern part region weather clearli factor recent sale good particularli apparel auto appear much improv home_sale area particularli brisk earli slow fourth_quarter much acceler report starter home low end market residenti nonresidenti activ remain surprisingli resili throughout bad weather period commerci_real_estat_market continu_strong throughout region outsid atlanta industri market activ lot construct warehous distribut facil retail construct compon final seem slow area reach satur someth anticip time atlanta might expect olymp activ kept construct plateau start last_year entir town mess bulldoz pave equip right car peopl promis readi time olymp come can avoid pleas visit later summer accord region survey manufactur manufactur_activ actual eas bit time expect next six_month reportedli improv district strongest sector durabl nondur especi paper lag apparel industri continu shrink fact apparel industri secular declin lost almost job nationwid last_year expect job come time soon payrol_employ expand moder follow month modest growth last_month end payrol growth region percent doubl nation continu scatter report wage_pressur labor shortag isol pocket district time manufactur survey busi_contact_report minim price_increas raw materi finish good far nation_outlook concern unusu circumst late earli certainli muddi water consider left uncertainti usual case balanc believ economi rel resili take account special factor earli year forecast continu moder_growth moder inflat essenti unchang stand pretti solid underpin moder_growth household spend invest return inventori balanc good export demand except detail outlook similar greenbook modest quarter follow bounceback expect resumpt moder_growth percent rang think percent probabl littl potenti come surpris optimist regard inflat fact think_reason prospect inflat moder next_year unlik moder will particularli dramat smooth think_reason chanc cpi move closer percent level rather percent level seem expect continu believ polici factor combin creat favor price set environ genuin persist thank mr chairman
14557,1996-03-26,concur recommend
14633,1996-05-21,mr chairman southeast continu_grow moder spring led strong broad base activ state georgia florida half district incom gener employ_growth district rate almost percent far nearli doubl nation_averag cours spare bad weather gm strike affect part countri earlier_year fastest incom growth georgia florida tennesse good incom growth come excel although somewhat uneven consum_spend particularli notic strength home relat good furnitur applianc carpet notic weak apparel sale hous_activ remain gener good longer expect fact report shortag inventori singl_famili hous nashvil birmingham multifamili build grow rapid pace construct commerci build appar acceler throughout district worrisom specul kind build sector construct industri manufactur_activ region pick last_month outlook soften bit despit increas order product wage salari pressur remain unchang recent employ concern possibl wage_pressur time hear substanti evid actual labor_cost acceler fact complet round meet small group busi leader variou citi district stori believ got told someon meet express agreement peopl meet almost case difficult push price_increas contrast past experi someon describ situat meet last_week almost custom act wal_mart home depot say supplier will pay tell price final good_news louisiana oil patch realli tough time_last_year drill activ pick moder improv much respons recent world price_increas rather attribut technolog dimension seismic test make easier pick place drill deeper drill capabl avail past regard nation_outlook dismiss role special event play far continu argu import focu influenc will prevail beyond next_month outlook much chang late forecast gdp_growth percent anticip somewhat stronger expect_growth half_year will damp come_month higher term_interest_rate alreadi slowdown hous relat spend deterior consum balanc_sheet persist uneasi among worker peopl_talk time expect cpi averag percent year percentag_point forecast month_ago reflect know oil grain price expect impact higher oil food price moder near_term dissip later next_year particular oil_price_increas compar modest revers rather quickli think unlik price chang will becom embed expect gener price set behavior without decis part accommod confid anyth morn will forecast econom_growth next_year differ margin greenbook differ substanti differ somewhat greater near end forecast_horizon bit slower_growth inflat_rate_come somewhat quickli thank mr chairman
14707,1996-05-21,mr chairman_support_recommend altern reason ed boehn articul prefer symmetr_direct last near last speak will repeat argument alreadi thing got good bit discuss earlier around run oil grain price impact cpi much weight give point remind last_coupl_month import featur cpi name fix weight index tend overst inflat kind rel price chang recent fix weight index captur short_run substitut effect someon talk briefli earlier around index tend show price go quickli know realli happen substitut effect will hold increas although sometim lag point therefor give somewhat weight other run oil ga price prepar meet talk can learn yield_curv subject came morn lot interest question persuad steepen yield_curv recent provid suffici evid unchang fund_rate constitut accommod shift polici sum prefer stand pat observ develop care period ahead readi move next_meet begin inflationari_pressur peopl around_tabl note happen
