,start_date,content
49,1987-08-18,feder deficit reduct billion administr project can provid detail mainli expenditur side revenu side
51,1987-08-18,handout drop billion billion polici_action
53,1987-08-18,thank
81,1987-08-18,thank mr chairman_think overal number rather satisfactori good aggreg economi realli good sector weak far sector pick keep mind think inflat pictur will look littl differ look aggreg economi whole elimin sector imbal trade govern sector region sector point overal think make healthier economi essenc pull weak sector without realli hurt strong sector present time consum move forward rather subdu percent pace overal forecast agre presid morri earlier invest pictur actual littl_better number percent next_year suggest slightli optimist much export front think growth will sustain doubl digit area percent greenbook certainli sound good turn price area pickup sector previous subdu experi burst price associ overal phillip curv therefor think employ gain achiev area sector manufactur agricultur previous depress inde overal think produc price_index point rather stabl agre mr corrigan final user price gnp price drift percent rate ask realli reserv next part discuss let bring monetari growth right percent price_increas percent mean real_economi want equat squar certainli disagre view world zero growth someth els will give either produc lot money price_increas will sustain healthi consolid phase economi realli major risk either side
124,1987-08-18,basic chang earlier believ period sector catchup monetari growth subdu present time keep altern million borrow target chang upgrad import inflat mayb give sole promin sentenc downgrad dollar presid forrest black mention earlier low dollar reach earlier want react weak dollar probabl inappropri
151,1987-08-18,let speak side_think write press releas talk oper paragraph dollar right front soon kind weak get sustain day indic tighten monetari_polici major vote member agre agre chairman move dollar lower posit let note sentenc split sentenc done time modest downgrad order read rather cardin distinct
159,1987-08-18,read move percent indic aim percent someth polici direct
182,1987-08-18,think someth consid sometim futur percent barn door wide futur time want narrow littl
184,1987-08-18,wrong direct
189,1987-08-18,million
197,1987-08-18,million averag
201,1987-08-18,start base million languag tilt give differ environ start base million tilt million tilt get right rang everybodi want million rang whatev million tilt lot closer
204,1987-08-18,roughli unchang
219,1987-09-22,mike spoke sharp increas busi equip spend break addit capac effici enhanc
269,1987-09-22,wait minut interest_rate_rise can come scenario continu stabl dollar come rais interest_rate countri answer differ
340,1987-09-22,think hallmark recoveri realli better balanc economi whole sector strong past grow quit rapidli actual shrink think someth keep mind look instanc project greenbook quit minu sign durabl contract year percent rate nondur percent nonresidenti structur percent residenti structur percent feder spend percent quit sector certainli character boom condit other agricultur busi equip quit result better balanc speaker point great improv feder revenu togeth restrain feder spend realli lot fiscal deficit side bring better balanc score think mistak hold dollar tighten monetari_polici invit slowdown sector moment realli carri economi real_estat depress capit sector slow need exchang_rate_chang project greenbook order improv trade balanc hope turn term bond question agre thing let add addit factor look increas interest_rate last_year notic sharper increas term treasuri bond term mortgag bond term corpor bond lot amount basi_point door debt moratorium nonrenew debt ceil last_month think episod certainli must chill effect particularli foreign investor look unit_state jaundic eye put leagu countri cannot servic debt certainli factor contribut higher term treasuri rate addit real increas_inflationari premium
