,start_date,content
73,1987-08-18,thank mr chairman view econom_condit close parallel staff_forecast_greenbook other suggest coupl area differ bit growth incom consumpt balanc appear economi pick strength employ output export expand notic jump price comment director other support view hardest hit sector commerci construct agricultur metal particularli director enjoy period stabil possibl turnaround surpris guess suggest forecast show strength balanc indic greenbook
132,1987-08-18,acceler price year_next believ risk upsid therefor believ reason point_increas pressur bank reserv move_toward path particularli pick altern favor million borrow object
323,1987-09-22,comment ed boehn experienc bullish feel respect busi district realli sure much signific place observ recent meet director notic time perhap concern risk longer_term loan adjust basic lend polici margin respect outlook quit similar staff greenbook_forecast continu consum stronger spend pattern indic staff hous drag economi believ export go quit_strong project greenbook despit sector differ project come place real gnp grow pace forecast_greenbook accompani pretti strong wage_price_pressur respect question know much can add recent chang rate appear relat rate interest need attract foreign save believ earlier increas saw might tie close inflat
398,1987-09-22,prefer line fairli close si keehn suggest decis million lean side tighten
7910,1991-10-01,pleas sever comment rather chair agre certainli nevertheless district cautious optimist prospect gain output inventori cutback near end district contact tell reason satisfi retail stock desir level manufactur especi motor_vehicl steel major applianc part clear inventori scatter sign comeback capit_good sever industri sourc believ busi either near trough earli stage recoveri especi case produc industri equip industri control heavi duti truck small electr motor electr equip ball bear hasten add recoveri district yet broad base strong director yet much recoveri attitud base year_year comparison memori pre recess oper rate expect percent capac feel latest purchas agent report confirm manufactur expand phase recent_month continu albeit rapidli want conclud remark
8009,1991-10-01,concern continu weak behavior ideal direct earli reduct basi_point fund_rate report perhap unfold next week
8092,1991-11-05,thank mr chairman district_economi reflect sluggish data nation_level employ_growth stall weak auto_sale led cutback product schedul weak demand auto led sluggish recoveri tire industri hand steel industri si report brighter spot district steel produc report will best quarter_year support especi pickup auto steel warehous busi produc flat roll steel oper percent capac price weak profit mood certainli buoyant pleasantli surpris recent outlook inflat develop panel economist firm around fourth district project run percent revis downward percent brief growth economi stall recent_month reason believ recoveri will sustain hope outlook inflat conclud report
8144,1991-11-05,thank mr chairman_support recent reduct fed_fund_rate base need encourag stronger growth_rate perceiv threat economi district nation concern persist weak last spring longer_term trend past_year stronger growth_rate within target rang like add credibl target provid base realign intermedi term_rate normal inclin wait bit longer judg impact recent reduct fund_rate percent level work cleveland suggest want fourth_quarter fourth_quarter growth_rate percent need fund_rate_lower percent project growth fallen short time prefer push fund_rate safe level comfort get close next_year although come final view yet guess will want someth around percent mind go next_year littl heavi growth believ point reduct altern need point prefer posit half believ basi_point reduct fund_rate symmetr_languag appropri time believ push ahead rapidli can growth want
8221,1991-12-17,thank mr chairman concur board_staff view growth economi stall although quit bearish retail_sale fourth_quarter indic staff estim perhap stern minneapoli view outlook vantag point district outperform nation last spring although signal soften area ohio unemploy rose slightli third consecut month unemploy_rate held steadi percent low rel nation retail_sale manufactur product stronger nation_averag construct contract non residenti residenti home continu_grow faster nation concern si keehn indic schedul cutback auto product extend quarter work auto suppli industri district steel oper downward_pressur steel contact note deliveri lead time shrink recent_week custom longer quota order book flat roll steel open late deliveri capit_good product mix appar slowli rise trend conclud mention despit pervas mood pessim among busi execut widespread cutback capit_spend plan inde produc plan increas chang plan other scale spend increas view lower expect sale profit recent_month
8272,1991-12-17,ye mr chairman come bit differ recommend perhap littl closer tom melzer acknowledg potenti growth economi quarter next believ action fed can whole lot counter near_term weak output neither believ fed can much offset structur imbal economi talk around_tabl today real_estat declin defens expenditur debt overload forth appar growth reviv recent might accept path close midpoint target rang caution polici orient around reaction real time econom data histori shown seem polici process can mislead policymak think can fine tune econom_activ moreov seem polici process lead policymak lose sight key term object maintain price_stabil polici prescript whole lot differ recommend fomc hold steadi cours cumul result sever action cut interest_rate past_year
8369,1992-02-04,thank mr chairman meet fourth district round tabl economist agre economi will flat quarter will improv throughout remaind similar staff_forecast group economist expect percent growth nomin_gdp next_quarter evenli divid output price point structur chang economi correct overcapac retail bank term adjust automobil comput industri restrain recoveri respect project close includ greenbook current activ district mix perhap lost littl ground term momentum enjoy recent_month nonfarm payrol_employ fell success monthli increas unemploy_rate rose point percent cours nation_averag construct contract retail_sale manufactur product outperform nation late auto product remain weaker expect although auto economist particip round tabl believ product year will percent higher last_year base assess strength sale inventori feel littl_better origin expect auto supplier note order soften late last_year goodyear announc recal worker good demand replac tire steel oper rate nearli percent capac expect eas littl quarter view economist recent let order signal capit_good produc mix sensit auto truck product note eas order industri machineri equip produc report order either flat case machin tool rise capit_spend outlook mix durabl_good produc plan either higher_level spend plan cutback petroleum produc retail real_estat develop will cut spend although commerci_real_estat_market fourth district soft area countri develop shop center offic build concern much capac inadequ financ cash_flow sever project hold ohio york california appear perhap threshold expand economi cours thought case last summer encourag absenc price_pressur modest percent increas_price deflat last_quarter expect continu moder inflat month ahead conclud report
8407,1992-02-04,thank mr chairman vote recess think present difficulti might view unanim target desir thing will support present target therefor request vote chang
8431,1992-02-04,sever_year moder_growth view inflat trend appear declin percent get beyond basic thrust polici consist outlook percent inflat percent perhap therefor feel fomc room eas_polici_action adopt stimul growth money credit seem particularli errat past_month make difficult judg sort growth track realli year growth percent signific shortfal path quarter consequ eas_polici incom_data_suggest weaken current_level posit line greenbook_project suggest mr chairman_support altern asymmetri toward_eas
