,Date,content
4486,1991-10-01," As a matter of fact it is and that's a warning to all of you  Mr Chairman, do you want to hear from our District?  I appreciate that  -25-    10/1/91  I might just make a couple of comments that might be of some value  Our District economy has been growing fairly modestly, and I think it's particularly important that this has happened in the manufacturing area as well Our automobile manufacturers are operating at capacity And while our aircraft industry, which is important in parts of our District, had a downturn in the first half, it is anticipating some recovery, which is good news for us I might mention that residential construction activity in our area has been picking up, but nonresidential has continued to languish, although not as seriously as in other parts of the country I might even mention that in Denver, although there's not a lot of activity, there is an appearance that lease rates are firming up and that is important to us  In agriculture, the situation is very similar to what you've heard here There is some strengthening in crop prices but cattle prices have been falling fairly importantly and we anticipate about a 10 percent decline in agricultural income in our part of the country Energy also is weak, particularly in the natural gas area It has been very harmful to our Oklahoma area where prices have been down and therefore rig activity has been falling as well  On the national economy, I would like to mention that our analysis is, like others, very similar to what is in the Greenbook We are a little more pessimistic in the consumption area and net exports but a little more optimistic on the investment side We think it might be even stronger if long-term rates were to continue to come down We are also in agreement with the projections on inflation being less than 4 percent We think that's a very important focus as we go forward because that will help long-term rates to come down and that will have a much more important stimulus on the national economy So with that, Mr Chairman, I'll make my remarks short Thank you  ""B"" symmetric "
4508,1991-10-30," Mr Chairman, this is Tom Hoenig Our region hasn't seen a lot of change since the last meeting It had already gone through a bit of disinflation and I don't see a lot of change from that Attitudes, though, continue to worsen We've had some meetings with business groups, and they are very pessimistic There is still a lot of blame being placed on the banks and, quite frankly, I think the banks have tightened their underwriting standards fairly significantly in reaction to the dramatic losses they've suffered over time So, there is that [tightening] in standards out there that the    10/30/91  business community is seeing and it is only worsening their attitudes  As far as policy goes, I would feel comfortable easing 1/4 percentage point right now As for going further with the discount rate, I don't think it would hurt to wait until next Tuesday when we can have a full airing of views and discussion of this and, based on that, then decide on the discount rate and on a further cut [in the funds rate] "
4528,1991-11-05," May I ask a follow-up to Tom's question? As you described the economy, there were some fundamentals in terms of real estate and some adjustments in leverages and so forth that are going to be constraining If we ease now, what in your judgment is the risk of pushing inflation [up] and compromising our ability to bring it down in the future, given these fundamental adjustments that probably should continue regardless?  The Tenth District continues to outperform the nation to some extent, although if we keep talking about it we may talk ourselves out of any improvement It's doom and gloom from a number of people, although the numbers continue to show some improvement For example, most of our automobile plants continue to operate at capacity Now, in aviation manufacturing, there has been a decline in production over [the level] a year ago and that's primarily due to a drop-off in foreign demand The District's oil and gas exploration activity remains lackluster, as it does elsewhere Drilling rigs were up very slightly in October over September and are still well below--about 23 percent below--year-ago levels In  -14-    11/5/91  agriculture, cattle prices have turned [up] and are now back to the break-even point And in the grain area, prices have increased, which has been a help in that sector Finally, the indicators of construction activity in our District quite frankly have been improving Building contracts awarded in the District in August were up 11 percent over year-ago levels Residential awards are increasing in most of our states And we're even seeing some improvement in non- residential contracts in Colorado and in New Mexico So, the District's economy is consistently showing improvements  As far as the national economy goes, we continue to forecast sustained growth although slightly weaker, as the staff is projecting Our forecasts are for a little better growth than the staff has in the first half and a little more moderate growth in the second half We see a little stronger inventory investment and some continuing strength in consumer spending; even though the attitudes are down, we don't see that dropping sharply As for inflation, we anticipate the inflation numbers will stay modest and actually fall somewhat below 4 percent So, that is how we are viewing things right now Thank you  Mr Chairman, I have some concerns about easing now in terms of inflation down the road I assume that there may be a discount rate cut If that's the case, that would make for an announcement from the Fed and then I would recommend the possibility of a 1/4 point cut on asymmetric [language toward] easing based on new information that may come to you So, I'd be slightly different  I totally support taking this action tomorrow for the very reasons that Governor Angell, Governor Kelley, and others have expressed We need to get it out "
4549,1991-12-02," Mr Chairman, this is Tom Hoenig Activity in our District is moving mostly sideways Agriculture is showing some weakness and energy continues to be quite weak There is some activity still in the residential construction area and some non- building contracts for infrastructure [projects] in the western part of the District Manufacturing is pretty mixed The auto industry has still been producing; [they] suggested when we talked to them that they will be cutting back shortly In the food processing industry and in nondurable goods some jobs are still being added in our area and that is balancing things out In the retail sales area, I would really prefer to say that it's a little too early to tell We've had mixed reports; some are indicating that while [dollar sales] are down the volume seems to be a little better But generally they are pretty pessimistic in that area I think that is in part due to the press as well Overall, our District continues just to hold its own; it's not showing any significant improvement At this point there's no sense of a terrible downturn or of [conditions] being great either "
4569,1991-12-17," Thank you, Mr Chairman Our District growth continues to be slow and we see no real improvement in [prospect] in the near future In agriculture, we expect declines in income of between 5 and 10 percent this year and we anticipate similar declines next year Activity in the oil and gas areas of our District continues weak Drilling operations activity as of November is down about 30 percent from the year before and there are no signs of any significant improvement there Manufacturers, particularly the auto companies that are operating in our District, are now increasing their furlough periods The General Motors plant is going to go out for four weeks starting I think this week or next week In the construction area, our District has seen improvements As I mentioned last time, it's partly because we've had such deflation; but we've seen good residential activity and some nonresidential activity in parts of our District  As far as the national economy goes, our staff feels that its projections are generally in line with those in the Greenbook We're not quite as pessimistic for this quarter or the next quarter, but we're certainly not as optimistic about the rest of 1992 For inflation, our forecast is very similar to the Greenbook forecast We see no really strong inflationary pressures going forward  As for the implications for policy, then, we think there is room for easing, although our preference is along the lines of what Governor Mullins said in that we think it's something we ought to be prepared to do down the road but would wait and choose our time I think that would be perhaps a more effective way of going forward Thank you  I agree with your recommendation "
4604,1992-02-04," Mike, I want to ask something relating to the single-family residential area because it's an important part of the projections as we come into 1992 Given the comments on restructuring of debt that have been made and some of the demographics, can you explain to me again why we're going to have such a strong residential recovery even without the fiscal stimulus which, if I understand it, was not part of this projection? [Your forecast] seems very optimistic to me  We think our District is growing somewhat more slowly; it might be described as flat at best In the agricultural area, because of the subsidized grain shipments, the wheat price that we've talked about has gone up and that, of course, has been positive But livestock prices, which had fallen sharply, have only come back slightly And we're still projecting a slowdown in agricultural income, which has [adverse] effects on suppliers to that industry Also, with natural gas prices being so weak, the energy industry, which is a very important resource in our District, is suffering As someone said, the rig count for us is about the same as for the nation--about 33 percent less than it was a year ago--but very weak; and employment in that sector is very weak as well In manufacturing, we are involved in the auto industry Shifts have been eliminated and cutbacks in production schedules have caused unemployment to increase in that industry; layoffs of about 1,000 people in Kansas City were just announced recently General aviation has also seen some modest falloff, but for us that is important The construction industry has been positive, particularly in the residential area Some significant gains have occurred there, and that has been the most positive note out of the District  On the national economy, our projections are less robust than those in the Greenbook, partly because we have seen such a poor fourth quarter for the economy and we look at what impact that would have going forward We see a slower increase in the first quarter, or perhaps no increase at all, and a pickup after that, putting our projections below the central tendency [unless] we assume that there will be some modest fiscal package, which would bring us back up toward the central tendency With that we see unemployment in the same range as the staff projection and inflation without the fiscal stimulus probably being within the same range or lower So, that is how we see the national economy as well as the District economy  Given the circumstances that we have today, I would not be in favor of the tunnels I think what we have now does give us the flexibility we need to move toward price stability, and that's what should be our focus As for the alternatives here, I am in favor of alternative I for the reasons that have been given That gives us the flexibility we need to continue to move toward price stability, and to adopt either of the other alternatives I think would give an incorrect signal at this time  Yes  I, too, am inclined to follow your recommendation First of all, I'd start by saying that there is a lot [of stimulus] in the pipeline and we should be patient However, as I mentioned yesterday, our projections are that the real economy might actually grow more slowly than what is in the Greenbook forecast, and that gives me some pause I also am concerned about the growth of M2, which I think has been erratic and too slow So, I am inclined to go with ""B"" asymmetric toward ease, but I would wait until we have some more information on the real economy and on M2 before I would charge forward "
4627,1992-03-11," Tom Hoenig in Kansas City I'd like to report that our District is pretty much status quo There is some slight improvement in the retail sales area, which is a positive sign to us Auto sales have picked up a little also The housing area has been very robust, as others have reported, but how sustainable it is, I think we'll just have to wait and see In the agricultural area, our folks report that there has been some increase in the weaker credits in the banks that are related to agriculture However, the borrowers are better prepared to deal with that and, with the stabilization of prices somewhat in livestock and the increases in grain prices, they are pretty optimistic [for the period ahead] The energy sector here is still very weak Jobs and the rig counts continue to fall; right now the rig count is about 25 percent below a year ago So, that area is not picking up at all That pretty much describes the view  Permits at this point, although refinancing is also very strong New home sales are up a fair amount from a year ago and the inventories in that market are dropping "
4653,1992-03-31," Our District continues to show a mixed performance on balance with very slow recovery [emerging] For example, our employment in January was up about 01 percent over the prior month As for the positives, one is retail sales Retailers around the District tell us that there has been a pickup in sales and they are, as we've been saying, cautiously optimistic that that will continue Construction-wise, we are still seeing improvement January was about 12 percent over a year ago for the District, but that was primarily in residential Commercial property continues to be fairly weak, with vacancy rates in Colorado, for example, still in the 24 percent area and higher than that yet in Oklahoma So, that sector is going to remain weak; but residential [construction] has been very strong Manufacturing is mixed for us In the auto industry there are still plans to continue with two shifts, but there has not been enough optimism for them to reverse [the decision] in process of being implemented to lay off 1,000 employees in Kansas City Also, other manufacturers we talk with are seeing some pickup, but it's very modest and they're not at all convinced that business is going to continue strong as we go forward They're waiting to see Economic activity is also being dragged down a bit with some defense cutbacks Martin Marietta in Denver, for example, is laying off 1,000 workers; and Allied Signal in Kansas City is laying off about 750 So that's a bit of a drag offsetting the anticipation of stronger sales in the auto industry Clearly, our weak sector is energy It's still very weak The rig count is down 25 percent from a year ago--not as much as in Louisiana, but down As you may have read this morning, Oklahoma has passed a law trying to restrict production of natural gas in an effort to boost its price; we'll see how successful they are In agriculture, the outlook is a little mixed In the grain area, there is some optimism with regard to prices In the cattle area, there is more pessimism Land values have remained virtually unchanged because of some concerns about pricing going forward So, our economy is mixed, although people are trying to be optimistic  Nationally, we generally agree with the Greenbook although our forecast is not quite as strong We anticipate and we're optimistic that the economy will grow a little less than 2-1/2 percent over the year However, we differ a little We think investment will be a little stronger and consumption a bit weaker than the Greenbook is projecting On the inflation front, we are also about in line with the Greenbook in terms of seeing core inflation continue to trend down So, that's where we see things right now  Mr Chairman, because the Greenbook and our forecast agree that the economy is improving and because year-to-date, at least as Gary said, the money numbers are near the midpoint, I'm comfortable with alternative B At the same time, I recognize that the money numbers that have just come in cause us to flinch But more importantly, I can support the asymmetry [because], although our economy is being projected as stronger now than it was in February, it still remains a very modest recovery by any [historical] comparisons and it is in my mind still a very tender recovery Therefore, I feel comfortable with the asymmetric language toward ease "
4680,1992-05-19," Mike, just to follow up on your comment on inventories You say that in the revised first-quarter numbers inventories are playing a more important role but that should not have an adverse effect going forward That is what I think I heard you saying Can you go through that again as to why we would not have some repercussions from that?  Thank you, Mr Chairman Our District economy is growing, but it's still very slow and somewhat mixed As others have mentioned here, the agriculture area is subject to some uncertainty due to the dry weather Also, in our area cattle is a very important industry and, although prices are up, there's a lot of uncertainty there With this environment of uncertainty there has been some very reduced activity in the agricultural sector; in fact our banks' loan-to-deposit ratios in that sector are at their lowest levels in some time, at just over 50 percent Manufacturing is mixed to flat, I would say In the aircraft industry there has been some slowing in shipments recently And in our auto industry, there has been activity but no real expansion in activity, with some modest gains overall in employment Our energy industry is suffering very significantly The level of drilling activity in both oil and gas is at post-World War II lows and [the outlook is] not at all good Everyone one talks with is blaming it on some of the regulatory restrictions as much as on some of the economics, so that is a very sore point in our area As to the construction side, construction activity in the residential sector has been very high but our anecdotal information now suggests it is backing off from those highs just as you hear is happening elsewhere  On the commercial real estate side, there is some increased absorption but still enough vacancies out there that we're not seeing any significant pickup in prices An important factor we've heard in very recent conversations is that in some of our areas the lease rates remain extremely low And until those pick up we don't really expect that the price levels are going to pick up at all That includes Denver, where there has been some activity; still, lease rates are very favorable, and though we have had some sales we're not seeing a real pickup in the prices or bidding to any large extent  On the national economy, our projections are very similar to those of the Greenbook There are some differences We are looking at a little weaker consumer spending and residential investment, and a little stronger government spending and stronger still business fixed investment On the inflation front, we're very much in line with the staff forecast; we may be a little more optimistic on inflation but not enough to make a real difference overall at this time Thank you  Mr Chairman, I certainly would support ""B"" As far as symmetric or asymmetric, my preference would be toward asymmetric I may have heard some good things about the real economy, but I don't consider it all that much stronger than where we were some months ago when we were talking about being willing to live with money growth above the midpoint And now suddenly we're very satisfied with it being at the bottom [of the range] and are satisfied that [it will be sufficient] to carry us forward We're now relying on an accelerating velocity that we really can't predict I don't see that there is all that much strength going forward But I certainly can live with symmetric language given that we would have a consultation if there's other news coming forward "
4705,1992-06-30," On Charts 5 and 6, just to make sure I heard what you said, is the projected improvement in our export figures due more to the devaluation of the dollar than to the economic activity in this country?    6/30-7/1/92  Okay, thanks  Thank you, Mr Chairman Our District continues to grow very sluggishly in my opinion We have seen some job growth in construction, particularly residential construction, over the last year This is primarily in our northern area, in Omaha and in the Denver, Colorado area Beyond that, agriculture is at best steady; we've seen some production loss in wheat because of the weather but that is being helped a little by some firmer prices So, we don't expect a drop there but we're not seeing [that sector provide] any strength to the economy, as it has in the past Our manufacturing sector was very sluggish through the first quarter; while we have seen some improvement there anecdotally, it really has been very modest at best Others have talked about the auto industry; we've not seen any pickup in jobs in plants in our area, at least to this point Our energy sector is, as it has been, very, very poor for a lot of different reasons, so it's not generating a lot of activity in our region of the country So, we expect continued growth but at a rate less than we're seeing for the nation as a whole  As far as the national economy goes, we also are very close to the Greenbook projection, which we would note was adjusted down in the period going forward; that's consistent with our view We see the economy growing very sluggishly and we're sensitive to that That is consistent with the type of credit activity we're seeing on loans and what is being reported to us So, we think there is a downside risk to the economic recovery right now and, although we see improvement in the inflation rate, we think that downside risk is something to be alert to as we go forward with the policy discussion  I would support your approach, although I have a lot of sympathy for Jerry Jordan's comments The difficulty, as others here have said, is that we are in transition; we are uncertain In that position, changing targets--whichever way--leaves open so many    6/30-7/1/92  questions that I think it will only confuse the participants, and that is unwise So, I'd go along with your recommendation I'd carefully explain it and, as Jerry Corrigan said, make a little [comment] on our record and our commitment to price stability in that context I think that will be accepted better than our suggesting that we know something when we don't  As I look at the discussion that we've had and your models, I prefer your second model as well I think it is suggesting that we still have an environment in the economy generally of great uncertainty and the building of liquidity And in that context staying where we are is, as Jerry stated, a tightening In addition, it's not just the money numbers but other financial information and the financial environment that suggest that we could and should ease My strong preference, then, would be to ease now; however, I can live with an asymmetric directive It's consistent with where I was at least last time And if the information comes in, given the way you answered President Keehn, I can live with that  The ranges we have now reflect an expectation that these [aggregates] are going to fall below [for the year], and I think we should drop that last sentence because it only adds-- "
