,Date,content
9,1976-03-29,"  There’s more to that question, Governor, of future releases of  information, which do not lag as much as these do, because we’ve had several--three monthly,  six monthly--reports  But as far as these facts are concerned, in the case--     No member of the Committee has mentioned that, sir, for many months     3/29/76 - 11 -      No, I think that’s true     I don’t think many people in the market are paying much attention to  RPD     Now, maybe in some academic circles they are, but I would say not very  much     Mr Chairman, could I point out, too, that in our [unintelligible] directive  the Committee regularly calls attention to reserve availability without specifying RPD, and I see  no particular harm, Governor Holland, in dropping RPDs but saying that we’re continuing to pay  attention to various measures of reserve availability without opting for a particular one at this  point     RPD certainly is nothing [unintelligible]     Mr Chairman, we’ve done a great deal of that work going back through  last June up through the end of March  All of this, of course, suffers from one big defect, and  that is, if you’re not operating on a nonborrowed reserve target, as soon as you get away from the  base [period] you know your numbers become less and less meaningful  I think maybe we can  report on the first two [unintelligible] after a Committee meeting  That would be more  significant  We’ve done all this other work, and I must say it’s not very good     No, but it does suffer from a fundamental defect, which is that we’re not  operating on a nonborrowed reserve target and so therefore we may be [seeing] results that are  peculiar in terms of nonborrowed reserves     Presumably, although that still can’t be decided, this is the presumption  that the Subcommittee on the Directive made     Well, Governor Coldwell, let me make that simply a very concrete  observation  And I want Peter to make sure that I say this correctly  As of last Friday, we had  M1 and M2 right in the middle of the Committee’s two-month target  And if we had had a  nonborrowed reserves target, and if we had constructed a [reserves] path correctly--I had many  problems in making sure that we’ve constructed a proper path--we would have been called upon  to tighten the money market, let the funds rate go up  Now is that really what the Committee  wants?  What I thought the Committee was really interested in is the aggregates, admitting that  we can’t judge where we really are     Because we would have been well outside our nonborrowed reserves path  as best we know how to draw it    Do I have it right?     Actually we have been doing that for many months in the report--     --but not at the Committee meetings     Oh, yes  "
34,1976-04-20,"  [Secretary's note This statement was not found in Committee records]       I’m not sure about that one  This is something we have under study right  at the minute  I’m not quite sure of all the measures they have taken  It seems to me that it can  work both ways  You know, reserve currencies can be hit with big withdrawals as well as big  gains  And so I’m not sure whether, over the long run, it has any great implications for the yen- dollar relationship, but I’m certainly not clear on that at the moment     Yes, we would be covered in the swap drawing     Gladly, Mr Chairman  First, in our cable to the Italians renewing the  swap for three months, we made it quite clear that we have every expectation that that would be  paid at the end of that three-month period  Secondly, we reiterated our understanding that they  had pledged borrowings either under the EC oil facility or the IMF to repay the swap  Now this  is what we said formally in a wire     In addition, we are watching their reserve position very closely  We know at the moment  where they stand, what they have available still from the EC oil facility, which they should be  getting later this month, and their [position with] the IMF  And while we haven’t established a  firm trigger point, I think we’re going to have to watch very carefully, and as soon as reserves  come down, we’re going to have to insist, if they continue to come down, that they repay the  swap  But [that would be] long before they’re out of reserves altogether because I don’t think we  want to be the one to take their last $500 million away from them  This would be my feeling,  Mr Chairman     There have been other conversations directly with the Italians  They have a really tough  political situation  If they could solve that, you could see some hope, but until something  happens there, it’s very hard to see any real solution  Fortunately, the lira in the last four or five  days--of course, the market was closed for a long Easter weekend, and that certainly helped--the  lira tended to stabilize around 875 after having been as low as 916 without intervention  In fact,  they acquired a few million dollars  Scott, what was the quote this morning?     874-875, so it seems to have stabilized, at least for the time being, on its  own, and I think the Italians are quite realistic in knowing they can’t defend any particular rate   They just can’t afford it, and they are as aware of the paucity of their reserves as anybody else     They have ample reserves for the time being  If, however, for some  reason they thought it would be useful to draw on the swap, and they still had their package  intact and that was a clear takeout, then I personally think that we should be sympathetic to a  British drawing  But as I say, they seem to have ample reserves if they come in     No, there is no takeout provision on the Mexican drawing, but we do  know that they have rights in the [International Monetary] Fund  I mean, this is in the  background, there is nothing specific     I know of no recent developments  As you know, many banks are  concerned about some of their Italian loans, and that concern certainly continues, but I don’t  know of any specific development that indicates a crackdown on the private credit side  I think it  would be much harder for Italian private firms to borrow, although an Italian bank is borrowing  $60 million this week     Well, there are swap drawings up for renewal in the next month  I’ve  already mentioned the Bank of Italy drawing, which falls due on this Thursday but has been  rolled over for three months     We also have the first renewal of $54 million in [deutsche] mark drawings on the  Bundesbank coming up in early May  I’d like to recommend renewal, but I would hope we can  repay that drawing before maturity  We have most of the funds accumulated toward that already     The second--and this is more painful--the full $191 million pre-1971 Belgian franc [swap  debt] and the full $1,147 million of Swiss franc swap debt is again up for renewal, and, I’m sad  to say, it is for the 19th time  We have made some pretty good progress in getting the Belgian  debt down, but as I’ve noted, we’ve only made a very small dent on the Swiss franc debt, given  the strength of that currency  I reluctantly have to recommend renewal, since there is nothing  else we can do, but we would hope that we can continue to make at least some progress on the  eventual settlement of both of these debts     4/20/76 - 5 -             We have not recently, we’ve been going ahead all right on the Belgian  [debt]--I think I’m quite satisfied that we’re right on target  It’s the Swiss one that is the tough  thing, and you know the Treasury has its own debt in Swiss francs  We’re under no pressure  from the Swiss to repay  They’ve been very cooperative in trying to devise procedures by which  the markets [unintelligible] in favor of the dollar  We can move ahead, and we have acquired  some Swiss francs in off-the-market deals, but we have not been going into the market because I  don’t believe that’s appropriate given the strength of the Swiss franc  These are very small  amounts relative to our debt  It would take a major turn in the exchange markets for us to make  real progress     Yes, but we still have more losses to share with them--that’s the thing     We have in the past, and I’d be glad to renew that, but let me say that I  don’t think there is much chance of positive action right now     That’s true     No, Mr Chairman, I think that does it     Mr Chairman, may I point out, though, that the yield auction gives a little  more time for things to adjust if they should go that route     Just the coupon, then the bid comes later  So there’s time, there are a few  more days than we used to have under the old system  "
60,1976-05-18,"  [Secretary's note This statement was not found in Committee records]     A committee was established at the last meeting to look into this, and it  has not yet had a chance to--     The Committee has not yet met     Well, Mr Chairman, I noted that we had paid off our remaining deutsche  mark debt, and we’ve continued to build up some balances--we have about $28 million  Last  September, the Committee agreed that a buildup of foreign exchange balances of about $150  million would be desirable  That amount appears to be perfectly adequate for our needs right  now, and we would like to proceed and continue to build up balances as market conditions  permit     Finally, I should make some note of the Italian situation  Their drawings on us still  amount to $500 million of the $750 million we agreed to make available to them  They have  since taken down the medium[-term] EC oil facility loan and have arranged another $11 billion  of short term swaps with other EC central banks and the BIS  They also had a swap of $250  million maturing on June 22, the date of the next FOMC meeting and the day after their  elections  And in view of the continuing uncertainty and the nearness of that swap maturity to  the elections, I would recommend that we be prepared to roll over that $250 million if they so  request for another three-month period     The first renewal was rolled over for three months       That’s all I had, Mr Chairman     I think that when you move the funds rate up a 1/2 percent during the  period of a major Treasury financing, that sort of activity would have fit under nobody’s  definition of even-keel, let’s say a couple of years ago  And while I think it is a real delicate  operation, and we did have to keep an eye on the Treasury financing, we did try to get the  [federal] funds rate up before the Treasury financing so the market could take that into [account]   We continued to push it up as we got stronger and stronger confirmation of the strength of the  aggregates  So I think that moving the funds range during the period of Treasury financing was a  pretty good accomplishment       Which was wrong     We weight one by the other, Governor Wallich     Well, Mr Chairman, I think it all depends on whether the current  forecasts of the growth rate of money over the next two months are anywhere near right  If they  are, we would be unable to reach the upper end of this [federal funds rate range] even with a  7-1/2 percent [upper bound to the M1] range  But given the normal margin of error, if we are too  conservative in our estimates, yes, we could hit that upper end, and obviously you hit 7-1/2  before you hit 8-1/2     Well, it would mean that if we’re getting up to the 7-1/2, we would be  moving the funds rate up relatively rapidly  Our own estimate of M1 over the two months is  something like 6-3/4, so there’s some leeway if it’s anywhere near right  It may not be   "
138,1976-08-17,"  [Statement--see Appendix]     There are two alternatives  One, that everybody goes off and floats  [separately]  Second, they do have a realignment in the snake, as they talked about last March,  in which perhaps the dollar-mark relationship would not be much changed, but the other  countries would depreciate in terms of the mark     I don’t know  I think there will be a lot of sentiment in [favor of] trying  to keep the snake together somehow, but there have been some real problems     We have not  That seems to be an insoluble problem at this time     From time to time we hear some noise from the Treasury that they would  like to pay off and go out and buy Swiss francs in the market  It’s not a very practical thing to be  doing right now; it’s also a little bit expensive     I wouldn’t say that the mark will not appreciate against the dollar to some  extent  But not a great amount  I would think [there would be] a larger depreciation of the other  EC currencies in terms of the mark and against the dollar     I think we are going to make it before year-end, certainly     On the Belgian francs, about 62 million, Mr Chairman  I think maybe  we have accumulated 2 or 3 million in balances so it may be around 60, I would say     I think maybe we should     I know of no new conversation     Well, Mr Chairman, there are no swaps maturing in the period before the  next Committee meeting, so I have no recommendation at this time     I think Governor Wallich has had more conversations on that than I have     I think it would pay for us to look into that very closely     8/17/76 - 4 -       Mexican pesos  "
159,1976-09-21,"  [Secretary's note This statement was not found in Committee records]     Mr Chairman, the Bank of England’s two drawings of $100 million each  under the swap will be up for their first renewal on September 23 and September 30  It had  earlier been understood that the drawings would be renewable only until December 9, when the  British had agreed to arrange borrowing from the IMF  It is my understanding that the Bank of  England is determined to pay their drawings under the swap on time even though IMF money  may not be available until later in the month  I therefore recommend renewal on the two swap  drawings until December 9       Mr Chairman, turning to our Swiss franc indebtedness, last week in  Basel we negotiated a plan with the Swiss National Bank for a possible refunding of our swap  debt and a definite quarterly repayment schedule, which would settle the debt within three years      9/21/76 - 5 -    The plan is subject to approval by the Swiss National Bank board and of course by this  Committee     The negotiations also cover the plan for Treasury repayment of their Swiss franc bonds  concurrently over a three-year period, and the Treasury is in full agreement with the proposal   Total US debt to the Swiss National Bank amounts to approximately 93 billion Swiss francs, or  about $37 billion at current market rates  Of this total, 39 billion Swiss francs represents our  swap debt  The Treasury has agreed to a somewhat faster paydown of our swap debt in the first  year of the proposal, but final payments of both debts would come at the end of the three-year  period     As far as the [Federal Reserve] System is concerned, details are still to be worked out  The  proposal could involve the series of Swiss franc drawings outside the regular swap network, with  the proceeds used immediately to pay off debt outstanding since 1971 under the old line   Repayments would be made in scheduled quarterly installments  We would make every effort to  buy Swiss francs in the market, conditions permitting, and on occasion to sell the Swiss National  Bank other currencies that we have acquired and for which they have a need     Finally, and this concession on the part of the Swiss is what will make the plan work, the  Swiss have agreed to sell us directly at market rates against uncovered dollars any Swiss francs  we need to enable us to meet our scheduled repayment obligations     The loss-sharing agreement reached earlier this year will remain in force, and the Swiss  have extended it to cover the Treasury as well  At current exchange rates, full repayment of our  swap indebtedness will entail a loss of about $415 million, of which the Federal Reserve share  would be $271 million  Losses would be taken only as quarterly payments are made and so  would be spread out over a three-year period  Losses, of course, could either be more or less  depending on market developments over the next three years, and I would certainly not by any  means rule out the possibility that they could be less     Mr Chairman, I recommend that the Committee approve in principle the proposal outlined  above and that we proceed to work out the details with the Treasury and the Swiss National  Bank  In light of the fact that we do not have final Swiss agreement, I believe that final  Committee action should await confirmation by the Chairman that such an agreement had been  reached and details agreed on  That’s all I have, Mr Chairman     I think it ought to--certainly we should have flexibility  But I do think we  ought to set up a schedule for ourselves and really try to stick as closely to it as we possibly can   [If] overwhelming problems in the market or other places [develop], sure, I think we [would]  have to reconsider  But I think there will be no problem in doing that with the Swiss National  Bank     Well, you know, we said that earlier this year  And the Swiss franc was  at 260 [per dollar]  If we’d repaid then, our loss [would] be less than it is now  So I don’t think  we ought to take a risk [by hoping for] a favorable development in the exchange rate, but  [instead] get started even though it does cost us money and even though, if we waited for three  years, we might do it more cheaply  I think we ought to get going     Mr Chairman, I think the Treasury would be willing to take over our  debt  I think they would agree to that  I think the Swiss would prefer to do it in the way we are  suggesting here     9/21/76 - 7 -       I think another possibility might be discussed with the Treasury--I don’t  know how successfully--and that is an IMF drawing as takeout, because we certainly have had  other countries do that  We at least ought to consider it with our Treasury     Not parallel but ending at the same time     No     Yes, there is a possibility at the end of this month They have a large debt  to pay to the Germans, and we might conceivably pay off the whole thing by the end of this  month--I would say, though, at a very poor exchange rate, so we do want to see if we can  improve that rate a little bit  We’ll be working on that the next few days  It’s uncertain right at  this moment, but we will continue to make progress and maybe get rid of the whole thing     Not unless instructed by the Committee to [move] very rapidly if the  aggregates were moving to either end of the range  But you would move further with that range     9/21/76 - 27 -    if the aggregates were moving either way  Unless the Committee wants a different set of  instructions     That’s the way I would interpret it     Well, Mr Chairman, I really have very little to add to what Steve said   We do live in a goldfish bowl, unfortunately, but that’s a fact of life  Telerate is not the only  mechanism, as Steve said, that transmits information that we’re in the market  When we come  [into the market], in every dealer house, lights go on and bells flash, and people or salesmen are  on the phone to their customers  So this is something we have to live with  Telerate perhaps  reaches a slightly larger audience  They’ve been quite accurate in reporting our individual  operations  They can give no information when we’re operating for the System account or on  how much we’re doing, because the street never really knows that     On balance, it seems to me that, while it may be annoying to have everything laid out on a  little machine 20 seconds after you go into the market, I think it’s something that we can afford  to live with without any serious damage to our operations     Mr Chairman, I think Steve and I both thought that this is something that  we expect the Committee to be discussing when they have a special meeting on procedures  And  it really oughtn’t get too much mixed up in something on the Telerate machine itself, but I think  it--     Mr Chairman, I must say that demand for this sort of confirmation of  what people hear in the street or what they see on Telerate has not been very great, and this is a  rare occasion that someone will call and say, “Are you buying coupons?”     I see very little harm in doing it  As I say, the demand is not great  I  mean, we don’t do this at the Desk     I see no harm in changing that policy     Oh no   MR, GARDNER  You really mean “does,” I hope     No, it’s the Public Information Department, not the Desk  We do not talk  to the press     But it’s the same--   MRGARDNER  But the point is, if you get an inquiry, you treat all inquiries the same  way     Absolutely     For the customer accounts  Mr Chairman, when we’re operating for the  System account, we don’t want to announce an amount in advance because part of what we do  may depend on what sort of response we get to our operations     Yes     Sometimes they make rather accurate guesses, sometimes the guesses are  very wrong, because not all dealers want to give everybody else a list of what they had done with  the Desk in a given operation     Yes  "
274,1977-01-17,"  I won’t go into any details, but at the Basel meeting preceding the most  recent one, a group of experts was set up that met in Paris on December 20 and 22, then again in  Basel last Sunday  We started out with why there is disagreement, and ended up in the meeting  last Saturday to agree on what we couldn’t agree on and to give that to the governors to decide  on  And we ended up with a very short document, rather than the usual lengthy report of  experts, which I hope was useful to the governors     More importantly, though, with the bilateral discussions between the United States and the  UK, which were very intense--we met twice in London and once here and at great length to  really work out to see if we couldn’t narrow our own range of disagreement  And a lot of it  was--it was a hard road, a tough road, but it was all done in a cordial sense  And that’s all I need  to say Mr Chairman  Except that I would like to point out, I’m not sure Governor Wallich  emphasized that the [IMF] Managing Director will be acting in a personal role in this, with the  approval of the Managing Board and informing them of what he does  But with no role of the  Managing Board of the IMF in making decisions     It would come under our regular swap agreement with the BIS     At the bill rate     No, it’s quite obvious, Mr Chairman, if we warehouse foreign exchange  for the Treasury, that has a reserve impact  But we have no problems in offsetting that through  domestic operations, and obviously this would be small compared to the normal swing in the  Treasury balance  I think from the domestic side there is no problem, and we had no problem in  warehousing before, so I have no problem all the way through     [Secretary's note This statement was not found in Committee records]     I can’t answer that question with great certainty  I think two things were  involved  They were disturbed when they were seeing the mark appreciate by nearly 1 percent a  day  This, I think, was an effort to calm down the markets, and they recognize, too, that there  have been several large orders coming out of individual banks, probably representing  diversification--$100 million orders--and they took parts or all of those orders out of this market   In addition, I do think they felt that the dollar market rate was becoming inappropriate in some  sense  I think there is an element of that in their thinking  How far that is an element, I’m really  not prepared to say  They were concerned, of course, when they were having such huge inflows  into Germany of the liquidity consequences of that, and so they were delighted to be eventually  able to get the mark turned around and not face further inflows     I would be delighted to build up our working balances  You know, many  months ago the Committee suggested that $150 million might be a proper level  We built up  close to $100 million in all foreign currency balances at one time, and then the market turned  against us and we had to spend them to keep our market in New York orderly  I would hope, if  market conditions permit, that we can build up more-respectable balances  If we ever get  anywhere near $150 [million], I certainly will come back to the Committee for further guidance  on where we should go from there     Mr Chairman, there is just one recommendation  Two drawings made  last November by the Bank of Mexico, in the amount of $75 million each, come up for renewal  on February 10 and February 17  The new Administration [in Mexico] has provided a boost to  confidence  The peso has firmed a bit in the market, and the Bank of Mexico has been able to  recoup reserves  We expect the drawings to be paid in February unless something goes wrong  On the chance that that can always happen, I would like to recommend to the Committee that the  Committee agree to a first renewal if that is requested, although the likelihood is that the swap  will be paid off     Yes, I believe we have, Mr Chairman     Well, they have a similar swap with the Treasury that they will be paying  down pari passu, I assume, [with] the two     I think I would stress Mr Sternlight’s last point, that it’s how you get  there that’s really important  If we had to push aggressively in the market to push the funds rate  up, I think the market would react one way  If it rather drifted into it and then we tended to keep  it there, I think the market would have less [of a ] problem  This is a very subtle difference, Mr  Chairman, but I think it is an important one     I don’t mean aggressive in a real term but I mean in a market-perceived  term, and in that case you don’t have to be very aggressive to seem aggressive  This is a very  subtle difference     We would understand that, Mr Chairman     No, I think we would have to watch what happened  If we got to 4-3/4  and found it was causing trouble, my inclination would be to back away, to come  below--quickly     Deliberate speed, but recognizing there is a Treasury financing coming  up  If we are already closely there, we don’t have all that much time     I don’t know where we are  We were at 4-3/4 earlier today     One would hope that we would be that skillful     That’s a good 16th, Mr Chairman     Well, I’ll [try to] interpret it, Mr Chairman  If we could go a bit above  4-5/8 without causing any damage to the interest rates, or only a very little, that would be the  preference of the Committee  Now, is that right?  That would be my interpretation--I’m not sure  it’s right     5 to 8 basis points on the bill rate--we’re getting awfully precise on that  "
299,1977-02-15,"  [Secretary's note This statement was not found in Committee records]     We are buying directly from the Swiss primarily  We have had occasion  to buy Swiss francs from some of our correspondents who have been sellers  So we buy them  directly at market rate  We have never really gone into the market  Really, it hasn’t quite been  that good  We hope to, over time       2/15/77 - 8 -             We see no impact of any of this on the market  I think the market has  assumed, and rightly so, that we are buying mainly directly from the Swiss National Bank     Mr Chairman, for once we have no swaps maturing in the period ahead,  and so I have no recommendations to make to the Committee     It would not show the range for the funds rate, Mr Chairman?     Would it say 4-5/8 or 4-5/8 to 4-3/4?      $117 billion, according to table 1      Mr Chairman, would it be acceptable to the Committee if we discussed  with the Federal Financing Bank whether they would like to take over?  This may be very  difficult       Yes, this would be an unusual sort of transaction      Mr Chairman, does this mean that the Committee has adopted the new  guidelines that are--   "
326,1977-03-15,"  [Secretary's note This statement was not found in Committee records]     I think it was the extent that it was declining on that particular day, Mr  Chairman  It moved by about 3/4 percent, as I recall     Basically, I think the Swiss are completely happy to see the Swiss franc  depreciate  But they do believe in orderly markets and wanted their presence felt     Yes, I would think the rising gold price can be explained by two causes   One, the continued demand from the Mideast and the Far East, which is not really affecting any  concern about European currencies  And second, with a rise in industrial production around the  world, I think industrial demand for gold has picked up rather substantially  So the market has  been able to handle substantial supplies from both Russia and South Africa, and sales by other  countries, without problems     I think it’s partly that, yes     Well, from time to time that comes up  But I don’t think that has really  been a factor in gold prices     Not that I know of     But the market really has handled the IMF sales--which they were very  frightened about when the IMF started--remarkably well  In fact, the price seems to go up just  before each auction     Mr Chairman, as I said, it has been a very dull period, and I have no  recommendations at this time  We do have the Swiss franc swap maturing on April 29, but we  will pay it off before we get there  "
377,1977-05-17,"  [Secretary's note This statement was not found in Committee records]     No, Mr Chairman, except, as I mentioned earlier, there may be a  possibility that we may want to make small drawings on the swaps  I think we have the authority  to do that  I have no new recommendations to make  "
414,1977-06-21,"  [Secretary's note This statement was not found in Committee records]     Hasn’t been much visible market reaction to that  I know it has caused a  great many people inside government to think about how long we can sustain this without some  pressure developing on the dollar  But I think more important is how well we do on the inflation  front compared with Germany, Switzerland, and some of the others  Right now we’re sort of  average and not doing as well as they  But with our interest rates a bit higher, the dollar has  been extremely steady in the exchanges      We had no appreciation of the dollar, but it did offset these other  movements attempting to weaken it     They had been except around the tax date     No, I think they deliberately tended to keep interest rates on the low side      6/21/77 - 39 -           No, I think the Japanese have really abstained  And I suspect, of all the  central banks, we have a larger share of their total dollar holdings than any other  In fact, they  have used us to keep all those visitors from pounding on their doors  They say, “No, the Fed  wants us to stay with them,” which we have not said  But it’s a good way to keep that steady  stream of commercial and investment bankers away      I have no evidence of this       I have no evidence     What we are doing at the moment  At the moment, if the foreign account  wants to make a repurchase agreement, we do a matched-sale agreement with them  With the  System account     If we need to absorb reserves, that helps us to absorb  And then go into  the market and do it for the System, matched in the market  So that in that case it helps  If we  are not supplying reserves at all, our practice up until now had been to do it in the market  Now  [if] we did [it] with the System account [when we do not need to absorb reserves], [we] offset  that by a corresponding reversing--in other words, we [treat] it like a market factor that [is]  absorbing reserves, and we offset it     Now, when we were supplying reserves, we would also go to the market  We would do  the matched-sale purchase with a foreign account but do correspondingly more in the market on  the reserve supplying side  Again, treating it like a market factor, which we have been doing  If  it helps us, fine; if it doesn’t, we offset it       We would say it’s in connection with a customer transaction     No     Yes, but this is very common in the bill market when we buy outright   As you know, we buy and sell for foreign accounts, over three or four times as much as we do  for the System account outright  And we identify those as customer transactions when we do  them in the market  And that’s caused us no trouble     It’s been entirely, well, if you include some of the monetary authorities as  a central [bank], it’s strictly central banks     6/21/77 - 44 -           But that’s because they do it anyway     Asian Development Bank is also a customer     Yes, some of the international--     But it’s only with people that are authorized to have an account with us   It’s mainly central banks; it would be one or two international institutions that from time to time  might have just raised a bond issue, have plans to invest that money or use it within a week, and  they might ask us to do an RP     I think they would much rather do it themselves  As far as RPs are  concerned, I know that for a fact  That’s a big operation they have, and I wouldn’t want that  operation; that’s a big operation  I’d much rather see them be part of the market       Yeah, but the Home Loan Banks are doing more than that themselves  each day     No     Oh, yes, I believe it would     We have always had the attitude, Governor Wallich, that if central banks  would prefer to deal directly in the market, go ahead and do it  We have interposed no objection  to that  But we feel that ever since we started operations--we have done operations before in  central banks--they like it, it’s part of our close working relationships with the foreign central  banks  And I think they are considerably useful to us, first, in watching these flows into and out  of the dollar, and also in getting subsidiary information from the central banks because we have  close daily contact with them on these operations      No, it’s an actual income because the fact that the central banks brought  money in and left it has absorbed reserves  In offsetting that, we’ve bought securities       I think this would be one alternative, if we gave up the facility     The RP market is not quite as high a rate     I think it would be slight, but there would be some     6/21/77 - 47 -           I think that’s quite right; we are not well informed about what they’re  doing in the market  We can make a big issue of this, and maybe we should make an issue--I  have in one or two cases, but--     To your first question, at least these operations are all in one direction   They don’t go up by 9 billion and down 9 billion; they’re fairly steady in size, and they are  predictable     And they’re repetitive, right  Secondly, we retain the right--if it interferes  with open market operations, I’ll be the first one to come to this Committee and say that we’re  going to stop all of this  Because we can’t allow that to interfere with open market operations  any more than we could let these big swings in the Treasury balance [interfere]  I think since it’s  predictable and not too large, we can approach some people and say, “Look, you’re putting too  much in the RP market, get some of it out”  We can do that, and we have done that--on one of     6/21/77 - 48 -         those occasions where we did have a one-day difficulty doing what we wanted to do for the  System because this was interfering     At least that will get the money out of our accounts     Well, I can recall--remember, go back to the time when we had those  huge currency inflows from Germany and the rest of the continent in 1971  Instead of going into  the market--well, you know what would have happened, the bill rate would have gone to zero   But the fact that it was coming to us and we could see the dimensions of it, we could go to the  Treasury and work out a system by which it could be accommodated without any impact on our  reserves, or much impact--certainly there was some on interest rates      Well, as you probably know, we have tremendous competition  There are  teams from all of the investment banks and all of the large commercial banks that spend all of  their time in seminars and going around trying to sell central banks their services  And in recent  years there has been a drift away from us  I think we have a smaller proportion now of the total  dollar holding  In fact, I know we have smaller proportions than we did, let’s say, three or four  years [ago]  There is a big selling campaign going on       One thing that has concerned me a bit, it hasn’t developed, but it is  something that I think we ought to keep our eye out for  And that is, some of these people who  are selling these services sell them on the basis that they can arbitrage that account very heavily   And that could be bad for our market if it got too large      Well, we really haven’t made much of an effort except when it was  building up to be a problem  But that was quite successful     Some of the money disappeared, and I don’t know where it went, and  some of it went into short Treasury bills--through us  I suspect the other went into Europe     The Treasury has promised very strong support on this     6/21/77 - 51 -           One hundred and four central banks going to the IRS for a ruling     Paul, I might add that a great deal of the countries, the smaller LDCs who  have money, come in for a very short time, and they don’t add much to the size of the operation--  but [it’s] extremely useful for them in trying to manage a fairly small portfolio of dollar assets      The whole legal situation rather confuses me, I must confess  Because  for open market operations these are purchase and sales of securities, and that’s the legal  interpretation  It’s the IRS interpretation, I think, that could be challenged, but I am not a  lawyer  Because when we buy securities on RPs, we take delivery of them  If there were a  failure on the other end of the RP, we would have the right to sell those securities on behalf of  the foreign central bank  So you know, not being a lawyer, I stick with the idea that this is a  purchase and sale       And selection of which of the three  "
