,Date,Speaker,content
2166,1982-05-18,HORN," The point of view is Cleveland as of a few days ago I would choose alternative B If we're either on alternative A or [C], it seems to me we run the risk of the market--or of all of us --being surprised by another accident in the money supply when we're above target I think that's particularly damaging to market expectations I believe the market expects us to stay on the track  -40-    5/18/82  that we seem to be on for this quarter and would not be disappointed by our continuing with alternative B My staff's work would indicate that the $800 million initial borrowing assumption would shade this path toward ""B+,"" but basically alternative B as specified is where I come out "
2222,1982-07-15,HORN," Mr Chairman, this is Karen Horn Just to follow along on Bob's comments I have some concern about changing the policy that we've had for some time now of [reducing the M1 range by] 1/2 percentage point each year, or even indicating with this tentativeness our thoughts about changing that policy for fear that it might be a signal to the markets that in fact this Committee was contemplating a significant change in policy And at this time I think either very soft language with regard to not changing the target ranges or actually saying something about lowering the targets by 1/2 point might instill more confidence in the market "
2240,1982-08-24,HORN," In the Fourth District, where we have a lot of capital goods industries, the outlook for capital spending has gotten worse in the last couple of months, I would say A couple of months ago when you asked inventory questions of these people, they would say that they had really reduced inventories to bare bones and were not sure how they could continue operating with these inventory levels Now they are evaluating those same inventory levels differently, saying that they can do business for the foreseeable future with those inventories  I come out somewhere toward alternative B myself It seems to me that the basic underlying economic problems of inflation and the budget and crowding out and so forth are still with us, though some of them perhaps have moderated a bit We do face a weak economy--and those of us from the Midwest face a particularly weak one--for which lower interest rates are necessary But we have to have low interest rates for the right reason if we're going to stay in the range and stay in it for the length of time that would be helpful to our economy I am also concerned that we as an institution need to have a steady measured response to the weak economic growth, and I am concerned about leaving ourselves enough room that we don't have to take extreme actions in the future in response to a surprise or an unpredictable increase in the money supply So, I would come down on the side of those who are for alternative B or something more toward it, although at this moment the difference between ""A"" and ""B,"" as a number of people have said, is not so significant that I would have to go as far as alternative B "
2261,1982-09-24,HORN," Paul, may I just clarify what you were saying about the borrowing number? Could you just repeat the number or the range you were giving and state whether the $150 million of special borrowing is included in that amount?  Okay But generally what you're saying is that we are lowering the borrowing number from where it is and--  Your feeling is that if we were to stay with the nonborrowed path, that would perhaps drive fed funds rates up toward 11 percent or above?  Yes, I share Bob's view on that It seems to me, if it is a [unintelligible] to raise it for a number of reasons that haven't been discussed here, that unless we see it as something very negative on the side of causing more volatility in interest rates, [we should leave it] I would tend to leave it where it is myself "
2281,1982-10-05,HORN," Mr Chairman, this indicates your dissatisfaction with the way we handled it last time--that is, to have a target that was sensitive to--  It seems to me that the [appropriate] timing might be the next meeting In terms of setting quarterly targets, we might look at an M1 target and tolerate above target performance [now], with all saver certificates and so forth coming due And then at the next meeting if we are looking at an instrument that is very unpredictable in terms of what it's going to do to M1--having set the quarterly  -35-    10/5/82  targets at this meeting--we could say that for some weeks during this part of the quarter we're going to have to look more heavily at M2 "
2308,1982-11-16,HORN," I suppose if I were grasping at straws to say something optimistic from the Fourth Federal Reserve District point of view, I would say that the comments I've heard since the last meeting have [conveyed] in some sense more confidence But if one goes below the tone of the comments and into the statistics business people have been basing them on, in fact, the statistics don't seem to show any improvement in the capital goods industries We hear about continuing deterioration and backlogs, for example And the farm sector is much as several people have reported, in terms of what farmers buy and extremely weak land prices But, in fact, the comments do seem to have a little more confidence in them, perhaps really because people are now beginning to say that they are going to take market share away from somebody else and somehow be at a competitive advantage rather than that they are seeing an overall improvement in the economy I see this as heavily reflected in the consumer sector in the Fourth Federal Reserve District as in any other [sector] But I could put an optimistic face on what continues to be perhaps not a negative set of data but a stagnant to negative set of data in our District  Mr Chairman, I'd like to ask you to expand a bit on a statement you made earlier, which was that you would like to see lower interest rates if that could happen in an environment of less money growth I'd like to hear you talk about how much lower interest rates you think the market might tolerate in the context of various kinds of money growth As I look across the alternatives in the Bluebook, it seems one could construct a situation where any of the three alternatives could be consistent with lower interest rates I'd just like to hear you expand your comment a bit "
2335,1982-12-20,HORN," I think M1 has served us well and, indeed, its being linked by theory to our ultimate objectives in the income and price areas makes it very attractive So I'm distressed that for now and the foreseeable future it will not serve us as a reliable rule I agree that M2 is what we should be focusing on in the intermediate period The question, of course, then remains how to control it, which has been discussed at some length But I do think we need to have enough control over it that it really is a rule and not just a discussion point for the Committee How do we assure the world that we're still in business? I lean toward having the Chairman make a statement that, while it may be premature to commit to returning to M1 at a particular time or perhaps to commit to returning to M1 at all, as soon as possible we would look to return to M1 when experience has accumulated that would enable us to use it again I felt [some sympathy] with Bill Ford's reasoning yesterday that there are dangers on one side of collapse and on the other of monetizing the debt That that would lead us to looking at other indications of what our policy is accomplishing made some sense to me On one side we could look at nonborrowed reserves or the nonborrowed base; on the other side we could look at the price of gold and long-term bond markets and things that are linked by expectations of future inflation The exchange rate suggestion also, I thought, was a very good one The danger in this, of course, is that we gain too much flexibility and don't have the self-discipline of having a rule Nonetheless, we aren't in  -38-    12/20-21/82  normal times and looking broadly at a number of other financial numbers in addition to M2 is perhaps called for My concern remains that, once the economy does pick up, we must make some difficult decisions about what the future course of the economy should be and perhaps effect a change in monetary policy in that we will be facing a situation with a federal deficit that will not decline adequately to make up for the pickup in the economy And M2 is a difficult aggregate to control at that point But for the foreseeable future, I agree with the consensus that M2 is what we should be working with "
2360,1983-01-14,HORN," Hello Yes, this is Karen "
2391,1983-02-08,HORN," Nancy, what is the price outlook that goes with that?  Which leads to the question What is different now that is driving this forecast? Certainly, interest rates are different What other kinds of--  Starting from the premise of targeting aggregates, my preference is to target narrower aggregates both for reasons of controllability and historical relationships with GNP and so forth Because I favor targeting narrower aggregates, I favor a flexible approach That flexibility would be on the side of what I think has been referred to as technical reasons--that is, I think we'd have to be explicit that we would be flexible with Ml targets, depending on our fragmented readings of what its velocity is going to be That's the danger, certainly on the Ml side With M2, along with the velocity problem, there are also the shift problems And, of course,  -29-    2/8-9/83  the shift problems could develop with Ml as the year goes on So it's those kinds of flexibilities that I'd like to see introduced into the targeting exercise I very much agree with Nancy that if we take an approach that is flexible with regard to targets, we must be very open in our communications with the markets They must believe that we're engaging in an honest flexibility and I think that would be accomplished by frequent and fairly open communication  No, I'm going quickly onto the next subject!  I agree with Frank about the risk question; I think the risk is on the up side In particular, if we take this flexible approach, I think we will be very sensitive as a Committee to the economy needing more liquidity Hoping that that doesn't happen, then we're going to need the backbone--and the political protection that we will get from the targets will have to come into play--if we get into a situation where we need to start increasing interest rates And if we build in too much flexibility, that of course takes a bit of that protection away  The implication of that is that Ml is receiving substantially less weight than M2  You'd like me to wait until discussion of that?  Jerry's point that we're going to need M1 later on for the upside possibility is one that I agree with And it seems to me that while we have uncertainty about economic activity and the macro outlook, one of the things we could do as a Committee is say that we will react to M1 going above the target We will react less quickly than we did historically; historically we tried to get it back in [its range] over a 10- to 12-week period between discount rates and reserve movements We could say we will react less quickly as a Committee I'd like to see Ml receive more emphasis than this directive puts upon it  Mr Chairman, it seems as we sit here today that the obvious thing that would create the window to allow for more easing would be a substantial slowing in the aggregates So, for that reason, I support that wording If something unusual were to happen in the next two months, then in fact a move on the discount rate could [be taken] into consideration in this period But as we sit here today it seems to me that a slowing in the aggregates that would permit--  That's right "
2418,1983-03-28,HORN," Would it be noticed if you did it half as much in the future as you do now? Would that be commented on?  I would like eventually to get back to targeting the aggregates and to the previous operating procedures The way I'd like to do that is in some long-run sense--saying that by year-end we'd like to be at such and such a point relative to the ranges And I'd like to be able to say that with regard to M1 particularly because of its controllability and its historic relationship with GNP I'm uncomfortable with the rate of growth in M1 I am interested in pursuing your analysis further, Jerry, but with the information I had coming into the meeting I am uncomfortable with the growth rates in M1 However, two problems I see as being very severe at this meeting are (1) the velocity problems of Ml; and (2) the great uncertainties in the economic outlook I agree with the staff forecast on the economy but I see a lot of downside risks Of course, in the Fourth Federal Reserve District we continue to have pretty dreary reports So, I'm not ready to argue today for a return to the operating techniques that were previously used I come out for alternative B because of the tremendous uncertainties I come out for directive language II because I think it's one step toward returning at what I hope would be an early date to the old operating procedures or to some modification of the operating procedures That would cause, perhaps, a slower adjustment to the long-run paths, but I do see that as very definitely the direction that we need to go and hopefully will be able to go sooner rather than later I'd like to end with a question to Peter, if I might, with regard to the term structure of interest rates Could you just elaborate on the remarks you made in a couple of sentences yesterday about short rates versus long rates and so forth? Could you elaborate on how you feel the market might react to, say, a slight increase in the fed funds rate? "
