,start_date,content
664,1987-11-03,think desk come either side market around percent go pretti clear market quickli go pay much attent borrow
683,1987-11-03,anyth add respect altern think corrigan languag prefer fund_rate problem want err much side term feder_fund_rate percent think might sent wrong signal market_think point manley johnson rais import difficult shift mode provid liquid kind monetari_aggreg think remiss opportun mention monetari_aggreg regard grow slowli rel trend six_month staff_project percent fourth_quarter fourth_quarter trend rate year roughli percent usual consid signific chang real impact meet
739,1987-12-15,clarif nation associ busi economist survey mike correctli report nearli half expect recess gener question ask recess data respect question firm inconsist forecast recess word comment order book firm fairli strong
860,1987-12-15,manufactur side fourth district strong strong base dollar can tell strong steel chemic capit_good emphasi custom side deliveri time oppos price impli increas_price commerci side consist respect bring line lot plant want wait longer demand last retail side much everyon els report higbe feder report strong sale gain thanksgiv none weak anticip shown date term longer_term forecast realli major differ greenbook_forecast term adjust process talk suspect surpris futur rather disappoint will side quicker adjust rather slower adjust late reason go compani respect profit_margin profit_margin foreign compani squeez hold market share everybodi discuss thing american six seven year_ago put plant place domest market buy plant domest market retain market share go suffer profit squeez will run domest plant product impli import abroad view adjust process forc marketplac go littl faster perhap expect moment mean worri thing corrigan everyon els worri emphasi obvious lot control variabl influenc price_stabil find consensu around_tabl move_toward zero next_year comfort percent
932,1987-12-15,guess altern reluct concern aggreg continu downward_revis caus concern go forward obvious optim right relat event alreadi happen believ lag concern go forward go look aggreg tri pay lot attent go growth continu shortfal concern otherwis want option go use announc reason announc market make chang sit look year_end cover kind thing seem can want quickli misinform miscu make announc go worri littl market option
934,1987-12-15,symmetr million borrow
936,1987-12-15,good guess can come
938,1987-12-15,percent
1099,1988-02-09,mike know appropri question mayb later discuss monetari_polici object state essenti want maximum output without signific acceler_inflat revers want achiev deceler inflat without significantli damag employ output choos assumpt discuss assumpt
1199,1988-02-09,briefli fourth district similar report respect philadelphia chicago strong term steel chemic capit_good despit certain amount probe around difficulti lot troubl find answer ed question peopl nervou though thing good probabl alway call ask wrong problem week think know someth speaker can talk speaker can creat recess
1200,1988-02-09,ye except realli state ohio full percentag_point rise unemploy_rate last_coupl_month can tell entir associ auto buildup financi forecast quibbl staff_project
1356,1988-02-09,guess work toward luncheon discuss want consid penalti discount_rate reduc concern borrow think morri rais good point will address rate_growth reserv abl control like outcom uncomfort relationship money economi longwind say pretti confus scenario mind tend favor altern short_run ensur growth monetari_aggreg continu err side make sure growth continu term longer_term stick altern iii
