,Date,content
10,1976-03-29,"  I’d like to ask a question, Mr Chairman  Maybe our problem is our  concept of measures of these monetary aggregates  Perhaps we should move toward John  Balles’s suggestion of a longer-term measure instead of  a shorter-term measure and then  measure the operational aspects against that concept of M1 rather than the shorter-term concept  of M1  Then we could in fact produce the type of relationships where something makes some  sense  And we all have to admit that as long as you stick with the short-term concept of M1,  nothing is going to make any sense     And that only when we go to a longer-term concept will any of this  begin to make any sense, and maybe our definition of what we’re looking for ought to change  rather than the way we look for it     I have [unintelligible] knows that your projections for M1 may just  happen to accidentally hit the midpoint, which will lead you to future error     3/29/76 - 35 -      How much time?     Let me speak to this, Mr Chairman, because I raised this point several  months ago  It makes me extraordinarily uncomfortable to tell the public that we are watching  some measures or a relationship when in fact it’s a lie, and I just hate to see us do it  I’d rather  see us do the wrong thing and tell the public the truth than perhaps to do the right thing and lie  about it     Excuse me, that perhaps was an overstatement, we don’t say things so  directly [unintelligible] we say things more subtly  "
35,1976-04-20,"  Alan, have there been any developments in Italian private debt as a  consequence of all this?     My only comment was, if you had gone ahead and operated on a strict  basis as the Chairman mentioned, then the disparity between the results you did achieve and the  results you might have achieved would have been narrow  So perhaps you weren’t off as far as it  might initially appear     4/20/76 - 18 -             Mr Chairman, I share most of Governor Gardner’s comments in  general  However, I do share some comments by Mr Kimbrel concerning the price situation  I  think we’ll have to face this  I’m inclined to think that our posture should not only recognize  that we would find intolerable a larger range of growth, which the reduction of upper limits  would do, but I think that it might be equally appropriate, perhaps, for the public to clearly  understand that we would find equally tolerable a slower rate of growth  And for that reason I  would be inclined to go ahead and drop the lower limits about 1/2 point as well as drop the upper  limits about 1/2 point     However when it comes to M3, I think the 9 to 12 range is probably reasonable  If you  look at the actual rates of growth on that narrow portion of the difference between M2 and M3  [unintelligible]  But I believe the consequences of the broad action would bring those into the 9  to 12 range, which would be a significant reduction from their present posture and probably  would be an appropriate action just to leave it right where it is     Mr Chairman, I would agree with that  However, I would think that we  would want to then discuss this perennial topic of the zones of indifference  So if we go to the    4-1/2 to 5-1/4, we probably expect the Desk to focus around 4-7/8, which means a range of 4-3/4  to 5, which would suit me fine  I don’t see any need to discuss that any more  Those other  ranges are certainly all right  I don’t expect that we’ll see a volatile M2 in which it’s quite as  widely fluctuating under those circumstances  If anything, we might see it on the weak side, to  the extent that you move  Therefore, I would think that, under these circumstances, leaning on  the M1 side might be a little more prudent than giving equal balance     Mr Chairman, before you go into that, would it not be wise to instruct  the Desk as to the relative weights of these two measures, because I believe last month we  recommended that they be equally weighted, and that may or may not be the procedure this  month     Just let me be sure I understand what counsel is advising us  If the  Committee decided to go to a set of minutes in the normal customary style that most  organizations operate, wherein minutes are not final until approved at the succeeding meeting,  it’s your judgment that the Government in the Sunshine Act or Freedom of Information Act  would require disclosure of those minutes prior to the time they were approved at the subsequent  meeting     Maybe I missed the point, because it strikes me, Mr Chairman, that  perhaps Mr Baughman’s suggestion has merit  That we adopt one set of minutes for this  organization, and it includes all the things we have decided to do, but the actual verbiage of those  decisions as they would rest in the permanent Record of Policy Actions of this organization  would not be approved until the subsequent meeting, and after that subsequent meeting, they  would be disclosed     Then my suggestion won’t work     Well, if we eliminate the Memorandum of Discussion, that would give  some member of the Committee the opportunity someday to present an oral history at some  university that would bring great credit to that individual, whereas the Memorandum of  Discussion denies him that opportunity     4/20/76 - 70 -             I was just interested in whether he consented to the consensus or not  "
61,1976-05-18,"  If you didn’t, you might distort the information that you give to the  public, which would mislead them rather than inform them     How would you say no decision is a decision?     It strikes me, Mr Chairman, that we could well establish the custom, to  the extent that those meetings were held, that the public record would show that the Committee  had either a [unintelligible] or other type of meeting for the purpose of a discussion of recent  events which have transpired since the last meeting  I [unintelligible] just, a comment, and that  no policy actions were taken  And if you establish this custom, then the nature of the  discussion--I’ve never seen one of these yet where we didn’t discuss more than [we planned for  on] the day [on which] we convened  So I think that would be an accurate statement     This is really a [moot] discussion because the procedural issues are  subject to change by the Committee at any time  I think we haven’t had any occurrence [where]  delay of release of information would be appropriate, [but] all we do is change our procedures       5/18/76 - 13 -           [Unintelligible] but if that [unintelligible], then we have got that  alternative open to us so we really don’t have any problems     Mr Chairman, for the next meeting, why don’t we try to encourage each  Reserve Bank to make a special comment about industrial capacity in their Redbook comment?       I was just going to ask Lyle  We know that the cost pressures for price  increases have been there all along, it’s just [that] they have not been able to be validated by the  results coming in  And it looks to me like your projections will indicate, if anything, that that  aspect to demand is not going to continue to grow as rapidly as it has  Is it therefore possible  that even if these cost pressures exist, they will not be validated as well as businessmen might  hope or expect?  As a consequence of the lack of growth in prices?       I would generally share the approach that other people have expressed,  Mr Chairman  But I would be inclined to think that perhaps a more stable approach towards that  solution would be to use a federal funds range of 5 to 6, which would indicate a gradual  movement towards 5-1/2 over the immediate prospect, but then widen the range of M1 and M2  to, say, 4 to 8 or 4-1/2 to 8-1/2 for M1, somewhere in that range, and a 6 to 10 for M2, which  would mean that you’d need strong validation of the continued growth [of M1] before you’d go  above the midpoint of the 5 to 6 range  It is the same approach, just a different way to get there  "
88,1976-06-22,"  Mr Chairman, what provisions do we have in the by-laws or  incorporation certificates of the Federal Reserve Banks to authorize the Banks to defend actions  of its elected officers in their official capacity?  To commit the resources of the Banks to the  defense of the officers totally or the indemnification of the officers?     What about the officers and their [unintelligible] capacity as such?     Do we have any information about activities along the Southwestern  border indicating a change in people’s attitude toward the peso?  That might be a more general  question than the Desk would be informed about     I think generally they’re optimistic  But there’s no question about the  figures Lyle talked about, that for the last three months the index of sales of existing homes is  down and has not come back up  The number of single-family units sold is down, and has not  come back, which tends to support everything, except, perhaps, the permits figure, which is up   And although they are still generally optimistic, there’s no question about this     Up from a very low level--a less-low level I guess is about the best way  you could say it      What problems would you have if, when you had mechanical failures  like you had recently, you were operating on nonborrowed reserves versus fed funds  Fed funds  information is something you get externally, whereas the nonborrowed is internally generated     I would generally concur with your comments, even to the [point] that I  wouldn’t object to a money market directive rather than the aggregates directive     I think the money market directive versus a half [percentage point] and a  quarter [percentage point] on either side of the midpoint is in [unintelligible]       So I don’t think it’s worth discussing      Chairman, nobody discussed relative weights of the [M1 and M2]  aggregates and--     It appears from staff projections that the behavior in the savings deposit  market would be different from expectations, that it may be more different to date, and I would  personally be inclined to shade emphasis on M2 somewhat compared to 50-50   "
111,1976-07-19,"  Mr Chairman, I don’t think we ought to change [that decision]  I think  the best example I know of in our government of the reason to [not] change is the highest  decisionmaking body of people in our government, the Supreme Court of the United States,  composed of a number of learned people who give decisions that affect the lives of our people as  much as we do, if not more so  And if I [understand correctly], and I’d bow to members of  counsel around the table, they don’t give the deliberative process by which they arrive at a  conclusion  They give a conclusion which was concurred with by all     And to a significant extent, our minutes of actions or the type of disclosure that we give  now goes substantially beyond anything that the decisionmaking process in the judiciary goes  through, and outlines all alternatives that were considered and the range of discretion  And I  think from the public policy point of view that is sufficient  I don’t see any outcry on the part of  attorneys claiming that the Supreme Court of the United States must keep a verbatim transcript  for scholars to research later  And I just frankly never understood why there was this outcry for  this body to do the same thing     Be careful in writing the letter that we don’t suggest or bring up the  subject of [the Government in the] Sunshine bill [in regard to] the Open Market Committee   You be very, very careful that we don’t bring that up     Is the Mexican situation stable?  What are the prospects there?     Believe or disbelieve  I think the most interesting comment I’ve heard  recently about rents and multifamily construction was from Baltimore this past week from a  guest at lunch, Mr Meyerhoff, who’s very experienced with all kinds of apartment developers   And the question was asked, how much increase in gross rents will it take with today’s levels of  interest rates and construction costs before it becomes economical again or attractive for  professional apartment developers to reenter the market in any strength     He said it would depend largely on various geographic areas  For instance, he said in the  Atlanta area, Mr Kimbrel, that rents had stayed so flat so long that it would take at least a  25 percent increase in gross rents to make it attractive  In the Baltimore area, where they were  operating and where there had been some continual increase in gross rents, he felt 15 percent  would do it  And I find that these comments of his are pretty typical of those around the country   I hear some comments, for instance, in California that it may take a 20 to 22 percent increase to  make it economically attractive, where there is some prospect of profit     Well, as you approach the margin you will find some people begin to  anticipate, certainly  But here again, this feeds back to the attitude of the institutional  investors--the insurance companies, the banks  They got burned because they made some  investments on expectations of increases that did not materialize, and they will remember it a  long time, in my judgment, and they won’t fall for that again  They want to see bird in hand  before they [unintelligible]     Mr Chairman, may I ask to what extent is the impact of velocity  projections being influenced by the changes in the character of the definition of money ?     We publish a four-week and a 13-week moving average, don’t we?     I am not sure of the 13 weeks, but I believe I’ve seen in the last two,  three days our most recent publication on the four-week     The consequence of that, Mr Chairman, as I understand that suggestion,  would be to react more irrationally, because you’d have a wider range over which reaction would  take place over the same uncertain information     7/19-20/76 - 49 -     I would like to add just one more reason for reducing the limits on M2  and M3, and that is the changing financial technology that has been discussed here today  It  would make at least logical [sense to] say that, as these other measures become substitutes for     7/19-20/76 - 58 -   transaction-type purposes, they will naturally be more closely equated to M1, which we have  long thought of as [a] transactions measure [of money]     So therefore, for that reason, the rates of growth are not as necessary to  sustain [given] patterns of activity, and that would encourage us to at least bring [those rates]  down slightly     There’s a legal question only  As pertains to this meeting that we’re  having right now, is there any likely prospect that a court would order the immediate release of  this vote prior to the testimony scheduled for the 27th?   SPEAKER(?)  Quite frankly, the answer is no     Then I would like to suggest a pragmatic solution, that the decision be  made [for] this meeting to go ahead and have the vote because the possibilities of damages or  consequence are sufficiently remote as to not overweigh the merits, apparently, of some people’s  wishes to dissent     Same     Let me ask a factual question of the Desk, Mr Chairman  Would you  move to the limits on the federal funds range unless the aggregates were clearly outside the  ranges?     I would argue, Mr Chairman, that now would be a good time to broaden  the range  Using M1 as an example, we see April at 149, May at 64, and June at negative 12   If July and the projections for August would indicate something below the 4 we’re discussing, I  would argue that 1/2 point would not be too much     Conversely, if we see the figures for that period going back into the 8 range, I would argue  that a 1/2 point on the top side would not be too much  Because if we see the figure coming in  low, it would tend to substantiate the June experience, which we really have some question  about, and properly so  Conversely, if we see them coming up in the high range, this would tend  to add validity to the April-May trend we saw and [imply] that June was in fact a statistical or  maybe some other freakish type of situation that was not reflective of the underlying strengths   And therefore I would argue that using the full range would be a good thing to do under these  circumstances     I do, too  "
139,1976-08-17,"  It might be more appropriate to talk now than at some other time     Do we have any current estimate yet as to the degree of US private  investment in Mexican CDs?  I noticed that in a consumer-type advisory service in the  Washington papers yesterday they were continuing to recommend to US investors that they buy  Mexican CDs at 12 percent  But do you have any idea of the nature of it and, if the devaluation  occurred, the potential ratifications?     My understanding was all pesos     I don’t know whether it would have domestic implications or not for our  relationship with Mexico  I don’t have any idea what size it is     Did you have similar changes as a non-M1 transactional concept of  money that we’ve had like in our [unintelligible] occurred in [unintelligible] those periods of--     8/17/76 - 19 -       I would agree with the fundamental approach being taken  However, I  would not recommend any strong move that might be interpreted by the public as an overt     8/17/76 - 22 -    action, primarily because I think the public would misinterpret it  One, there would be  allegations that it was done for other than monetary reasons despite what the real reason may  have been  Two, if overt action toward ease [through a] change in reserve requirements were  made, I would suggest that, if you have a business community that’s cautious, this might  reinforce their caution because the monetary authority would be adding its doubts to those  already in their own minds and so perhaps inject an additional element of caution  So I’m not  sure that psychologically the [unintelligible] expression of a level of interest rates would  necessarily overcome the attitude of the monetary authorities     Getting back to the other issue, I’m not sure I’d agree with President Black about M2  We  had this balancing point creating arbitrary rates of growth around Regulation Q, and therefore I  would think that M2 rates of growth to a significant extent are still artificial as we go to one side  or the other of a Q rate  And so while I’m not a worshiper of M1 for any reason, I wonder  whether we really ought to be that persistent in our attention to M2 when we are at this peculiar  balancing point where we can have all of the money flow in one direction due to just a slight  change in the rate     In short, I would stick to alternative B, and certainly--unless we’re going to change the  rules--I would say have the full range available based on the incoming evidence that is available  to us  "
160,1976-09-21,"  Is it possible that this is the ultimate enforcer of their programs?     9/21/76 - 4 -       The continuing monthly needs will be supplied only to the extent that  they can qualify--     To declare a moratorium when you need $200 million a month  additional?     Mr Chairman, I feel that it is appropriate to maintain about our same  posture  I do think that in view of the announcements expected this week, we may get a market  reaction on the reverse side     Right  And to that extent I think we may get a slight change between  our posture and the market’s posture, which may take a little while to work out  For that reason,  I would be inclined to favor the narrow rather than the broader approach to the federal funds rate  and a money market directive  And I do think, in view of the strong growth in savings, that in  the first part of September, the 9 to 13 range is probably the more likely consequence of this type  of interest rate posture that we have, although I don’t know that I feel we need argue about 8 to  12 or 9 to 13 percent  The consequences of [unintelligible] worth arguing about, but I think  those are possibly the likely consequences  "
182,1976-10-19,"  You’re speaking of short-term leasing?     Mr Chairman, I think Steve’s comment makes me want to say  something  We have been through a long period of declines in unemployment rates  Declines in  inflation rates  Coupled with what in many people’s judgment in our society and around the  world has been relatively conservative monetary policy  And I think that the issue that Governor  Gardner just mentioned is not that we’re going to suffer absolute decline  I personally don’t  think that’s a likely prospect     I think the issue facing us is whether the rate of progress in the future will continue to be  acceptable in our society and other societies--so that, while the concept of the ultimate solution  being achieved through further control of inflation and further conservative monetary concepts  will continue to be bought, I think the test will come as to whether or not our rate of progress  becomes acceptable in our society, not whether we have an absolute decline  And to that extent,  it may be even more difficult to continue to hold the world’s feet to the fire, if I can put it that  way, even though we may be convinced of the original wisdom of the concept, [and the]  objective, and the approach to reach that objective  As I say, it may be much more difficult in  the future     Now, that brings up the question as to whether or not a temporary bow in the other  direction might produce significant change as we continue to pursue the objective in the way that  we’ve been going or, indeed, the way the world’s going  But it strikes me as [being] relative  rates of progress that we’re talking about, and I don’t share quite the pessimism in the tone that I  hear around the table  I see a slowdown, but I don’t see quite as pessimistic a rate of slowdown  as other people have seen in general       I’d agree to the two aggregates constraints  I would personally consider  a kind of skewed federal funds rate of 4-1/2 to 5-1/4, but to go to the “midpoint” of 4-3/4  I  wouldn’t want to see it go under 4-1/2 or over 5-1/4, but I would like to see us go to 4-3/4 right  away       Yes, that’s what I’d like to suggest  [Unintelligible]      Mr Chairman, I would not want to see us lower the upper end of M1  today  I think if you listen to our staff’s projections for the next year, over which this time  framework is proposed--while admittedly an overall reduction in the growth of that aspect of our  monetary policy is appropriate, I don’t know that it’s appropriate considering the economic  projection     I would disagree with the likely consequences of the relationship between that type of M1  growth and the M2, M3 growth  I would suspect that, here again, in this trading off between the  breakpoint of the arbitrary price mechanism that we call Regulation Q, as the short-run operating  aspects have traded one side or the other to that, it has produced distortions in the rates of growth  in M2 and M3  And in the longer-term context, the experience that we have seems closer to our  longer-run targets [unintelligible] the more likely consequence of the two     There’s another reason why I would hesitate to increase them, and that is, to the extent that  M2 and M3 are becoming transactional as we discussed, it strikes me that increasing those  ranges by whatever mechanistic means would be a mistake and certainly out of character with  our attitude about M1    "
204,1976-11-08,"  Good morning, gentlemen  Like others that have spoken earlier, I have  some concern about the present rate of growth in our economy  However, I am not quite as  pessimistic as some of you would appear to be this morning  I do think that considering the  present price prospects, we’ve got a dual dilemma  [One is the] need to be sure that we don’t  exacerbate [price prospects] in any way by our monetary policy--in fact, to go further than that,  to do what we can to slow them down  But at the same time we have the problem that--given the  shifting emphasis toward a higher price level--a smaller growth in the supply of funds actually  produces a higher rate of restraint       11/8/76 - 9 -           There is a great argument I can see in reducing the rate of growth in M1 for the future   Further, I can see a valid argument that somehow or another we need to break ourselves out of  this recent habit of half of 1 percent reductions  Because otherwise it would take us forever to  get down where we really ought to be, and that will require much more material reductions in  rates  And another half a point reduction tends to give the color of custom and habit, which is  the holy of holies in most economies, to the half-point rate of change  And to that extent there is  some argument in my mind that says, stick to the 7 percent upper level, warn the public that  more material reductions will be necessary in the future, and urge that perhaps a 1 percent  reduction take place the following quarter  Just as evidence that this small amount of reduction  can’t be tolerated     And also, I’m sold by Mr Winn’s shifting-base concept, and on balance I would prefer  that we keep the 7 percent upper range for the present  However that would not say that I feel  that a reduction to 6-1/2 would be something really worth fighting and arguing about one way or  the other, because I think the merits on both sides of this argument are pretty well balanced   Material consequences are probably--it’s how we say it, more than what we do, in this  circumstance that strikes me as being the most important aspect of our targets announced to the  Congress     Before that discussion takes place, Mr Chairman, would it be possible to  ask Mr Axilrod a question?     Mr Axilrod, we have seen substantial growth in M2 and M3 in recent  months as a consequence of the Regulation Q interest rate ceilings on certain classes of time and  savings deposits  Is it your judgment that, if interest rates stay at the same level--and I recognize  that’s a hypothetical situation because we have no way of knowing--we’re likely to continue to  see the rapid rate of growth in M2 and M3 that we’ve seen in October and September and in  more recent months?  Or is that likely to level off in the future in relationship to the long-range  prospects that we’re discussing today?     Mr Chairman, I would favor leaving the present ranges for M2 and M3  as they presently are stated to the public  It strikes me that the arguments that Mr Winn made  about the shifting base of M1 becomes especially pertinent [to] the effect of shifting the base of  M2, which is at a much higher level  And thus, as we look at the prospects for increased growth  based on this higher level, the present ranges are certainly more appropriate than an increase  "
221,1976-11-16,"  Let’s don’t say “enjoy” that much credit; they just have that much credit   It’s an important difference     Just how long do you think this will hold the Mexicans, if I could use  that expression?     Are references to actions [unintelligible] personnel issues of matters of  substance?     I share Governor Coldwell’s feeling about the economy and particularly  the unemployment rate  At the same time, while [the unemployment rate] may be unacceptable,  I think the real question is, what are you going to do about it, if [there is] anything you can do  about it?  To that extent, it’s my conclusion that there’s a relatively limited amount that monetary  policy can do about it  There may be only slightly different action that fiscal policy can take, and  I’m inclined to believe that there are limits as to what fiscal policy can do about it  To that  extent, I think that our action in this country in that particular area lies in fields as yet untried, in  the area of structural changes to which we’ve been addressing ourselves in various speeches and  so forth  And until the country does address itself to some of these structural changes, we will  continue to be frustrated in our conclusions  And the consequences may be counterproductive  rather than effective     Nonetheless, having said that, I do feel that in the general environment in which our  country is operating today, that some ease in nominal rates of interest are appropriate  I really  wonder whether lower interest rates necessarily will produce the more expansive growth in  monetary aggregates, particularly over the short run, that we’re discussing today  At the same  time, I’m inclined to think that if we only ease 1/8, it will not be sufficiently [evident] to the  general public to accomplish the goals that we’re really trying to [accomplish]  It’s my judgment  that, to a significant degree, these are cosmetic rather than substantial, and properly so--only  cosmetic     To that extent, I would be more inclined to have a federal funds rate of 4-1/4 to 5, or 4-1/2  to 5-1/4  I’d be inclined toward 4-1/2 to 5-1/4 with an asymmetrical 4-3/4 [midpoint] rate, but I  think these are mechanics  The main thing is, I’d like to see us go to 4-3/4  [For M1 and M2], I  would be inclined to use [alternative A]--3 to 7 for M1 and 10 to 14 for M2  It appears that the  staff’s projections--and we’re a quarter of the way into the two-month projections--lead us to  believe that we’ll have about a 12 percent rate of growth in M2, anyway, and it strikes me that  the portion of the market where M2 rates of growth are so sensitive are the places where we do  continue to need an assurance of liquidity, if I can put it that way--the housing market being one  of them       11/16/76 - 41 -           I share Governor Partee’s feeling that we may be getting close to the place where  managers, particularly in the thrift institutions and savings departments of commercial banks,  may be having a reassessment of what they can continue to pay and at what rates they may  reinvest their funds in order to stay in business  It strikes me that if we view the housing market  as being one of the basic strengths, a significant reduction in interest rates on long-term home  mortgages, and by that I mean 1/4 or a 1/2 point, as a result of continued liquidity that thrift  industries [unintelligible], would be a method of sustaining that demand  I don’t think it would  help the multifamily side of that market at all  I think it takes something substantially more than  that, and, in fact, the inflationary trend in construction probably will outrun even any change in  interest rates that are likely to take place, so I don’t see much change in that     But it strikes me that, if we’re hanging onto two things right now as being signs of  strength, namely housing and hopefully final consumer demand, these two areas strike me as  being a good place where we might have some genuine impact from a monetary policy point of  view  And to that extent I would be inclined to [put] M2 [at] the 10 to 14 range     Conversely, if they are low, we’d tighten earlier     I gather we’ll have the revised version of our testimony on the new  [monetary aggregate ranges]; that the Committee will discuss it?     11/16/76 - 48 -             This is the old-style version, Chuck  "
