,start_date,content
67,1987-08-18,agre gener greenbook heard outlook think pick look better grow upsid_risk number concern realli caus question view complet problem greenbook_forecast particular uncertain overal growth appear primarili due improv real net_export export volum caus stimulu right inde case growth come extern area rather domest aggreg_demand realli ask much potenti phillip curv type effect price can kind growth modest expans aggreg_demand think verifi somewhat aggreg type evid consumpt realli ask much inflat_pressur can produc type scenario look broader inflat index cpi exclud energi show pressur ppi show influenc outsid energi area matter fact deceler year ex oil realli broad buildup yet price side staff_forecast rise interest_rate_think polici assumpt inconsist forecast rise interest_rate aggreg model correct go produc weaken monetari_aggreg look weaken monetari_aggreg ask much nomin gnp can kind aggreg growth_rate veloc number consist sens think can much rise interest_rate scenario aggreg produc enough nomin gnp produc seriou risk point_movement dollar problem dollar point yesterday board meet realli net depreci dollar year alway possibl continu worri downsid_risk dollar know come littl today talk reason fact matter net dollar depreci year late year forecast conting upon percent depreci produc lag effect price cours month opportun ask go realiz kind dollar depreci year go lag effect point oil_price expect hover rang feel dollar influenc oil_price oil_price rang will keep dollar rel currenc major industri surplu countri yen dollar stay stronger oil_price hover rang go dollar depreci question say cannot overcom outlook pick realli resolv question mind think seriou altern issu deal given problem think enough evid expect big upward move
76,1987-08-18,pretti aw
103,1987-08-18,sound good case earli releas
139,1987-08-18,guess firm signal littl upsid_risk lot earli warn signal financi_market signal show strong concern last_meet littl reluct stick neck far guess somewher around altern asymmetr_languag give option potenti tighten firmer sign sort sure want commit anyth instinct got littl evid peopl read minut six_week will look go decis thing happen last_meet real_economi show firm right mayb will readi tighten move later favor altern asymmetr_languag deemphas dollar littl earlier somewhat influenc oil_price sure declin oil_price might send dollar someth worri dollar declin significantli consist declin oil_price saw inflationari_expect break face tri resist dollar downward move certainli resist inflationari_expect avoid kind problem think dollar import issu think depend influenc rather highlight inflationari_expect leav dollar proxi
141,1987-08-18,ye million asymmetr_languag
168,1987-08-18,
170,1987-08-18,agre point like come want chang whole languag term clarifi say percent want clear though assum chang_polici aggreg come percent rang impli rather leav alon
173,1987-08-18,percent okay
183,1987-08-18,alway rang use past convey within reserv target
196,1987-08-18,go lead turn averag number go peopl low ball clear averag
211,1987-09-22,
272,1987-09-22,guess sort go ask_question mind big aggreg person line whole issu aggreg_demand strike recent uptick interest_rate go damp effect aggreg think fine point ask much aggreg_demand plausibl scenario think restrain come fairli implaus veloc growth number aggreg_demand outsid rang present real breakout overal aggreg_demand seem pretti corner run coupl bad quarter scenario given recent move interest_rate project broader monetari_aggreg
274,1987-09-22,percent
276,1987-09-22,pick higher interest_rate
278,1987-09-22,sort get corner littl seem
332,1987-09-22,region inflat_rate england
334,1987-09-22,overal mean broader
336,1987-09-22,boston cpi
338,1987-09-22,agre discuss economi cover pretti think economi clearli pick strength littl downsid_risk economi clearli expans phase higher_level outstand question alreadi discuss mike went much product gener extern economi inventori build versu overal expans aggreg_demand think key monetari_polici side earlier think lot seem trade relat think buildup inflationari_expect fairli pleas move taken think proper effect eventu moder aggreg_demand level consist forecast hedg plausibl kind veloc number expect aggreg think close thing corner lag quarter pressur side lot room nomin gnp kind monetari_polici number seem add except mayb coupl except quarter short_run coupl point_think interest spite concern trade situat deficit agre major fundament concern seem pass larg deficit item think concern longer_run pass realli tremend improv budget deficit fiscal year last fiscal year without dime improv current_account amount pressur taken rel substanti gotten real reduct current_account billion dollar reduct feder budget deficit import factor continu matter think question anyth reliev pressur capit import side mayb make differ domest growth side demand govern shift toward privat sector dollar come probabl net capit outflow term question term_interest_rate tend think happen mostli inflationari_expect think rate gone primarili due person opinion probabl overshot eventu thing will settl littl market flatten yield_curv discount_rate_chang somewhat comfort though actual declin rate flatten anyth push real_rate dramat think inflationari_expect realli know much sort risk premium inflat_expect categori anyth shock cost capit rais real_interest_rate word anyth improv real return capit_invest dramat anyth repeal invest tax credit tax bill reduc return equip probabl improv term inventori lower corpor rate overal big shock cost capit think mainli inflationari_expect hope will run time
394,1987-09-22,sort caught million basic comfort altern symmetr_languag thought million tilt toward tighten reason bob forrest mention someth feel strongli either appeal peter though maintain borrow think fine smoothli possibl give obviou signal might confus market_think tighten move go perceiv anyway think tri smooth fashion possibl
403,1987-09-22,ye
406,1987-09-22,either
419,1987-09-22,respect
424,1987-09-22,ye
432,1987-09-22,want percent
442,1987-09-22,consist million borrow think
444,1987-09-22,
456,1987-09-22,peter skill will care speaker good
537,1987-11-03,realli much add will cent worth basic agre ed boehn view domest economi earli tell effect go realli seriou data point evalu situat think_probabl go data go feel confid term symptomat effect coupl week mayb retail_sale data week away earli car sale data thing order impact road lot inform avail thing realli point sentiment index know read overal impact although agre ed hard imagin sentiment improv result think pretti clear addit air pessim outlook exist expect definit chang effect go difficult tell look right fundament economi look good agre bob point thing adjust fairli nice expect staff describ forecast see transit think domest aggreg_demand extern gener growth think posit seem continu thing worri fact chang financi_market export led growth come pressur though dollar obvious weaker go improv think rel sens problem go damp prospect export led growth issu financi_market foreign stock_market around world actual fallen market percentag term come york stock exchang composit stock_market impact abroad greater mean realli clear combin develop fact interest_rate countri rel higher fall interest_rate recent larg adjust interest_rate abroad fact currenc appreci therefor damp abil export fact incom go fall go demand term import countri go incom effect go substitut effect think question strong economi go strong extern perform go condit realli know think big uncertainti agre need flexibl stage realli earli tell go happen need maintain flexibl need face realiti world chang sentiment expect differ real_growth inflat_think acknowledg
570,1987-11-03,whatev borrow consist
573,1987-11-03,
598,1987-11-03,bob sentenc mean
626,1987-11-03,variant mean revis version
628,1987-11-03,okay mean right
671,1987-11-03,ye think right line everyon els altern defin variant corrigan languag asymmetr think go bit problem intermeet_period final decid can move borrow target make transit fund_rate target littl touchi though know will decid sudden thing stabl enough percent center graviti fund_rate million borrow target whatev think go work smoothli need think transit point might good time call
735,1987-11-03,total indiffer might drop whole sentenc
745,1987-12-15,follow particular question understand fund_rate_chang magnitud right
747,1987-12-15,forecast look assum chang fund_rate
749,1987-12-15,ye look linkag model estim guess sort assumpt estim percent quarter downward_revis last estim supposedli incorpor trade retail_sale number notic standard error percentag_point around mean anywher percent guess center graviti neg side wonder kind discretionari factor ad bring
751,1987-12-15,revis revis
753,1987-12-15,linkag model forecast
755,1987-12-15,sure
757,1987-12-15,right hous number notic permit trend realiz much correl read anyth fact permit continu trend versu start
759,1987-12-15,
761,1987-12-15,right
863,1987-12-15,agre lot comment pick thing export side thing strong hear anyon complain order come abil compet exchang_rate activ busi stage think product side thing look solid moment start troubl littl though mayb smoke someth seem bit sync view certainli product side right sale end thing got revis retail_sale consider rel greenbook rememb right revis retail_sale figur period stock_market crash view domest_demand weaker go stock_market crash fact thought rel forecast agre everyon els impact stock_market declin consumpt point retail_sale actual modestli automobil sale seem hold although mainli incent issu realli sever hit domest consumpt stock_market crash worri littl quit see yet given fact sale run anticip stock_market crash littl downsid_risk mind think circumstanti evid weak credit demand translat know time actual declin overal credit demand month place lot emphasi aggreg fact project actual declin growth hope increas littl bothersom cannot realli explain want knee jerk reaction bother cannot ration either think near_term risk agre overal longer_run view consumpt run lower past adjust need think extern adjust take place export look strong adjust oil import non oil import look bad concern thing sneak domest_demand side expect slow domest_demand sort look number sharpli want caught side thing resist strong expans domest_demand conserv expans area mayb almost flat differ sharp declin sale number sharpli weaker stock_market crash worri went weaker side thought sort adjust process worri though end sharp downward reduct consumpt adjust mechan simpli go replac privat sector demand financ public sector demand financ go huge swell budget deficit sure need foreign capit flow go improv adjust process substitut govern financ need privat financ need interest_rate implic depend foreign sourc capit flow pretti scari
887,1987-12-15,done last_time went fund target last_time
890,1987-12-15,ye agre think
926,1987-12-15,symmetr asymmetr_languag
928,1987-12-15,tilt sorri
958,1987-12-15,choos altern think somewhat concern potenti effect exchang_rate fragil financi_market right lean guess happi someth altern asymmetr_languag toward_eas event unfold support morri prefer current oper procedur term emphas fund_rate support altern stabl relationship develop go procedur word stay sure tradit relationship altern percent rang fund_rate asymmetr_languag real borrow number can decid
1059,1987-12-15,
1076,1987-12-15,talk fiscal_polici
1079,1987-12-15,unfund liabil agre unfund extent financ deficit consumpt purpos unfund privat sector invest fund
1081,1987-12-15,rate return includ interest_rate unfund
1188,1988-02-09,need
1229,1988-02-09,sit choos last feel sort jet lag got articul
1278,1988-02-09,let ask concentr short_term issu go tri combin whole thing point comment
1281,1988-02-09,view care term short_term direct polici clear come bi meet intern situat sensit want trigger discount_rate reduct think much larger intern implic move forc might requir move might develop next week thing look seriou anticip think seriou econom_condit intern commun probabl absorb someth right certainli enough inform think impli think sensit intern situat consid short_term cours polici view term open_market oper short_run impli move discount_rate unless futur develop point toward weaken think slight tone eas necessari think can done without creat expect discount_rate reduct mainli think market perceiv sensit intern situat sensit dollar matter fact alreadi number report indic fed like trigger discount_rate reduct intern consider think sort right tone market time seem market alreadi absorb quit chairman other point expect modest eas actual absorb total clear yet bit uncertainti guess prefer somewher although closer think prefer someth center around polici consist percent fund_rate mayb hint lower altern associ million borrow guess accept million borrow someth consist view although confid borrow number project want accept million number given don describ open_market oper bluebook somewhat sensit borrow number money market_condit seem appropri guess come short_run tri avoid implic discount_rate reduct although total possibl given move suggest slight move away alreadi sure market know differ alreadi suggest thing total settl someth million borrow number tad describ kind languag oper don impli bluebook term run realli much prefer altern ii altern iii mainli center point altern ii slightli wider rang associ littl consist view uncertainti term target guess somebodi els mention percent instead percent altern ii get closer think right answer guess prefer someth percent target rang million borrow number think somehow satisfi concern short_term term
1284,1988-02-09,can ask_question talk go strictli borrow number want ask peter understand last_week borrow averag million think implic say continu trend definit impli much higher fund_rate current condit know want clarifi
1290,1988-02-09,right mean big spike settlement date wednesday impli signific fund_rate spike around settlement day mainten period averag consider use mayb disrupt market will certainli chang tone thing
1306,1988-02-09,don languag sort million room adjust accord money market_condit
1308,1988-02-09,mean lower fund_rate point say percent
1348,1988-02-09,ye
