,start_date,content
59,1987-08-18,forecast certainli quit consist staff_forecast relat year will outlook somewhat stronger join comment along revis like rather district lag rest countri recoveri end last_year case look industri indic tend equal nation number year exampl gone year employ increas state consist equal nation increas increas tend nonmanufactur side manufactur categori significantli low_level manufactur employ prevail end unemploy continu littl higher nation_averag percentag_point higher nonetheless margin seem come think manufactur_sector go difficult period show realli surpris strength steel exampl tough industri steel plant produc sheet steel capac produc structur steel lower nonetheless stronger might expect number categori machineri side show improv larg manufactur diesel engin area realli hard time keep demand construct equip stronger railroad equip busi absolut moribund begin show_sign life cours exclud auto though sale number auto mike suggest continu look million year_next_year product schedul third_quarter will percent fourth_quarter though schedul final look will percent inventori seem line agricultur side quick comment almost hard press certainli stabil sign improv land valu quarter level show improv quarter land valu continu move bit albeit low_level nevertheless transact take place show_sign strength land valu know recent revis farm incom outlook year signific increas therefor farm incom number look pretti_good surprisingli find surpris increas farm incom result higher subsidi rather decreas product cost encourag sign part agricultur sector look pretti_good admittedli harvest point grow condit look good anticip good crop yield per acr area will record product overal product will percent acreag percent net improv yield think condit district much improv rest year_next_year point coupl key area trade balanc issu feel year see correct peopl_talk suggest case number certainli disappoint hope noth fundament major economi world turn around begin pick export obvious will big impact inflat_side see price_increas mike mention coupl categori specif steel manufactur increas_price percent time stick low_level price_increas begin becom pervas labor side_think outlook inflat will quit differ yet sens peopl_talk negoti labor contract continu good result reason modest increas annual basi importantli good work rule chang product unit_labor_cost seem better think cours key area trade balanc inflat net think economi nation district_continu look good seem improv along opportun increas growth forecast
120,1987-08-18,mr chairman_agreement posit corrigan laid reason state certainli seem econom opportun point upsid downsid inflationari_pressur though admittedli far conclus go someth bubbl nonetheless sign think appropri begin move find aggreg perform year errat emerg predict basi yet evid therefor find altern term aggreg growth_rate littl awkward accordingli prefer deal borrow level given circumst think borrow level name million appropri term word direct favor greater restraint might lesser restraint think sentenc next page bluebook preliminarili convey revers mean think might fiddl languag appropri word
311,1987-09-22,thank mr chairman nation perspect forecast realli consist staff_forecast littl higher throughout year therefor last revis staff bring pretti_much line perspect regard district wherea laggard throughout recoveri certainli point turn around condit trend district think favor employ exampl consist nation number unemploy higher nation_averag think employ number come along quit thought comment coupl industri import district think go interest posit adjust steel industri dramat exampl shift take place troubl industri midwest whole host close bankruptci near bankruptci addit shutdown capac surviv money plant modern certainli point declin dollar import restrict help tremend demand domest steel strong consequ plant oper much better rate demand steel product seem quit broadli base strong time get point rais earlier product alloc deliveri time clearli move eight nine week slowdown deliveri process servic center understand tri build inventori abl inventori go fast come surprisingli someth price_increas go industri price_increas time cycl realli seem stick tangibl sign improv industri last six eight month announc steel plant indiana joint ventur japanes compani quit signific instal stand alon facil
313,1987-09-22,japanes think fairli special brand plant central locat
315,1987-09-22,import take slab chicago mill cold roll indiana think industri gone tremend transit industri import district heavi duti truck class truck sale year_think go percent higher last_year outlook next_year increas percent will unit lot higher experienc year_ago lot capac manufactur process nevertheless busi seem gotten better price tough nevertheless district perspect good let quick word agricultur ad littl past name condit seem stabil albeit low_level land valu begin move transact higher coupl instanc significantli higher point find develop gener busi condit agricultur condit area iowa seem better turn price issu must find difficult read keep hear price_increas comment steel special chemic paper paper product brass copper seem move price show yet cpi number competit condit finish product tough peopl squeez margin point_think go poke wage side add comment hear shortag michigan day present peopl comment cannot enough peopl work oper think point go someth increas wage rate beyond last_year turn mr chairman question term_rate key issu think aw hard analyz part think underli rate econom_activ pretti_good littl rapid expect therefor real pressur rate cannot analyz part equal inflat_side_think grow skeptic concern inflat someth rate_increas experienc certainli relat thank
376,1987-09-22,agre altern prefer asymmetr_languag current go bia suppos best nuanc bia borrow rather million level think chang fed_fund rang percent perhap accomplish bia
378,1987-09-22,right million bia upward
458,1987-09-22,realli instruct mean will
511,1987-11-03,mr prell think will divid comment pre event post event start pre event activ certainli district_continu oper reason favor basi much along_line previous report except auto_industri manufactur_sector move along pretti employ statist good much line nation number steel busi oper level demand steel product best experienc area deliveri time stretch consider product realli sold alloc construct_activ remain reason good condit agricultur continu_improv land price commod_price improv somewhat larg harvest realli good harvest area move post event comment earli assess damag far sens peopl_talk fundament trend note badli affect certainli outset consum_spend affect declin retail_sale went market trauma seem level told peopl retail number area larg retail_sale came level last look ahead next_year retail reduc expect far nobodi suggest neg trend retail_sale auto side aw earli tell major produc talk yesterday reduc sale estim car truck togeth unit emphas earli yet assess consum will react capit expenditur far quit impress earli sign sharp curtail compani talk signific program place intend continu unless sharp downturn economi embark program will larg stay find quit encourag net think earli assess damag keep favor surpris earli assess littl neg think expect next_year will certainli bit far earli quantifi go period uncertainti nonetheless far thing seem come better might expect
645,1987-11-03,wrong next phrase
