,start_date,content
87,1987-08-18,thank mr chairman spend littl differ perspect good staff_forecast lot good comment might worthwhil attent littl fundament rang chang run underneath surfac world economi economi analog happen sea gulf stream run east coast south north storm come calm come tide shift forth gulf stream run north coast kind domin everyth run wonder effect go world economi sever thing fundament deflationari term quarrel kind forecast see forecast_period seem can avoid fall protectionist sinkhol mayb will super abund pretti capabl labor across world wait produc current grossli underemploy capit mobil enough set factori econom capabl whatev necessari employ quit low cost labor go compet labor great commod area worldwid abund capac absent polit event plenti energi next_year world come surplu farm commod product aggreg basi lot metal forth third factor probabl inflationari increas enorm level intern debt struggl probabl go deflationari tri servic debt lot pressur lot economi produc order earn foreign_exchang tri servic debt thing seem possibl exert deflationari effect pressur forecast_period quarrel think mayb run deflationari effect surfac might damp play inflat number
91,1987-08-18,surpris
136,1987-08-18,thank mr chairman prefer stay larg reason outlin minut ago think underli trend go tend damp inflat show perhap robust expans recogn short_term tendenc toward inflationari movement languag asymmetr_direct tighten
138,1987-08-18,stay million
202,1987-08-18,tilt worth million dollar
343,1987-09-22,thank mr chairman seem listen comment around_tabl morn strong central charact project everyon greenbook district forecast_think constitut aggreg wisdom respons good forecast accept comment project aris must convent econom analysi histor experi suggest mayb littl open alert possibl unconvent untradit thing go stand tree look forest observ end fifth year call recoveri sure call someth recoveri go year coupl_month note end fifth year economi fact acceler_inflat declin measur_inflat project increas good reason right got economi acceler_inflat decreas pretti unconvent industri_product go acceler rate unemploy drop strongli probabl somewher near natur_rate yet time see small increas unit cost product flat produc price_index fact last_month ppi zero seem littl unconvent untradit trade balanc curv get effect expect stretch think go behav unconvent governor johnson note moment ago fact taken billion fiscal_stimulu economi yet none trade deficit think lot peopl surpris ahead time thing coexist incident economi acceler growth_rate occur billion fiscal_stimulu fact come economi suggest possibl inflat behav untradit mayb will stretch acceler ask possibl occur sever possibl soft hate tri defend thing suspect undermeasur product increas better know talk mike_prell other think much higher_level mobil economi help deal imbal show rather suffer instanc instead accept higher wage cost boston move plant rural region england wage cost lower mobil lot banker busi texa go place bank system stronger mobil lot go use think era intens competit sever differ respect think industri wake begin compet governor angel spoke minut ago agre seriou competitor world economi year_ago seriou fierc think thing go tend imped advanc inflat spoke last_meet group seem basic run underli deflationari tendenc world economi will ground think quarrel project next_quarter piqu littl interest mayb part research director around other far better sort analysi discontinu go favor discontinu think open sort possibl alert meanwhil think definit readi deal inflationari_expect let geni bottl unnecessarili thank sir
390,1987-09-22,mr chairman_think short_run risk_inflat area expect anyth els maintain postur move think economi can handl slight tighten go million borrow impli favor million symmetr_languag
408,1987-09-22,somewhat
455,1987-09-22,sure
540,1987-11-03,briefli mr chairman_think thing record agre bob boykin other situat fragil particularli eleventh_district pretti close share bob heller view lot room optimist light end tunnel risk think primarili number ed boehn other shock key can avoid think thing will enorm optimist agre governor seger import mean corpor sens whatev can avoid recess nobodi interest time thing keep weather eye shock avoid recess extent can comment briefli corrigan concern level debt favorit theme think tie togeth morri comment pressur market share peopl feel creation debt peopl situat enorm pressur produc true foreign economi pressur maintain market share true domest peopl debt need keep job perhap good side debt creation lie fact put tremend pressur everybodi product thu term downward drag inflationari concern
