,Date,content
3229,1987-07-07," I would just like to go on record as saying that I prefer alternative II with the 5 to 8 percent range on M2 for basically many of the reasons that I've heard already expressed here; no others occur to me   Which we have no history of doing   It would seem to me that if we do announce a reduction to 4-1/2 percent, that would be immediately perceived as being the target that we are after   I thought Jerry's suggestion of 4 to 8 percent was an interesting alternative   I agree "
3256,1987-08-18," Thank you, Mr Chairman I'd like to spend just a second on a little different perspective There has been a very good staff forecast and a lot of very good comment on it But it might be worthwhile to put our attention just a little on whether or not there may be some very fundamental long-range changes running underneath the surface of the world economy and our economy If there's an analogy there, it may be what happens in the sea you have the Gulf stream running up the East Coast from south to north; the storms come and go and calms come and go; and the tide shifts back and forth with the Gulf stream still running north up the coast It kind of dominates everything in the long run I wonder if there's any of that effect going on in the world economy I see several things out there that could be fundamentally deflationary in the long term That's not to quarrel with the kind of forecast that we're seeing here over the forecast period But it seems to me that if we can avoid falling into the protectionist sinkhole--and maybe we won't--that there is a super abundance of pretty capable labor across the world that's waiting to produce, and it's currently grossly underemployed And there's capital that's mobile enough to get there to set up factories and economic capabilities, and do whatever is necessary to employ that still quite low-cost labor And we're going to be competing with that labor In a great many commodity areas there is a worldwide abundance of capacity Absent political events, there's plenty of energy for the next few years at least The world is coming into a surplus of farm commodity production on an aggregate basis; there are lots of metals, and so forth The third factor may be that it probably was inflationary to increase the enormous levels of international debt that we now are struggling with, but it probably is going to be deflationary to try and service that debt, now that we have it There's a lot of pressure on a lot of economies to produce in order to earn foreign exchange to try to service their debt So there are some things out there which seem to me to possibly be exerting a [unintelligible] deflationary effect And, while I see the pressures that we have over the forecast period, and I would not quarrel with those, I think that maybe these long-run deflationary effects under the surface might damp that, as they play through in the inflation numbers   I wouldn't be surprised   Thank you, Mr Chairman I would prefer staying with ""B"", largely for the reasons I outlined a few minutes ago I think that the underlying trends are going to tend to damp both the inflation that is showing up and also, perhaps, the robustness of the expansion that we're in However, I do recognize the short-term tendencies toward some inflationary movement here So, I would also like to see the language be asymmetric in the direction of tightening   I would stay with ""B"", the $500 million   The tilt is worth $25 to $50 million dollars "
3281,1987-09-22," Thank you, Mr Chairman It seems to me, as I've listened to the comments made around the table this morning, that there's a very, very strong centralizing character to the projections that have been made by everyone--the Greenbook and the District forecasts I think that they constitute, in their aggregate wisdom, a very responsible and good forecast; and I accept it I would like to make this comment the projections arise, as they must, from conventional economic analysis and historical experience; and I would like to suggest that maybe we should be a little open and alert to the possibility that there are some unconventional and untraditional things going on Standing back from the trees and looking at the forest, I observe that we are about to end the fifth year of what has been called a recovery I'm not sure how long you call something a recovery, but this one is going to be five years old in another couple of months; and I note that at the end of the fifth year the economy is, in fact, accelerating and inflation is declining by most measures Inflation is projected to increase for some very good reasons, but right now you've got an economy that is accelerating and inflation that is decreasing--which is pretty unconventional Industrial production is going up at an accelerating rate; unemployment has been dropping very strongly and is probably now somewhere near its natural rate And yet, at the same time, we are seeing very, very small increases in the unit costs of production and a very flat producer price index In fact, last month, the PPI was zero That seems to be a little unconventional and untraditional On the trade balance and the J curve, we are not getting the effects that would have been expected They are stretching out; we still think they are going to be there, but that has been behaving unconventionally Governor Johnson noted a few moments ago the fact that we have taken $60 billion of fiscal stimulus out of the economy, and yet none out of the trade deficit And I think a lot of people would have been surprised ahead of time that those two things could have coexisted Incidentally, as the economy is accelerating its growth rate, that is occurring while $60 billion of fiscal stimulus is, in fact, coming out of the economy  I would suggest the possibility that inflation may behave in an untraditional way also Maybe that also will stretch out and not accelerate I ask myself What possibility is there that could occur? I see several possibilities They are all soft, and I would hate to    9/22/87  have to try to defend any of them But, for one thing, I suspect that we may be undermeasuring our productivity increase We may be doing better than we know I've talked to Mike Prell and some others about this some I think we have a much higher level of mobility in this economy that is helping us deal with imbalances as they show up, rather than just suffer from them For instance, instead of just accepting higher wage costs in Boston, we are moving plants to the rural regions of New England where wage costs are lower That's mobility A lot of bankers who are out of business in Texas are going to places where the banking system is stronger That's mobility There's a lot of that going on and that didn't used to be there I think we may be in an era of very intense competition from several different respects For one, the US is back I think that our industry is waking up and beginning to compete Governor Angell spoke about that a few minutes ago and I agree with him Also, there are many more serious competitors in the world economy than just a few years ago They are serious and they are fierce, and I think that is one thing that is going to tend to impede the advance of inflation I spoke at the last meeting of this group about what seem to me to be basic long-running, underlying deflationary tendencies in the world economy I won't go back over that ground but I do think they are still there All this is to say that I would not quarrel with the projection that we have over the next five quarters, but I'd like to pique a little interest maybe--on the part of some of the research directors around here, and some others, who are far better at this sort of analysis than I am--to see whether or not there are some discontinuities going on that could be favorable discontinuities And, I think we should be open to those sorts of possibilities and alert to them Meanwhile, I think we definitely have to be ready to deal with these inflationary expectations and not let that genie out of the bottle unnecessarily Thank you, sir   Mr Chairman, I think that in the short run the risks that we have here in the inflation area are more expectations  -37-    9/22/87  than anything else, and we should maintain a posture against that, and move against that I think the economy can handle the slight tightening that going on to $600 million in borrowing would imply So I favor ""B"" with $600 million, and would like to see symmetrical language   Both ""somewhat"" and both ""would""   Sure "
3311,1987-11-03," Very briefly, Mr Chairman, I think most things have been said, but just to get on the record here While I agree with Bob Boykin and others that the situation is fragile, particularly in the Eleventh District, which I am still pretty close to, I share Bob Heller's view that there is a lot of room for being optimistic about a light at the end of the tunnel The risks here, I think, are two primarily Number one, as Ed Boehne and others have said, no more shocks is the key If we can avoid that, I think things will be enormously optimistic I also agree with Governor Seger that it is very important that we--and I mean we in the corporate sense--do whatever we can to avoid a recession, which is in nobody's interest at a time like this So, those are the two things that I would like to keep a weather eye to have no more shocks and avoid a recession to  -26-    11/3/87  the extent that we can do that I would like to comment briefly on Jerry Corrigan's concern about the high level of debt, which has been one of my favorite themes also I think that ties together with Frank Morris' comment about the pressure for market share that people feel The creation of all of this debt has put people in a situation where there is enormous pressure to produce; that's not only true for foreign economies and their pressure to maintain market share here but it is also true domestically People who are in debt need to keep their jobs So perhaps if there is a good side to all of this debt creation, it lies in the fact that it puts tremendous pressure on everybody to be productive and, thus, it should have a long-term downward drag on the inflationary concerns that we all have   Mr Chairman, I'm very much a mainstreamer here And I have nothing to add in the way of new reasons from what has been said around the table I would go with Variant I because I think we need to be seen as being on the accommodating and concerned side here, with asymmetric language in the direction of ease I favor alternative ""B"", and I would cut the announced funds rate range back to 4 to 8 percent, again to indicate tilting in the direction of ease   I like the Corrigan language   No, that's an important difference "
3335,1987-12-15," Mike, as you're well aware, there's a school of thought out there that the economy has been running on the strong growth of the aggregates of a year or a year and a half ago and that the economy is about to go downhill as a result of the much flatter growth of the aggregates in the last 9 or 10 months If that's not your expectation, then would you assess that expectation?   At what point in time would you start to give more weight to it? How long can the growth in the aggregates stay very modest without beginning to be a drag?   I haven't spoken yet   Well, I'm glad to follow your speech, Bob, because I think I'm coming from very much the same place I have some concern, too, because I'm getting somewhat different reports than I'm hearing around the table this morning In fact, the reports I'm hearing around the table this morning encourage me greatly from where I was when I came in here My suspicion is that we are getting this adjustment, as Governor Angell suggests; and I also suspect that it may be this very slow aggregate growth and reserve growth that Bob Heller was talking about that's doing it I'm not confident that retailers are doing that well The sales I hear about across the country--when they started and the extent of them--make me wonder how strong things are Indeed, there are a lot of reports coming in from associations that are not as strong as we are hearing here this morning Martha, you were quoting from I had a visit from an economic consultant who works with and this fellow is telling that the economy is going to fall off the cliff in the first quarter on account of the growth in the aggregates That may be part of what's going into their planning In short, Mr Chairman, to go back to your analogy about plumbing and Bob Black's comment on it, I wonder if the plumbing may not be beginning to work again In any event, I suspect it will work a while before we realize it is working Given that the retail economy is as important as it is to the overall picture, I think that we should be very alert to the state of the plumbing--what the aggregates are doing and what effects that may be having I would be very happy with the staff forecast for 1988, and I basically agree with it But that's where my concern about it would lie   Mr Chairman, I like Si Keehn's concept of moving in the right order from (1) to (3) to (4) I would go to (3) after the first of the year, moving toward (4) later on And I would encourage some sort of an announcement at a proper time I favor alternative ""B"" with probably a $300 million borrowing target and asymmetric language on the easing side I'd keep the funds rate about where it has been, calling that 6-3/4 percent, tending on the downside rather than the upside from there "
3354,1988-01-05," Mr Chairman, this is Mike Kelley I quite agree with the thrust of the statement, but I'd raise the question of whether using the phrase ""the passing of the year-end"" might not raise questions to persons in years down the line about where that's coming from I don't think there is any other clear reference to that point in the trail we are leaving   I may be wrong, but I don't remember a previous reference to the significance of the year-end We have discussed it, of course, but is it--   I guess in the full minutes there will be some--   Okay, if that's the case then "
3372,1988-02-09," Thank you, sir I share with many others the view that the staff forecast is a very good one Not only is the forecast good, but I think it's a very attractive path for the economy I like it a lot I'd like to just freeze dry it and put it on a shelf and consider it a record I hope it will happen very close to that way But, of course, what we are talking about is where the risks lie in [potential] deviations from the forecast, and I'm not as confident as some seem to be that they're on the high side I'm a little more concerned about the low side I had a list here I was going to run that was very similar to Governor Heller's and I won't repeat all of that I do think that we should keep in mind that the factors that are going to give us a stronger second half, if we get it, depend to a very substantial degree on interest rates at least as low as we have and probably lower And, if we don't get it, I'm not sure whether some of the other indicators that we see that could take us toward weakness won't gather strength I have concern about the weakness, the extended weakness, of the aggregates I think I was pretty comfortable, and maybe complacent about it, for a long time in view of the fact that they had run high in 1985 and 1986 and it seemed to me to be a reasonable catch-up period But now I'm beginning to get more concerned about it, particularly the weakness we had at the tail end of 1987 It came back, as everyone knows, in January Now, I may be premature on this, but I'm a little concerned that they're beginning to fall back again, and I would worry if that started to happen  Another key thing in keeping the economy going reasonably well and achieving this transition that we need to achieve is to keep this export growth going I think that's going to be harder to do as we go along We may have gotten through the easier part of it Unless I'm mistaken, it seems to me that this path would take us to what looks like a surplus, ex-oil, by the end of the forecasting period in 1989 Ted, you may want to correct me on that At any rate, we're going to be either in surplus, ex-oil, or close to it; and I'm not sure that the rest of the world is going to let us get there without some disruption along the way It's a little harder for me to see a lower dollar and that strong a real trade pattern I'm afraid that something's going to have to give there, and I'm not exactly sure what it's going to be But my concern is that it would be on the side of weakening the economy somewhat Given the straws in the wind and the difficulty of achieving that level of continued export growth over  -26-    2/9-10/88  many more quarters out in the future, I fear that the risks may indeed be somewhat more on the weak side rather than on the strong side   Thank you, Mr Chairman I was impressed with what Gary Stern said a while ago that whatever tilt we may make in the short run--and we'll discuss that a little later--it's important to keep our eye on inflation in the longer run And I think that that's the message we want to project That being the case, I can be very comfortable with alternative III I would like to see us maintain as much discipline as we can to hold our own feet to the fire and stay within whatever ranges we set Of course, we have to have the capability of going outside the ranges if that's appropriate  -40-    2/9-10/88  Part of my reasoning is that I would like to see us stay within whatever ranges we set and, if we're going to make a serious effort to do that, then I like the idea of being a little on the lower side with a 4-1/2 percent low instead of the 5 percent low  Apparently this argument about rebasing has been around for a while--it's new to me being new to this sort of consideration--but I must say that it makes a lot of sense to me I don't know what formal work has been done on that issue in years past, but I would urge that at least we review it and seriously consider it I'd be a little leery of doing it ad hoc right here at the table without some further consideration, but I am impressed with the force of that argument, and I'd like to see it pursued a little I would agree that we have fought the battle of getting away from trying to be forced into projecting M1; we don't have to do it and I think there is still so much variability there that we should not go back to doing it So, the sum of this is that I would go with alternative number III   The major problem is that the coffee hasn't arrived   May I come back, Don, just one second to Bob Black's question about just what alternative B means? On page 13 it does indeed say it's associated with borrowing of $250 million On page 14, in paragraph 16, it says that ""Alternative B contemplates a continuation of reserve conditions now expected to prevail after the recent slight easing"" Now, when we get over to [the directive] language, which we're going to look at in just a minute, it says that alternative B ""would maintain the existing degree of pressure on reserve positions"" And I guess I would like to know how that would be defined Would that be defined as the $250 million or would that be defined as what, in fact, has been happening here in recent days, more like $150 million to $200 million?   Then, if we were to say that we were going to maintain the existing degree of pressure, that wouldn't necessarily mean that we were going to, in fact, tighten from what we have been doing?   Mr Chairman, I'm also in the camp that feels that the risks this year are more on the soft side I agree with Governor Heller in that I don't think this second half is in the bag and I would be fearful of anything that looked like a tightening I'm really quite comfortable with the slight easing that has occurred so far At this meeting I would like to come out with a configuration that would essentially leave us there I'm not exactly sure what would accomplish that I think if we have $250 million as a borrowing target and take that seriously, it might result in what would appear to be a tightening, which I would not be comfortable with So, I think I favor a $150 million to $200 million borrowing target and alternative B with some asymmetric language on the easing side And for the longer term, I agree that we must maintain our posture against inflation For that reason, I would stay with alternative III in order to maintain that message in the market   I could read that as 4 to 8 percent, yes sir "
3396,1988-03-29," Mr Chairman, as the one at the table who has the least background in this, I've been enormously instructed by this whole exercise   I don't want to get too explicit about what the instruction was, but I have appreciated it I came to this discussion without any firm convictions one way or the other, so it has been very interesting for me to listen to the arguments on both sides Where I'm coming down is to stay where we are, largely on the arguments that surround the flexibility that this procedure gives us Also, I like the way that market forces have at least an opportunity to show through on this procedure more clearly than they would if we went to the other route So, I'm comfortable with staying where we are   You are, but go ahead [Laughter]   Mr Chairman, there seems to be heavy sentiment around the table that the risks are increasing on the upside and I share that But I feel constrained to make a couple of points in the other direction I think we should keep in mind, going back to what Frank said earlier this morning, that GNP forecasts are subject to a plus or minus 1-1/2 percentage point error He was concerned about the plus 1-1/2, but let's not completely forget the fact that the minus 1-1/2 is a potential also And there are a number of things out there that could point toward weakness some of the rates of increase are slowing down; industrial production and retail sales are not exciting; you have potentially serious financial conditions in the Southwest I'm not 100 percent convinced that we are out of the woods with regard to the lagged effects of the slow growth of the monetary aggregates in 1987 Capital expenditures look like they are going to be up, but new orders are down right now So, there is some cause to keep our eyes open, looking in the rear view mirror if you will, looking at the downside  In the area of inflation, if I may quote you from this morning, Mr Chairman, let's stay with the numbers Bob Heller was looking at how inflation has been flowing in the last few months If you look at the PPI particularly, but also the CPI, on a month-to- month basis against the same month a year ago, both of the indexes have fallen every month for the last six months--and that includes February, the latest figures So, while inflation certainly has the potential to rise--I see that the same as everybody else here--it absolutely is not here yet And I don't think it is unreasonable to expect, particularly with a 48 percent fourth-quarter GNP, that if inflation were going to show up, it would have begun to do so by now So that makes me wonder if we aren't looking at some things that could be fundamentally different in that area than we're used to I don't know that I believe that, or that it is true, but one begins to wonder In short, Mr Chairman, I think there is concern about the possible downside risks and perhaps some time to take continuing readings on the inflation side; so, I would be somewhat slow to jump on the assumption that things are going to get away from us on the upside "
3419,1988-05-17," Mr Chairman, when Bob Forrestal spoke a few minutes ago I wish that I had been the next one on the list and I could have simply said ""me too"" I think that it's a time to wait, given the evidence to date and the two recent moves, which I agree were not insignificant I would be in favor of ""B"" and keeping the same borrowing for now, with asymmetrical language But, as Bob    5/17/88  suggested, I'd be comfortable with going an additional $100 million now with symmetrical language   Six; and six are voters   Just say the intermeeting period   It means you recognize what you saw   Tom, let me ask you to comment on something a bit more mundane and workaday I think how we employ a device such as this has a lot to do with whether or not it's useful in the first place And I wonder how we could reliably use it without so diluting it that it becomes punchless As I look back four quarters, and also include the current quarter, I notice that the first month in four out of the five quarters grossly exceeds the parameters on the upside Then are those--   Well, I have a chart here that the Board's staff puts out on annualized growth rates on a month-by-month basis; it  -30-    5/17/88  doesn't go back very far but it does go back a year; and it includes April, so I'm taking the liberty of including this quarter For some reason--and maybe there is a reason--[monetary growth in] the first month of each quarter, four out of the five times, is way over the parameter On both sides of the first months, there are much lower figures And I ask myself what we would do if we [were operating under] your proposal It says that no quarter would be permitted either to exceed the upper limit or fall below the lower limit Well, in four of the last five quarters--taking the liberty of including this one--you have a huge number in the first month, which kind of comes out of the blue, because it follows two much lower months, and then in turn, is followed by two much lower months And I ask myself what would we be liable to do if we sat down at this table when we just got a brand new figure that was way over [the upper limit] in the light of the pattern we have seen here in the last year or so How could we protect ourselves against that phenomenon?   Yes   If you look at the first month, it's like the kind of thing that Peter deals with every day, with regard to the maintenance period For instance, let's take October the October number was 11 percent on an annualized basis It was followed by November at 69 percent and December at 31 percent; it averages out fine But if we had sat down here and looked at that 11 percent in October we might have been moved to do something precipitous   April was 123 percent   That wasn't meant as a criticism, just as a problem you have to work through if it's going to be useful "
3442,1988-06-29," Manley, excuse me for interrupting you, but went further than that He said there will be no inflation  pressures generated by wage pressures He made that flat statement   That's a fast turnaround in two weeks   Mr Chairman, let me, if I may for just a moment, bring a slightly different point of view to this thing My main concern is that we need to have a good economy in 1989 and forward from there I'm asking myself what is liable to be the economic forecast forward from the second quarter of next year And the reason for this is I think it's very important that the next President, whoever he is [unintelligible]--  [Secretary's note The transcript of Mr Kelley's remarks ends in mid-sentence; in addition, there is no record of Ms Seger's comments on the economy However, a general statement of their views is contained in their dissents from the policy decision at this meeting Those dissents were included in the policy record of the meeting that was published several days after the following meeting The transcript resumes with Mr Kohn's report on the long-run policy alternatives]   Well, I will ""ditto"" Governor Heller exactly I would reaffirm '88 and go for II at this time for '89, for the reasons he just articulated   I'm pretty much where Gary Stern is I would prefer not to make a further move at this point and to have asymmetric language But I'm comfortable with your suggestion and would be happy to support it   That's right   I'd like to associate myself with that   I have a comment before we vote, if I may, for clarification   Before we vote-- As Norm just read it, the third line there would read that we were increasing pressure, which would be associated with alternative ""C"" The $50 million estimate falls far short, in my view, of alternative ""C"" And I would not use that word   I would use maintain as being better associated with a $50 million increase   I would start having problems with using the language connected with alternative ""C"" and also using asymmetric language "
