,Date,content
36,1976-04-20,"  Moving back to the acceptances, Peter, were these reductions  accomplished altogether in maturities?     Mr Chairman, for a slightly different reason, I think I would prefer to  see the downside reduced also  I have not reasoned out this closing of the spread, but I am  concerned about the difficult price signals that continue to emanate  And I guess if we really are  meaningful in trying to accomplish some price stability, I’d like to see us gradually move in that     4/20/76 - 24 -           direction  For that reason, I think I would like to see the 4 to 7 range prevail, with the idea of  maybe truly reflecting that, over that period, we are trying to accomplish some more price  stability  The other ranges, I think, would be satisfactory to me as you suggested     Mr Chairman, what latitude does that leave us, then, for any possible  action today that would  continue to be slightly tightening?     Mr Chairman, if our visits with some key businessmen the last couple of  weeks in New Orleans and Jacksonville--areas that we have generally regarded as     4/20/76 - 41 -           sluggish--[give us] a reasonable reading, than we have some concern that recovery is so much  stronger than the numbers would seem to indicate  Sure, these people are talking about the  difficulty with apartments, condominiums, office buildings, even shipyards and airplane  building, and yes, even cigars, but by and large they are exuding an awful lot of optimism   Apparently, within the confines of their own business, [they] are making decisions on that basis  [while] also accepting that unemployment is still a little high  They are not reading this as taking  a significant social toll because of the opportunities to provide for that     Against this, I think we feel that inflation could break out a good deal sooner than would  appear [to be the case now]  The recent price increases of steel and copper and gasoline, [even  though] supplies are assumed to be reasonable, has heightened the concern for price adjustment   So, for this reasoning, I would like to associate myself with alternative B and the number you  suggested  But definitely for 4-1/2 to 5-1/2, maybe for the reasons Mr Guffey has suggested,  and to move to the midpoint of that before our next meeting  "
62,1976-05-18,"  Well, I come out pretty close to Governor Jackson, but maybe for  slightly different reasons  I’ve felt that since the first of the year it looks to me that M1 and M2  have exceeded the upper bounds of our long-run targets, and I think it is not an exaggeration to  suggest that the banks and thrift institutions in much of our area are almost awash with liquidity   South Florida for instance--the banks and savings and loan associations have reduced the rate on  their certificates, and actually the thrift institutions are turning away funds in excess of $10,000  for any account already existing or any new account  So what we see at least in that area is that  capacity is available to finance expansion     So, for logic alone, it seems that we at least ought to limit our short-term maximum to the  top of the long-term maximum that you have suggested  So I guess I would want to reduce even  more than 7-1/2, to the 7 number relating to logic  I guess the M2 does not make a great deal of  difference  But then for the exact same reasons Governor Jackson suggested, I’d like to see the 5  to 6 percent range [for the federal funds rate], with the idea that we’re going to center that maybe  slightly above the current rate  I guess this is not the point, but I would also like to inject that I  hope we would be prepared to move promptly even with the discount rate if the [federal] funds  [rate] moves above the current level     Mr Chairman, in that context, then, since we apparently really are  [unintelligible], I wonder in the wording if we could add just one word in the fourth line, “money  market conditions consistent with more moderate growth in monetary aggregates”  "
113,1976-07-19,"  Mr Chairman, maybe I’m looking through a different set of glasses, but  I’d like to ask, along the same line, just how confident Mr Gramley feels about these  construction projections  In our own case, you ask for specific examples, here are a couple  A  major utility that shelved a nuclear construction project three years ago has recently announced  the resumption of it at a much higher cost of construction    And in the last couple of weeks, visiting with two of the larger builders in our area--one  specializing in manufacturing plant construction and the other in industrial parks--the industrial  builder said that within the last two months they had negotiated contracts for more construction  work than they had in any previous two-year period in their entire existence  The other indicated  that they were no longer pricing bids reasonably, that they were adding  [to their bids] simply to  miss the new contracts because they could not carry them out if they got them     So maybe these instances are entirely unique, but at least in visiting with those [businesses,  we see] there is construction under way in our area, and I am just wondering how confident you  feel about these construction projection figures     7/19-20/76 - 31 -     Yes     No, one is in industrial parks, but they are major industrial parks     Rent controls in Atlanta, is that upon supply?     No, none at all     Mr Chairman, I guess [I’m] biased towards an anticipation of a stronger  renewed expansion than would appear in some quarters  Associated with that is my continuing  anxiety about general price stability and the concern for the difficulty that we could experience  later this year with a necessity for a larger degree of firming if we fail to take some modest move  now  I could accept these ranges you suggest without difficulty  If I had my druthers, though, I  think I would prefer a half point reduction in [the lower limits of] M1 and M2 [as well as on the  topside], resulting in ranges of 4 to 7 and 7 to 9-1/2  "
140,1976-08-17,"  Mr Chairman, maybe mine is an extension of Mr Winn’s interest, but  maybe a slightly different concern with compensation and with the pressures he outlines for price  moves  I wonder, though, on the other side, if I read the Greenbook numbers correctly, they’re  projecting a rise in compensation of about 8 percent over the next half year and  7-1/2 percent by  the end of 1977  Just wondering, with wage settlements and the experience in prices Mr Winn  relates to, whether these modest numbers may very well be a reflection or feeling that inflation is  not going to be a tremendous factor through 1977  You can expect to see some reduction     Mr Chairman, I’d like to pick up at the same spot and suggest that I  very much hope that the seasonal opportunities will be utilized to accomplish some reduction of  reserve requirements for the reasons that were already stated  I’m hopeful that this would be a  good opportunity to capitalize on that     For the other, [unintelligible] longer-run expectations remain good  We have not seen a  lack of funds [that would] threaten  the economic upswing  The liquidity positions of both the  lenders and the borrowers remain [unintelligible], certainly at this moment--an easier monetary  policy would change the attitudes that are prevailing  So we would certainly be inclined to  associate ourselves with the suggestions of alternative B  "
161,1976-09-21,"  Mr Chairman, I’m concerned how staunchly Mr Zeisel [would] support  the prices [projection]--5 to 5-1/2 [unintelligible] I guess is limited only by food and energy  If  these wage rates should start picking up and if these industrial price hikes stand, I wonder how  strongly he feels that [unintelligible] these numbers look pretty good at 5 to 5-1/2       Mr Chairman, I think we accept the feeling that there may very well be  a temporary lull--but temporary, really  And we share many of the optimistic observations you  named earlier  We would be somewhat reluctant to engage in any obvious easing at this  particular time, fearful that, with everything else, the market could misinterpret [it]--that we were  unduly concerned about the present state and were moving at this juncture to accommodate that,     9/21/76 - 23 -    [which is] more than we really feel  With no apparent end to the federal deficit--and, like you,  my question earlier certainly indicated that I have some difficulty with prices over the next five  to six quarters with over a 5 to 5-1/2 percent increase     I guess that if we could maintain something of a steady posture, I have the feeling that  businessmen themselves would be encouraged to make some forward commitment  Though I,  too, would favor [remaining] very close to exactly where we are at the present time, I do feel  some concern, that if we stay at this specific spot very long, particularly with interest rates and  federal funds rates, that when we do move, there is going to be an overreactive reading of our  move at that time  So I would hope that we maintain a steady posture but not unreasonably long     I guess I should not pass this way without hoping that, some time--and not too far away--it  would be convenient to consider some adjustment in reserve requirements  Announcing maybe  that this is not intended as an easing move but with idea of encouraging bankers to not give  difficult lending terms and to consider some [unintelligible] more aggressive practices and, not  the least, to reduce inequities with nonmember banks  "
183,1976-10-19,"  Mr Sternlight, what was the general market reaction to your  determination to try for no option for early redemption of [unintelligible]     Mr Chairman, I believe my question was answered in the response to  President MacLaury with regard to the possible injection of additional expenditures for the  shortfall and [unintelligible], and I believe Mr Gramley suggested that the projections do  indicate some slight [unintelligible], but that was my problem     10/19/76 - 13 -     Mr Chairman, reluctantly, I guess, I’m prepared to accept some small  monetary ease  I think I share the expression of Mr Gramley this morning that I honestly do not  believe that monetary policy action at this point is going to accomplish really what we would like  to see  From our vantage point, I have not recognized lack of liquidity as a major reason that  lenders are still being reluctant partners  I would obviously prefer to see some temporary fiscal  stimulus, but I don’t see that forthcoming, so the next alternative, I guess, is to accept almost  exactly--or exactly--the specifications you suggested  I think that’s about as good as we can  accomplish at the moment         Mr Chairman, like Governor Wallich, I too am in total agreement with  the long-term policy of gradually reducing our longer-range targets, particularly in recognition of  our reduced inflation  I therefore would like very much to see us inch down to the 4-1/2 to 6-1/2  [range for M1,] particularly since we have not really been using that range, as you’ve pointed  out  In fact, continued low interest rates do make the savings and time deposits attractive, and  maybe it would be technically fair--and as was suggested earlier, maybe it would have some  announcement effect--if we rightfully eased [M2] back to 8 to 10  I have no trouble with what  you pointed out, but if I had a particular preference, I guess I would prefer to have 4-1/2 to 6-1/2  [for M1] and 8 to 10 on M2    "
205,1976-11-08,"  Good morning, Mr Chairman and gentlemen  I too am concerned about  the appearance of a possibly weaker economic situation from three months ago and maybe even  the potential for some adverse publicity that we would encounter from lowering our long-range  target  I find myself more impressed by our need not to compromise our responsibilities  In the  last week or ten days, we have moved around the District a good deal, discussing with  businessmen, and I have not detected in any area feelings that any of these men are suggesting  that there’s a lack of funds available, that the lack of these funds is in any way limiting their  plans  There seems to be ample liquidity     The other thing though that does appear to be concerning businessmen in our area is still  the specter of inflation  And maybe, certainly in recent days, there seems to be almost a phobia  that we are destined to have [price] controls  The limit of those controls is the only thing that  seems to be yet unresolved  Well, then, I feel we have to move to think about our part in the  contribution to the economy, and I think it [was] already alluded to that we’d be better served to  remain consistent in our continuing  a gradual reduction of our long-range targets     I think that Federal Reserve policy is likely to be rather obvious and is rather obvious over  the near term  I sense that the business community is rather eager for us to reassure them with  some contributions to stability  It is against that background, Mr Chairman, that I would like to  see us continue our plan of reducing, gradually, the upper range  And I would like to see M1  move to 4-1/2 to 6-1/2  I expressed before, and say again, because of the usual quirks of the time  deposits [unintelligible], it’s not that bad on M2  I’m perfectly willing to accept some gradual  increase there  But more importantly, today, I’d like to see us continue our practice of gradually  moving down the M1 range to [in this case] 4-1/2 to 6-1/2     11/8/76 - 10 -             Mr Chairman, I could accept, I guess, a very, very modest increase in  these, but I’m much more impressed that any such movement now would thoroughly confuse the  market  I really believe it will be difficult for us to pass that message along  I prefer simply at  this moment to reduce the upper range of M1  "
222,1976-11-16,"  Any magic in those numbers that they arrived at?     Won’t you be having the chairmen and the deputy chairmen [of the  Reserve Bank boards] here in a couple of weeks?  Would you feel at liberty to discuss this with  them at that time?     Mr Chairman, I think [there is] not much more to be added because I’m  prepared to accept almost literally just what you concluded  I think there is adequate liquidity, I  see no indication of any lack of liquidity in the system, so I do not foresee the need for easing for  that reason  I remain considerably concerned, as do our directors, about inflationary  expectations  I would also hope that consideration of the discount rate could be favorable,  maybe of 1/4 point, and I say that mainly because of the announcement effect that might have  with the market  Obviously, it isn’t being used a great deal, but I think it might have some  favorable influence from the announcement     As for the numbers you assigned to alternative B, I am prepared to accept all of them  I  guess I feel very strongly, though, that if we could, I would hope we could operate almost  [always] in the range of 4-3/4 to 5 percent  During this period, I would be reluctant to see the  rate come below [4]-3/4 and I most assuredly would not like to see the rate going up  I am  prepared to accept the numbers you assigned there  I would hope actually it would be somewhat  more constrained  "
248,1976-12-20,"  That was exactly the thrust of my question, Mr Chairman  Is any  urgency attached to making a decision this afternoon?  Could we delay and await some further  action before making this final decision?     12/20-21/76 - 6 -           Mr Chairman, I wonder if I could get just a little amplification of what  is intended at the bottom of page 3, “suggest in handling these transaction and no attempt shall  be made to establish rates that appear to be out of line with underlying market forces”  I wonder  if we could have just a little further indication of what--     12/20-21/76 - 8 -           The very last phrase at the bottom of page 3   SPEAKER(?)  The date of the document   SPEAKER(?)  What?   SPEAKER(?)  The date of that document?     Revised Authorization     That’s right, very good  Question withdrawn     Mr Chairman--well, I guess the fiscal stimulus you’ve been toying with  is at the level of $15 billion     You suggested that the lower OPEC prices produced a slightly higher  GNP next year because of the lower rate  Have you toyed with any alternatives with less than  $15 billion, [as] some of the new Administration people seem to say that they are going to wait     12/20-21/76 - 41 -         until somewhat later and observe  And the chances this might not be the figure, it might be  lower than that--have you toyed with any of that?     Mr Chairman, I am encouraged by the timely movement of the interest  rates  The fact that M1 has been growing generally within the long-term guidelines   [Unintelligible] of course pointed out here, late December, early January often finds us with a  volatile money supply, and this brings me to what you suggested yesterday, that there are times  for pause  And I very much think that this is one of those  With all of the action, it seems that if  we were to provide any additional stimulus at this time, we might be pressing unduly     I also have just one more observation  And that is, there seems to be almost unanimous  acceptance that there will be a rather generous fiscal stimulus  Of course, the only thing  unresolved is the magnitude  If, indeed, that magnitude should not be [forthcoming] or [it acts]  in a different manner, it’s generally assumed we could possibly see some erosion of confidence   I’d hate to see that happen, and I think we could judge that better a month from now  I would be  happy to see us stay very much the way we are, with the money market proposal related to  alternative B--exactly where we are  "
276,1977-01-17,"  Mr Chairman, I don’t know about the numbers, but I think the  discussion with our own directors and the consensus [among] businessmen comes out pretty  close to that expressed by Governor Lilly, and it’s not optimistic  I think also that they have a  concern that the cost may be indirectly associated with unusual weather conditions [and will]  provide an opportunity to pass through energy costs and labor costs  They’re enormously  concerned about the prices and the potential for inflation  I think, though, that the expectation of     1/17-18/77 - 31 -           our people is that prices are sure to escalate, but that the mood is going to continue [being] very  good     Now, I wonder if the staff has given some thought to the possibility that some capital  spending has been delayed, waiting for the determination of possible tax advantages this year,  and it may be we have some [spending] coming on stream that was waiting for the possibility of  taking tax advantages     Mr Chairman, I particularly appreciate your willingness early to give  some evaluation of your reading of the possibility of thwarting fiscal policy by any action of  ours  Candidly, I would feel somewhat reluctant to raise the M1 ranges, but I continue to be, as  expressed earlier, very much attentive to inflationary possibilities--they continue to be  unsatisfactory--and expectations, from my vantage point, are even more disturbing   Nevertheless, I think we need to demonstrate our concern for that expectation, and I am  impressed with the prospect for maintaining a gradual lowering of the long-term target  So with  that I think I would be very happy with exactly the prescription you have suggested     Mr Chairman, I believe Governor Partee has phrased my honest feeling  about this  If had my druthers, I [would] really prefer to see the funds rate with a somewhat  larger spread  I recognize the problem that we face and am prepared to accept this narrower  4-1/2 to 5, but that doesn’t mean I am overwhelmingly happy about it     In M2, I would like to hope that we could not exceed the long-run targets, or maybe that’s  too much to expect at this moment, but I would like to see us shave at least a half point, to 7-1/2  to 11 if we could; but within that, the alternative B seems to be the most acceptable  "
