,Date,content
37,1987-08-18," [Statement--see Appendix]   Well, our best guess was that under alternative ""B"" we'd have M2 growth of 5 percent and M3 growth of 5-1/2 percent; but, as you well know, there is a wide range of error around that As I said in my briefing and the Bluebook, that presumes that money and income grow a little more closely together than they have over the last couple of quarters That could fall short; I can't rule out that possibility The question is whether you would want to react; but with the aggregates after the ""as well as"" clause at the end of the sentence, I'm not sure how strong any reaction would be, in any case   Well, it's several months, clearly; as I think I indicated, whatever we do now will have its principal impact in the fourth quarter But it is also true that this goes the other way a little that is, whether incoming data that suggested the aggregates were running outside a range of 5 to 6 percent or 4 to 6 percent should have any influence on a proposal that Mr Sternlight might make on the borrowing objective is not quite the same as saying you're actually going to have the effect You can react and then assume that your effect would be somewhere down the road   Excuse me, Mr Chairman, I thought I heard the Committee express the view that they wanted to retain the ""as well as"" in front of the aggregates Normand, just read-- "
91,1987-09-22," As you saw in the Bluebook, we are projecting that the rise in interest rates, which is not all that large but is significant, would damp growth in M2 over coming months   If you abstract from September and you just have the fourth quarter Now we have this August-to-December target And then for next year, under the assumption of further moderate increases in interest rates, we would have M2 growth in the 4-1/2 to 5 percent kind of range That implies--   Well, first of all, the rate of increase in interest rates may not be quite as great And there are some things that seem to have been depressing M2 growth that we really couldn't account for this year and we are assuming that they won't be quite as active next year For example, the IRAs won't be around, and that might boost M2 growth a little; so, we have this assumed pickup in growth next year If that came about, with our GNP projection that would imply about a 2 percent increase in velocity But, remember, we're damping domestic demand here; we have slower domestic demand than we have GNP, so if you look at velocity from that perspective, it wouldn't be quite as big an increase That's not all that large an increase-- "
92,1987-09-22," Thank you, Mr Chairman As it turns out, and with no coordination ahead of time, I swear, the initial part of my briefing will deal with the question you asked and the answer will have no more precision than any [unintelligible] And then I want to go on and talk about perhaps some of the implications of any increase in the interest rates [Statement--see Appendix]   My comment, and it's my fault for putting it in the Bluebook, is that the 4-1/2 percent for M2 sounds excessively precise to me, given my knowledge of how these forecasts are put together I shouldn't have put it in there, I guess, and I wonder whether--   Yes, I wonder whether growth rates of from 4 to 6 percent or something like that wouldn't--   Yes, wouldn't that capture the spirit? Well, 4 to 6 percent would encourage--   Yes, it's 6 percent for M3 and 4-1/2 percent for M2   No I was actually thinking of 4 to 6, going to a range; but around 4, around 6 would be--   Yes   That's correct   Governor Angell's suggestion would be fine   Around 4 percent and around 6 percent, respectively   In the past when we have done this, we have explained it as a technical adjustment to keep the actual rates more closely centered around there   Yes, there would be some explanatory sentence "
148,1987-11-03," It was down 60 points at five after ten and bill rates were going back down again   It was essentially unchanged, but it had been down sharply earlier and has rallied   Seven percent or a little below I guess the equations that we estimated might say a bit below 7 percent--perhaps 6-3/4 or 6-7/8 percent "
149,1987-11-03," [Statement--see Appendix]   We would have growth picking up in the first couple of quarters of next year, primarily because of the effects of the lower interest rates in the fourth quarter For example, we have M2 picking up a little to a range of 6 to 7 percent in the first half of next year rather than the 6 percent we have this year We have M1  -27-    11/3/87  slowing down a little, but that's partly because demand deposits push up the fourth quarter Basically, we have these offsetting effects we have interest rates declining and that tends to push up growth, especially as the previous increase in interest rates wears off toward the end of this quarter and the beginning of next quarter; but, of course, we have lower income growth and reduced wealth, and that tends to keep monetary growth down We see some stronger growth--   On M1?   It's partly the monthly averaging results of the gyrations in demand deposits   In fact, we had demand deposits not declining until another week or two; they declined earlier than we were expecting, so I'd expect a lower November and then a little stronger growth rate in December It wouldn't affect the September-to-December path   I'm not sure you can But my thinking on this is that the important variable here, as to whether or not that happens or the degree to which that happens, is the way people are assessing the economy Think back a year or a year and a half ago, to 1986, when we had easier monetary policy, dollar declines, and the bond market declining for the first part of the year Now, oil prices and inflation expectations were important there; [they were expected] to be stable through the rest of the year even as the dollar continued to decline But that was in an environment in which inflation wasn't expected to pick up incoming data were suggesting very little inflation and the economy was widely viewed at that time as being quite weak So, I think if a dollar decline occurred in an environment in which people thought that the economy was weak or that the chance of a pickup in inflation wasn't large, then the bond market effect would be muted; but if the economy didn't look [weak], as a response to the stock market, for example, and the dollar started dropping rapidly, we could be back where we were this summer   We, of course, wrote ""B"" as $450 million because that's what we have been writing into the reserve path I think you can make an argument, and Peter perhaps will want to comment on this, that we really have been operating a bit easier than a $450 million borrowing level might suggest If you wanted to be certain, or as certain as you can be on this sort of thing, that the center of gravity for the funds rate really was below 7 percent and that it's more likely to average in the 6-3/4 to 6-7/8 percent area and touch 7 percent only seldomly, then a $400 million borrowing target might give you a little more assurance in that regard than a $450 million borrowing target And maybe that is a little more consistent with what we have actually been doing Peter, do you have more?    11/3/87   But not in the one that will be released Friday; you're right about that   Right, the one that will be released Friday leads up to the last meeting   It does have a paragraph in there, however, noting that the Committee has been consulting daily over this period; so it says that the Committee has been meeting and reviewing operations  -35-    11/3/87   Right; and that would be covered in the policy record associated with this meeting   In the one that comes out Friday, yes   A possibility, if the members would want it, would be to expand the paragraph that has been added [to the policy record that comes out Friday] that mentions the consultations We could reference something about some easing in policy to go with that language   That would be released this Friday   Well--   No, that's why I had in that reference to somewhat greater than expected If you keep reading, it says on lines 100 and 101 ""but more rapid growth is possible should preferences for liquidity be particularly strong"" That was exactly the point I was making You may not need the sentence on ""subject to unusual uncertainty"" if you have those sentences that follow "
201,1988-03-29," Thank you, Mr Chairman I have only a little to add to the memo [Statement--see Appendix The full memorandum, entitled ""Issues in the Implementation of Open Market Operations"" also is attached]   I think it was the case--wasn't it, Peter--that the Committee would come into a meeting and would set a fairly narrow band for the funds rate And then there was a great deal of dependence on the staff projections for the aggregates--the funds rate could creep in that band if the projections for the aggregates for the next two or three months drifted away from what was desired But it was a very lagged process and the projections weren't always right I think that's President Parry's point It took a long time, given the process, to have adjustments made--with the combination of the narrow band for the funds rate and the projections--  -14-    3/29/88   We have done it both ways, Mr Chairman Telephone consultations without votes sometimes are reported and sometimes are not reported I think more often reported than not   Yes   Every change in the borrowing assumption   Well, the assumption used in constructing the reserve paths Sometimes these changes were made at Committee meetings; sometimes they were made between Committee meetings   They have been made without a formal Committee vote That's not for all of them but--   It has happened on occasion; and that's the flexibility that we're discussing   Well, I think Peter and I had remembered that these are the kinds of changes that had been made between Committee meetings Let me just add a clarification in response to Governor Heller There are sentences in the directive which allow these changes to be made; and that was the direction of the Committee   That's correct "
202,1988-03-29," [Statement--see Appendix]   Not to my knowledge  -52-    3/29/88   Yes I think the obvious answer was just given, which was to reduce the discount rate   Although there's a footnote in the Bluebook that we did run for fairly long periods of three or four or five months in late 1982 and early 1983 with funds right around the discount rate We have run also for a shorter period of time with the funds rate below the discount rate--in the credit control period in the spring of 1980, for example But you'd probably have to pay a lot more attention to what the funds rate was doing; you couldn't do it off of the borrowing function once we got down to that--   It has to be working off the excess reserve part of the demands for reserves I think it would be very sensitive to small misses in factor projections and things like that  -53-    3/29/88   I guess ordinarily, President Keehn, my answer would be no Almost all of our statistical econometric work suggests that those seasonal movements in borrowing don't get reflected in the funds rate But I would say that at these levels of borrowing, where we're down close to frictional levels and seasonal is such a high proportion on the adjustment side, I would have more questions I think it could well be that if seasonal borrowings were to rise, even at $200 million, this would have some effect on the funds rate And that's one reason why I suggested that if that seemed to be happening that would be one reason for Peter to make non-policy adjustments in the borrowing assumption over the intermeeting period if the Committee wanted to allow it "
234,1988-05-17," Or do you want me to? Sometimes I can't read my writing either By the way, Mr Chairman, I think it could be handled, if you wanted to, by just having the maintain and then the tilt in the sentence But it would be understood, and made clear in the policy record, that the Committee expected to move But if you wanted to state something more clearly in the operational paragraph, my suggestion is as follows Taking account of conditions in financial markets, the strength of the business expansion, indications of inflationary pressures, developments in foreign exchange markets, as well as the behavior of the monetary aggregates, the Committee expected that a slight increase in the degree of pressure on reserve positions would be appropriate in the weeks ahead Depending on  -11-    5/17/88  further developments in these factors, somewhat greater reserve restraint would or slightly lesser reserve restraint might--and then you'd have to be clear with the end of that tilt--be acceptable later in the intermeeting period   So, the first sentence has maintain in it; and then, taking out the sentence in brackets, the second sentence says taking account of all those things the Committee expects that a slight increase in the degree of pressure on reserve positions will be appropriate in the weeks ahead So, I presume that that means if those things don't come in the way we expect, it wouldn't be [appropriate]   Well, no; it's a statement actually stronger than that It says we expect that a firmer--   Right; it says ""in the implementation of policy for the immediate future the Committee seeks to maintain the degree of pressure on reserve positions""   Initially, okay And then, taking account of all these things, the Committee expects that a slight increase in the degree of pressure on reserve positions will be appropriate in the weeks ahead   Would be, okay I had would originally   And then I have depending on further developments in these factors--[that's not] the right word, I'll think of another word--somewhat greater reserve restraint would or slightly lesser reserve restraint might also be acceptable later in the intermeeting period  also?  A strong supposition of a move unless things were surprising, and then the possibility of [a further move], but there's a tilt in the possibility   Thereafter Mike Prell just suggested--   Yes, I said later in the intermeeting period   May to July?   Well, generally we focus on a quarter at a time We'll be meeting again at the end of June, so I'm not clear why you'd want to specify--   The July growth rate won't--   But there's very little information that will come in between now and then that will tell us very much about July's movement   Do you mean April to July?   The contingency came after ""the Committee""; there was an ""initially"" in the first sentence, Bob, and then--   Yes   Governor Johnson, there is a contingency toward the end; it relates to the remainder of the intermeeting period   Thank you, Mr Chairman [Statement--see Appendix]   If [there had been] some reaction in 1981, you might not have had the reaction--   Yes, but we can't play with what's--   You have to go over a long period of time and you still get zero but--   Over a period of eight years it has been substantial--   Except that our equations on M2 aren't doing that badly once we take into account the opportunity cost changes   Any and all inputs from Reserve Banks--   No, no   The demand equation, once it takes account of the interest rate changes, hasn't been that far off over the last several years But the velocity changes--   That's the problem, which is what we said-- "
275,1988-08-16," I agree with what Joan said--there can be no more than a 7-day lag before they get our balance sheet I would just add that I think the only time that it was--   But most of the time those transactions are quite small, particularly taking account of what's done for our own account It really is lost in the noise relative to the Treasury balance, float, and all those other things   There was one period here, in which we did the off-market transactions with that had a much larger effect and caused us, I think, to have a slightly different view of our own reserve needs than the market did But that wasn't the usual kind of intervention   And that only lasted three days in terms of--   It's not reported per se, but it's in 'Other Assets'   I think right before we came in, it had come back a little bit from the low point So it was probably down about 1/2 point or less   President Hoskins, I will be discussing that briefly in my briefing as well "
276,1988-08-16," Thank you, Mr Chairman You'll need the coffee It turns out my comments overlap substantially the subjects Governor Angell covered, post-drought anyhow Wayne, you and I will have to think about the implications of that some time together [Statement-- see Appendix]   Oh, I thought the questions were going to be for Governor Angell   Okay   Actually, I'll give you our point estimates and you can put your own confidence intervals around them Mine would be very wide; I have 3-3/4 percent for the fourth quarter of 1988 and 3- 1/2 percent for the first quarter of 1989   No I don't have one, but--   Oh, I would say plus or minus 1-1/2 percentage points   I just made that up   The basic point, as I see it, is that the rise in interest rates that we already have will be damping M2 growth relative    8/16/88  to its rates so far this year So, I think we'll be seeing things at least below 6 percent, or under 5 percent Now, I don't know how far under it will be--3-1/2 or 4 percent is our basic forecast--but I think the message is pretty clear   I think that's true in a general sense If you look at, say, futures market rates and things like that, bill rates are a little higher by the end of the year than they are now, but not by a lot And I guess I think generally they expect us to firm I'm not sure they'd expect a full half percentage point The Bluebook in part was addressing that point--another half percentage point on the funds rate a week after the half percentage point increase in the discount rate I think you're right in the sense that the market is anticipating some gradual firming of the funds rate over the remainder of the year You can see that in these surveys of market expectations But I don't think they'd be anticipating something of this magnitude this soon; that's all I meant to say   No, you don't In fact, the bill rate looks a little low relative to the funds rate I would associate that a little bit with some of the uncertainties associated with a discount rate increase, a little flight to liquidity--not much, but a little But I think if you do look at the--   Not in ""C"", no But at least the money market services surveys that we get do show some gradual firming seen by--   If the forecasters have the investment funds, they ought to be consistent with one another  SPEAKER(?) That's right    8/16/88   I don't have specific numbers in front of me   Certainly less than alternative ""C""   It's not too bad We missed last year--actually the GNP revisions didn't do us any favors because M2 was low already relative to the model projection by about a percentage point Now it's low by about 2 percentage points after GNP was revised up We have several models, but one of them I'm looking at--this is one that missed last year by about 1-1/4 percentage points in fact--was right on in the first quarter and underpredicted the second quarter by a couple of percentage points It hasn't been bad You should understand that these projections are not strictly model-based projections We do take into account the errors that the models have been making, and make judgmental adjustments for that We pay perhaps a little more attention to what they tell us about the interest rate effects; and then we factor that into our own sense of where velocity is going and the projections of income growth that we get from the Greenbook   Well, for the next six weeks it hardly matters, but the Greenbook really didn't have an increase of interest rates in that very short period of time necessarily behind its forecast   Yes   Firming some at some point in the fourth quarter   I'd say it goes the wrong way The idea of seasonal borrowing is that it doesn't respond quite as much to interest rate pressures as regular adjustment borrowing You have an autonomous seasonal factor influencing that borrowing that should tend to bias the funds rate down rather than up relative to our expectations So I would say that for some time the seasonal borrowing hasn't had any effect It might at very low levels of adjustment plus seasonal borrowing targets, but we are not there any more I think the most recent period is evidence of that But you're right If you thought that somehow it was having an influence, you'd raise the borrowing target at even higher federal funds rates But I don't think it is   That's right   In that--   Well, I think we came out fine   But we did engage in some operations at certain times that we wouldn't have done if we'd been just paying attention to borrowing In the end, everything turned out terrific   That's correct   Right   If you believe that the seasonal was having an effect on the funds rate it would--that's the direction it would go I guess I would just reiterate that our work in the past has failed to uncover a significant effect of that sort Your direction is right; I  -35-    8/16/88  don't disagree with your analysis It just doesn't seem to show up in the data when we've tried to control for it I think it would if we were at much lower levels of borrowings, perhaps But particularly at this level, I guess I wouldn't expect it   Very close to it   I would say a bit above there, but not that far above   We had a long debate in the Bluebook meeting about whether we should cut off the first letter of the alphabet   It's not a trend!   The monetary aggregate growth, now that it's getting more emphasis--   3-1/2 ""to"" or 3-1/2 ""and""?   Or I didn't hear "
