,Date,content
7899,2006-03-27,"  I received the same advice that Kevin did  [Singing] “To dream the   impossible—”  [Laughter]      Obviously, from the remarks that we heard earlier today and yesterday,   there is an enormous amount of strength and resiliency in the economy  Clearly, the economy has   rebounded from a temporary slowdown in the fourth quarter  The specifics that I have heard from   each of the Districts confirm the broad Greenbook view that this is going to be a pretty strong   quarter  I particularly like the quotation from President Fisher that it will be “blowing and going”   during this quarter  A forecast of 3¾ percent real GDP growth for 2006 with perhaps a bit of   slowing in 2007 seems quite reasonable given the data that we have in hand  Consumption remains   March 27-28, 2006 Authorized for Public Release 91 of 167       solid, and despite some less-sanguine reports at the end of last week about some orders, business   investment still appears to be reasonably strong   Since there seems to be much agreement with the central tendency of the forecast, rather   than review my reasons for supporting it—and I support most of the reasons that people put   forward—what I want to do is focus on a few potential risk factors going forward  Not that I   necessarily think that these things are likely to happen, but as Dave Stockton mentioned yesterday,   there are a number of uncertainties in the forecast, which we need to focus on  First, with respect to   housing; second, with respect to energy and commodity prices; and, third, with respect to   expectations in the yield curve and the term premium issues that the Chairman asked us about   yesterday   We have been receiving some mixed signals with respect to the housing market, although   the components that tend to have the most information for assessing the future direction of the   market, permits and sales of new single-family homes, suggest some considerable cooling from the   very hot period in 2005  The evidence that I have from talking to property developers in the   Chicago area and a bit in DC seems to be consistent with this evaluation, particularly in things like   the condo market  We see a lot of slowing there, particularly in the Chicago area—at least from   what I have heard anecdotally  Not only are we faced with the forecaster’s typical dilemma of   trying to predict a trend break or a turning point, but we also have relatively few experiences in the   United States over the last few decades of a downturn in the housing market  So the key concern is   going to be the effect on wealth and on consumption and obviously also on the construction market   In the Greenbook, I believe the direct contribution of wealth to real PCE growth was   approximately 1 percent in 2005, and the forecast is about ¾ percent in 2006, with at least half of   each of these increments due to housing wealth  So, obviously, we have to be very sensitive to the   March 27-28, 2006 Authorized for Public Release 92 of 167       concerns there  In some countries, such as the United Kingdom and Australia, even some relatively   moderate downturns or slowdowns in the housing market seem to have been associated with some   fairly important GDP effects   President Stern yesterday made an important point of what’s driving what  Many of the   discussions about the housing market suggest that there will be some sort of exogenous shock that   somehow may send the housing market down, as opposed to the housing market’s being part of the   broader economy in which there are consumption demands for investment and in which houses are   an asset as part of a portfolio  It is important to put housing in that context  In the other countries   where we have seen downturns and GDP effects, it is hard to pull out what part was due to   housing’s lead as opposed to housing’s just being one of the factors affected by a general economic   downturn  So with those caveats in mind, and obviously we have to be careful about extrapolating   from other countries’ experiences, I do think we should be mindful of the potential risks that are   there   Second, energy and commodity prices  So far we have been very fortunate in seeing little, if   any, of the run-up in energy and commodity prices feeding through to core measures of inflation,   and from what I can tell in the discussions relating to the Greenbook, this has been a bit of a surprise   to the staff and a bit of a surprise to the Committee  Now, this may well be due to a confluence of   very fortunate factors that perhaps could be reversed in the near term, or it may be due to some   longer-run changes, which President Fisher discussed  We had some discussion of this yesterday    So, as you know, productivity growth and international competition could be important factors, but   at this point I do not feel that I understand enough whether this situation is just temporary and we   are lucky or whether it is part of an ongoing process  And so I think we just have to be mindful of   the potential risk there  And obviously with the uptick in forecasts for growth outside the United   March 27-28, 2006 Authorized for Public Release 93 of 167       States, which could be associated with an increase in demand for energy and raw materials, further   upward pressure could be put on those prices   Finally, inflation expectations in the yield curve and term premiums  Fortunately, generally   the market-based and survey-based measures of inflation seem to be fairly steady, reasonably well   contained  I share Kevin’s concern that some of these expectations being above 2, 2½, even in   some cases closer to 3 may be a bit of a challenge, but broadly the numbers that we have been   seeing around 2 seem to suggest that inflation expectations are well anchored  And it seems that   one of the great achievements of this body that I have now been very fortunate and very honored to   become part of is the reduction of inflation uncertainty and the reduction of inflation expectations    And these reductions, I think, help us at least in part to understand the very low term premiums that   we have been seeing in the United States   But we must also recognize that we have been seeing lower real and nominal rates and   generally lower term premiums around the world  In talking to market participants, I hear much   less of a fear of an inflation spike in many countries around the world—not that there was a fear of   an inflation spike in the United States—but I think a greater certainty about the direction and focus   of the FOMC and a greater trust is extremely important   This gets back to a point that President Lacker made yesterday about the incredibly   important role of expectations  What we do has to be seen not just in terms of the traditional   backward-looking role of thinking about how the higher cost of capital could affect choices that   people make, but also about our credibility in going forward  Choices that we make may have   opposite effects on interest rates than what we have seen in the past  Raising interest rates in the   short-term may have a damping effect rather than an increasing effect on longer rates   March 27-28, 2006 Authorized for Public Release 94 of 167       If you look to forecasts of economists outside this room and the System, you also see a fair   amount of optimism, suggesting growth in the future  So the lower real and nominal rates in the   longer-term markets do not seem to be due to concerns about significant slowing of the economy   but to differences in views about inflation uncertainty and the level of inflation going forward  So,   particularly since some of our measures—of core PCE, core CPI—are at or toward the upper end of   the range of where I would feel comfortable (and, I believe, from what I have heard, a number of   others around the table would feel comfortable), we have to be vigilant about that  Maintaining our   credibility and the good work that this Committee has done is something that I want not to become   dreaming the impossible dream but something that is the reality and that we can continue  Thank   you, Mr Chairman    Thank you, Mr Chairman  I also support the 25 basis point increase in   the federal funds rate target  Obviously the question that we are dealing with now is not just   optimal monetary policy but also optimal information disclosure and optimal communication   policy  There are a lot of moving parts right now, a lot of changes, and so for the moment, I would   probably favor being leaner rather than fuller in descriptions even if we decided to go forward in the   longer run with fuller descriptions, which I think is perfectly reasonable   As has been described, there are a lot of alternatives—not just the statement but also the   minutes  There are speeches, and speeches on communications could be given specifically  There   are also background sessions with key players in the journalism community and elsewhere  So I   think that something on the order of B or even a slimmed-down B would be most appropriate at the   moment  I would not lean toward going to something like A-5 yet  That may provide us with a   March 27-28, 2006 Authorized for Public Release 134 of 167       very good basis for thinking about what we might want to do next time  So I applaud Vincent and   others who helped to create alternative A, in some sense a way to get us thinking about where we   might be moving and some of the costs and benefits of doing that  But particularly given that I have   heard somewhat different views from Committee members about where they, given current data and   current Greenbook projections, would be likely to go, I do not think we want to signal something   too clear at the moment   Also, we have had some discussions about whether or not we can take back 25 basis points    I don’t really see the economy as being on such a knife edge that we will know that it’s exactly 5 or   exactly 4¾ or exactly 5¼  I think it is highly unlikely that we go to 5¼ and get information that we   know that we have gone exactly 25 basis points too much and have to have a retrenchment  It is   more likely that the economy would evolve and then we would think that things had really moved in   a different direction, and if we were to have to move down the line, it would be more than a 25 basis   point move  Historically that has been typical, although not always the case, and has been true both   in the United States and elsewhere  So we should not overemphasize that we will get it exactly right   and that we will know exactly where we will be  We have to be in a comfort zone not only on   inflation but also in terms of where our target rate is  It is useful to think in those kinds of terms   about where we will be going and also to realize that retrenchments are unlikely to be the sort that a   few months later we take back a little even if that’s what the market may be predicting  But I leave   that to others who may have much more experience in that; maybe my view is a little naïve  "
7923,2006-05-10,"  Thank you very much, Mr Chairman  You will hear me singing a familiar   song from last time, although not exactly the same song, and unfortunately I did forget my tap shoes  The   May 10, 2006 68 of 120    song that I want to sing from last time is the continued strength and resilience of the economy plus concerns   about inflation expectations moving out of line   Consumption growth has been moderating a bit, but exactly as Governor Olson said, with the   continuation of some of the changes in the tax laws, real disposable income will still have a boost  We have   seen very strong global demand, particularly on the consumption side in many countries that have been   lagging in consumption  In addition, we are also seeing strong investment demand, both domestically and   internationally, and I think that is something that we have to take into account going forward   As for the key risks going forward, one, of course, is the housing market  There has been a lot of   discussion of that, and I do not think I have very much more to add  We have to see what the lagged effects   of interest rate changes are there, but that is something to be determined   Some puzzles that have persisted since last time concern the lack of pass-through of a number of   things  Of the heightened energy and commodity prices to core inflation, we have seen some uptick  But I   share Governor Kohn’s analysis, or his conclusions from the analysis, that there are some signs but that one   should not be overly wary because we have had a bit of downtick, then a bit of uptick  When we are talking   about monthly movements of 01 percent, a simple rounding error can make things seem suddenly much   higher or much lower  It could be a 50 percent difference from what we expect when we really are just   seeing a rounding error, although we do have to be very aware of this   Obviously, we have not seen pass-through of higher productivity gains to compensation  This   situation puzzles me quite a bit because, historically, by now we would be seeing more robustness of   compensation, not just real disposable income, but compensation  We have not seen that  Productivity   apparently continues to move fairly strongly  Looking forward, I am concerned about this area even though   the current data seem to suggest that the costs of labor are perfectly reasonable  Rather than looking just at   May 10, 2006 69 of 120    the current data but using a little theory to look forward suggests that this may be an area that could be   coming up in the future     Even if there are higher costs in the labor market, are they going to be pushed through to final   demand prices?  We have had a good discussion of the evidence on what has happened in the past  Will   you necessarily see the margins staying up or moving down, and will that cause the changes in underlying   cost to be passed forward?  Potentially it won’t, and potentially there could be large movements  But,   again, we are in somewhat uncharted territory  We do not have a lot of evidence here   Another set of puzzles concerns the yield curve term premiums, and we, of course, have already had   a lot of discussion about those and about the slight uptick in both the survey-based and market-based   measures of inflation expectations  Obviously, that is something that we need to be very, very concerned   about because the last thing that we want is to allow our actions in any way to be interpreted as a lack of   concern about inflation, which could lead to an unanchoring of inflation expectations  That said, I certainly   do not see such unanchoring in the markets  Also, the yield curve, although it has certainly moved up from   being flat or even slightly negative, is still showing a difference between the two-year and the ten-year of   only 15-20 basis points, which is not very large  And the much flatter yield curves are a worldwide   phenomenon, driven by factors not just within the United States and not just about US expectations     I also very much agree with President Stern that we should not put too much emphasis on high-  frequency numbers  We have to think about the recent numbers in a more systematic way  What are we   likely to see going forward?  What are the risks going forward, given some theory, given some historical   experience?   Coming back to the theme that I sang about last time—about Fed credibility not being the   impossible dream, but a reality—I think we do have that reality, and it is certainly something we do not   want to give up  Just to tweak President Geithner a bit, I hope his comments should not be interpreted as   May 10, 2006 70 of 120    saying that we want to introduce uncertainty into the marketplace  The last thing that the FOMC should be   doing is introducing uncertainty  Certainly we do not want to be producing moral hazard and having   inappropriately low uncertainty when real risk factors may be out there  We certainly want to be very wary   of that; we do not want to contribute to that  But as Tim said, and I very much agree, we are in a very   uncertain time, and to suggest that we are uncertain about where the economy is going is valuable  But to   suggest that the market participants are not focusing enough on uncertainty, that there should be more   uncertainty, and that we should do something about it is perhaps not the way to go  Thank you, Mr   Chairman    I agree with the 25 basis point move at this time  I think we have seen some   beginnings of evidence of heightened inflation risk relative to six weeks ago, and I think it is also very   important, as President Yellen mentioned, that looking back historically, we do not want to get too far out   ahead and then have some regrets  But we also have to be concerned about how our actions will be   interpreted by the market and to think about the longer-run expectations  We have to convey that we do   have some uncertainty about where the economy is going, and I think that is well reflected in our discussion   here and in alternative B   But it is extremely important to keep our powder dry  I really like the idea of saying that not only   will we be looking at the data as we normally do in our due diligence but also we are going to be looking at   things because there is uncertainty  We do not have an ideological view that we must make sure that every   last concern about inflation is stamped out, without concern about growth, or vice versa   May 10, 2006 95 of 120    Also, as I said last time, it is hard to know exactly where we need to go to be at the right level  At   best, we can be within 25 basis points of where we would hope things would be, but obviously, it is quite   literally a moving target since the underlying economy is moving  That said, I think it is very important to   emphasize in the statement what First Vice President Stone mentioned If you look at what we say in line 4,   we do specifically mention that some further policy firming may yet be needed to address inflation risks,   which is not something that we had specifically singled out before and which I think helps offset the   concern about the phrase “inflation expectations remain contained”   Although we have discussed that inflation expectations have moved up somewhat, I think that to say   they are no longer contained is incorrect  We have seen a bit of tick-up of actual inflation and a bit of tick-  up of some, but not all, measures of inflation expectations  As Vince mentioned, the most recent numbers   coming from Blue Chip suggest that the professional forecasters are not saying that inflation expectations   are moving up  I am concerned that, if we took out that phrase, which we have had for a while, we would   be suggesting that we do think things are becoming unhinged and that might be a self-fulfilling prophecy   moving in exactly the wrong direction  So I think the balance that we have now heightens our emphasis on   inflation risk in number 4 but does not say that inflation expectations have moved too far beyond (and I do   not think they have moved too far beyond) where they were before or that they have become unhinged  I   like the balance that is there between the two   I also like keeping in the red phrase in the second part of line 4; but a small amendment to make it   perhaps a bit easier to swallow and to make it seem not repetitive with the statement in number 5 is that,   rather than saying “in any event,” we simply say, “The Committee thus will respond to changes in   economic prospects as needed to support the attainment of its objectives”  Thank you, Mr Chairman    I think as you said, Mr Chairman, putting in number 4 that we are singling out   one of the two objectives—addressing inflation—is going to be perceived as a hawkish move relative to   what we had before  Therefore, I do not think making the additional change is necessary because I think   that has largely been conveyed  Given the relatively small changes in inflation expectations, to even   acknowledge that there are small changes—although saying so is factually correct—goes further than is   necessary  But I share your concern about wanting to make sure that we are very clear that we are   concerned about inflation and inflation expectations  "
7948,2006-06-28,"  Thank you, Mr Chairman  At the last meeting I believe Dave   Stockton, when he was describing the outlook, said that he was a bit schizophrenic about it    Given the comments of President Moskow, it is clear that he is no longer schizophrenic but that   one side has taken over—the dark side  [Laughter]   That does not seem to reflect exactly where   everyone is, but I think the issues that have been brought out in the Greenbook are extremely   important to consider  I, too, have knocked down my growth estimates a bit, although not quite   as much as the Greenbook; and I, too, as many people have said, share a concern that some of the   numbers coming in on both headline and core inflation are a bit higher than I had hoped,   although I think they are still not out of a manageable range    Obviously, payroll employment growth is a bit less robust than in the previous forecast    Since that forecast, we’ve had a little more cooling in housing and some softening of retail   demand  I take a slightly different view of the high tax receipts that have been pouring into the   Treasury because they are not only corporate tax receipts but also individual tax receipts  In   some sense that’s putting a bit of a drag on real disposable income because people seem to be   paying a little more in taxes and, at the same time, labor costs and pay have not been going up    So taxes are potentially a bit of a drag, and the Administration seems able to pursue a tighter   expenditure policy this year than it has in the past, so we won’t be getting as much of a boost on   the fiscal side as we have had    A number of bright spots have been mentioned here, particularly related to business fixed   investment, durable goods orders, and business confidence  But what are some of the key risks   June 28-29, 2006 86 of 177    that we have before us?  Obviously, housing has been discussed in great detail, and so I won’t go   through it in more detail  I noted, as Governor Bies did, the importance of cancellations in   suggesting a change in the way people are dealing with these markets  If cancellations go up   significantly, then a lot more housing stock that is searching for a buyer could be left on the   market  Anecdotally, I’ve heard the same kinds of things that President Guynn mentioned, that   the equivalent of the toaster is perhaps being given out  Such incentives are not showing up in   the reported housing price, but other adjustments are    I’m not quite as optimistic about world economic growth as the forecast is  I think a lot   of uncertainties exist there  We have seen and are seeing a lot of elections, particularly in   emerging markets  Mexico obviously has one coming up very soon, which could have a   significant effect on a very important trading partner of the United States  Also, as a number of   people have mentioned, we’re seeing a lot of policy tightening around the world  The obvious   question is whether the central banks outside the United States are behind the curve or ahead of   the curve  Well, wherever they are, they are moving along a curve, and they seem to be moving   more aggressively than they have in the past  I think the tightening is going to have more of an   effect than has been embedded in a number of the forecasts, not only here but also at the IMF    Another concern that I have relates to something that President Pianalto mentioned—a   disconnect between the numbers that we’re seeing on consumption and business optimism about   investment  My concern is about what’s going to be happening to demand for their products   down the line  It’s certainly disconcerting to hear that one of the largest private institutions in   the world—Wal-Mart—is missing its growth targets fairly significantly  They are a very   important part of retail sales  One could even say that they effectively know what retail sales are   before the numbers are reported because their sales are so highly correlated with overall retail   June 28-29, 2006 87 of 177    sales  So my concern is that we’re having the economy do the right sort of thing by moving   more toward business investment and a little away from consumption, but if we move too much   away from consumption, the demand won’t be there to make the investment pay off  We saw a   bit of this in the late 1990s as we moved much more in the investment direction, but the   investment turned out not to have the kinds of returns that people were expecting  Now we’re in   a very fortunate situation because, even if those returns decline dramatically, a lot of profitability   is out there, as Governor Warsh said  So profits could drop quite significantly, but we’re not   going to see a real problem in the corporate sector, as we might have in other circumstances  I   don’t want to overemphasize this concern, but to me it’s a bit of a puzzle, and I see it definitely   as a risk      Turning to the inflation outlook, people have mentioned both here and publicly a   cavalcade of concerns about the upticks in PCE and CPI core numbers, which have helped in   turn to reduce inflation expectations  Term premiums continue to remain low, and forward rates   continue to remain low  Often inflation seems to have a bit of momentum—it continues to move   up or stays elevated—even as the economy begins to slow a bit  We have to be careful in   deciphering what will continue to move up and what is just inflation that is lagging a bit as the   economy slows  We have seen a dramatic change in commodity prices since our last meeting    Basically, within a few days of the meeting on May 10, almost all the major commodities,   whether copper, gold, or whichever one you want, came to a peak  Since then, oil has come   down a little, although not all that much  I think it’s heartening for the inflation outlook going   forward that those elevated levels didn’t stay that elevated  Although those commodity prices   are much higher in 2006 than they had been previously, oil prices have not increased that much   during 2006   June 28-29, 2006 88 of 177     So what’s going to happen to core inflation going forward?  I think the excellent   presentation that we had, in particular the discussion of the attempts to see how well we are   modeling historical inflation and inflation going forward, shows that we have a long way to go   and that we don’t really understand those dynamics very well  I share Governor Kohn’s   intuition, for the reasons that he articulated, that core inflation going forward will soften a bit   more than the Greenbook projects  I’m not going to repeat those reasons; but as Governor Kohn   said, there’s a lot of uncertainty about them, and we don’t understand all that much    Ultimately, as a number of people have mentioned, it comes down a lot to the type of   statements that we make, the credibility that we have  That’s true not only here but around the   world, where we are seeing inflation rates and expected inflation rates come down quite a bit    That’s something that ultimately we control very directly  In today’s circumstances, when   inflation is not really out of control but is moving up a little, being very clear about what our   concerns are can have benefits in bringing down expectations and perhaps changing the inflation   dynamic  Thank you, Mr Chairman     Thank you, Mr Chairman  I, too, support a 25 basis point move at   this meeting, and I share the objectives that many of the people around the table have  I think we   may have a bit of a disagreement on how to achieve this objective through the words in the   statement    In the first part of the rationale, our talking about the lagged effects of increases in   interest rates and energy prices and the cooling of the housing market is an important   acknowledgement of what we have been doing and implicitly gets to the point that President   Poole made about mild restraint because it is about the effects of our policy on what’s happening   now and what’s going to be happening going forward    I would prefer not to use the language about mild restraint  First, I agree with the point   that it’s hard to know exactly how much restraint we have  I think President Moskow made a   very good point by looking at the simulations that Vincent has given us to show that such   language, at least in some interpretations, would suggest that we’re not really having very much   restraint  Second, and very important from a communications standpoint, if we say this now,   then in the future we’re always going to have to characterize how much restraint we are having   in the market  So then we have “mild restraint,” then we have “modest,” and then we take off   the word in front  I think it gets us into a very bad dynamic  So I would prefer to leave that idea   implicit  It is important to have it in there, through the discussion of the lagged effects of our   policy  We could even say “lagged effects of current policy,” if we really wanted to emphasize   something like that  But I would prefer to go about it that way    With respect to some of the suggestions that President Lacker has made, I think it’s very   clear that I very much share his objectives and concerns about unanchoring expectations  In each   June 28-29, 2006 123 of 177    of the meetings at which I have appeared so far, I have talked about the importance of   maintaining credibility and know full well the great costs of trying to reestablish credibility once   it is lost  That said, we have to put the movements that we’ve seen in expectations over the past   six weeks in a broader context, and I don’t think they’ve moved all that much  I would prefer   them not to be moving up and down; I would prefer that we maintain very clear credibility; but I   don’t think that they’ve moved a lot or moved in a way that I consider sufficiently large to be   disturbing  So from that point of view, I would be averse to including the word “unwelcome”  I   consider the word “unwelcome” unwelcome in this statement [laughter] because I don’t think we   need to say that or convey it in that way here  We can convey it through a variety of other   means  But I share the broad objective    I’m a bit wary of trying to bring in some of the alternative C language into alternative B   because I’m concerned about the market’s focusing too much on specific measures when we start   talking about the medium-term decline in core inflation  There may, then, be an overreaction to   PCE numbers or CPI numbers that come out, and that would be a bit of my concern  Something   that I very much like in alternative B at the end of the assessment of risks is that we talk about   the evolution of the outlook for both inflation and economic growth, which is very much   forward-looking and a bit more concrete, which I think is very valuable and helps to clarify our   objectives    Finally, something that Vice Chairman Geithner brought up—I think there’s a tension   between what some people want to achieve and the language that we’re going to use to achieve   it  I concur broadly with the comment that a number of people have made—that alternative B   will probably bring down the market’s odds regarding what we’re going to do in August from its   recently elevated levels  We’re going to be getting some important data  We’ll be getting two   June 28-29, 2006 124 of 177    employment reports, so we’ll get to see whether the lower numbers in employment are   temporary or not  After we see four or five months of data, we will be able to start pulling out   whether something is temporary or not  We have some other important numbers coming up, and   so I support basically keeping alternative B as it is  I think that is the best way to achieve the   objective of leaving our options open but not in any way unanchoring expectations   "
7974,2006-08-08," Thank you very much  As the comments indicate, this is probably the   most challenging time that we have had before us in my long history here at the FOMC  [Laughter]   The mix of continuing inflation pressures and decelerating growth are providing more concerns on   both fronts than I have heard around the table and than I myself have had since I’ve been here   First let’s think about some of the growth prospects  I broadly share the Vice Chairman’s   view that the fundamentals are in place for reasonable growth going forward  Certainly there are   some risks  But whether we are looking at survey-based measures, at orders and shipments, or at a   variety of different things, we don’t really see signs of very significant deceleration or contraction   We see more a moderation that would be either in line with the Greenbook or a bit lower than the   Greenbook     Certainly a key risk to growth that a lot of people have discussed is residential investment    If you look at where we are in residential investment, we’re back only to mid-2003; 2004 and 2005   were incredibly strong years  So being in 2003 is not that bad  If you look at the graph, residential   investment falls off rather precipitously to get us back to 2003 with great rapidity  The question I   have is whether it will flatten out or whether it will go down further  The Greenbook forecasts have   gradually been moving down and now reflect more downward pressure going forward  I think that   we’re not seeing the full effects on house prices reflected in the numbers because in the housing   market, for reasons I don’t think we fully understand, there tend to be queuing rather than just price   changes  So it may take a while for the price data to actually reflect the lower effective prices that   August 8, 2006 70 of 158                                people are seeing Obviously house prices will have a potentially important effect on the wealth   effect and on consumption down the line, which I think the Greenbook does a good job of putting   into place   Another challenge is elevated prices for energy and commodities  Energy prices,   particularly, may be taking a little bite out of people’s disposable income  On the other hand, we   have been seeing continued strong business fixed investment  A small concern I have is, if we   continue to hear about slowing consumption and reports from Wal-Mart and others that retailing is   really slowing, why are these businesses producing?  Are they investing to produce goods that   people will want to buy, or will we see in nine months or a year that maybe some misallocation of   resources has occurred and that things aren’t as strong as we had thought?  There’s no particular   sign of such misallocation of investment  It just seems that there is a bit of tension between the   discussions of continued strength of capital expenditures and the statements of business contacts   that they are going to continue to invest even though they see a slowing coming down the line  This   is a variation of what Governor Warsh was saying—it’s almost as though they are saying that some   other sector will have that slowing, not their sector   In some sense, we should take very cold comfort from the fact that the economy may be   slowing  We had quite a discussion about how there’s not much of an inflation–output tradeoff, but   at least in this period there are real questions of whether you do get much benefit in terms of lower   inflation from slower growth  There may be some benefit, but it seems to be attenuated compared   with the past  Obviously some of the recent numbers on inflation continue to be worrisome, but   fortunately both the survey measures and the market-based measures seem to be reasonably   contained looking forward  Survey measures, whether of the man in the street or of the professional   forecaster, seem to be quite flat  The TIPS rates for both the near-term forwards and the   August 8, 2006 71 of 158                                        longer-term forwards have not moved up much  Some of the near-term forwards have moved up a   bit, but that doesn’t seem surprising given the rise in energy prices that we have seen both from the   Middle East and from issues in Alaska   The real key is looking forward as to what is likely to occur  Are the things we’re seeing   now transitory factors or persistent factors? That’s a very, very difficult call  Reasonable   arguments have been made that a number of these factors, particularly with respect to shelter   services, are perhaps a bit more short-lived  Shelter services are about 19 percent of core PCE and   about 30 percent of core CPI, and obviously they have been leading the band up  As many people   have said, we have been seeing price increases in a lot of areas, but I don’t put quite as much stock   in that because many of the categories in both the PCE and the CPI are arbitrary  The issue is really   what the relative size and the relative importance are  Shelter services and owners’ equivalent rent,   which composes a vast majority of shelter services, are an important piece  I think that there’s a   reasonable chance that this factor is likely to be transitory, although it may last for several months   and possibly quarters  But that is the key question—whether these forces are likely to be transitory   or likely to be more persistent    Coming back to inflation expectations, that’s really where I see the markets both registering   their view of persistence and telling us something about whether they believe that we will keep   inflation well contained  At least so far, those expectations are suggesting that we will  It’s   extremely important that we maintain those expectations  It’s very costly to try to regain credibility   if credibility is lost I think the markets are willing to say, “Well, there may be some transitory   inflation, and we’re willing to wait and see whether to mark up our longer-term expectations”    Certainly once longer-term expectations are marked up, the situation becomes highly problematic   because it’s very difficult to rein in the changes in expectations, particularly in behavior  So   August 8, 2006 72 of 158                                      basically I think we need to keep a very, very watchful eye on where expectations are going  I’m   heartened that they haven’t moved too far despite, as many people have said, high core PCE prices   for a number of years and elevated levels in the most recent numbers  Thank you, Mr Chairman   As I said before, obviously this is an extremely difficult decision, and   I agree with many people around the table who have said that very respectable arguments could   be made on both sides  So I would say that, on net, there are some advantages to keeping policy   unchanged but communicating very, very strongly our wariness about inflation   I think there is value in pausing to see what is going to happen with growth  Around the   table, we certainly expressed different views about what is happening to growth  We know that   we’re likely to continue getting somewhat unfavorable numbers on inflation, but I think the   markets are well primed for that  We’ve gotten some numbers that have been worrisome or   unwelcome and not particularly favorable on inflation, but we haven’t seen inflation expectations   become unanchored  Also, we’ve been seeing that the markets have apparently been assuming   that we are not going to move now and that we’re not going to move in the future, if you look to   the fed funds futures markets; but that assumption hasn’t manifested itself in any increase in the   short-term or longer-term inflation prospects   That’s very heartening to me  If that weren’t the case, I would not feel comfortable in   moving toward supporting a pause because, as many of us have discussed, the expectational   context and credibility are very important  Credibility is an easy thing to lose and a difficult   thing to recapture, but I don’t think having a pause now would lead us to lose credibility  I think   also that it’s important that we see a pause as not being just until the next meeting but as possibly   going over multiple meetings because a lot of information, particularly with respect to inflation,   will come out over time  I expressed my view that we may be seeing some transitory effects on   inflation that are due primarily to shelter services  Within two or three meetings we’ll have a   better feeling for whether or not those effects are likely to be transitory, and I think keeping our   powder dry is very valuable   August 8, 2006 105 of 158                         We’ve been emphasizing not just that we are data dependent but that we are forecast   dependent What do the data say about what is likely to happen in the future?  Saying that we   are forecast dependent helps to underscore that, even though the current data or the recent   backward-looking data are not favorable, we are looking to the future to what the evolution of   inflation and growth is likely to be—exactly what the last line of alternative B emphasizes  I   think, one, it’s what we should be doing and, two, it’s important for people to see that  So I   would favor going with alternative B or having the language in alternative C  I’m not sure the   alternative C language adds all that much more, given the fairly strong statement that we have in   the assessment of risks, because I think that is likely to lead to a somewhat changed expected   feds funds futures curve—to leave some probability that we may move and that this is not a stop    Certainly, if our pausing is interpreted as a stop, we need to pursue a communication strategy to   convey that it is not a stop and that a pause does not mean just one meeting but possibly multiple   meetings as we are gathering more information, particularly about the transitory versus persistent   effects of inflation, and are keeping a very careful eye on the effect of both short-term and long-  run inflation expectations   I think it would be odd to take out the reference to housing, given   that we have mentioned it a number of times in the past  The rationale clearly says that it’s   “partly reflecting” and then gives a number of factors  It is not saying that those factors are the   only ones Also, I don’t interpret this language as being simply about what happened in the past;   “has moderated” is also talking about where we are—that growth is not as strong as it was  I see   August 8, 2006 112 of 158                                   that language as having a forward-looking aspect to it  I think it would be very odd to take   housing out, partly because it’s factually accurate, even if you take the historical view, and partly   because, given our discussions around the table, we are concerned about “gradual cooling”  It is   appropriate to leave the reference in   I’ll be very brief  I think a number of the points that Vice Chairman   Geithner made are excellent, in particular his emphasizing that we have to think about this as a   package but not as necessarily meaning that we must implement everything at once  We may want   to see how the pieces are working before we do that, but we do have to have the ultimate goals in   mind  We need to have the whole thing together before we can start moving forward because it   could be quite dangerous to change some aspects of communication policy but then realize that, if   we want to do something else different down the line, we’ll have to change them again  So I think   that approach is exactly the right one   Also because what we’re doing relates to any changes, we have to think about the dynamics    We see this now in the persistence of certain words in our statements  We use the word once, but   then do we use it again or do we not use it again?  Individual words take on an incredible amount of   importance  Now, one way to solve that problem is perhaps to put out more and more words so that   each one is diluted [Laughter]  An awful lot of private-sector resources were devoted to the   three-letter word “yet” that came out of one of the statements, when I believe that not a single   member of the FOMC even noticed it  I think that is problematic  I’m not quite sure of the best   way to solve that problem, but I think we have to be very sensitive to that   On the issue of the one versus the whole, the markets have a very strong perception of   coordination among us  The notion that the Governors are independent and that the Federal Reserve   Bank Presidents are independent is considered laughable  When people ask me about that, they say,   “Well, doesn’t he tell you what to do?”  I say, “No, no one tells anyone what to do”  Maybe you’d   like to, [laughter] but that’s not how it operates  Part of that notion is just a perception, and so   having people speak at the same time may not be much of a problem  But the perception is that it’s   a coordinated effort rather than a series of individuals who are expressing their views, and I think   August 8, 2006 145 of 158                                                 communicating the extent of our independence or the extent of our coordination is something that   would actually go a long way toward things  I was one of those academics that Don referred to as   putting up those tables and trying to figure out whether we were independent or not, sort of rating   us But that is not what we’re supposed to be doing, and I hope my comments will not be taken in   that context   One final remark is that we have to be modest about what we’re trying to do  Part of this   discussion is the way of conveying our uncertainty  I would close my class on money and banking,   and I’ll close my remarks here, by presenting a fantastic New Yorker cartoon It relates to the   former Chairman and shows someone praying, just before going to bed, about the former Chairman,   that he knows what he knows, he knows what he doesn’t know, and he knows the difference It’s   important for us to be able to try to convey to the markets that we know what we know, we know   what we don’t know, and we do know the difference  "
