,start_date,content
24682,2004-06-29,question want applaud analyt focu behavior price markup obvious swung lot last_coupl_year key swing determin inflat_outlook wonder extent markup forward_look variabl model use analyt theoret model price determin sens save_rate forward_look variabl perman incom model curiou kind error band uncertainti band chart possibl construct price markup
24742,2004-06-29,follow ask panel chart hous valuat panel rel movement measur somewhat key intuit persuas argument hous might overvalu understand unit real_term treasuri yield understand unit rent price ratio
24746,2004-06-29,set scale right set zero axe
24749,2004-06-29,ye true zero seem
24751,2004-06-29,right chart staff zero set differ place scale
24753,2004-06-29,wonder decid zero much closer zero run treasuri rate squiggl red_line lot smaller
24755,2004-06-29,right argument size squiggl
24758,2004-06-29,gap line
24762,2004-06-29,fine
24791,2004-06-29,fifth district econom recoveri appear strengthen earli manufactur_activ continu_expand although pace lessen recent_week shipment order spot report increas export demand europ china particularli nich technolog product despit slower pace output_growth employ manufactur increas net maryland virginia south carolina continu fall north carolina heavi concentr textil apparel furnitur plant district whole sens manufactur employ expand slowli nation outsid manufactur hire definit pick fact sever contact_report sign emerg tight_labor_market consist report diffus index district manufactur wage pick sharpli month survey report indic pace materi price_increas eas somewhat although firm continu complain higher_price select commod steel concret retail report moder higher revenu sale growth earli slip bit pace elsewher across servic sector revenu growth seem acceler recent_week commerci_realtor report moder uptick retail leas activ recent offic industri leas remain sluggish overal residenti_construct quit_strong district get consist report strong commerci loan_demand consist evid fifth district recoveri nation_economi appear deepen broaden particularli busi spend hire think_reason expect maintain traction balanc expans hold quarter ahead greenbook_project real_gdp grow around percent remaind slow rate potenti growth thereaft close estim output_gap earli project seem quit reason headlin inflat run higher last_coupl_month sever reason seem plausibl recent increas will turn transitori output_gap sizabl markup price unit_labor_cost discuss earlier run averag given seem_like declin inflat_expect seem reason anchor moreov year_year increas measur consum inflat moder exampl core_pce_inflat year_year basi remain insid percent percent rang consist price_stabil hand short_run inflat_expect move recent_month togeth actual inflat financi_market measur_inflat compens longer horizon drift higher moreov greenbook note market base inflat_expect appear sensit declar fomc resolv hold line inflat fact path fed_fund_rate expect market_particip exce baselin path assum greenbook can interpret read evid financi_market continu nervou upsid inflationari risk market reaction monday inflat figur bolster notion think though think posit reason come meet labor_market recoveri track inflat seem_like moder near_term market_expect move interest_rate higher fairli healthi clip think main challeng monetari_polici come_month will gaug speed need increas interest_rate hold line inflat
