,Date,content
277,1988-08-16," I'm completely in agreement with the analysis of the strength of the economy I feel a little bit like I was in a vehicle that was accelerating down the road and I have an instinctive desire to hit the brakes a little bit and snub it down But the thing that worries me is that I think the road's a little slipperier than it looks in the sense that there's some fragility in the infrastructure of the economy  First of all, consumers have a heck of a lot of debt And the most recent instruments of that debt--equity credit lines, as we call them--I think have been abused in the granting throughout a large part of the industry I think there's a significant danger that if we got into any kind of a downturn in the economy we could have a lot of consumers in a considerable amount of trouble in that particular area, because they've converted other kinds of debt to equity credit lines  Probably more important, however, is the heavy debt structure in the corporate sector If you were to look at as many of these leveraged buyouts and takeover schemes as I have, you would find that in a lot of these the cash flows that are designed to service the debt that's involved are very skinny indeed And they depend on a relatively stable interest rate structure and the ability over a reasonably short period of time to liquidate assets in order to get debt down to manageable levels Well, it seems to me that a significant increase in interest rates--even one as modest as the one described in the Greenbook--over the next 12 months or so could create some major problems, at least for some of the situations that I've seen And that could have a very sobering effect, it seems to me, on the overall economy through the problems that would be incurred by some very large companies  Another one that I guess tends to slip out of our minds occasionally is the real estate situation It has been getting better, not only in the banks--which have increased their capital in order to sustain the possible losses in this area--but also in the country generally The country has been benefiting from lower interest rates and the ability to restructure some of that It seems to me that a lot of that ground that has been gained could be lost if the cost of servicing that debt goes up significantly, as it would because much of it is denominated in variable rates Finally, this thrift situation--an aspect of which we intend to discuss at the luncheon today--has not gone away It's getting worse And a significant increase in the cost of money to these troubled thrifts is just going to accelerate the rate of loss in that industry  When you take all of those in the aggregate, it seems to me if we snub the brakes too hard and too fast, or oversteer this vehicle, we have a risk of going into the ditch All I'm suggesting is that, while I think snubbing the brakes and being prepared to do so is important, I think we have to keep a very close eye on what the effects of significantly higher interest rates could be and be ready to ease up quickly if that happens I'm not sure I understand all of the terms like asymmetrical language and so forth, but I certainly  -41-    8/16/88  would support the $600 million target on borrowings And I'd lean more toward the borrowings and reserve targets as opposed to either the funds rates or, with due respect to my friend Governor Angell, the aggregates "
328,1988-09-20, No 
329,1988-09-20," Mike, I'm having difficulty understanding the consistency between your interest rate forecast and the forecast for further downward pressure on the dollar Help me with that one   Thank you "
330,1988-09-20," I do, too No comments "
389,1988-11-01," Mr Truman, the oil projection is a very important part of this whole forecast and I heard you as you were going through your conjectures about OPEC talking about I think three different levels of projections and prices Could you replay that for me just so I'm sure I understand what you said   From the 21 million?   I guess I share the feeling of several of you that inflation is more likely to create a need for further tightening as we go forward rather than the other way around But I don't think that the decision is going to be any easier when we finally have to take it I think it's going to be more difficult because of the increasing elements of fragility in our financial system, which would react very badly to anything that threw us into any kind of recession These leveraged buyouts and takeover loans are so delicately balanced, in terms of cash flow on certain assumptions about revenue flows and interest rate levels and the ability to dispose of assets in order to get debt back down to manageable levels, that if there's any hesitation in the economy or any significant downturn in the economy, those could be thrown into very bad straits And I don't think that's going to get any better as it goes along, nor is the thrift crisis going to be less sensitive to that kind of thing I don't think there's enough evidence to move in a tighter direction at the moment, but it's going to be a tough decision to make if and when we have to make it because of these other elements  The second thing that worries me is whether we are able to control or manage the decline of the dollar by nominal intervention in the foreign exchange markets If these markets ever become persuaded that intervention isn't going to do the job, and there is a real flight from dollar-denominated assets, particularly securities, it seems to me that either we're going to have to begin consciously to defend the dollar with interest rates or it's going to get automatically defended because the financing of our deficit is going to be thrown back into domestic markets that will drive interest rates up in any case Those are the two things that worry me most about the current situation, and yet I'm not persuaded that we should significantly change our course at this stage of the game "
390,1988-11-01, I agree and support the asymmetric language 
450,1989-03-28," I have a question Sam, is the $12 billion a big enough kitty for you or do you--?   You don't see any immediate circumstances that would likely put you in a position where you'd have to ask for a special meeting in order to enlarge that limit?   Okay I wasn't trying to sell you anything   Thank you, Mr Chairman "
451,1989-03-28," Thank you, Mr Chairman I can't remember when I was more concerned about the confusion of the signals that I'm reading or as uncertain about my own conclusions But I guess I feel  -38-    3/28/89  that the economy is a lot mushier and that there are more risks inherent in it than most of you around the table do I'm kind of like the guy who's gone into the saloon to play poker and is willing to check his sixgun at the door and accept the key as the alternative But I'd like to keep a derringer in my watch pocket So, I'm in favor of the asymmetric language   Yes, sir "
513,1989-05-16," Exactly   As so often happens, Governor Johnson has made most of my speech for me I would only like to add that I think further tightness may only aggravate some of the problems that we have In the first place, I don't feel that the wage and price pressures that are already there are going to respond or be damped by higher interest rates I think the pressures for wage increases were built in a year ago And some of the price pressures are really not part of a controllable environment because they are related to oil prices or to drought-increased food prices It doesn't seem to me that further restraint helps those pressures; on the other hand, [additional restraint] may be counterproductive in that it discourages further investment and may result in further price increases because of the higher cost of capital So I think this is not the time either to ease up on the brakes or to stamp down on them any harder I agree with your balance concept "
514,1989-05-16," Mr Chairman ""B;"" $600 million; symmetry  -42-    5/16/89   That's really symmetric "
