,start_date,content
10626,1993-07-06,thank mr chairman statement_appendix
11015,1993-08-17,predisposit
11761,1994-02-03,certainli remov ambigu move laughter peopl guess size move kind thing guess pro posit outcom term set preced think much depend word use
11763,1994-02-03,think cannot harm
11765,1994-02-03,tell everybodi happen leav room ambigu phrase suggest set stage peopl expect announc time polici chang go forward
11772,1994-02-03,ye
11774,1994-02-03,riski sometim tri time thing wire hope peopl pick press releas
11802,1994-02-03,initi market move almost point end_year headlin news nonfarm number came across wire back away market came market_particip tri read underli data term hour forth lost initi gain
11857,1994-02-03,market anticip move think expect basi_point got built rate structur yesterday think_time day percent reflect point_move might occur today morn number employ situat move price market certainli move_basi_point reflect market basi_point fulli next basi_point clearli result rate rate adjust much
12292,1994-07-05,ye think someth let market know meet conclud term announc market look committe action got clue know decis handl announc know committe address issu think committe want maintain much flexibl can decis think hope will announc meet can busi noth announc help
12294,1994-07-05,buy time committe longer discuss think
12607,1994-09-27,mean
