,Date,content
7967,2007-08-16,"  I do       Chairman Bernanke     Yes  Vice Chairman Geithner     Yes  President Hoenig      Yes  Governor Kohn      Yes  Governor Kroszner      Yes  Governor Mishkin      Yes  President Moskow      Yes  President Fisher, voting as alternate for President Poole  Yes  President Rosengren     Yes  Governor Warsh      Yes   "
8588,2009-09-22," Yes This vote will encompass alternative B with the changes described   by Brian Madigan, as well as directive B, also with the changes described by Brian Madigan   Chairman Bernanke  Yes  Vice Chairman Dudley  Yes  Governor Duke Yes  President Evans Yes  Governor Kohn Yes  President Lacker Yes  President Lockhart Yes  Governor Tarullo Yes  Governor Warsh Yes  President Yellen  Yes   The lunch is ready now  "
8615,2009-11-03," This vote will encompass the alternative B policy statement on page 3 of   the packet on monetary policy alternatives, as well as the directive for alternative B on page 9 of   that same packet    Chairman Bernanke  Yes   Vice Chairman Dudley Yes   Governor Duke  Yes   President Evans  Yes   Governor Kohn  Yes   President Lacker  Yes   President Lockhart  Yes   Governor Tarullo  Yes   Governor Warsh  Yes   President Yellen   Yes   "
8643,2009-12-15," As Brian indicated, this vote will cover the directive on page 8 of the   handout and the statement on page 3 with the modifications that Brian read   Chairman Bernanke Yes   Vice Chairman Dudley Yes   Governor Duke  Yes   President Evans  Yes   Governor Kohn  Yes   President Lacker  Yes   President Lockhart  Yes   Governor Tarullo  Yes   Governor Warsh  Yes   President Yellen   Yes   "
8671,2010-01-26,"  Secretary and Economist, Brian Madigan; Assistant Secretaries, Matt   Luecke, David Skidmore, and Michelle Smith; General Counsel, Scott Alvarez; Deputy General   January 26–27, 2010 4 of 260    Counsel, Tom Baxter; Assistant General Counsel, Rich Ashton; Economists, Nathan Sheets and   Dave Stockton; Associate Economists from the Board, Tom Connors, Bill English, Steve Kamin,   Larry Slifman, and David Wilcox; and from the Banks, Christopher Waller, Mark Sniderman,   Simon Potter, Jeff Fuhrer, and Alan Barkema     Yes  This vote would encompass the directive that shows up on page 8   of the package  It would also encompass alternative B, as shown on page 3 of the package with   two changes  The first change would be to eliminate the words in red at the beginning of   paragraph 2 and, thus, begin with the words, “with substantial resource slack”  The second   change would be to substitute in paragraph 4 the sentence on the TAF with the sentence that was   January 26–27, 2010 209 of 260    read by Bill English  And I would note that we would not be including the word “holdings”   within brackets in paragraph 3   Chairman Bernanke       Yes   Vice Chairman Dudley    Yes   President Bullard  Yes   Governor Duke  Yes   President Hoenig  No   Governor Kohn  Yes   President Pianalto  Yes   President Rosengren  Yes   Governor Tarullo  Yes   Governor Warsh  Yes  "
8696,2010-03-16,"  The vote will encompass alternative B, with the change read by the   Chairman, as well as the Directive B, which is on the ninth page of the handout   March 16, 2010 123 of 146     Chairman Bernanke      Yes    Vice Chairman Dudley   Yes    President Bullard      Yes    Governor Duke        Yes    President Hoenig      No    Governor Kohn        Yes    President Pianalto     Yes    President Rosengren     Yes    Governor Tarullo      Yes    Governor Warsh      Yes  "
8720,2010-04-27,"  This vote will encompass the language in alternative B on page 3 of the   monetary policy alternatives without the language in the brackets, as well as the language on   page 8 in the directive, also without the language within brackets   Chairman Bernanke  Yes   Vice Chairman Dudley  Yes   President Bullard   Yes   Governor Duke   Yes   President Hoenig   No   Governor Kohn   Yes   President Pianalto   Yes   President Rosengren  Yes   Governor Tarullo   Yes   Governor Warsh   Yes  "
8744,2010-05-09,"   Yes  This vote will encompass the text that Brian Madigan has read   May 9, 2010 41 of 42             Chairman Bernanke  Yes   Vice Chairman Dudley  Yes   President Bullard   Yes   Governor Duke   Yes   President Hoenig   Yes   Governor Kohn   Yes   President Pianalto   Yes   President Rosengren  Yes   Governor Tarullo   Yes   Governor Warsh   Yes   "
8770,2010-06-22,"  This roll will encompass alternative B as printed on page 4 of the   handouts for Brian’s briefing on policy alternatives, with the exception that the first sentence will   refer to “economic recovery is proceeding” instead of “economic activity has continued to   strengthen”  Second, it will refer to “business spending on equipment and software has risen   significantly” instead of “equipment and software appear to be rising at a robust pace”  It will   also encompass the directive as printed on page 8 of the handout   Chairman Bernanke  Yes   Vice Chairman Dudley  Yes   President Bullard   Yes   Governor Duke   Yes   President Hoenig   No   Governor Kohn   Yes   President Pianalto   Yes   President Rosengren  Yes   Governor Tarullo   Yes   Governor Warsh   Yes   June 22–23, 2010 167 of 213            "
8795,2010-08-10,"  Yes  This vote will cover alternative B as on page 3 of this handout with   the changes suggested, that is, without the last phrase in paragraph 2 and with the addition of the   words “keep constant” instead of “maintain” in paragraph 4, as well the directive on page 7 of   the same handout   Chairman Bernanke  Yes   Vice Chairman Dudley  Yes   President Bullard   Yes   Governor Duke   Yes   President Hoenig   No   Governor Kohn   Yes   August 10, 2010 140 of 160             President Pianalto   Yes   President Rosengren  Yes   Governor Tarullo   Yes   Governor Warsh   Yes  "
