,Date,Speaker,content
3906,1989-10-03,MATTINGLY," That's all that you'd be doing, Governor  -16-    10/3/89  It's the same as the vote of directors of a bank ratifying loans made by the bank The loans are [already] made "
3983,1989-12-18,MATTINGLY," I think if you follow Robert's Rules of Order, it would be something that has to be recorded "
4011,1990-02-06,MATTINGLY," Well, it seems to me that if the Committee has taken a vote that that should be recorded in the minutes You can vote to rescind that vote  -41-    2/6-7/90  Yes sir "
4038,1990-03-27,MATTINGLY," Hopefully, it'll never get to a court But--  As you know, Governor Angell, the Board's General Counsel in 1962 issued an opinion with respect to the System's authority to resume foreign exchange operations  It was all three Warehousing was part of that opinion; there's no question about that That opinion justifies the warehousing of open market purchases of foreign exchange from the Treasury For that purpose the Treasury is in the--  I don't think so Again, that's been the Board's position for 28 years and the Congress has passed a statute which, in effect--I don't want to put too much emphasis on this-- sanctions the System's practice The statute authorizes the Federal Reserve to invest the proceeds of its foreign exchange operations in foreign government bonds and obligations It specifically enacted [this legislation at the] request the Federal Reserve for that purpose And it seems to me that that act by the Congress very much [strengthens] the System's position on this--  It has never been tested, no "
4290,1991-02-05,MATTINGLY, They would go off according to the terms Is there a term on them?  [Each] would roll off according to its terms; there would be no additional warehousing after the resolution 
4803,1992-11-17,MATTINGLY," This Committee is not subject to the Sunshine Act  Not subject to it at all  There are exemptions The FOMC is exempt  Yes  The Board of Governors is subject to the Sunshine Act; therefore, we have an obligation to open the meetings to the public unless we find some exemption  The discount rate is the responsibility of the Board of Governors and we have to go through the procedures of Government in the Sunshine, but we close the meeting  Financial speculation  I think the tape of this meeting is destroyed as soon as the--  Legally if someone asked for the tape before it's destroyed, we'd have to go through the tape and we could delete the recommendations and opinions We'd have to turn over the segregable facts  -63-    11/17/92  No question "
4839,1992-12-22,MATTINGLY, Right 
4974,1993-07-06,MATTINGLY," It's part of the FOMC's Regulations  Some of the information the FOMC has do violate those statues, but the directive does not; it violates the FOMC's rules "
5045,1993-10-05,MATTINGLY," I think you would get a request for that document and--  I think that's right, [though] my answer might have been a little more definitive yesterday than it is today But yesterday I would have felt very comfortable saying that the great bulk of that document could be withheld from the public on the grounds that it would--  I think that was one of the reasons that the Committee discontinued the Memorandum of Discussion in 1976; they couldn't be sure that some other judge or some other court wouldn't reach a decision different from that reached by the judge in the Merrill case "
5065,1993-10-15,MATTINGLY," Mr Chairman, I think you have it just about right The position prior to last week in the government was that these kinds of materials--transcripts that reflect deliberations of an agency--were exempt from disclosure They were privileged and need not be disclosed to the public Last week the Department of Justice and the President changed the government-wide policy Under the prior policy, the Justice Department would defend an agency's decision not to release those kinds of materials, if the non-release was authorized by law And, of course, the Freedom of Information Act does specifically authorize non-release of deliberative materials Last week the Justice Department and the President said that is no longer the policy of the country; we want to have a presumption in favor of disclosure And in the event an agency denies the public access to materials, we will review that on a case-by-case basis and make a determination whether the release would harm the agencies That is the new policy    10/15/93  So in order to prevail, you would have to show that the release of the information would somehow harm the agency or harm a public or private entity We've talked to the Department of Justice, and the new policy is aimed specifically at Exemption 5 The Justice Department's view is that agencies in this town have placed too much reliance on Exemption 5, which is the exemption for deliberative materials They've used it too much, and they've used it inappropriately; and that is exactly what this new policy is aimed at We asked them informally what their view would be regarding materials that we had that were notes and so forth that were used in the preparation of minutes They indicated that certainly with respect to meetings where the persons who attended the meeting were no longer at the agency, or where the issues were no longer in front of the agency, they felt the agency would have a very difficult time persuading them that those materials should be kept confidential That is the state of the policy as far as I understand it The policy was just changed last week  Well, I think this exemption that I'm talking about is designed to protect those kinds of materials also--drafts of documents and things like that that are prepared in the course of decisionmaking My understanding is that the Department's view is that the policy that I've outlined would be applied to those materials as well as to [transcripts]  Well, we have transcripts back to '76  Or the issue was no longer in front of the agency This is just the informal advice--  No, I don't think so No, I think that we would--  No, I don't think so, Governor I think we would have to go to the Justice Department This all presumes that someone asks for the transcript, we turn it down, and there's a lawsuit  If that arises, then the decision on the release of those documents is effectively taken from the FOMC and given into the hands of the Attorney General And what they have said is that this agency would have to prove to them that the release would harm this agency I think we could make a fairly respectable argument that certainly transcripts for the period of the last year, two years, three years, would have that effect  I don't know We can try to make the best argument that we can  Absolutely I think the Justice Department would think it was very reasonable for this agency to make the cut at three or four or five years, and say that anything older than that should be released  That would be a very good argument Now I want to add a footnote--  May I add footnote, Mr Chairman?  When I say ""release of the transcript,"" there are materials in that transcript that we could withhold because they would damage private corporations, for example, or would damage the ability of this agency to obtain information in the future One example is central bank information I think we could make a very good argument that names of specific companies and that kind of thing can be redacted because we can show harm there  Exactly But we all know that the bulk of the transcript basically is going to be debate back and forth--[that is], of a deliberative nature And that material, I think, would be subject to this new rule  That's correct The FOMC has taken the position, and the Supreme Court has agreed with it, that the FOMC-- whose records these are--is an agency subject to the Freedom of Information Act And that places the defense of this [type of] lawsuit squarely with the Justice Department In fact, they have defended the FOMC The Merrill case, the Melcher case, and the Riegle case all were cases against the FOMC  The Melcher case was against each individual [Reserve Bank] President  Whereas the Merrill Case was against the FOMC as an agency  I don't think so  The Reserve Banks can defend themselves A lawsuit against the Reserve Banks is defensible by the Reserve Banks themselves, not by the Justice Department In a lawsuit against the    10/15/93  Federal Reserve Board, the Justice Department has the right to defend the Board Most of the time they let the Board defend itself, but the final judgment is--  In FOIA it's the Justice Department  You'd have to ask Mr Kohn  Unfortunately, the decision is the Justice Department's That would be one of the arguments that we would strongly urge if the Committee decided not to release this information  Correct  Well, I don't know what the Justice Department would say, but my suspicion is that they would probably say that we are fully able to put a disclaimer on those transcripts saying that they are rough and unedited and they may or may not reflect what the person actually said  I think that if you got a request and you offered to make an edited transcript available, that would probably satisfy the requester and it would be deemed to be reasonable If you wanted to withhold the document on the grounds that you're unable to edit it--you're unable to verify whether what was transcribed accurately reflects what the individual said--that would be the argument that we would use with the Justice Department But their response would probably be that they can understand that for transcripts of recent meetings--whatever recent means--but why would anyone care for a meeting that was 20 years old, for example? Or the late ['70s] meetings--  Well, when the person spoke, the person knew that that meeting was being transcribed  Well, in 1977 Chairman Burns testified that it was the policy of the Committee to record those meetings  Yes  The way to answer that is--  The way that some of the Governors are answering that question is to say that the Chairman will describe the records that are maintained by the Secretariat  That accurately describes what Chairman Burns told the Congress  Well, in 1979 the Board agreed that it would support an edited transcript They didn't object to that, as long as it was edited in the fashion of the Congressional Record  I'd go along with the Chairman on that  As I said, the Justice Department will decide these things on a case-by-case basis and they haven't made any decision, obviously, with respect to the FOMC transcripts; and I haven't discussed that with them My discussions with them have been of a general nature So I think the FOMC would retain the ability to try to protect those raw transcripts for the reasons that the Chairman has outlined I think it enhances our case a lot if we're able to say that we have tried to edit those--if we make some sort of disclosure [that is] forthcoming in some respect, for example, by editing the transcripts to the extent that we're able to do that They might be  -10-    10/15/93  persuaded that that's a reasonable compromise position I think they will also be persuaded that the more recent meetings should be withheld So we're only talking about meetings-- There's no guarantee about anything that I say; it's all speculation on my part The Committee may very well be able to persuade the Justice Department to defend the past records entirely; but just based upon what [Justice officials] have said, that seems unlikely to me  That's an excellent point, President Parry The legislation that was considered in '79 and '84 had an explicit provision by statute saying that those documents couldn't be released for three to four years Without a statute we wouldn't have that kind of protection  No sir, it is the Federal Reserve Act  There would be a specific provision in the Federal Reserve Act that would mandate the Memorandum of Discussion and protect it for three to five years  Well, if I understand your question, [since] you're going to make an oral statement on Tuesday, you could say that the Chairman has described the recordkeeping practices of the Secretariat  Yes, he is  The Chairman--go ahead, Don "
