,Date,content
12,1976-03-29,  Will there be any more information about the status of the Government in  the Sunshine [bill] by that time?  
38,1976-04-20,"  To come back to the point, if we made these projections today rather than  yesterday we would have a little different picture  I somehow got the impression, with the quick  review of the first-quarter report, that so much of this is inventory--in which figures I have very  little confidence anyway--that I am not sure that, in, perhaps, a conservative mood I wouldn’t  stick with what we have  I’m not sure that my opinion of the staff forecast has changed much as  a result of the publication of the first quarter  Would the staff care to comment on that?     I had interpreted it, perhaps superficially, Lyle, at least in part, as a moving  up of inventory accumulation earlier than we had expected  But that, you would say, is not the  major lesson to be learned     You do?     We understand that the majors have a significant stockpile inventory, too,  quite apart from the independents, but in truck tires it’s a more serious--     60-90 [for automobiles] and maybe as much as 30 [for trucks]     Mr Chairman, I find your reasoning very persuasive  It’s completely in line  with my own position  I would add one other dimension here that we might want to consider,  and that is that some of the confusion with regard to our targets relates to the fact that the base is  continually changing and being revised and so forth  We did a few things with the numbers last  night in working over the idea that maybe we would be on sound ground if we went to the  fourth-quarter base rather than the first-quarter base and in effect did that on a 15-month period     I would give you the way we look at it as a 4 to 7 percent range for M1  That would be  really quite consistent with the way alternative B of 4-1/2 to 7-1/2 is stated in the Bluebook  because of the difference in the base  And we would [deflect the criticisms] that I consider  somewhat petty [of those] critics who say,  “It’s too confusing the way you do these changes in  goals”  Maybe we are on firmer ground if we use a fourth-quarter base, which is indeed a bit  firmer than our first- quarter base     But regardless of that particular point, I would associate myself with Governor Coldwell in  a desire to keep the 3-point spread  I think it gives us, again, the flexibility that we need in the  pursuance of these goals  And I think the figures that you mentioned, Mr Chairman, as the  results of our first full year of experience, give some weight to the idea of continuing a 3 percent  spread, so I would go for 4 to 7, 7 to 10, and 9 to 12     I thought that was one of the reasons that we didn’t vote in the first place, to  give you the announcement effect with the committee and such interpretation as you wish to  make between the time of our advising you and the time you appear  Some of these things may  be better stated in a little different light when you go up       No, but I’m thinking again of the point of the possible immediate release     4/20/76 - 35 -             No  But, Chuck, all I’m trying to say is that we felt that that the Chairman  should have maximum flexibility in the preparation of his own statement and discussion with the  committee  There may be some of the elements in our discussion he would want to emphasize a  little differently two weeks from now than he does today     I would like to associate myself with the 4-1/2 to 5-1/4 range, Mr  Chairman  I think, again, that it’s the top figure that’s the critical one  I don’t think the lower  figure has too much practical significance at this point except as a psychological lower end of  our range     To the extent that the midpoint has significance--although maybe it has more significance  than some of us would like--I think it is better to have that up just a shade to give sort of  substance to the idea of permitting--and I like the phrase “permitting”--the market to adjust  maybe 1/8 or so higher in terms of our resistance points rather than doing any outright  encouragement in a more direct manner     I would keep M1 at 5 to 8 even though that seems to be below alternative B  Again, I  think the upper end of the range here is the critical figure  I really don’t care much whether the  lower is 4 or 5, but I think the 8 percent is quite appropriate here  And I’m really not too worried  about Chuck’s point on what may happen in May in an 8 percent [specification] where April is at  8  I think we can still qualify under that to the extent that we need to  So I would vote for 4-1/2  to 5-1/4 to show some direction, very faint it is true, and I think that’s the way it should be, and  an M1 that would have an 8 percent rather than a 9 percent top     Mr Chairman, may I humbly suggest that if 4 equals 8, then 8 equals 4, and  the sum of them is 12 equals 12, so we still have to pay some attention     Now what this adds up to, Tom, is that if we get the Government in the  Sunshine [Act], we have an even more elaborate procedure, because of the tape requirement,  than the Memorandum of Discussion [imposes] now  Is that a fair statement?     4/20/76 - 55 -             Mr Chairman, question really to Tom  Where do we stand on the  Memorandum of Discussion over the past five years?  Is there--if the suit, say, is sustained, does  that open the door to either another suit or a feeling that we should release all of the Memoranda  of Discussion in the last five years?     So this would consume all of the staff time for a long period--     4/20/76 - 58 -             --from a practical standpoint, to prepare them for documentation     Mr Chairman, I’d like to support two of your recommendations despite the  fact that I was a member of the subcommittee that came up with the other recommendation  earlier that we--    SPEAKER(?)  We were divided equally on that, Bob     Well, no, I don’t think we were, really, not on the 30 days  I’m talking  about the Coldwell subcommittee more recently  I have no question at all about the 30-day  thing  I think that should be done in any event  My only question on the other is the acute  question of psychology of the timing, whether we appear to be destroying records rather than  enhancing public records  And I think this is a real source of criticism, but despite that, my only  question in my own mind is whether I would approve this time or wait one more month and then  approve it  I think it narrows itself pretty much to that sort of position     Mr Chairman, I have one problem, though, of interpreting, even as we  know it now, approximately 30 days as being 31 to 38 days, which is really what we’re talking  about     Well, it’s quibbling, I will admit  "
64,1976-05-18,"  Mr Chairman, I might say, too, that, to elaborate on your point, even the  more sophisticated readers of our document, three or four weeks later, may be hard put to  remember whether our directive came out the day before or the day after the appearance of new  GNP figures, and this sort of thing  The timing can be sensitive, and I think it does make for   more complete background information, quite apart from the formal requirement here to have the  facts as we knew them on that day and not have people wondering, ”Sure, but did this new figure  come out before or after that date?”       Yes     Be glad to, certainly     Well, we’ll see what we can do, Mr Chairman  I would like to work with  Lyle and his people      Came from what?     On a perhaps minor point, Steve, we have noted the experience in our  District, at least, of the $2 bill that we have put into circulation  [The bills] are going into  bedroom bureau drawers, etc  The few merchants that have accepted $2 [bills] from their banks  have done so under pressure, and they come right [back] to those banks  That’s been a typical  experience, although we haven’t taken a full survey on it  Currency has been expanding rapidly   I haven’t any numbers in mind, though, as to whether the sort of thing I am describing has any  monetary policy significance or whether it’s minimal     I find myself subscribing completely to your reasoning and your figures on  the federal funds constraint  I think the 5 to 5-3/4 would be quite appropriate here, a central  point of 5-3/8 which gives us another 1/8 nudge if it should be deemed necessary    I am less sure however of your recommendation, Mr Chairman, on M1 and M2, feeling  somehow [that] it wouldn’t be quite as consistent if we were to lower the ranges as much as you  suggest and that it might hasten the arrival at the 5-3/4 percent [upper bound of the federal funds  rate] range earlier than we otherwise would anticipate  I would favor, therefore, maybe  something like 5 to 9 and 6 to 10 on M1 and M2  Of course, if we were to adopt your  prescription we could still have an intermeeting telephone or wire session to perhaps change the  5-3/4  But I feel the same way that you have indicated, that you don’t really see the need right in  the month ahead to go above 5-3/4  And I merely have that one reservation as to whether  adopting too low a range on M1 and M2 might make the increase faster than we really want      My reasoning is exactly like yours on the federal funds rate, but I think that  if we lower the top of the M1 and the M2 range, we are putting the Manager, Mr Chairman, in a  position of getting to 5-3/4 too soon, and then what do you do next  I don’t want to go above it  either     But again, my point is, Mr Chairman, are we being unduly constraining?  The Manager can [encounter] this by having M1 and M2 ranges that have too low an upper limit  "
91,1976-06-22,"  Question for counsel  Tom, is there any legal risk that the decisions made  by this Committee today will be overturned in the process of this suit?     Thank you     This may not be too relevant, Tom, but it raises a question in my mind that,  if this is unconstitutional, wouldn’t the fixing of the discount rate by our boards of directors be  unconstitutional since that’s one of our major tools of monetary policy?     Mr Chairman, I subscribe to your comments  I think I do prefer the full 5  to 6 range for fed funds with our usual tendency, which would be the same, I suppose, under  both of our prescriptions of leaving it pretty much where it is  But it gives a little more leeway to  the Desk       6/22/76 - 29 -           I think I’d like the idea of maybe 3-1/2 to 7-1/2 for M1 as against 4 to 8  I find it a little  more in tune with our longer-term objectives, keeping those in a general subtle tendency perhaps  of a bit lower  I’m thinking also that the results of this meeting will be published very close to  the time you go up to testify before the Banking Committee at the end of July  And not  prejudging where we are going to come out a month from now, I would make a guess that we  probably would not be raising those ranges  Indeed this might be in the right general area, and  although it doesn’t make much substantive difference, it probably would look a little better than  the 4 to 8  M2, I would take 6 to 10       And I would use 6 to 10 for M2, not that that is critical, but I would still pay  a little more attention to M2, as we have the last couple of times  I would lean toward a money  market directive this time, since that is perhaps a better expression of the way [alternative] B is  set up, but I don’t feel strongly about it  "
116,1976-07-19,"  I’d like to follow up on the point that Bruce made, which is really my only  question  I favor continuing our present position  I don’t think we should be frogs and jump  around just because two people who happen to be in a particular position like to see us jump   But I would like to have Mr O’Connell’s counsel on this, as to whether he sees any prejudice to  our position on the openness of our records in the instant case that Bruce referred to, by a  decision one way or another in this particular instance  Is there any relevance at all?     Well, Governor Partee has finally made my speech for me all the way down  the line  I’m not troubled by the overshoot  I think that [unintelligible] should be more broadly     7/19-20/76 - 55 -   measured  I have the same uncomfortable feeling that Chuck mentioned with regard to the  housing thing, but I see no great difficulty in explaining that to the general public     I have a slight qualm as to the tactics  We did explain to the general public that one of the  reasons for moving the M1 range down last time was that there were new factors coming into  parts of M2 that were really M1 in a way, and that [there were] movements out of demand  deposits--corporate sweeps and so forth  We are now silent on that subject, and it might look  inconsistent to people who view our reduction of the targets on M2 and M3 and keeping the  target on M1 as a reversal of the previous explanation  But I don’t think that that should cause us  any trouble     I must say I find empty the suggestion that we make a change now because it would be  hard to do a change three months from now  I don’t consider that any of us around this table is  capable of judging the precise environment in which this discussion will take place three months  from now, regardless of when you may be asked to testify  I am quite willing to be a  procrastinator on that particular phase of decisionmaking today, so I would support the  recommendation you have made Mr Chairman     I have the same feeling you do, Mr Chairman, on the ranges for the  aggregates  I think 4-1/2 to 8-1/2 in B is too high  The 4 to 8 under alternative C is all right, but  I wouldn’t even mind shading that a little bit  I don’t see any necessity of placing our upper limit  any higher, really, than 7-1/2 as a practical matter  However, I would keep the federal funds rate  range of 4-3/4 to 5-3/4, but I would adopt the money market directive wording, which I think  would work in the direction of keeping the rate closer to the 5-1/4 percent, where it is now  "
142,1976-08-17,"  You mean the tool purchases?     Well, Mr Chairman, you have articulated a couple of my points better than I  could have, but I was about to say something along the same line  I put a little different  interpretation on Mr Winn’s list, which is impressive, than I think either Mr Partee or you do  I  think that it contains some of the elements, actually, of strength rather than weakness in terms of  perpetuating the recovery  I acknowledge here your point of the midrecovery pause, or whatever  we call it  But it seems to me that many of these factors are “normal” factors--that analysis  would bring forward if we were to do it in depth--that characterized almost all of our recovery  periods over the last generation  It seems to me, therefore, that, while I recognize the somber  nature of President Winn’s list, I find in that list a number of factors that, instead of giving me  increased concern, give me a little more confidence in the lasting nature of the recovery and  expansion that we are in     Having said that, I again will revert to the type that seems to characterize all of us  I find  the staff projections already encompass what I have just said  It is a recognition of factors that  keep this from being a worrisome, if you please, type of expansion that would lead to ultra-high  interest rates, super inflation again, and a bust that would follow  So I would like to put a  positive tone on Willis’ list     I would also remind the Committee that this happens to be an odd coincidence of the  August doldrums--not always statistically measurable--with perhaps a mid-expansion phase in  our economy  And I think that, psychologically, this has considerable importance  My friends in  New York as well as in Chicago find that there is less activity going on in August than is usual   And again, this is a year divisible by four, which has something to do with it, too  People are  sitting on their hands a little more  I think the confluence of all three of those factors makes me  feel even more that I’m not ready to make a judgment yet as to whether the economy is  sputtering     One other facet of this  No one has mentioned the interpretation of some of our leading  indicators as optimistic  I noted with some interest the article in, I think, the Wall Street Journal  the other day--and I’d like to have Lyle comment on it, if he cares to--that [characterized] the  ratio of the coincident to the lagging indicators as being a very bullish factor  Again, I don’t  want to get into gimmicks, and [in this case] maybe the ratio of one gimmick to another     The ratio of one gimmick to another may be double gimmicking, but in a  political year I think we can engage in some discussion of gimmicks that’s not on the record,  especially when it becomes newsworthy enough for the Wall Street Journal to run a front page  article on it  Do you have any confidence in this particular ratio, Lyle?  Have you studied it all?     Well, one of the troubles with it, as we all know, is that it equates one stock  market [index] with one labor index with one of all sorts of things, and--granted they’re trying to  equate the trends in each one--the weighting is an impossibility  I think that the only support I  would give to such an indicator is as Lyle suggests  If that indicator upon analysis--not just  arithmetic but upon analysis--seems to give a little more cohesive support to conclusions already  formed on the basis of substantive analysis, maybe this gives me a little more comfort  We have  a discomfiture index in the weather, and we can have one in economic projections as well  And  maybe that is false analysis     We just hope it isn’t false comfort     One other observation, Mr Chairman  You, with all of your background,  found it somewhat discomforting that 4 equals 8 when we were working with the seasonal  adjustment problem on money supply  Knowing how sensitive those seasonals are, some of us  may tend to forget that they are equally poor, if I may use the term, on unemployment and more  particularly on some of the price indexes    It was called to my attention yesterday morning that some of our people have a real  suspicion, for example, of the agricultural price decline in the wholesale price index  In July the  change in the unadjusted figures was zero; this was publicized, though, as a decline of  17 percent, or something like that, in food prices  Some of my people who are very cognizant of  the construction of these seasonals say, in effect, let’s not play games  That’s the reason the  wholesale index looks so good in this last month  But ’taint really so; the seasonal isn’t that  good  So I think, again, we can draw from our own experience with our seasonal problems on  money supply and recognize that [the data on] much of our economic world is suspect in one  degree or another     I have no problem with your recommendation or your points, Mr Chairman  and Vice Chairman  I would buy alternative B  I don’t want to suggest a change in the range for  M1  But I think it might be appropriate to raise a caution that if M1, in the preliminary judgment  of the Desk and the people here, seems to be expanding because of the decline in the Treasury  balance, I wouldn’t panic and go to the top of the federal funds range just because of that factor,  because it itself is something of an aberration  It’s not something to be ignored, but it’s  something to be given a little lesser weight than other short-term movements in M1  "
163,1976-09-21,"  Alan, is this schedule that we are talking about visualized as having some  flexibility, or is it a fairly rigid schedule?     I guess this is my question  The Swiss franc continues to be very strong,  and this is a big chunk  I just feel a little uneasy, myself, [about] our ability to do it at, quote,  “current market rates”     I fully subscribe to this  I just have the uneasiness going along with the  subscription     I agree, too, Mr Chairman, on the wider federal funds range--4-3/4 to 5-3/4  I think is quite appropriate and it doesn’t box us in quite as much as the 5 to 5-1/2 would seem  to, at least in the public gaze  I don’t see any real difference in the effect of one versus the other  on the way the Manager would operate, but he may wish to comment on that       9/21/76 - 26 -     As far as M1 is concerned, 4 to 8 is fine  I had initially written down on my note sheet,  Mr Chairman, 7-1/2 to 11-1/2 on M2, which was the figure that you started with and then  changed to 8 to 12  I certainly have no reason to differ from the 8 to 12  I share the point,  though, that Governor Wallich made on our M2 range  I do feel fairly strongly that it shouldn’t  be as high as 9 to 13     On the reserve requirement point, in case all the members of the [Federal Reserve] Board  aren’t familiar with it, the Conference of Presidents meeting in Chicago last week adopted a  recommendation to the Board with regard to reserve requirements  It went along the lines that  we could see merit in some announced plan late this year, perhaps the last six or seven weeks of  the year, as to our intention to reduce reserve requirements, perhaps over some sort of a  scheduled plan starting with some reduction before the end of calendar 1976  Seasonally, even  though the seasonal may not be very great this year, there still would be some reason to provide  reserves in this way  And, indeed, we feel further steps could be taken, even when the seasonal  is more neutral, because of our ability to offset the effects in open market transactions     Mr Chairman, I intended to pursue with Alan on the question, would he  operate any differently [unintelligible] 5 to 5-1/2 versus 4-3/4 to 5-3/4?     I would agree with that     9/21/76 - 29 -       Mr Chairman, I’m not sure I understand the reason for moving back to the  aggregates directive as against money market  "
186,1976-10-19,"  Mr Chairman, first of all, an observation  As an ex budget director, I think  Lyle is on the right track in his feeling that the most logical explanation of the underspending at  the federal level is, if I may use the term, budget padding by the agencies in terms of their  inflation assumptions that are never stated, probably, even by the OMB  And again I have no  knowledge of this, it is just surmised, but it seems to me a very logical chain of events that would  lead to an explanation of the present underspending level     I find that I share substantially Lyle’s comparing the Greenbook forecast of just several  months ago with the very little changed Greenbook forecast today in terms of risks that are  involved--he felt we were likely to exceed our estimates of two or three months ago, with the risk  much greater on the downside now  I like this formulation in my own mind because it gives me  a separation of a--granted--judgmental forecast, but with an added fillip of judgment that can’t  really be quantified at all     On the other hand, while defending this approach, I must say, well, that’s an economist for  you  Why doesn’t he change his figures instead of just reappraising the risk as being greater on  the one side in one case and greater on the other side in the other case?  He is telling us, in effect,  that the outlook is not so good as it was two or three months ago, and it’s not nearly as good as  the comparison of the figures would indicate  I was wondering if Lyle had any comment on that       That’s my question     Is it operationally possible?     I also had written down, before you spoke, the same federal funds  range--4-1/2 to 5-1/4  I share Paul Volcker’s comments on how this worked out last time, and I  think it worked out very well  I would be willing to try it again on much the same sort of  approach that was taken by the Desk during the last month     Maybe it’s just a quibble, but I share some of the same problems that Paul has with the 5 to  9 [for M1]  I would prefer 4-1/2 to 8-1/2  I think I would rather see Ml go a little bit lower than  the 5 percent--although this is terribly minor--before, in effect, we worry about our limits on  federal funds  I feel less strongly on the 9 to 13 [for M2]--8-1/2 to 12-1/2 is fine with me       Well, I personally prefer, Mr Chairman, sticking where we are, 4-1/2 to 7  [for M1] with a rise in M2 to either 8 to 10 or 8-1/2 to 10-1/2, which is the prescription in  alternative B  I didn’t consult with the doctor who prescribed alternative B, but it seems to me  that this does have some announcement effect that is very slightly toward easing, and the only     10/19/76 - 49 -   rationale, or the major rationale, for taking your prescription in preference to this--for Ml at 4-1/2  to 7--would be if you indeed did combine it with a rise of 8-1/2 to 10-1/2, and I think you could  cover the possible, indeed, perhaps likely, misinterpretation that we were squeezing too early  here on the long-term ranges by doing that  But I still have a preference for the way alternative  B is stated by the staff    "
225,1976-11-16,"  Mr Chairman     Where does this, what is our position in relationship to the supervision of  our domestic commercial banks if we have a feeling such as you just expressed?  Do we,     11/16/76 - 8 -           policywise--is this related in any way to our member banks in order to avoid a possible problem  that they might have if there were a debt moratorium on the credit extended?       To what extent do you visualize coordination to be sure that we all read the  agreement in the same way?  I can see a possibility of one Bank including something, then Reuss  coming back and saying, “Well, where’s this from the other 11?”  And this sort of thing  Should  the Conference of Presidents [of the Reserve Banks] be involved directly in terms of, shall we  say, monitoring this, or should O’Connell--      We think it is very important that it be done     If he were to have any of his staff people contact any of us directly to get  further information, what would our posture be, Tom?     In other words, you would eliminate all executive committee meetings that  act on the discount rate?     [Unintelligible] is an even bigger question mark  They have no familiarity  with, nor have they paid as much attention, as usual, to the statements that have been made in the  campaign or to the extent that they have, they write some of it off as campaign rhetoric  They’re  waiting for a philosophy to be expressed  It doesn’t mean that they expect that to be against their  interest, it’s just another element of uncertainty, and I think that’s [unintelligible] the stock  market which again [unintelligible] has heightened the uncertainties     Mr Chairman, I’m prepared to accept a repetition of our range at this time  on federal funds for a 4-1/2 to 5-1/4  I feel strongly about the 5-1/4  I do not want to see a 5-1/2;  I think it gives the wrong impression all the way along  I could be talked into a 4-1/4 on the low  range as against a 4-1/2, but I think my preference is the 4-1/2  It gives a feeling of stability, and  yet, the midpoint being 4-7/8, I think this is something that we can gradually work toward  It  would give a little feeling of ease to go along with what I agree, too, should be perhaps a 1/4  point change in the discount rate  I wouldn’t go as far as Frank  I, too, have resisted movement  within my board to lower the discount rate  It’s been quite a vocal and articulate response,  interestingly enough, by the bank members [of my board], not by the nonbank members  I don’t  know how you would explain that to the chairman of the House Banking Committee  But I find  that this is the way the sentiment runs     I have already indicated to our board of directors that my recommendation is  still firmly in favor of keeping the discount rate where it is, but I’m not guaranteeing that there  would be no change in that recommendation as we look to the next full board meeting, which  would be a week from tomorrow     On the M1 and M2, however, I guess I split a little here  I think I prefer the 3 to 7 [for M1]  and the 10 to 14 [for M2] as the points to watch on our ranges for November-December  I share  some of Frank’s problem with the 2-1/2 [lower bound for M1growth] looking awful [skimpy],  and I haven’t that much confidence in the figures  I’d rather just round them, and I’d round up  rather than down in both cases  "
251,1976-12-20,"  Point of information--is the word “collaboration” in the present directive     I wanted to raise this at some point, Mr Chairman  [My point] doesn’t deal  with the specifics here, but I think it should be raised, and that is the absence of a preamble of  some sort as to what the philosophy of the swap line is  The absence of such a preamble kind of  bothers me  I have no solution to this  I throw it on the table only as a problem  We used to talk  about creating liquidity with the fixed exchange rate; those references have appropriately  disappeared  But I’m just wondering if we are at some point along here in need of some  defenses as to why we are in the swap business  I don’t see it  I miss it     Yes, I see this, Henry, and I think it is appropriate, and I can’t define too  well what’s bothering me, but I’m looking for something more philosophical     That’s right     That’s why I brought it up at the tail end of my discussion, Mr Chairman  I  don’t think it has direct relevance to the specific documents we are looking at today, but I think  it does have direct relevance to our policy as a System     Well, John, my only problem with that is, again, a question of tactic,  strategy, and timing, as to whether it would be unfair to ask Henry and his associates to open     12/20-21/76 - 22 -         up--first of all, we would have to develop a statement here ourselves that we would agree to, it  seems to me, and second, Henry would then have to enter into a further discussion with Treasury  on it  And I’m wondering if it would be inappropriate, timewise and strategically, to introduce it  right now  But I think it should be there somewhere along the line     An observation and then a question  We have found in our probing among  our directors and other business contacts that the time has come to again say that the subjective  feelings of the executives and economists that we’ve been talking too are a little ahead of the  statistics  In other words, the statistics are still weakening in some areas, stabilizing in others,  but are really not optimistic yet  And yet we detect a little more cautious optimism than a month  or certainly two months ago with regard to what you might call the flavor of the business  outlook     The question, I guess, has been largely answered already, but I’ll ask Lyle anyway for a  little elaboration  My question was how much of your improvement from last time is due to  fiscal stimulus, and how much is the economy coming up on its own  If I read you correctly, the  improvement, say, by the fourth quarter, from 49 percent real GNP growth to 64--you attribute  two-thirds of that to fiscal stimulus and one-third to the economy without the fiscal stimulus   Am I jumping to a conclusion, or is that about right?     Oh, you would have     Well, now, I am puzzled, because I thought you agreed with me when I said  about two-thirds was fiscal stimulus  Now aren’t you saying that all of it is really fiscal  stimulus?  From 49 to 64?     Well, what I was looking at is your page I-7 on the staff projections, and the  fourth quarter of ’77, 49 for a month ago and 64 for the current projections  And I gather from  what you’re saying, that since we did have an improvement built in a month ago, that really the  additional improvement here is fiscal stimulus     Thank you     Also, the ground is frozen now, and the subsoil problem isn’t going to get  corrected until we have thaws, and the moisture now that is there in the form of snow helps the  soil from blowing away to the extent that it isn’t frozen  But there is still a serious problem  around our area; the subsoil moisture has basically been used up     12/20-21/76 - 54 -           Well, again, it depends how the snowcover corresponds with the ability--if  the ground’s frozen, that snow isn’t going to do much good--it will just gradually evaporate  The  snow has to be there later on in the season  You’re right, it is too early to make firm judgments  on the crop fate, but it has got a lot of people worried     These are exceedingly small differences, and I think most of us emphasize  this  I find myself, too, Mr Chairman, in the group favoring the 4 to 5 percent range  I favor a  bigger range than 3/4 of a percentage point, somehow--constitutionally--and have for many  years  I think we have tended to narrow the range too much  I feel that the difference between  4-1/2 and 4-5/8 is again very minor, but I like the psychology of at least seeming to tip our hat in  the direction--internally, at least, to let the new cut in the reserve requirement work its way  through market psychology without feeling that we have some sort of a duty to offset it     I also feel that the monetary aggregates are sufficiently difficult to predict here, and I  would widen the range just a little bit on the M1 and M2  I would go from 2 to 7 on M1, and I  would go from 9 to 14 on M2, because I don’t think we really want to make any significant  moves within those ranges  I don’t feel that they are too broad if we were to do that  I still have  a bottoming out philosophy that doesn’t say go down straight but, really, make a saucer  And  “make a saucer” to me includes a recommendation again on 1/4 percentage point on the discount  rate to make it clear to the market [unintelligible], in effect keeping our credibility as a System in  the recognition of the market here and our flexibilities     These are all very minor adjustments  I could live with the prescription just as you gave it,  Mr Chairman, but I prefer just a little bit here  I don’t want to call it fine tuning, but I must  apologetically say, I suppose, that is what it is  "
