,Date,content
2143,1992-02-04," [Statement--see Appendix]   The dollar had rallied very strongly and very quickly, as I mentioned, almost certainly basically on short covering And that strength had continued through Thursday, January 16th In the morning we had a rather [sloppy] market because of the questioning of how best to interpret the trade figures At that time the Treasury expressed a very strong view that it was ""appropriate,"" as they put it, to cap the dollar and to adjust it downward somewhat   To ratify the Federal Reserve sale of $25 million against yen on January 17th That was our only operation on behalf of the Federal Reserve during the period "
2203,1992-03-31," [Statement--see Appendix]   I suppose, Mr Chairman, the answer partially [relates to whether] we should reduce further our overall DM holdings The reduction of DM10 billion this year and the sale of our interest earnings, which I mentioned in my note to the Committee last week, is about the maximum amount that would lead the Bundesbank to feel that we were operating in a friendly manner between central banks That was about the maximum, in conversations that President Corrigan and I had with Mr Tietmeyer, that the Germans could really go along with So, that's a partial answer to the question The shift of the DM6 billion was partially to get some additional yield    3/31/92  With regard to our arrangement with the BIS, just in terms of our own liquidity, we do have an early liquidation agreement with them Therefore, from the standpoint of managing our own affairs, I think the move to the BIS is something with which we can be comfortable   "
2262,1992-05-19," Good morning, Mr Chairman, ladies, gentlemen [Statement--see Appendix]   Certainly   It would leave about $147 billion equivalent in DM after the next transaction, which would be about 24 billion deutschemarks "
2321,1992-06-30," [Statement--see Appendix]   I think it's not routed completely, but it's certainly less important now because of essentially speculative capital flows based on interest rate differentials and views of stock markets As I mentioned, I think what is hurting the dollar at the present time is the interest rate differential, which is clearly against us, and a view that Wall Street may not be as attractive [as previously] People are reading about the flows into equity mutual funds slowing down and so on The capital flow, which was really the source of strength in the dollar, is slowing down; and that is giving us the weakness even though there's no question on a purchasing parity basis that the dollar is far, far weaker than it should be   From what we hear, the Europeans don't have any interest in any multilateral foreign exchange activity And I haven't heard anything from the Treasury as to their planning to [undertake such operations] But the market is quite convinced that there is going to be at least a US/Japanese accord, which the Europeans will probably bless but not participate in    6/30-7/1/92   I believe there are two factions, but they wind up in the same place coming from different directions The Ministry of Finance thinks that it will be very convenient for them politically in the bilateral relationship with the United States to have a stronger yen The Bank of Japan seems to have a very firm view that a stronger yen encourages capital flows into the stock market, and they would very much like a stronger stock market because of, among other things, the positive effect it would have on the tier-two capital ratios of the Japanese banks   I think what you say is accurate, but what I've described is the position of the Bank of Japan, I'm quite convinced They need not necessarily be right   If the Chairman makes a very strong statement without putting himself in too much of a box--in that regard I would support President Corrigan--that there is a commitment on the part of the FOMC to price stability, I think that is what is important And it can be done in a way in which holding the M2 [range] as the Chairman suggests is going to be fully acceptable to the market I think the market would say this ""If you say that you really are uncertain about what is going on in the monetary aggregates and therefore are going to leave them alone, that's fully understandable If you say you don't know what is going on in the monetary aggregates and are studying it and are going to come up with an answer but in the meantime you are going to change the range, the story doesn't hold together"" I think the market is always very confused about a story that doesn't hold together and is very accepting of a spokesman with [the Chairman's] degree of credibility saying ""We're not sure; we're studying it; and we're going to come up with an answer as soon as we have one"" That's a very comprehensible, understandable, believable story "
2382,1992-08-18," [Statement--see Appendix]   I think one must distinguish in foreign exchange intervention between trying to protect a rate level and seeking to avoid markets being disorderly Now, we have something of a [conundrum] with the Treasury on exchange rate policy; they, I believe, would be rather more interested in the rate Our interest-- certainly my own and the one I keep preaching to the Treasury with regard to what we ought to be doing--is that we should try to avoid disorderly markets [It is only when] we make that second judgment that we will be effective in doing anything As to the two interventions so far, I think the key tie-in to short-term domestic policy is that the Committee has a greater degree of freedom this morning than if the dollar were a great deal lower Now, I have no idea what the deutschemark-dollar rate would be if we hadn't intervened I think it's reasonable to say that it would be a good deal lower and the Committee might be worrying about the weakness of the dollar and any inhibiting factor that might be Going forward, if one were to apply the test of ""Is the market disorderly?"" and ""Would intervention do something about it?"", it becomes more difficult the more we intervene It's a tool that gets dull pretty quickly One can really see the difference between the two interventions if you [count] the second two pieces as part of one The first intervention    8/18/92  was very successful because nobody expected it to happen and we did it at a time of day when such intervention normally doesn't happen It was as if there were a rookie pitcher on the mound and Babe Ruth was at the plate and they moved in the fences; it wasn't too hard But now it would be really difficult because the market is sitting there waiting for us to come to them, and that's a very awkward position to be in if we are to accomplish something So, my own view would be that at certain periods it gives the System greater flexibility in monetary policy and at other times it is not likely to be effective and could be counterproductive Philosophically, that's where I am Exactly how you apply that is difficult   I guess the best test of that is that last Thursday the Treasury staff up to just below the Secretary was very inclined to want to intervene; I spent a fair amount of time trying to convince them that it wasn't a good idea At one stage I moved in my good friend, Mr Truman, to help And the two of us I think dissuaded them largely, in addition to policy considerations, on the grounds that it just wouldn't work   Sorry, I did mean ""sold"" "
2429,1992-10-06," Thank you, Mr Chairman [Statement--see Appendix]   Intervention is unlikely to be highly effective because it would be very difficult under the circumstances to organize a coordinated intervention It is tough to be effective intervening on our own I think it's a tool and, quoting President Corrigan at the last meeting, I'd be inclined to say ""never say never"" It is something that we may want to use The reason it would be difficult to organize a coordinated intervention is that most of the Europeans don't have any deutschemarks, which would be the currency of intervention And the Bundesbank, I would think, probably would want commitments from the Chairman on the future of monetary policy that I suspect he would be very reluctant to give Because of their concern about what [intervention] did to the management of their money supply, it would be a fairly tough argument to make in any case In the midst of a political campaign, if one or more of the candidates could be induced to say that a weak dollar policy is not what he has in mind, that could be somewhat useful if it were done with good timing   Well, all during September we were very much in the mode of not wishing to intervene because of the likely counterproductive effect on [our] domestic markets, especially the bond market Therefore, in fact, I didn't have any discussions of ""What if?"" or ""What do you think we should do?"" with them At that time the main thing that would have inhibited any desire by the Germans to do an intervention operation with us is that they very much wanted the ERM to come apart in order to stop having the monetary policy problems they had and to establish what they think is the single most important principle of the mechanism, ie that it be flexible So, I think the main concern they had was purely internally European   Right   Exactly When we did intervention operations during the summer, the other European countries were just delighted every time we even mentioned the [possibility] of it The Germans were much more reluctant, but they didn't want to get ""noticed"" as being against an operation which the other Europeans saw as positive because in weakening the mark it helped them keep the system together   The technical monetary effect of the intervention wasn't what we were concerned about It was the psychological effect of an unsuccessful intervention operation on other markets   Right       As you know, we have this [conumdrum] with the Treasury, and about 55 to 60 percent of US reserves belong to this Committee and the rest belong to the Treasury Perhaps understandably, given everything else that has been going on, the Treasury has not been able to focus on the whole issue of reserve levels or management since we've had these discussions this year with the Committee I think realistically what we have to do is wait until after the election and until this Treasury team or whatever Treasury team is prepared to talk about it, and then we can come back to the Committee   The foreign exchange market, yes   No It could happen, but my judgment is that the highly expected 25 basis point easing in the funds rate would not do much of anything in the foreign exchange market    10/6/92   They definitely don't have all of these operations sterilized yet; I don't have a good feel of what would be a reasonable percentage   Thank you, Mr Chairman There are two things I've learned by this the fourth business day of responsibility for the Open Market Desk, judging from the first three days Deciding exactly how to go about adding or subtracting reserves and in what amount is a lot tougher than I think anybody, especially me, realized   It has been an interesting baptism The smartest thing I could possibly do was not to fake it for the whole period and, therefore, Joan Lovett will give the report    10/6/92   The first couple of days were aggravated, as was the September 30th quarter-end, when Bank of America's computers went down about halfway through the day on Wednesday And I believe, Bob, they didn't get them fully back up until yesterday    10/6/92   Well, I didn't know that Bank of America is usually a pretty good size supplier of fed funds, so I think that was probably at least a marginal contributor But it isn't the whole explanation of why funds have been quite as tight as they have been   I think the attention span of most people who trade securities is relatively short [Laughter] The big thinkers have tomorrow in mind! Seriously, one of the things that makes them think that way is that their bonus systems are based on thinking for rather quick gratification rather than longer term Going back to your earlier question, in most of the firms the Fed watchers have become much less important than the traders And the traders very much look at psychology; they're getting more and more married to the black box which says that the past is the mirror of the future So it has changed a great deal from the period when the Fed watchers and the economists in the big trading firms were really quite powerful I think there would have to be an extended period of this [unintelligible] off to concentrate on the monetary variables for a change to take place because the firms would have to recast their own internal structures and to whom they listen   Exactly   I think we'd like to discuss that Corrigan- gram! "
2430,1992-10-06," If I could pick up on Ted's comment for just a moment I think we have to recognize that the situation in Europe is still very unstable So, something could happen in Europe whether we lower the fed funds rate here or don't lower the fed funds rate; it could have very little to do with what we do or don't do But establishing that causality necessarily would be very difficult I come to the conclusion that the foreign market does not inhibit the Committee from doing what it otherwise wishes to do "
2489,1992-11-17," Fourteen and the BIS   Japan as well, and we also have a small swap line with Mexico   The most likely swap lines to be utilized are those with Japan and Germany I think there are circumstances when, given the tie-ins of the EMS currencies, there could be a possibility --less likely I agree--of using the swap arrangements with some of the other central banks You will recall that we owe the Committee a discussion of the general issues of our currency arrangements and our reserve holdings This is part of that picture I would prefer, and I recommend to the Committee, that we renew the lines and then revisit the issue when we have that later discussion and after we have a new Treasury team with whom to discuss their views   [Statement--see Appendix]   Your [inference] is exactly right We're just at the cusp of being able to see whether it's purely a year-end phenomenon or whether it goes past that The rate structure in the market and perhaps even more our very active conversations with banks and the Wall Street firms do lead us to the conclusion that it's a year-end phenomenon   It doesn't in fact come out We let the market assume that we've eased I think there would be an additional benefit because sometimes it isn't altogether clear how much we've eased and it takes us a day or two of fiddling around with repos and matched-sales in order to convince the market what exactly was done To the degree that there's a benefit in not confusing markets, I think we would actually get a plus from this approach   Yes   Yes   As I understand it, yes "
2490,1992-11-17," I think the mass of market opinion is somewhere between your possibilities one and two or a combination of those The single greatest driver to the backup in rates across the yield curve was initially the view that, whoever won the election, there would be a fiscal package early in 1993 I don't think the markets have the benefit of Governor Lindsey's memory of the fact that it [usually] takes a while They think it will happen like that There is, I'd say, a [less prominent] view in the market that the Federal Reserve would go along and monetize this increase in fiscal spending I do think that's [held by] a rather definite minority; most bond market participants feel that the Fed is dedicated to the notion of working toward greater price stability I think some of the articles you're reading are meant to throw hand grenades in our path so that the Committee will be tempted to think that continuing the drive toward a reduction in inflation will involve too high a price That's in a way a compliment; [it supports] the view that the Committee, left to its own devices, will continue its anti- inflationary efforts These articles are trying to increase the political, psychological--or whatever the right adjective is--[cost of disinflation] There's very little market [support for] your third possibility and some for the ""tomato"" theory, your fourth one But mainly the view is that a fiscal package is likely and that the fiscal package will automatically be inflationary   Yes    11/17/92   I think the near-term easing action would get about 95 percent of the Street's attention And there could be a rather unkind view of why you coupled the two, ie that you were trying to fly the anti-inflationary flag and to couple it with the decrease in order to--going back to the theological discussion early in the meeting--have sin and virtue combined "
2547,1992-12-22," [Statement--see Appendix]   A very, very thin market There was a remark by [Bundesbank President] Schlesinger, which seemed to give a more bland approach to his view of inflation in Germany, that helped the dollar; and then Bloomberg came in with a story interpreting what Schlesinger had said in not such a positive view, so the dollar came off a little But we have these very, very thin pre-holiday markets; so if somebody sneezes, the exchange rate moves a half pfennig   We think the view that Clinton is not likely to have a bigger stimulus package than the $25 to $30 billion that Joan mentioned is probably fully in the market But what we're hearing now, especially in our morning dealer meetings, is the view that the yield curve from fed funds out to about 2 years is too steep And we are beginning to get views, although not yet reflected in trading positions because of the tight year-end period, that bonds in the short end of the curve are very good buys So, if you listen to what the dealers are saying, the market structure would say that we're going to have a very strong economic recovery and that the Fed will tighten about 25 basis points per quarter for the coming year But when we talk to market participants and ask what they think is really going to happen, they have a view that is very close to the staff forecast I'd say just in the last 10 days we have begun to hear people say that if this is what we believe the economy will do and the yield curve is saying that there's much more economic growth and much more Fed tightening than seems to make sense, there ought to be a bond market rally We are just beginning to hear that   Exactly And that's why people who are beginning to talk themselves into thinking that there is a great buying opportunity are focusing on exactly that part of the curve   Mr Chairman, there's also some play in the market now because of the view that the new Treasury team may reduce issuance in the 30-year area So, there is some attractiveness to the 30-year bond among those betting that that will happen, and some of the higher yield or back-up in the 2-year note is the opposite effect --that there will be more supply at the short end of the market and less in the long end of the market But I agree with your view of the more basic thing that is happening "
