,start_date,content
7069,1991-02-05,guess strike thing real gnp forecast abrupt turnaround current_quarter next_quarter notic chart inventori_invest happen next_quarter assum intend inventori_invest rather involuntari make think inventori_invest go strong next_quarter
7129,1991-02-05,coupl day job lot firsthand knowledg economi eleventh_district except residenti real_estat_market find buy rebound market sell market declin fairli rapidli eleventh_district sure awar end sync rest countri either somewhat stronger weak depend measur look employ_growth held much better nation_economi fourth_quarter employ_growth govern privat servic sector slight employ_growth manufactur_sector fairli substanti employ_growth nonresidenti_construct growth occur month fourth_quarter weak start state eleventh_district strongest mexico total employ grow percent annual_rate texa louisiana growth annual_rate percent respect part composit energi sector rather primari oil primari ga ga weak employ shrink oil drill gone much texa mexico area employ industri grown somewhat exist well work intens addit profit incom result higher oil_price ad liquid spend power sector help part countri bit better rest countri nation_economi believ describ dalla research staff view accur say realli quarrel pattern greenbook_forecast believ expect rebound like sharp greenbook
7220,1991-02-05,mr chairman read bluebook wrote margin interest_rate implic altern altern put steep growth path money year recommend altern asymmetr_languag toward_eas sound good although hoskin caveat focus larg growth aggreg can confirm cnn effect anticip move cabl disconnect last_week suffer withdraw gone mall yet
7255,1991-02-05,risk get head prematur want rais point connect tom concern reserv connect comment excess reserv free reserv wonder might parallel situat late feder_reserv perceiv exist lot excess reserv system took action rais reserv requir mop find later banker necessarili regard excess excess legal sens necessarili excess mind view uncertainti economi wonder might situat differ banker perceiv excess reserv excess legal sens case think room concern flat reserv aggreg
7324,1991-03-26,springtim come eleventh_district good bit sinus right can tell last_meet report econom_activ eleventh_district either stronger weak nation continu case perhap measur total employ employ continu increas state district major sector economi slow_growth growth anecdot_inform director commun peopl_talk sound quit posit number seem look emphas fact economi strong can stand nation recess emphas continu credit avail problem reluct bank lend cite peopl key factor believ go keep recoveri fairli mild member small_busi agricultur advisori committe week_ago report went bank year_ago ask loan answer hell answer mere given circumst area favor countri find greenbook_forecast implaus think pretti_much although probabl push recoveri third_quarter quit optimist abrupt declin consum_price_index greenbook_forecast
7395,1991-03-26,will support symmetr
7438,1991-05-14,regard nation_economi quarrel greenbook_forecast eleventh_district right top district term mainten employ level matter fact probabl number coupl_month_ago believ month_ago kansa citi district overtook begin experi declin employ rise unemploy_rate local unemploy_rate nation_averag strongest data district texa particularli houston gulf coast area petrochem energi seem help littl impress director growth posit bare borrow district believ credit_crunch real alway gener banker tell good credit demand texa banker associ poll day major credit_crunch regul fault exist state financ tight texa begin talk incom tax
7586,1991-07-02,texa eleventh_district_continu lag nation_economi fall advantag employ kept grow downturn_nation_economi occur came end lag wrong end weak month expans nation went recess fall rise oil_price help cushion economi southwest fall natur ga price problem consider concern low declin quit lot factor cite today possibl drag recoveri nation factor eleventh_district believ mention today percept chang credit_crunch real bank heal becom profit measur improv lend moment far can tell declin bank credit continu get illiquid lend small_busi realli acceler impress peopl_talk fiscal drag realiti eleventh_district state particularli texa hear talk servic cutback layoff higher tax texa debat question incom tax time time certain go sort fiscal constraint time come good bit concern defens expenditur defens cutback base close base chop block last_coupl day axe cours go occur time affect current behavior peopl anticip loss job fort worth area bit
7590,1991-07-02,want
7721,1991-07-02,symmetr mr chairman
