,Date,content
38,1987-08-18," Mike, I wanted to ask about short- and intermediate-term business demand How do you conceptualize the slowdown that is occurring there? How would you explain that?   Yes   I wanted to pass on just one piece of anecdotal information that bears to some extent on what Jerry and Bob Heller were saying one businessman in our District in the shoe business mentioned to me that they're running at essentially 100 percent of capacity now I sense that's close to true in textiles, and, at least in some respects, in the steel area So I mention that I guess what concerns me, when you think about this external adjustment process that Jerry talked about, is that we shut down capacity so quickly over this period of years that I think we are bumping up against capacity constraints in those industries a lot sooner than anybody could have anticipated I asked a logical follow-up question to this executive ""Well, are you going to expand capacity?"" In that case, they have closed facilities that they could probably reopen without a major capital investment But, basically, the message was that chief executive officers and financial officers, having been through this period of shutting capacity down for so long, are going to be very slow to make the investment to reopen As a result, even in these industries that have been depressed, I think the pressures on the labor markets are apt to build a lot faster, because the investment is not going to follow as quickly as it might have in a more orderly  -22-    8/18/87  period, if you will I wanted to pass that on; I thought that was interesting "
39,1987-08-18," I read that, at one point, to mean the opposite of what it is intended to mean I think it could be interpreted that way If you were worried about the slow growth, you might actually encourage--   I definitely would put the priorities on the side of worrying about inflation as opposed to the recovery I would favor ""B"" with a tilt toward tightening I could certainly accept a $600 borrowing target, although I'm not voting, so I don't need to accept it I'd feel particularly strongly about moving if I felt that we were sort of maintaining a 6-1/2 to 6-3/4 percent funds rate against a very strong demand for reserves Now, as you pointed out before, Mr Chairman, on the velocity argument, maybe we won't see that We're certainly not maintaining a lower funds rate than would otherwise prevail through rapid reserve injection here; but that's where I come out I would be inclined to leave language in there about the dollar I think if we lost control of the dollar on the downside, we could kick off that whole cycle that we dealt with just a couple of months ago; and I'd be very sensitive to weakness in the dollar in the language "
93,1987-09-22," Peter, you reported on the first 11 days; there is apt to be a pretty large borrowing spike Wednesday How would you expect that to be interpreted in this environment? This is a period that has had some technical problems with the tax date, so I guess you are not going to be able to conclude much from that either "
94,1987-09-22," Mike, if this linkage between dollar weakness and inflationary expectations isn't broken, and you weren't able, for example, to achieve over the forecast period the 10 percent annual of decline in the dollar--let's just say that that becomes impossible-- how would that affect the forecast in a broad sense? In other words,  -11-    9/22/87  if you couldn't achieve some of the external adjustment through the foreign exchange price mechanism--   What I'm saying is that the box we are in right now is that, as a practical matter, if we tolerate that dollar decline, it kicks off inflationary expectations So, let's say that you just assumed that the dollar was stable How would that affect the forecast?   First of all, I would say that over the last year or so, performance in our District has been somewhat stronger than the national average Employment has been about in line, retail sales somewhat stronger, and I guess the most notable area of strength has been construction, both residential and nonresidential Over the last couple of months, I would say things have slowed a bit, relatively speaking We haven't kept pace with the employment gains nationally either in non-ag employment or manufacturing employment Retail sales have held up well, relatively speaking Residential construction is in line with the national averages and nonresidential is still somewhat stronger but growing at a much slower pace than it was Anecdotally, we've picked up some evidence of the same thing that has been mentioned around the table today in terms of labor shortages There was a company with about 90 semi-skilled employees that was shut down, and another big employer in St Louis in town  -24-    9/22/87  expected to pick up, I don't know, somewhere on the order of a third to a half of them It ended up getting only five of them, because there were so many other people bidding You hear that in other areas as well One other thing I've heard in that regard is that companies that have generally been stable in terms of employment, or maybe even reducing employment here, recently have added employees There are some noises about trying to negotiate some of the give-backs that were obtained over the last couple of years I've heard just one example of that; it's not widespread  On the broader outlook, while I have been, and continue to be, in agreement with putting the priority on price stability versus growth, the projections that come out of our Bank, which are based on money-driven models, have been showing for some time--and I thought I would mention it this month--the risk of a sharp slowdown in the economy in 1988 and even the possibility of a recession Given the behavior of velocity and so forth, I think it is hard to evaluate this exactly, but one of the things that people continue to feel reasonably strongly about is the effect of a sharp slowing in money in relation to trend, if it is sustained for two or more quarters And, it's really on that basis that we come up with this forecast So, that's a very different view than previously expressed I think it's difficult to evaluate because you can't know the effect of all the liquidity that was put in over the last couple of years, and whether that might continue to have a stimulative effect looking forward  One last point on the interest rate question I suspect it's a combination of an increase in inflationary expectations and some increase in the real rate The only other thing I would mention that hasn't already been mentioned is that we are at, or have passed through, a major inflection point in terms of the interest rate outlook that's internalized in, say, the minds of traders and so forth; and people I would say, as we do, just follow markets quite closely, very quickly But, in terms of broad-based behavior, I think that really gets built into prices over a surprisingly long period of time I think one of the things we are seeing here is people continuing to adjust portfolios to a different interest rate outlook, and probably thinner participation in the market, at least on the buying side, by final investors So, I think there's a certain element of uncertainty associated with this adjustment phenomenon "
95,1987-09-22," I would align myself with Bob Forrestal's position ""B"", with a $500 million borrowings target and asymmetric language The main thing that is influencing me is a longer-term view and, I guess, trying not to get out of position And I think Bob Black said it any way you look at this--whether you look at rates, at the provision of reserves, or at the behavior of the aggregates--over the course of this year, we have taken some significant steps And I am not quite sure, as I expressed earlier, what the impact of that is going to be But, being an old market participant, when everybody thinks the same there's a chance that it won't work out that way Sometimes you get a little afraid of a consensus that is apparently that strong Having said all that, I could certainly accept ""B"", with a $600 million borrowing target and symmetric language But I have a slight preference for the position Bob Forrestal mentioned   Although there will be a perception for a while that we did, I think, as the $600 million shows through-- "
150,1987-11-03," Peter, on your assumption of excess reserves of $12 billion, how long do you think that will be in place? "
151,1987-11-03," Echoing what Gary Stern said on the retail front, I talked to national retailer in our area and he said they looked at the week-by-week comparison of sales at their outlets throughout the country in the two full weeks since October 19, and only one store showed a decline in that first week That was the World Trade Center store and sales picked up in the second week He is really quite optimistic; his attitude is that this is not going to have an impact Now, you  -20-    11/3/87  have to believe that the loss of wealth, long-term, will have some impact But I guess my own feeling, based on this isolated comment and other comments I have heard, is that it's a little too early to try to sort it all out and to decide how to respond in a long-term sense  The other comment that I wanted to make is that the area that shows particular strength in our District is manufacturing employment Implicit in what Jerry Corrigan was saying about the risks of a lower dollar, it seems to me, would be the inflationary risk at a micro level I think what we have been seeing in terms of pressures on capacity and wage rates has really been on the manufacturing side When I say that, I base it on anecdotal evidence; I don't mean that it has been reflected in the data And to the extent that a rapidly declining dollar causes a more rapid external adjustment in [the manufacturing] area, it seems to me that we could get greater price pressures in those industries that are producing for export or are import competitive--the shoe industry, the apparel industry, and some other industries where even before the most recent developments, we were already hearing reports of some pressure So I think on the inflation front, that is something to be mindful of on the micro level "
152,1987-11-03," I favor alternative ""B"" I have one question I want to raise If you look at the directive in the policy record that comes out Friday and then you look at this language here, it's really not clear what ""existing"" means Nowhere in the policy record is it memorialized that there was an adjustment in the borrowing target; we don't put borrowing targets in there I think it was generally perceived, but it is not recorded there in any fashion That may be something to think about In any case, I would like to express a little concern along the lines of what Jerry said about balance here There has been a major shift in policy; and the broad perception of policy, I think, was that we were headed toward further degrees of tightening at the last meeting That has been washed out and there has been some easing Now, on the balance side my argument would be this I guess I never felt that we could defend a particular level of the dollar--that's going to be set by market forces So, maybe now the fact that the dollar has moved down and there haven't been major  -34-    11/3/87  adverse effects to that is okay In the short run I think we can influence how that transition to the different levels takes place and whether it's orderly or not But it seems to me that any changes in monetary policy that we make now add to the perception that all that is happening is that the dollar is adjusting to reasonable market levels What I'm trying to say is, if it's perceived beyond that that monetary policy is being conducted in a fashion that we really think we have the latitude to run out of sync with the rest of the world, that would be very damaging to that future psychology that you've described In other words, I think we have lost the flexibility to ignore what goes on in the rest of the world here Policy coordination is important and I hate to see us take a policy stance in the short run that might fuel that perception that we somehow backed off the need to do that for all the reasons we have discussed on the financial and the real side today So, in any case, I favor ""B"" and symmetrical language I think Variant I is fine but I come out where Bob Black is in a sense there are too many statements in there dealing with the extraordinary circumstances; it might convey more of a sense of uncertainty about current conditions than we want to convey I think I'd stick with what Bob suggested on that first statement--   Well, I think what he was saying was stay with the desire to ensure the provision of adequate liquidity But the statements about flexibility in open market operations in lines 90 and 91 and then around line 105 or so in the part about the frequent consultations would be thoughts I would be inclined to take out I think our actions are more important than our words, and I think the perception of our actions in the financial markets is a positive one I think the perception is we are doing the right thing   It will be?   Right; so in the verbiage that leads up to this directive we are indicating--   I think that's fine   If we are adopting the existing degree of reserve restraint now, that somehow implies that a change, in a policy sense, occurred prior to this action   But let me ask you this, Don If there had been a telephone call at which that was specifically put to a vote would it then have been reported as an addendum?   You know, that's a small subtlety   When you say ""apart from such considerations,"" it seems that it's not necessary down below to have ""conditions in the financial markets"" in there again  -44-    11/3/87   You need a comma after ""would,"" too "
203,1988-03-29," I favor the normal operating procedures, pre- October, without the additional flexibility The reason I say that is that, in my mind, we've gone as far on this spectrum as we can go toward funds rate targeting And for a lot of reasons, all of which have been said--political, the relationship of the funds rate to our economic goals, and so forth--I would rather look at our business as being defined in terms of reserves, not interest rates And frankly, even though it might be perceived by us as a subtle shift, if we begin giving Peter directions in terms of the funds rate, eventually that's going to become known And I think there's a point of intellectual honesty in terms of communicating that to the public I don't think we can do that and expect that it will not become known Then there will be an issue of why this change in procedures wasn't communicated  The final point I would make--it can be made even with what we're doing now, but even more so if we went to a funds rate target-- is that to be consistent with what has been done in the past, we certainly would have to go to a proviso on some aggregate In other words, you would have to have that balance in there Just as we now talk about a degree of reserve restraint, subject to fluctuation in the funds rate, if you went to a funds rate, it would have to be subject to some constraint on a narrow aggregate, in my judgment That's all I have "
204,1988-03-29," I want to comment on a particular area of activity commercial construction We had a group in recently and a couple of things came out of the discussion that really surprised me, in terms of psychology St Louis and the District in general have lagged the national economy in this area We have not had the overbuilding that occurred elsewhere, so I don't know if these observations are broadly applicable We kicked off the discussion by talking about the external adjustment process and what the implications of that were for savings and investments--to see whether these real estate people were seeing any pressures on the financing side And what we heard is that they are literally awash with money-- foreign money, insurance company money, [unintelligible] October 19 Nobody mentioned that there was a flow of monies into real estate because of inflationary expectations The other thing that we did not pick up in this discussion, which surprised me, was any sense of caution about the ability to build space, lease it up, and so forth Well, I shouldn't say that--there was one person who was somewhat cautious But the general mood was ostensible optimism Finally, I was surprised at what I heard on the inflationary front people on the building side said that they could still build things for what it cost them four years ago I asked specifically about steel Two people said that the one area where they picked up some sense of price pressure was on the operating side--that it was difficult to make the kind of margins they would like to make So, I relate that discussion  I also have some observations about what is going on with the takeover and LBO activity and so on Last night we met with an investment manager who was saying that junk bond spreads to Treasuries are as narrow as they have ever been historically, and the GIC market is very tight just because there isn't enough high yield product out there to satisfy the demand And I think to myself, here we are three, four months or so after October 19 and there is all this leveraging and speculative activity going on at a time when, frankly, I would like to see a little more caution  I think we are all comforted that consumer confidence has held up But at the moment there is a lot of liquidity out there I'm not saying that we provided it; I don't mean to suggest that we have been pumping in a lot of reserves But, if you look at the construction industry on the inflation front, it's kind of a tinder box waiting to go off If the inflationary psychology tips there, and that gets factored into interest rates, people will try to move very quickly to lock in financing and begin building before the inflation    3/29/88  hits I think it could create a surge in spending I am somewhat concerned about that aspect, and as I say, just in general about the speculative activity--the highly leveraged type of activity--that resumed so quickly after October 19 "
