,start_date,content
14778,1996-07-02,mike top chart red_line label product trend trend tell slope growth_rate level connot similar ask level output rel potenti
14780,1996-07-02,measur separ actual potenti_output_gap oppos labor_market util gap
14782,1996-07-02,okun law transform done separ
14784,1996-07-02,show right
14787,1996-07-02,mention discount recent increas averag hourli earn employ cost index measur wage gain
14797,1996-07-02,question role stock_market forecast seem import role slowdown scenario way correct pass full wealth_effect stock_market rise rel model suggest
14799,1996-07-02,know done thing can sympath lean littl wealth_effect rel histor regular
14801,1996-07-02,secondli top mild stock_market correct built
14803,1996-07-02,mild mild correct
14805,1996-07-02,sourc twofold extent depend judgment current market rel fundament extent driven expect earn slowdown
14807,1996-07-02,think graviti underappreci econom forecast
14846,1996-07-02,thank mr chairman last_coupl_month plenti time anticip particip laughter discuss around_tabl delight final opportun
14848,1996-07-02,thank nice begin find strong agreement staff_forecast anticip slow toward trend immedi ahead appreci upsid_risk current environ agreement pleas disappoint time pleas hand find approach judgment staff similar mine respect feel home hand admit rob potenti valu ad might otherwis bring group want focu remark view key issu forecast relat decis sound echo room realli fault allow governor yellen slip remark mine issu growth like remain trend given alreadi level resourc_util will certainli tighten sooner rather later growth quickli return trend unemploy_rate stabil prevail level staff_forecast util_rate alreadi gradual increas_inflat inevit go reach conclus tighter polici call though small gap impli staff_forecast make move urgent case persist trend_growth want comment littl point regard slowdown toward trend expect economi grew rate percent quarter staff_forecast correct mine correct will quarter_year growth significantli trend will follow year growth decidedli trend think governor kelley excel job put histor perspect look quarter growth_rate produc growth_year percent fourth_quarter fourth_quarter basi look growth_rate percent half think expans like slow document part largess quarter due special factor includ end quarter gm strike revers effect govern shutdown rebound advers weather cours special factor shift growth quarter away fact expans acceler rate percent half_year strength appar quarter overst significantli sustain momentum economi go forward expect final_sale actual will slow quarter inventori_invest power contributor quarter will provid declin contribut output_growth come quarter set stage trend_growth project slowdown final_sale suggest rebound term_interest_rate year appreci dollar consist hint go key sector question hous lot stronger expect half believ declin hous start saw begin gradual eros strength sector larg due rebound term_rate contract data_suggest nonresidenti_construct_activ slow path appear littl life left equip spend comput reflect combin acceler cash_flow effect can upsid_risk environ will persist economi lot stronger drag kick scream view monetari_polici let talk uncertainti think_import implic current util_rate util_rate eas manufactur cyclic peak late earli remain nearli constant almost last_year case labor_market unemploy_rate admittedli staff estim nairu turn virtual ident point estim broad base evid demand induc acceler_inflat despit persist low unemploy_rate nearli year inde core measur_inflat cpi ppi actual move lower year part surpris inflat contain rather staff continu project base unemploy gap gradual acceler_inflat_pressur come quarter certainli hint recent_data chang fundament govern wage_price process current context wonder use think nairu rang point percent unemploy_rate_remain within rang case interven unemploy_rate_move_toward bottom end becom increasingli alert potenti need tighter polici_action postpon rate_move outsid rang seem pattern scatter evid wage_pressur littl evid price_pressur wonder see revers pattern widen profit_margin occur earli recoveri wage lag price_inflat can accommod somewhat faster wage gain without pass forward form higher_inflat want word special factor inflat clearli boost inflat far year leeri support might call counter weather oppos countercycl monetari_polici seek tighter polici offset temporari blip food price yet arriv addit strong prior favor sharp declin oil_price fourth_quarter expect oil_price go staff_forecast summari expect_growth_slow trend time prevent unemploy_rate_move narrow rang prevail last_year current_level unemploy_rate definit nairu happi current environ thank
14883,1996-07-02,mr chairman recogn arriv interest moment monetari_polici must admit nevertheless agon posit monetari_polici direct meet although turn close call tighten go forward earli comfort recommend chang_polici meet asymmetr polici direct good reason chang_polici time accept staff_forecast opportunist approach futur disinfl think strong ground tighten today staff_forecast suggest current monetari_polici set can sustain expans trend near capac nearli stabl core_inflat fulli support effort achiev outcom think quit importantli perspect outlook reinforc desir minor extent outlook differ staff_project staff simul provid plausibl pictur acceler_inflat unemploy_rate slightli nairu normal confid gap stori undermin extraordinarili contain state core_inflat across virtual measur need either declin unemploy_rate recent rang acceler core_inflat measur justifi tighten third argument littl differ mr chairman recent testimoni present compel discuss feder_reserv posit vi vi growth might suspect heighten awar polit sensit issu spent sever_month littl els think laughter understand posit feder_reserv growth object per se achiev accept resourc_util_rate accept inflat read near_term basi will happili accept growth economi will produc accept logic tighten today contradict posit tighten sole basi quarter trend_growth util_rate definit signal overh inflat read suggest inflat remain check perfectli consist transit price_stabil longer_run albeit opportunist camp time schedul fourth will wealth addit inform meet time will much better posit assess potenti growth will remain trend enter half will better abl determin strong_growth half depress unemploy_rate recent rang judg degre wage_pressur inde intensifi pass price refer specif advanc report quarter gdp mix will interest next employ_report quarter employ cost report whole varieti monthli data will condit understand economi momentum head half point clear littl danger wait last point indic great benefit word symmetri versu asymmetri quit interest time read transcript last fomc_meet somewhat acquaint variou mean word realli interest symmetri mean differ thing differ peopl asymmetr polici postur decid go hold increas feder_fund_rate nobodi envis declin rate meet next can envis situat rais_rate recogn will tough call next_meet thought tilt direct meet easi call person asymmetr feel comfort asymmetr_direct read last transcript appear member committe read distinct symmetri asymmetri differ degre permiss respect move meet initi chairman fair interpret confid mr chairman consult member committe intermeet_period initi revers direct monetari_polici caveat fulli support asymmetr_direct
