,start_date,content
11946,1994-03-22,somewhat bullish report rest littl bearish usual case district sizabl data revis recent_data trend suggest england economi better observ includ recent thought upward_revis payrol_employ number substanti show region began gradual recoveri summer year earlier origin publish data shown servic notabl sourc employ_growth servic job region exceed pre recess peak percent indic unemploy_rate help want advertis hous permit consist gradual econom recoveri region sever recess england recoveri final seem track nation despit net increas overal employ larg employ number industri continu announc layoff manufactur employ continu declin shrinkag defens spend hurt region comput compani struggl interestingli region benefit somewhat strong perform auto maker despit assembl plant compani make variou rubber metal textil product increas demand auto_industri manufactur ambiti capit_spend plan plan resum hire although district manufactur report scatter increas input price sell price go competit intens almost industri automat passthrough higher cost addit compani appear use technolog intens improv product product sell durabl last longer period replac need major dealer heavi truck report common truck trade in occur mile owe improv technolog durabl versu trade in mile decad ago sever weather depress retail_sale construct england manufactur manufactur hour gener unaffect nation side deceler pace latter part similar greenbook issu much slack economi reach point inflationari_pressur increas consider fast will move point staff note brief paper reason peopl can differ amount labor_market slack margin view nairu perhap basi_point lower board_staff estim low end rang growth_rate potenti gdp slightli higher come estim higher capac growth greenbook issu fast economi will close gap impress amount longer end interest_rate_movement occur constrain effect hand estim futur drag extern sector greenbook somewhat stronger consum durabl_good expenditur state_local spend perhap higher inventori_invest forecast slightli greater speed margin complet agreement greenbook assess near_term threat rise_inflat
11996,1994-03-22,mayb stand sit issu district surround sign optimist give rise optim district boston bank lot argument get readi committe meet tend move_basi_point versu noth think buy basi_point_think smooth market_expect oppos stronger move might expect believ higher rate possibl weaker economi greenbook_project occur larg favor basi_point_increas favor symmetr_direct confer call want chang
12083,1994-05-17,thank mr chairman thing clearli recoveri mode england payrol_employ grown region whole last_month job overal percent year_ago improv broad base sole except durabl_good manufactur major industri categori job year_ago geograph basi connecticut continu show job loss england unemploy_rate_declin third straight month percent rate nation whole indic posit averag weekli hour manufactur reach post recess help want advertis rose per capita incom growth percent exceed nation pace slightli good_news obscur fact region whole gain quarter third ground lost recess matter data use measur progress although question want late term heat thing england compani continu report competit keen qualiti effici improv primari determin surviv rise overal demand rise tide carri prosper hand seem remain undertow either sever contact includ board complain fed rais interest_rate economi final show_sign life respons question number indic see attempt supplier increas_price attempt resist retail saw strong_growth fall recent cautiou optim best express england viewpoint almost across board nation scene believ growth will somewhat stronger project greenbook impress degre tighten labor_market recent hand project nairu low end rang seem use board_staff littl optimist potenti gdp_growth sens compon pictur vari greenbook agre project low_inflat near_term
12117,1994-05-17,happen
12127,1994-05-17,agre presid_boehn support basi_point support symmetr_direct word statement
12188,1994-07-05,
12190,1994-07-05,think read newspap word feder_reserv act absenc presid vice presid act chief execut offic
12192,1994-07-05,question much know risk compar rang forecast arriv differ way particular specif forecast compar central_tendenc staff_project next_year staff seem low side vi vi real_gdp side vi vi unemploy lead question happen tighten full basi_point talk greenbook simpli work inflat_side work elsewher
12194,1994-07-05,sort lead tighten
12199,1994-07-05,right
