,start_date,content
19,1987-08-18,gut feel economi last half_year go go stronger project examin number tri figur greater strength will come seem produc durabl equip sector show continu rise manufactur capac_util throughout period recent_month strong trend order capit_good yet project current_quarter show modest growth_rate view area vulner forecast
106,1987-08-18,respect aggreg interest_rate
115,1987-08-18,mr chairman_support mr corrigan formul modest tighten million borrow level think might need move event period pronounc weak dollar much talk foreign_exchang_market inevit leg dollar seem convent wisdom reason recent weak dollar potenti think gener test earlier low potenti forecast turn case probabl move prior next_meet_think evid greater strength economi certainli support modest move time sort mr corrigan outlin
155,1987-08-18,agre
199,1987-08-18,author cours call telephon confer meet reconsid borrow level event extrem weak dollar think possibl
464,1987-11-03,mr chairman yesterday talk tom jester survey research center univers michigan survey taken stock_market declin declin turn sharp effect consum_confid think big effect go wealth_effect consum_spend uncertainti think consum reduc confid level futur gener like produc major slowdown consum_spend think confid index report will show percent drop next come
533,1987-11-03,mr chairman_agre outlook extrem difficult forecast fairli situat seem event recent_month suggest louvr accord agreement maintain exchang_rate level sustain difficulti financ deficit year privat capit inflow quarter_year reluct privat foreign investor keep provid money pace need reflect downward movement exchang_rate stop louvr agreement subsequ seem pressur gener reluct foreign investor much willingli earlier_year reflect rise interest_rate marvel stabil exchang_rate bond_rate upward_pressur reduc foreign demand ultim led big drop stock_market market becom extrem overvalu rel bond_rate return standard poor yield percent time intermedi term govern yield almost percent biggest spread dividend yield intermedi term bond yield histori clearli unsustain situat tri figur permit dollar adjust downward without transmit upward_pressur term bond_market_think go tricki proposit doubt mind much lower level dollar question can keep domest economi move ahead rel modest rate context attend meet st loui feder_reserv bank coupl bright young peopl board present superb paper hope distribut board tell lot adjust trade account thu far reason import_price_level gone amazingli low rate recent period report yesterday think bureau censu import_price went third_quarter percent think reflect paper support foreign produc gotten market reluct give market go tri hang can seem go level dollar term equilibrium level begin kind progress think reduc foreign deficit problem next_month go tough handl ball wax declin dollar avoid put kind pressur term bond_rate go destabil domest economi runup rate go low stock_market_think question think unstabl financi situat around enough know go cannot recal period unstabl financi system right moment
556,1987-11-03,imposs question don dollar significantli next coupl_month think go happen prevent spill rise bond yield conflict go face next_month seem
615,1987-11-03,ye think desir
630,1987-11-03,mr chairman might request elimin last sentenc variant talk stabil fund_rate short period temporari polici think make sens talk rang percent percent think admit temporarili chang oper procedur impli rid last sentenc talk rang
652,1987-11-03,think alreadi piec mr chairman noth add
852,1987-12-15,mr chairman look surprisingli strong employ gain seem stock_market declin hit economi strong head steam particularli manufactur_sector perhap stock_market drop will turn bless disguis taken littl specul euphoria system impact england stock_market declin chang expect_growth_rate financi servic industri grow rapidli england particularli mutual fund busi look forecast seem risk economi will grow rapidli forecast particularli busi_fix_invest sector know current quit modest project line forecast mike_prell keep move direct greater util manufactur capac think card wonder rate_growth busi_fix_invest turn substanti higher situat economi_grow faster can afford grow mayb grow percent rate without gener acceler wage_increas growth much beyond percent think run risk make fundament chang benign wage environ lot room maneuv think_risk_forecast forecast low rate_growth busi_fix_invest
956,1987-12-15,mr chairman_think right temporarili realli lock chang_polici interpret altern direct symmetr regard oper procedur stay current stanc tri stabil fund_rate next week percent area desk conclud year_end adjust relationship appear move_toward normal move option pre oper procedur borrow level million
