,start_date,content
21336,2001-12-11,associ governor bie preambl share view observ subject fiscal_polici stimulu packag discuss number peopl standpoint spent much last_year close involv public polici format process congress function best ration environ either crisi consensu member congress necessarili weak peopl system design reelect entir hous third senat year circumst lend creat statesmen women foster term think move away sens crisi move environ think stimulu packag jeopardi presid_jordan suggest involv consciou reject discretionari countercycl fiscal_polici find member congress particularli elect year tug core constitu leav extent grow sens confid economi despit confid base part assumpt fiscal_stimulu packag will fact jeopard possibl stimulu packag pass bit catch narrow compon outlook think_probabl econom impetu packag day ago thank
21411,2001-12-11,support_recommend
21525,2002-01-29,shortli last_meet heard major retail banker east coast boston fed board meet coupl day later west coast describ loan portfolio surpris optim term loan perform loan_demand given much focu last_meet case today question resili consum inform survey dozen bank financ compani experi consum side coupl observ report corrobor number call report data thirti nineti day delinqu end third_quarter roughli although charg off slightli institut account page signific number case contact talk express optim loan perform posit much across line except subprim market automobil real_estat subprim market weak factor impact get close third fourth consecut year bankruptci reform legisl time upturn number bankruptci file particularli affect subprim marketplac term product_growth product consum loan portfolio home equiti line credit almost across board among bank banker hope can resum auto lend automobil industri chang incent zero percent financ immedi follow rebat real increas cours refinanc real_estat interest effect cut growth home equiti line credit homeown cannot withdraw home equiti refinanc commit secur line credit mutual exclus lot refinanc either purpos debt consolid obtain lower_interest_rate seem contradict growth consum loan portfolio actual free fund discretionari spend reduct overal debt payment sum consum sector clearli outperform expect point year_ago movement retail credit portfolio support discretionari spend lender cautiou awar unemploy peak loan perform consum side will lag expect weak come_month gener hear anybodi describ consum sentiment buoyant page assess cautiou evalu consum abil particip either current slightli higher_level neutral mayb slightli neutral
21584,2002-01-29,support_recommend part
21652,2002-03-19,let add coupl thought thu far talk bit seem dispar attitud busi leader direct economi spent good part strateg plan identifi page corpor goal interest chang took place decad telescop multitud corpor goal singl sharehold valu think extent busi commun will happi recoveri economi perform individu busi will depend part think stock_market go recogn happen suspect will somewhat pessimist somewhat disappoint busi commun market start perk think will differ attitud tri identifi public polici issu affect economi current absenc moment terrorist insur think will bill session congress end will provid backstop risk discuss earlier effect lack terrorist insur commerci mortgag back market greenbook point market seem identifi isol area risk think greenbook pretti captur particular exposur talk stimulu packag greenbook deal potenti explos middl east situat scenario altern simul call per barrel increas_price oil modest downward_pressur economi seem identifi risk exposur third steel tariff talk bit import factor will manner rest_world view imposit tariff point discuss earlier meet will interest_world see polit event singl isol anomali drift toward protection think will determin part bush administr follow action choos comment ongo basi page reserv greenbook_forecast relat feder govern budget staff_project percent increas feder receipt spite tax increas percent increas expenditur will disciplin elect year saw last elect year cycl think potenti downsid_risk exposur captur greenbook analysi materi provid
21716,2002-03-19,support part recommend
21823,2002-05-07,discuss greenbook discuss today focus conclus economi expand lack busi particip capit_spend issu busi commun might particip greater extent meet look public polici issu tri determin extent public polici initi might affect either economi psycholog last_meet pleasantli surpris natur fiscal_stimulu packag congress pass time overhang issu market disciplin corpor govern transpar question vice_chairman mcdonough address issu emerg think will continu concern last decad period fiscal disciplin congress process observ wherebi increas expenditur need match identif revenu sourc pay elect year bipartisan effort demonstr adher concept budget disciplin start disappear late clear run signific surplus issu aliv level public polici issu think among casualti event support budgetari disciplin evid probabl appar week manner congress approach farm bill thing accomplish past decad context greater fiscal disciplin move away subsidi support agricultur today sometim week congress will pass bill disciplin gone move decad term wean agricultur kind support extent busi commun correl prosper fiscal disciplin afraid develop will posit will reassur
21844,2002-05-07,budget resolut
21846,2002-05-07,know time
21882,2002-05-07,agre
22087,2002-08-13,prepar meet today survey number banker respect find basic consist heard around_tabl today consum lend remain_strong_growth start level nonmortgag consum product loan qualiti remain_strong home equiti line continu_grow perform mortgag lend refinanc purchas simpli strong case will continu set record commerci lend side medium region size bank report flat loan growth fact almost loan growth steadi loan perform suggest loan qualiti good notabl observ came ceo larg commerci bank lender report signific chang might call tempera largest borrow result combin risk avers bank side hesit borrow side quit consist commerci paper market commerci bond_market respect agricultur acknowledg drought around countri although area drought worst area irrig system best farm economi expect fairli strong balanc part yield lender chagrin agricultur bill will add price improv top yield farm sector will rel good shape point want mention fiscal disciplin issu congress will face come labor day congress discuss will adjourn without pass budget resolut time histori time hous side pass budget focal point appropri process senat lack budget resolut mean spend disciplin senat budget resolut requir sixti vote order exceed budget prospect legisl type presid_hoenig mention much aliv moreov expect congress will adjourn pass perhap half thirteen appropri bill requir govern will fund continu resolut basi probabl report suggest underli strength consum side economi strong wari respect busi_invest lack fiscal disciplin part congress certainli reinforc view uncertainti marketplac incident presid econom forum texa today expect focu significantli fiscal issu anticip go happen fall
22127,2002-08-13,support part recommend think relat someth governor ferguson rais role today monetari_polici role de facto role time bastion credibl left countri particularli washington suggest manner describ posit today particularli import think much analyt explanatori purpos
22231,2002-09-24,much governor bie lot comment prepar alreadi state will mention coupl point subject fiscal_polici chairman testifi week_ago budget enforc act provis expir next week will end fiscal year without budget time histori start earli perhap week later next week govern probabl will fund seri continu resolut either signific think fiscal_polici perspect govern will lock uncertainti next six_month note coupl observ bank industri alreadi discuss minim busi lend activ occur tend restructur lend achiev addit effici issu think concern share credit syndic credit particularli tough arrang except leverag busi buyout strong partner although indic presid_mcteer other mention see bit strength among medium size busi hear banker sens bottom cycl unwil time reluct suggest bottom hear word fatigu stagnat use refer econom situat particularli struck yesterday report got chart mention earlier dave stockton chairman show corpor america liquid condit decad thirti six year_ago start cash_flow analysi debt servic rememb time ampl corpor liquid compat express tough time combin fact bank industri strong capit posit strong liquid posit good asset qualiti cannot figur reassur point concern think balanc reassur come someth presid_jordan earlier given year_ago known much dri powder system think found reassur hand term fatigu stagnat suggest nervou impati air combin fiscal circumst impati certainli caus concern feel market impati mayb time patient hand done week_ago citi enough anecdot_evid deem necessari move slightli heighten state concern think true seem time move code yellow code orang
22276,2002-09-24,support part recommend brief period_time seem word chang press statement accompani polici announc gener ten addit question think_import acknowledg geopolit risk today think particularli critic
22328,2002-09-24,sens press statement fewer question will can clarifi question dialogu type environ cannot statement
22420,2002-11-06,let gener point convers banker survey past week almost everyth pick anecdot support updat dave stockton gave flavor anecdot along_line minehan among other describ coupl point pick banker talk automobil financ subsidiari nine state east coast nine state sale vehicl across board attribut fact spate aggress financ deal fact exhaust appetit car purchas view banker contact strength abl automobil side probabl dissip moreov secondari consider standpoint believ automobil manufactur can sustain strateg direct taken essenti profitless sale automobil deterior financi posit increas risk premium go find paradigm approach probabl residenti real_estat got sens bie other talk strength sector deterior evid bank side get improv commerci lend activ signific deterior asset qualiti addit assess develop auto residenti real_estat sector banker talk sens activ retail sector declin move fiscal_polici issu yesterday elect enorm implic focu point construct congress start signific issu will address interim lame duck session variabl recent unexpect realli consid fulli let coupl govern fund continu resolut either congress address continu resolut beyond time next congress conven probabl matter will taken year critic elect took place yesterday term near_term missouri senat talent elect fill unexpir term will elig seat soon elect certifi minnesota death paul wellston appoint independ serv briefli assum independ will caucu independ oppos senat jeffer caucus democrat number will fifti republican forti nine democrat independ immedi implic vote requir senat major leader senat lott will simpli acknowledg major leader hand order chang committe chair must vote possibl week senat reconven will republican senat major leader democrat committe chair mean laughter think thing mean incent side address appropri bill view democrat will believ cannot better deal next_year can obtain year sens fiscal_polici area republican want address tax polici want address quickli guess want context look appropri bill will incent side done year therefor think real possibl singl larg appropri bill interim session
22422,2002-11-06,think republican will abl move focu tax polici reason satisfi dollar amount bill guess will incent past purpos move agenda talk revenu share remind concept revenu share becam law time congress incent acceler tax rate incent build inflat tax polici call progress time fortun move away era summari consum side sourc strength economi clearli deterior meet base anecdot_report banker talk look pickup yet busi side assum fiscal_polici agenda form tax_cut polici undoubtedli will effect year_think situat clearli deterior see time_last fomc_meet
22467,2002-11-06,began review greenbook inform reaction expect read heard theme current news disappoint economi pois acceler growth point futur struck read thing time time time thought seem reflect abil model reflect abil understand data think read data accur environ experienc life sequenc scream someth time monetari_polici environ came meet tri understand downsid_risk aggress move think persuad downsid_risk move fund_rate fairli mitig balanc_risk_statement seem suggest say along fundament place turnaround support part recommend
22604,2002-12-10,want mention coupl point pick discuss banker tend reinforc heard around_tabl today basic sens banker commerci lend side psycholog seem chang slightli lend activ yet follow banker talk ceo largest mortgag lender countri emphas signific declin number home loan refinanc applic receiv last_sever week discuss reason refinanc applic tend show correl movement ten_year treasuri note recent falloff disproportion movement ten_year treasuri issu caught attent banker contact comment growth save account bank discuss banker last_year focus asset side balanc_sheet time much liabil side banker emphas growth save account consum ad save oppos put fund interest bear transact account implicit behavior view consum expect interest_rate stay low time similar reaction came banker talk happen home loan equiti line credit variabl rate instrument fifteen percent loan lien posit carri suggest home owner take advantag lower_interest_rate line credit oppos lock longer_term_rate implicit behavior sens consum think rate will remain low fiscal_polici side_think thing can know sure will front burner issu congress will involv lot legisl activ continu resolut fund govern expir thirteen appropri bill pass seem scenario built greenbook like realist payrol tax holiday acceler margin rate reduct presid_minehan suggest discuss tradeoff tax chang budget balanc will spark live debat point littl chang six_week_ago
22667,2002-12-10,support
