,Date,content
41,1976-04-20,"  It would have some implications for the yen-dollar [relationship] since  there will be more purchases of yen and holdings of yen, but in our experience the yen-dollar  relationship is independent of the [dollar’s] relationships with [currencies in] Europe, so it’s sort  of in a separate channel  So we’ll not have a generalized effect, as far as the US dollar is  concerned, against other currencies     No, I don’t think so, perhaps over the long run some of the other countries  in Asia might make specific use of the yen as an intervention currency, but that’s a long way  down the road     874-875     When I talked with them, I made it very clear that we would look to their  Fund drawing rights as a takeout if necessary  This is the way we have always handled it,  making very clear what the takeout would be, but not [making a specification] as we have in the  Italian case and, as Alan has suggested, in the British case  That is, not making it a specific firm  condition of the drawing that the funds be there  They understand the background to it, but we  haven’t formally made it a condition of the drawing  "
119,1976-07-19,"  [Secretary's note This statement was not found in Committee records]     That’s right, this Thursday  An exchange of cables has been made  And  we fully expect them to repay the other [unintelligible] at least by maturity     Yes, well, the Mexican situation is stable, but it hasn’t turned [out] as  favorably as they had hoped  They had the large outflows at Easter time, occasionally drawing  on us, and then several newspaper articles in the US suggested they might devalue, which  halted the usual reflows after the Easter period  Now the outflow from Mexico has slowed, but  there is still a steady drip drip of outflows  They’ve passed their election period, they have their  new President, but there remains a lack of a reflow to--     7/19-20/76 - 21 -     He will be inaugurated on December 1, and most of the people in the  financial community are counting every day until that is done     Well, they’ve lost confidence in the current President, and there are  serious labor negotiations that are under way now  The talk is of 15-25 percent wage increases,  which could seriously undercut all of their efforts at this stage to restore stability     Yes, painfully  We have the remaining $824 million equivalent of the  Belgian franc drawing coming up to the 20th renewal for their [unintelligible]  We’ve made  good progress on this one, and with any luck we might even be able to repay the full amount  within the next three months  On that basis I recommend renewal  The Swiss franc swap  drawings in the amount of $11472 billion are also up for their 20th renewal on August 13   Although the Swiss franc rate has stabilized, it is still at an exceedingly high rate, and I see no  immediate prospect of our beginning to acquire significant [unintelligible]  I recommend  renewal there, too  "
144,1976-08-17,"  The snake is essentially a political animal, and if the governments make a  political commitment to continue it, then it will continue  It surprises a lot of people that it has  lasted as long as it has  It’s hard to make any projection simply on a market orientation or on an  economic orientation     The small countries want to continue the snake  They feel very strongly  [about it] and want to have a fixed relationship with the German mark  But the continued  repetitive blowouts in the exchange market make it very difficult for them to continue it  It could  break up     It would be the second time, coming early October     Yes, that would be the end of six months     There are some in dollars as well  "
165,1976-09-21,"  I have a kind of answer to that question  We were talking to people in the  market on that  As soon as they devalued, the Mexicans called a number of the US banks to see  if they could get additional credit lines and did obtain some credit lines with New York banks   Several of the people in New York say that the image of Mexico is somewhat tarnished  [regarding] borrowings  So they may say they’re getting a lot of money, but it’s on the basis of a  major effort they have made, and, as I say, this word “tarnished” has come up     The Treasury still has all that gold that the swaps were entered into to  protect, so the loss that we have now is the value of gold--   ]  Mr Chairman, at the Desk, I have been going under  the assumption that we have no takeout and no assistance from the Treasury  That every  operation has to be self-liquidating in the exchange market, and every swap line liquidated  throughout the operations in this--     9/21/76 - 8 -    "
189,1976-10-19,"  I hate to break the mood with my usual list of horrors from the exchange  market here       [Secretary's note This statement was not found in Committee records]     In order to resolve the current situation, yes  But I wouldn’t know how far  to go in order to resolve the current market situation  I think more depends on the other  measures that have been taken over the course of recent months to deal with the underlying  problems  the tightening of monetary policies, the tightening of fiscal policies  There have been  a number of measures in dealing with the basic wage cost push that these countries have  But  they had hoped to buy some time with this; I’m not sure that they did--that they bought sufficient  time     Yes--that they paid us and that they drew on the Treasury line  "
228,1976-11-16,"  It’s a goodly number, I think 10 or a dozen     Right     No, I think the swap arrangements, as they are set forth now, cover the  ground well  I think in the context of the recent experience we’ve had with Italy, Britain, and the  Mexicans, we can, on a case-by-case basis, make the adjustments we need in swap arrangements  to appropriate provisions at the time  We have thought very carefully in New York that there  might be some suggestion of changes in the swap arrangement itself, but at this stage I see no  reason to do so  Rather, I would prefer to continue it as now, on a case-by-case basis, to make  determinations of conditions to fit the situation     And Britain and Italy     No, nothing formal at this stage  Feelers from time-to-time  "
254,1976-12-20,"  We even consult with the foreign monetary authorities     Alan Holmes and I have gone over this document with great care from the  beginning  In effect, this describes an even more flexible approach than we are currently  following  So we are quite comfortable with the overall limits that are placed here  I’m happy to  be securely secured in line because I don’t want to have too much rope to hang myself  There is  enough risk in the operations that we have, so that we want to consult frequently and in detail on  the kind of operations we have       12/20-21/76 - 18 -         We will make every effort, and have made every effort, to consult in advance, and even in  the case that Henry Wallich mentioned, just recently, where Charlie Coombs had to go into  market, he was in the process of making phone calls [at] 15-minute and half-hour [intervals], and  secured what clearance he needed  So this is a fair document  It describes what we have been  doing up to this time  We are very comfortable with it, and we will be operating on an even  more narrowly restricted basis in consultation with the Chairman and the subcommittee and the  full Committee     Taxes  The Europeans find it’s taxes  As incomes rise and time structures  stay the same, the bite out of income becomes greater, then you have the wife more inclined to  go out to work     Governor Partee, it was early in the period when the drop in rates was a  lot more than the drop in the funds rate  Most recently, the funds rate has, in my view in any  event, caught up a little bit, but not entirely, with the drop in the market  The three-month bill  rate started out below the 5 percent funds rate, of course, where the funds rate was at the time of  the Committee meeting, and has dropped not too differently from the funds rate  And most  recently, for example, the commercial paper rate has come up a little bit, so the bill rate again  has dropped more  So I think there’s a little bit of anticipation in the [unintelligible] funds rate  decline, but not a large anticipation  I don’t think we’re very far out of line, we’re just somewhat  out of line with the [unintelligible]     I think so  "
281,1977-01-17,  Yes     It’s using a different instrument     I talked to the Deputy Governor last Friday  
306,1977-02-15,"  All press releases we have had have indicated that it would be done  directly [with the Swiss authorities] to avoid any market impact     No  It is one of three options  And to some degree we are buying German  marks and French francs in the market, which we then supply to the Swiss when they need them   And the other options  "
332,1977-03-15,"  There is an ambivalence there     It was reported in the last Basle meeting, though, that there has been more  investment interest from the United States to be seen in the European gold market--investor  interest, whatever that means  But both from the spot and the futures market  "
