,start_date,content
3,1987-08-18,question forecast look forecast third_quarter incorpor recent_data regard employ retail_sale product think number come higher possibl weakest quarter_year fact turn quarter
5,1987-08-18,question involv inflat sharp drop last_month half inflat_rate term gnp fix weight deflat seem littl surpris particularli given revis gnp data saw last_month somewhat brighter glow econom statist sure understand caus
7,1987-08-18,doubl growth_rate pce final_sale substanti third_quarter
15,1987-08-18,third_quarter
61,1987-08-18,mr chairman forecast basic agreement greenbook_forecast agre risk term growth upsid reason mention exampl assum billion deficit reduct measur indic greenbook possibl portion measur will enact area case result govern sector greater boost gnp secondari impact greater deficit felt moreov look district data particularli area employ retail_sale indic strong_growth discuss past_month director head offic branch indic greater optim busi prospect year_half system pessimist inflat greenbook believ fix weight price_index will continu advanc percent rate last half_year remain rang seem recent tighten labor_market rais chanc price_increas certainli heighten longer_run concern inflat appear point room maneuv rather limit labor_market around full employ nomin short_term_interest_rate_rise basi_point next_year forecast real_interest_rate_rise slightli current forecast_greenbook hold littl prospect inflat_rate subsid near futur
111,1987-08-18,mr chairman believ strong case can altern character term anticip effect interest_rate small move sever committe member express view tighter polici necessari come_month think develop strengthen view data releas last_meet suggest economi inflationari_pressur pick inflat half percent real_growth strong percent rate data far econom_activ particularli employ data retail_sale industri_product indic economi remain_strong current_quarter given take time action affect inflat believ polici adjust delay much longer inflat realli gain momentum sever action will requir bring inflat control reason support adopt altern present staff
113,1987-08-18,million
224,1987-09-22,ask_question assumpt regard fiscal_polici time case past assumpt spend cut around billion think substanti risk will materi work done suggest polici_accommod billion deduct spend add approxim percentag_point growth half percentag_point inflat_think roughli magnitud
226,1987-09-22,billion reduct zero
228,1987-09-22,question notic chang assumpt regard size deficit guess primarili higher interest_rate assumpt forecast_horizon feed incom word loop close model higher growth dispos incom result higher interest payment deficit
246,1987-09-22,underli inflat must pick quit bit mark acceler labor_cost
262,1987-09-22,want rais issu shed littl light concern slow interest sensit sector economi hous seem economi oper term employ slow interest sensit sector economi time go strength net_export real problem can concern implic hous sector pictur realli fit togeth kind slump assum problem
293,1987-09-22,mr chairman regard question real_rate look differ way model approach secondli survey refer hoey survey drexel burnham lambert give similar read regard question instanc much increas nomin rate produc increas real_rate exampl hoey survey show increas tenth percent inflationari_expect effect got sharp increas real bond_rate saw bond_rate_increas sharpli period big impact forecast_think board_staff_forecast damp growth interest sensit sector economi respect draw littl comfort strong_growth net_export area effect weak interest sensit sector make room growth net_export regard forecast gener estim real_growth will averag percent forecast_period actual shade slightli expect regard net_export real net_export contribut approxim percent real gnp growth_year_next_year somewhat differ greenbook_forecast greater strength consumpt next_year economi greenbook_forecast someth differ growth_real dispos incom mistaken concern inflationari impact forecast_greenbook know greenbook_forecast_inflat averag percent term fix weight deflat much differ concern respect composit inflat_forecast chang rather dramat somewher zone close full employ accord staff work thu forecast_greenbook_forecast wage cost begin acceler extent inflat function character underli factor function temporari factor drew year_think inflat problem will becom persist final think_import respect risk outlook upsid regard real_growth perhap inflat primari concern center around govern spend think assumpt billion cut use greenbook materi like strength sector includ forecast thank mr chairman
386,1987-09-22,mr chairman meet certainli support altern prefer altern reason mention around prospect view growth aggreg_demand run potenti given fact economi oper zone full employ strength demand combin declin valu_dollar can expect upward_pressur price growth labor_cost part forecast board_staff lead underli inflat_rate higher moreov inflat prospect significantli worsen expect reduct feder govern spend materi given take time action affect inflat import view delay inflat alreadi show_sign becom persist final point read footnot page correctli look distant futur altern assum greenbook_forecast talk economi perform particularli greenbook_forecast pleas keep mind assum altern distant futur read footnot
