,start_date,content
8246,1991-12-17,thank must speak toward end discuss much can add discuss extrem help portray difficult balanc situat find wish posit sign come st loui carri littl neg econom sign portray greenbook confirm list neg posit neg list longer posit list nevertheless restructur discuss around_tabl lay good foundat bump along bottom think will pois move stronger product better effici servic sector think monetari_aggreg show_sign get track balanc situat perhap bit larri lindsey tri weigh penalti side washington becom sensit polit pressur might wors thing come hill downtown word nevertheless come side accommod continu balanc_sheet restructur perspect mullin describ monetari eas occur clearli think_need eas know time right wait bigger bang speak maximum impact persuad nevertheless think eas time continu accommod busi restructur help afraid unfortun agre greenbook economi like move along bottom eas point seem help like need later extent can earlier rather later think better spring start black hole widen might start see grand time see panic situat thank
8310,1991-12-17,pleas support propos gone happi support propos
8403,1992-02-04,thank come toward end discuss realli much base greenbook analysi comment forward describ go district seem best can recoveri sluggish say quit agre governor angel cannot sourc light will lead disappoint news continu hear realli confirm hypothesi see structur chang cyclic move problem longer come recess might case past will posit side posit sign see good run balanc_sheet restructur certainli good term strengthen bank sector fact inflat seem much concern broad varieti sector good term see chang peopl viewpoint toward save say time need save polici countri think start improv eas occur late posit receiv might hope help think lot eas occur last_year_half probabl soak balanc_sheet restructur lot eas thought pipelin use agre yet see real_economi eas occur late certainli saw mostli posit reaction except bond situat certainli stock_market react favor concern larri might happen capitol hill fix situat view fact think eas fulli reflect real_economi feel quit pressur eas feel vice_chairman_think quit vigil next perhap coupl week next coupl week window congress start kind thing desir gener eas polit perspect though hate better sooner later hand expect congress get go strengthen hand wish tri address deficit situat think term eas inclin urg sooner rather later nevertheless feel quit_strong pressur late
8451,1992-02-04,support_recommend
8587,1992-03-31,support propos asymmetr appreci comment get past period conflict data hope will start better corpor earn report come follow quarter can sustain equiti_market fairli level regard ms agre presid syron sure exactli mean know mean someth mayb mean someth hindsight certainli agre someth need pay attent rattl number remain concern support propos base mr chairman
8833,1992-05-19,prefer asymmetr toward_eas will support symmetr recogn talk intermeet_period
9037,1992-06-30,prefer eas accommod restructur live asymmetr_direct
9224,1992-08-18,thank hand progress sens manag move bottom last list talk folk hand listen gipper last night littl hard find bright spot mayb point light economi monetari_aggreg appear weaken last_meet mayb monetari_aggreg weaken economi weaken tri locat like sourc strength think go consum hous potenti sourc strength unemploy uncertainti tri recess stronger recoveri situat taken seem question hous go provid spark need certainli news differ part countri tend spotti invest_spend possibl somewhat constrain retrench see busi emphasi effici simpli slowdown spend downward greenbook revis gdp third_quarter particularli disturb view fact last_time assum eas impli taken eas feed restructur process talk observ appear deep seat widespread might thought unemploy situat tend wonder pain labor_market evidenc percent unemploy_rate cite peopl know restructur occur defens cutback realli get start fact take time move along protract pain guess question satisfi pictur slow_growth economi seem gener job risk seem decidedli side certainli recogn argument eas help hand question risk eas inflat appear flare mayb governor kelley mention approach point start wonder overshoot polit press concern time problem problem allow dictat whatev happen go particular week becom problem think right think wait around fiscal_polici tenuou best balanc seem last_time risk move side
9311,1992-08-18,prefer will support asymmetr
9409,1992-10-06,lag
9552,1992-10-06,lag
9607,1992-10-06,think last speak will short much comfort greenbook_forecast time mark econom_growth project bit pessimist along respect real_economi pleas markdown percent real_growth fourth_quarter think fairli realist agreement gener inflat control almost measur think get discuss cpi mean measur problem recogn get close deflationari point governor kelley mention fact gone weak economi add uncertainti gener uncertainti reflect market talk polit uncertainti certainli intern uncertainti reflect market uncertainti respect balanc_sheet adjust go though durat weak adjust process continu drag peopl damp capabl economi recov last_coupl time scratch head tri figur tell chang cone move cone around go anyth know enough monetari_aggreg tell small improv late look move sideway mayb monetari_aggreg tell pay attent earlier respect exchang_rate recogn allow dollar polici constraint end lengthen cycl lengthen period slow econom_growth fact hurt run ad thing come think_probabl go need eas move somewhat concern time care need given enthusiast reput seem garner react variou thing littl concern get game trader think rather grand time day come move_toward_eas think_time need consid care
9651,1992-10-06,support presid_jordan suggest look cone essenc polici guid eas earlier polici guid aggreg forecast lower forecast find inconsist attent somewhat troubl prefer eas today prefer altern concern trader voraci attempt game system hand experi crowd will reluctantli support asymmetr
9830,1992-11-17,let rang thought feinman porter studi immens help ad understand go bu want lower rang will come surpris continu want lower rang technic matter think studi identifi substant real kind effect seem lower rang consist testimoni given continu studi knew someth certainli consist stori prefer lower rang will respect amount either half full percentag_point reduct think messag continu want move_toward price_stabil import thing respect short_term direct persuad argument immedi coupl prefer immedi eas think consider room improv economi_think go kind fiscal_stimulu packag prefer balanc approach fiscal packag time come debat live asymmetr toward_eas prefer eas
9882,1992-11-17,go go cut rang
10025,1992-12-22,sensit
10042,1992-12-22,report heard today report last_week certainli strongest evid board economi appear break pattern fit start character recoveri persist region differ remain concern think sign perhap encourag come plethora news includ steadi improv employ front consum_confid mayb fact six quarter posit gdp final dawn peopl mayb suggest post elect phenomenon mayb peopl plain tire dump gener depress make good progress hous industri_product seem track bit swoon earli part third_quarter see small improv strengthen credit side seem tenuou consid situat busi bank borrow improv stronger corpor profit stock_market hold dow move lot year index improv overal given rather pe ratio see fact stock_market held good sign flatten yield_curv gener good sign hope sustain continu flatten end gener financi sector seem better shape support recoveri glad discuss today center inflat differ view start buildup concern respect inflat glad extens analysi greenbook inflat concentr varieti indic look ppi compon commod_price wage index oppos cpi thought help other gnaw concern trade balanc mention wonder concern europ japan trade partner portend unit_state bigger problem might anticip wonder will spillov effect might come economi employ side way oper restructur defens restructur employ seem key sustain think financi deleverag lessen chairman headwind sure know much yet respect financi deleverag final note must concern monetari_aggreg go look care deceler see current project next coupl_month think monetari_aggreg bear care watch
10114,1992-12-22,symmetr
10166,1993-02-02,wonder revis green sheet nomin_gdp fourth_quarter went much
10168,1993-02-02,think might hear yet
10234,1993-02-02,stori probabl go bit larri let start econom situat certainli strongest best prospect fed term growth product product spend financi sector someth discuss much seem better shape bank system financi system gener provis capit consum_confid dramat improv perhap stronger fundament impli exactli opposit talk six_month_ago say confid strong stronger base fundament varianc among district listen discuss seem widen report bob parri twelfth_district seem get better certainli disturb wrinkl econom scene lawar continu drag past make progress weak non residenti_construct intern slowdown fact wors led understand feder deficit state budget constraint number kind constraint balanc_sheet adjust talk clearli make progress think anybodi realli know much much progress right amount debt either corpor individu whole question oper restructur si keehn macho terminolog right size size de layer see lot corpor execut lose job certainli affect corpor execut might feel heat board director suspect go keep pressur area remain tough layoff certainli real thing drive restructur drive increasingli competit intern environ increas_product nevertheless say time comput realli go chang live definit chang live chang corpor assess need term work forc middl manag analyz variou kind statist get facil look statist directli time inventori manag see manufactur somebodi rememb label industri revolut social accept move corpor america seem continu think go continu pressur think employ situat remain key sustain_econom_growth certainli market watch peopl watch much happen growth measur wait employ_report remain concern hope go month increas payrol_employ bit optimist follow larri comment respect administr watch comput screen coupl hour can trial balloon go across screen increas rate certainli encourag gener direct administr take respect tri address deficit enact small fiscal packag certainli state goal someth happen term job deficit reduct bank reform hear discuss need examin regulatori environ former manag recogn think can good idea fact lot easier come actual done certainli hope go achiev thing think recogn trial balloon stage
10237,1993-02-02,gosh last cannot believ
10279,1993-02-02,symmetr
10361,1993-03-23,uncertainti except economi appear show_sign upsw portion tradit busi_cycl although certainli strength saw fourth_quarter see consum purchas continu surg continu reput pace employ show_sign strength see pretti strong corpor cash_flow term_interest_rate discuss morn final come financi sector appear posit continu provid capit bud recoveri price firm area certainli neg connot sign strengthen economi given tradit sign improv economi_think forc like continu restrain preclud robust recoveri certainli see monetari_aggreg corpor household restructur continu balanc_sheet repair oper side_think see diminut oper restructur began last_year ahead defens restructur effect employ inflat written nascent sign inflat reoccur although listen governor angel mayb plain sign nascent sign point certainli anecdot_evid report lumber price probabl find stori thing cannot keep throw piec index point start add intern situat problem seem rang weak potenti crisi russia certainli effect economi fiscal side realli yet know full impact fiscal packag go health packag yet come great hope go deficit reduc think consider skeptic much deficit reduct fact go occur move forward packag tax redistribut effect contract sum think realli cannot complac recoveri mayb year_ago glad percent type recoveri downsid_risk certainli upset fragil consum_confid situat send bond_market orbit
10413,1993-03-23,symmetr certainli seem time keep powder dri guess object altern languag crazi
