,start_date,content
19929,2000-11-15,thank mr chairman except region econom_condit fourth district chang littl beigebook report growth_rate sever industri particularli manufactur appear moder toward growth_rate typic averag growth_rate see throughout expans except beigebook report retail_sale outlook becom notabl bearish retail_sale figur earli disappoint retail tell sale menswear lead indic retail_sale gener concern recent weak sell pace categori foreshadow soften consum demand critic upcom holiday season accord beigebook nation summari econom_activ fourth district slow bit faster nation whole littl doubt firm district poorli reason poor perform seem peculiar industri firm rather economi wide busi slow exampl heavi truck manufactur industri experienc reduct output percent last_year record level lessen demand truck servic caus drop fact truck freight tonnag grown time rather condit peculiar truck manufactur industri respons slowdown oil_price shock hit truck firm capit_spend budget especi hard truck compani difficult time get loan fact contact bank singl loan truck firm danger one past fix price contract diesel price skyrocket final anticip trade valu drop harder trucker justifi buy truck truck product declin substanti truck ship district character larger concentr manufactur_activ nation whole tend hear group somewhat disproportion manufactur continu tell cannot rais_price matter hard tri heard sever other morn becom increasingli concern competit environ fact cite intensifi cost pressur greenbook note higher energi_price higher health_care cost higher labor_cost tight_labor_market especi skill labor steel industri provid power exampl go inventori steel quit industri character excess capac around world steel import flood unit_state condit becom bad integr produc plant shutdown layoff within year like coupl director point outright bankruptci question condit chang competit prevent price manufactur rise situat price raw materi increas chemic firm exampl report though higher oil_price greatli increas cost unabl rais sell price report manufactur serious want perspect ex food energi basi good price measur cpi increas annual_rate percent past_year surpris manufactur inflat lurk around corner yet overal core_cpi continu acceler culprit servic sector suscept import competit prone product increas cours larger compon labor input good produc industri bring nation situat greenbook economi essenti balanc sens level econom_activ roughli line potenti think greenbook good job express caution crept mind businesspeopl mind economi extraordinari abil grow faster greenbook expect baselin project extent polici adjust thought prudent basi_point_increas fed_fund_rate next_year call given uncertainti surround forecast polici prescript almost regard chang_polici almost staff maintain baselin project economi risk_inflat rather forecast_horizon share concern perhap reason differ underli greenbook_project concern will confus peopl definit price_stabil willing pursu year will fifth consecut year core_pce will increas rate percent last_year rate percent result led peopl achiev price_stabil core_inflat measur will year last_year greenbook correct will creep next_year statist test run median cpi core measur develop bank indic inflat trend chang expans similar analys run core_pce lead conclus ad greenbook_project pce will improv inflat trend entir expans period find difficult contempl look project core_pce entail revert inflat level without express concern balanc_risk toward inflat realli accept thank mr chairman
19991,2000-11-15,agre recommend other prepar longer statement case recommend chang tilt reason concern object achiev price_stabil other will spare statement
22790,2003-01-28,thank mr chairman will begin remark report la paz mexico jordan take possess sailboat sent mail day ago say found dollar store sort laughter call uno precio everyth store price peso peso dollar note bit expens dollar store found canada mexican pack place find great bargain final comment price_stabil reign note read transcript meet comment go miss anecdot vignett will best bring interest import entertain anecdot fourth district econom_condit district move sideway past six_month intermeet_period differ manufactur district_continu express disappoint current state econom affair vocal group automobil manufactur bit better sector differ depend plant model look home_sale home construct continu_strong other mention district director last_week attend nation convent homebuild indic great_deal optim group compani supplier homebuild supplier see strong order area economi_continu optimist auto_sale district_continu brisk although back bit record level last_year consum_spend flat past_month compar year_ago point ask advisori_council member poor state capit_spend specif ask geopolit situat might affect capit_spend plan although sampl realli repres anyth heard interest told great_deal weight view terrorist activ pend war iraq hold lot capit_spend busi spend spend higher health_care cost_increas insur premium higher cost maintain plant equip view merit eas geopolit tension lead immedi surg capit_spend analyst predict regard nation_outlook view consist greenbook economi appear capabl continu_growth use larri slifman term morn somewhat skeptic time snapback busi_fix_invest forecast believ necessari propel economi summer higher growth trend given report figur excess capac economi capit servic can expand without substanti snapback invest expenditur short_run guess depend excess capac repres past invest simpli like becom product short_run highli specul tech industri excess capac repres tradit weak demand individu spoken fourth district suggest weak demand capac meet increas demand seem say go hurri invest capit equip busi pick know break histor pattern mayb attitud will prove pessim realiti believ see region phenomena mention labor_market firm look way produc exist workforc agre sandi comment morn rel tepid employ_growth see mirror pattern recoveri close postwar recoveri pattern continu face year littl employ_growth gdp grow thank mr chairman
22813,2003-01-28,support_recommend mr chairman
22903,2003-03-18,thank mr chairman econom_condit fourth district appear broadli consist rest nation sentenc beig book nation summari describ situat name growth econom_activ remain subdu geopolit econom uncertainti constrain busi consum_spend temper near_term expect think staff excel job report analyz synthes data come last_meet staff conclud economi like weaker near_term yet real_gdp_growth inflat next_year expect forecast last_meet indic larg transient natur addit soft gener agre forecast although arriv gdp figur slightli differ focu comment morn near_term weak potenti implic releas labor_market data seem power affect market sentiment economi awar last_month weather distort econom_activ beig book contact across wide rang retail sector report winter storm affect sale knew account weather probabl conclud labor_market weaken hard know much report idiosyncrat can often happen month data director whose firm suppli materi nation homebuild market report saw signific decreas order rapidli order declin bounc earli overal sens director advisori_council member contact district condit chang fundament past_month presid santomero detect significantli neg tone comment economi expand expect albeit moder pace hous continu_strong banker district go continu_strong busi_invest weak expect remain weak accord busi_peopl district convers contact throughout district credit avail geopolit risk capac_util affect pace capit_spend banker report liquid anxiou lend fact note short_term perspect final start receiv inquiri busi custom custom increas credit line use line tell gear use road iraq situat resolv within last_week alon busi_contact inform firm turn away sizabl order fill order add capac uncertainti face will ordinari time invest comment last_meet concern outlook snapback bfi given current low_level capac_util research depart statist work examin relationship capac_util busi_fix_invest found level chang capac_util strongli lead busi_invest suggest expect pickup bfi excess capac get absorb beig book contact hear consist stori name will add capac lot idl capac plan addit capit_spend bring idl capac line mean will spend plant equip softwar rather upward trajectori go steep interestingli think caution capit_spend fit greenbook_project strong product_growth ceo talk tell though pay close attent payrol capit_spend hire spend innov effort show healthi rate multifactor product_growth greenbook summari discourag lack progress expans thu far believ clearli due unsettl risk war terror obvious potenti war dark cloud overhead far overhead perhap although cloud restrain econom_activ believ success dissolut will result continu econom expans vice_chair other indic today time central_bank patient watch develop unfold especi economi look dark cloud uncertainti dissip thank mr chairman
22946,2003-03-18,support_recommend mr chairman
23087,2003-05-06,thank mr chairman comment econom_condit fourth district differ colleagu alreadi report district moreov condit region chang much last_sever report fourth district_economi pois expand faster pace half_year reason doubt exist time extent expans district busi leader banker talk express caution outright skeptic environ banker continu enjoy fee incom mortgag refinanc know cannot reli product line sustain busi indefinit look_forward expand commerci industri loan creditworthi custom yet need draw credit line busi firm seem place premium stay liquid exampl sever member busi advisori_council indic custom extend period make payment extend thirti sixti day cash pay want conserv cash stay liquid condit chang sever_month other alreadi note avers busi_invest continu question busi_peopl close capit_spend plan yet find concret evid point firm spend plan later year much excess capac firm line presid_pool report earlier sever manufactur told glut use capit equip market glut price quit low firm strong balanc_sheet buy equip wareh demand pick reason worst case scenario can sell firm talk want buy capit equip low price equip alreadi lost signific market valu weaken balanc_sheet lender consequ will advanc credit firm busi condit deterior balanc_sheet manufactur district becom increasingli pessimist abil longer_term compet firm locat product facil outsid unit_state especi area china labor_cost quit low manufactur recal shakeout occur period dollar appreci today environ manufactur cut price face higher input cost raw materi labor benefit fear ratchet industri activ countri structur adjust began late persist sever_year turn_nation econom_outlook gener hear district contact oper nation intern infer can draw busi_fix_invest weaker greenbook path next_year neg tone hear busi_peopl contemporan predict futur invest plan case neg tone simpli reflect current cautiou environ econom_activ pick inde stronger busi_fix_invest portray greenbook neg tone foretel problemat fundament perhap reflect reduc expect return invest tell equilibrium_real_rate capit move somewhat will remain lower longer period_time thought expect will talk polici discuss thank mr chairman
23175,2003-05-06,support polici recommend support unbundl risk pleas statement acknowledg concern deflat indic substanti fall inflat unwelcom share view express other taken togeth sentenc rebundl risk concern will caus market focu fact chang balanc_risk toward weak prefer sentenc statement can support statement written look_forward develop commun method feel comfort call swan
23266,2003-06-24,thank mr chairman econom_condit fourth district chang much intermeet_period manufactur continu report signific amount excess capac declin price product produc part plan acquir capit equip beyond amount schedul earli year manufactur talk indic firm undergo fundament restructur compon use product process produc oversea purchas oversea assembl test valu ad compon remain unit_state banker consist tell although residenti mortgag loan origin volum remain larg hungri qualifi commerci industri borrow banker tell loan deposit ratio quit low liquid ratio quit talk busi_peopl find becom impati economi sluggish unsettl inabl gener sale price traction meantim medic cost pension cost continu rise increasingli director busi_contact_report plan addit round cost cut personnel downsiz order gener respect profit appar organ decid wait midyear forecast project economi go pick implement plan addit downsiz reluctantli ceo feel need pull trigger busi_contact current price avail credit impedi capit_spend perhap appreci variou channel lower_interest_rate might help economi influenc exchang_rate balanc_sheet turn_nation_economi perspect greenbook outlook side account differ greenbook optimist capit_spend number submit consist view capit_spend greenbook character economi oper far potenti term level growth_rate suppos economi oper quit far potenti assum greenbook somewhat_higher capac_util level certain firm econom viabl hear busi_contact industri need shed capac far process go time possibl reason time stock_market crash terrorist attack account scandal industri restructur might prudent lower estim potenti_output_growth_rate year extent variou forc work easier monetari_polici lead appreci faster econom_growth concern focus stimul aggreg_demand appreci enough suppli_side constraint work work thank mr chairman
23354,2003-06-24,mr chairman_support_recommend basi_point cut reason support need address disinfl risk_statement issu last_meet tell public time concern risk intermeet_period valid concern strengthen public convict act today call attent risk think oblig follow rhetor action other unchart territori contain risk wise avoid think action will help avoid risk
