,start_date,content
2,1987-08-18,statement_appendix
4,1987-08-18,will know sure quarter look next week number point incom expenditur flow number point clearli upward downward_revis third_quarter suppos recalcul today best guess number fraction higher necessarili differ significantli quarter basi retail_sale data number closer percent
6,1987-08-18,dissect forecast deceler primarili consumpt area part reflect better food price note unless someth serious awri increas energi_price half will distinctli slower half littl bulg near_term half whole expect consider slow moder encourag trend non energi servic area consum expenditur seem deceler bit last_month carri littl longer forecast
8,1987-08-18,cours part surg consumpt expenditur certainli larg part automobil area surg go give concess lower_interest_rate gener rebat program
10,1987-08-18,tri highlight geograph dispar chart_show present committe last_month show region unemploy_rate substanti differ see differ wage trend clearli northeast area averag unemploy_rate distinctli lower see wage deceler judg employ cost index exampl past coupl_year histor obvious economi perfectli level tri compress statist alway dispar unemploy_rate level present time dispar might littl greater typic question pressur point go hard clearli slack prime heavi industri area countri hand industri benefit improv trade locat area countri labor_market littl tighter exampl industri northeast will probabl benefit increas competit approach question degre humil cannot state precis natur_rate unemploy assign fairli broad band recogn question bottleneck fortuit precis match increas demand area slack creat variat spot basic though think anecdot_evid sort sport illustr stori cover kiss death busi week type headlin crunch overblown bit sens labor_market_tighten though pressur wage
20,1987-08-18,think identifi area like upsid surpris forecast year nomin busi_fix_invest continu survey indic month_ago clear order pick basic forecast though seem line histor pattern give consider cost capit presum rather modest acceler effect output_growth whole strong moder increas fix_invest certainli area surpris shock
23,1987-08-18,turn briefli mr morri question thing mind sort cautionari note order figur cannot tell much might potenti export point number need read cautious view oil situat tri suggest downsid_risk evid consider move stockpil oil swing movement toward destock opec swing produc cut promptli enough temporari drop crude oil_price mayb lower level suggest basic think perceiv end last_year reason enough coher opec countri contain product within level enabl sustain price target level tend think crunch like rel short live perhap introduc price final product petroleum product quit surpris someth perman enough produc significantli lower trend energi_price forecast_horizon
28,1987-08-18,mr chairman cours governor seger want adjust think term rule
30,1987-08-18,term rule thumb barrel worth someth percentag_point cpi cours year significantli obvious gnp price domest output price
35,1987-08-18,effect
37,1987-08-18,key factor
39,1987-08-18,mayb success answer product number bounc around expect time labor day will hour number feel sound enough arithmet point term understand data run year low_level number affect averag level hour fourth_quarter gyrat percent growth product third_quarter go percent fourth compens side begin acceler compens half_year big third fourth_quarter jump big jump quarter next_year higher payrol tax effect
42,1987-08-18,sure kind analysi mind clear signific factor year whole energi_price contribut percent roughli acceler price consumpt invest good clear though half acceler consum_price larg energi_price food price done rather small contributor half acceler primarili energi_price
45,1987-08-18,short intermedi term busi credit
47,1987-08-18,part think move longer_term financ interrupt flow speak rate back earlier spring rate came littl mayb corpor treasur began think wait declin seem come market signific size best can sort thing thing can finger data seem support clearli reflect sudden drop inventori_accumul exampl data show
50,1987-08-18,opportun commit memori yet focus year
52,1987-08-18,basic assum addit congression action alreadi occur someth akin program will adopt action give order billion deficit reduct par congression budget resolut number outlay number billion month estim obvious revenu thing receipt number billion estim larg reflect downward_revis forecast corpor incom tax receipt major outlay side respond higher interest_rate expect somewhat_higher interest payment respond higher_inflat will feed larger cost live adjust social secur recipi feder pension recipi major featur chang baselin budget number
213,1987-09-22,thank mr chairman_think can rel brief morn statement_appendix
216,1987-09-22,greater strength clearli export side forecast_period end next_year modest increas import inde expect real merchandis import nomin merchandis import will go slightli larg respons past prospect depreci dollar anticip cours domest spend consumpt particular will grow rather slowli will suck great volum import continu kind demand previous
220,1987-09-22,difficult handl anecdot_evid want character solid term kind survey inform gather mcgraw hill other suggest vi vi histor experi distinctli averag percentag plan spend design replac modern clearli industri plenti capac other can identifi area signific expans capac addit plant built gener look major thrust will continu reduc cost modern product line
222,1987-09-22,materi lead time lengthen think implicit comment question increas level comfort suspect strategi firm run littl tighter capac might past uncomfort see capit_good area averag lead time seem lengthen much yet probabl conson evid capac_util equip produc industri especi see nondur materi area exampl
225,1987-09-22,go zero deficit reduct action
227,1987-09-22,think_probabl littl higher normal econometr result give clearli direct point billion look reason ballpark figur given discuss current compromis gramm rudman revis someth billion loan sale sort thing suppos risk result might somewher zero billion
229,1987-09-22,forecast gener model per se estim incom flow definit account interest_rate path assum project substanti growth person interest incom project period
237,1987-09-22,guess clear assumpt dollar will declin forecast_period purpos straight line path averag percent annual_rate
239,1987-09-22,necessari precis cours smooth trajectori move feder_fund_rate exampl percent rang next spring
241,1987-09-22,approach end quarter want precis flat next_month increas later abl distinguish econom effect forecast_period whole gradual rise
243,1987-09-22,differ forecast deflat fix weight gnp measur fix weight index percent third_quarter percent fourth wherea deceler percent third_quarter percent deflat differ peculiar weight shift occur gnp deflat decreas oil import rel low weight deflat actual tend depress gnp deflat rel fix weight measur basic fairli steadi half inflat lower half larg part lower food energi_price_inflat
245,1987-09-22,underli sens fairli stabl pictur half game strip away food energi_price obvious affect special nonmacroeconom influenc short_run cours peculiar thing affect sector basic fairli stabil underli trend increas next_year rate price_inflat
247,1987-09-22,peopl indic underli rate_inflat ye compens acceler significantli next_year sens underli trend pick
252,1987-09-22,pure conjectur point variou econometr model suggest relev horizon probabl deal interest_rate elast rise mortgag_rate around percent someth increas roughli percent roughli percent declin hous start million someth around million area sens line histor pattern thing provid comfort
254,1987-09-22,look aggreg clearli affect chang interest_rate look angl mortgag_rate level saw consider higher hous start million area probabl gone catchup period home ownership number seem fairli reason look respons far substanti increas mortgag_rate market fall apart entir quit right stab think normal respons
256,1987-09-22,clearli felt see much respons summer elev rate forecast beyond earlier modest declin million level previou forecast taken mortgag_rate_lower hous start difficult note influenc work adjust tax law chang problem vacanc_rate home rental properti variou part countri look hous_price evid suggest market pretti robust demand interest_rate anecdot_evid suggest assess demand posit survey inform suggest pretti number peopl whose attitud good time buy hous surpris seem pattern
258,1987-09-22,main comfort can find number look trend real export quit_strong thu far base exchang_rate project assumpt probabl lag order deliveri process mean improv export fulli evid think forecast basic continu pattern alreadi percept respect think greater concern given outlook improv net_export somehow greater domest_demand growth put greater pressur resourc peopl thought past_year forecast consumpt growth_realli subpar histor sens thing togeth give rather smooth adjust pictur
263,1987-09-22,character outlook think comment around_tabl suggest hope aspect everyth fall nice place
266,1987-09-22,word dollar clear
280,1987-09-22,difficult dissect precis think deal mostli process look real infer pressur resourc feed short_run phillip curv relat wage_price side stylist character
289,1987-09-22,might note industri_product grow much rapidli think gnp grow quarter ip number must regard quit tent growth within rang variat relationship year whole gap rather moder point big dispar signal come industri sector industri_product estim gnp particularli start gnp good output reason can compar industri_product
463,1987-11-03,statement_appendix
466,1987-11-03,michigan survey sentiment index presid morri note period basic third month sampl period look group alon obvious statist reliabl felt sharp drop statist signific level plateau clear distinct pictur get look limit poll confer board show drop small departur strong uptrend last_sever_month seem reflect peopl percept job opportun good propel index directli michigan index reflect
469,1987-11-03,clearli thing forecast along key factor affect pattern output_growth happen believ larg part exchang_rate depreci partli oil_price movement earlier believ eros real dispos incom growth thu damp consum demand releas resourc support substanti improv real net_export might pattern project departur see past_year rather consist pce price rise faster gnp price period real dispos incom growth consider slower real gnp growth continu declin dollar forecast continu pattern rel price movement look histor record think percept rel price movement can period dollar appreci interrupt previou trend ratio pce price gnp price rise rather markedli past_year expect continu clearli somehow occur implic incom share output pattern significantli affect outlook think realli percept trend recent condit brought will prevail futur
475,1987-11-03,cite figur go third_quarter pce fix weight price measur rose percentag_point faster gnp price fourth_quarter faster quarter percentag_point faster quarter faster third_quarter faster moder rel movement forecast experienc look outsid forecast gener rel movement similar rang consider look fix_invest price might go wrinkl term construct index understand construct larg ppi data domest produc good might direct kind import_price measur number construct consum good sampl import directli minor factor
477,1987-11-03,certainli happi consult staff half last_year energi_price pce fall rapidli
479,1987-11-03,guess differ discuss staff rais_question
483,1987-11-03,obvious know confluenc thing fast industri output grow quit sensit mix output economi improv trade reflect growth industri_product manufactur compon stronger overal gnp growth point next_year compon calcul obvious assess capac growth busi_fix_invest weak rebound last_coupl quarter rebound reflect spurt automobil sale presum will sustain cours take littl growth pde feed substanti increas stock capit_good rel weak invest outlook side thing tremend addit capac come year rel moder_growth capac percent bit
485,1987-11-03,higher gnp line growth industri output slightli manufactur growth_rate slight inch probabl call inch milimet capac_util_rate assess capac_util alway difficult know recent annual revis revis realli adjust overal level much notic chang industri alert whatev can pick go actual capac linkag invest actual capac tight
487,1987-11-03,hope cours extent current lean hoard extra labor dip output go much room reduc employ cours determin aggress know persist effect weak will distinctli slower employ_growth forecast experienc unemploy_rate go read liter point next coupl quarter percent level saw past_month hard far process underway forecast brief interrupt recent growth path circumst presum unload tremend amount labor
489,1987-11-03,clearli flexibl past use worker strictli payrol hire temporari help firm worker probabl laid
491,1987-11-03,mr corrigan probabl perceiv sharpest jump unemploy
496,1987-11-03,difficult assess precis demand product adjust go short period_time suggest remark built fairli prompt respons consumpt built fairli prompt respons product inventori_accumul combin automobil inventori rebuild occur sale drop special incent period automak move product bit low third_quarter level though signific accumul outsid sector involuntari go earli part quarter voluntari manufactur_sector appear inventori lean desir keep stock line sale think mixtur voluntari involuntari element lead adjust earli next_year product assum rel smooth path develop next sever_month
498,1987-11-03,apart auto situat
501,1987-11-03,reli total econometr model cours sometim depend littl circumst suggest tremend departur histor norm shock disturb recent trend guess case reason support kind view clear though downsid_risk_forecast stock_market dramat effect gaug point
503,1987-11-03,tri highlight fact might greater shock valu otherwis possibl
505,1987-11-03,think amount courag requir far staff policymak
737,1987-12-15,thank mr chairman statement_appendix mr chairman_think will conclud decis note
741,1987-12-15,basic short rate_declin percentag_point middl year
743,1987-12-15,given elast respons sector enorm amount certainli notic term increment talk around_tabl
746,1987-12-15,ye
748,1987-12-15,use quarterli model tri answer_question essenti held fund_rate tighter monetari_polici chip fraction gnp growth come year effect half_year probabl notic pickup quarter rate year whole growth somewher approach percentag_point accord model
750,1987-12-15,
754,1987-12-15,experiment tool develop approach forecast add factor speak model model done minim amount judgment add factor tend respons incom_data work moder matter fact incorpor inventori data receiv hous start releas today fairli strong short_run sensit stock_market_think factor yield neg result quarter let given confid interv want tri distinguish much read growth percent neighborhood quarter next_year
756,1987-12-15,think model difficulti pick thing incent automobil market thing want much differ suggest appli reason confid interv around project certainli cannot rule neg quarter_quarter
758,1987-12-15,think permit number unchang level
760,1987-12-15,given volatil number certainli insignific chang basic number appear inconsist start level run somewher million next coupl_month think much line sens much go point hous_market forecast show much movement come_month
764,1987-12-15,suppos possibl outcom similar forecast peopl want read money stock number kind implic feel vindic notic slow quarter_year approach forecast process kind simpl connect money stock nomin gnp real gnp outcom obvious forc money stock growth faster year lower_interest_rate possibl lower dollar number event might strengthen outlook nomin gnp come_month inconsist put heavi weight monetari deceler per se
766,1987-12-15,think much depend money demand behavior forecast built assumpt will continu kind slow_growth grow rate within target rang tent set next_year repres particularli case notic acceler see
770,1987-12-15,think realli current set number administr suspect administr right essenc stronger econom perform answer think larg differ administr term mid session review prognost fy
772,1987-12-15,built forecast succeed essenc agre compromis session moder restrain influenc aggreg_demand come year enorm effect ingredi want overlook magnitud roughli half percentag_point gnp
775,1987-12-15,tri suggest inde kind greater weak consumpt expenditur probabl higher_level inventori tend weaken earli part next_year point given uncertainti number inclin think enhanc likelihood get kind deceler forecast part next_year rather influenc level forecast_think rather brave forecast look notic slow product_growth without real sens inventori_accumul go trigger basic rapid respons produc incipi weaken turn consumpt weaker quarter think almost certain kind slowdown
777,1987-12-15,expect fairli prompt respons product slow consider earli pattern must probabl show reduc import demand thu affect domest product heavili point feel inventori posit larg uncomfort certainli show beig book inform week_ago hear stori vari retail sector much els suggest get massiv inventori_accumul
780,1987-12-15,inform standpoint anecdot_evid manufactur employ number physic product data industri_product index jibe kind disappoint export side_think everyth point substanti export growth fact give confid probabl will turn nois will offset come_month
787,1987-12-15,cite number greenbook_forecast percent growth_real export percent point confid definit increas sever_month_ago
791,1987-12-15,look labor_market data easili percent gnp growth recal year_ago fourth_quarter look strong labor input gnp revis end percent consider loos potenti strong hope inventori
1095,1988-02-09,believ overhang widespread larg speaker agre
1096,1988-02-09,automobil inde automobil inventori reduct progress bit faster anticip auto_sale stronger built quarter forecast speaker ye
1097,1988-02-09,conceiv certainli extent respons earli excess inventori_accumul build larger problem subsequ give cycl dramat inventori correct earlier upsw number short_run correct cours critic ingredi speaker follow inventori question distinct manufactur inventori retail inventori think show chart consist anecdot_evid pick area abl much anecdot_evid mention heard elsewher accumul retail inventori plan desir effect beat higher_price import expound
1098,1988-02-09,think hard pin price perhap case apparel earlier part last_year concern quota restrict gener issu price manufactur exampl saw materi input price_increas sharpli case interest_rate look neg real_term saw effort accumul inventori manufactur_sector accumul faster fact slower increas output inconceiv signific desir build inventori moder accumul manufactur stock exampl latest purchas_manag report explicit comment effect reaction shortag good lengthier deliveri time anticipatori price_increas
1100,1988-02-09,suppos certainli someth fundament committe decis make think misread committe behav term put signific import maintain growth avoid increas unemploy term overal resourc_util anyth significantli slower gnp growth basic bring greater degre slack conjectur precis captur desir committe ultim end forecast sort gave much growth think can without put enough pressur economi real momentum develop inflat process
1103,1988-02-09,inde plant equip survey suggest stronger year_year gain nomin busi_fix_invest survey know taken stock_market develop probabl fulli assess commerc survey overlap think consist gener output_growth path term usual acceler effect particularli favor develop cost capit think will area signific strength tri relat area capac_util hand area economi right overal level pattern demand stimulu invest will great obvious financi sector shrink probabl go buy comput offic equip demand offic space lower drag number sector busi_fix_invest offic area gener hotel probabl area miss commerci construct balanc diverg element think forecast realli consist histor pattern given overal level growth final_demand financi commit
1105,1988-02-09,question indic go domest_demand
1107,1988-02-09,think chairman remark rais import point trade pictur look nondefens capit_good order averag lead time aircraft realli enorm backlog will keep busi show substanti growth earlier part last_year_think shown greenbook fourth_quarter increas realli great caution speaker skeptic fourth_quarter number
1108,1988-02-09,volatil seri month month think perhap term lead indic valu probabl point far futur littl hint moder area speaker consensu forecast probabl excess percent growth forecast much strength
1109,1988-02-09,look think bfi forecast much line major one exampl forecast percent turn staff annual averag dri bluechip indic compar small differ
1126,1988-02-09,governor angel let want unduli defens assumpt make norm prescript committe tri emphas saw economi current posit look question much room growth sens issu forecast context sort asymmetr look much room felt grow without move inflat trend much away tri commun assumpt
1128,1988-02-09,think question dynam expect effect think alway run question account tighter polici alway requir higher interest_rate short_run lower growth money balanc line desir level differ path thereaft best guess use model differ forecast yet prescript tri give sens sensit forecast assumpt exchang_rate monetari growth
1130,1988-02-09,certainli rate rang recent_year
1133,1988-02-09,great_deal commentari number think point perhap greenbook subsequ shipment data surfac look stronger bea translat limit data complic shipment export domest purchas intermedi good show end question season pattern season adjust tax law chang number drag automobil sale part shipment data complic calcul guess certainli expect revis degre clear will end declin fourth_quarter
1137,1988-02-09,pde declin percent percent total bfi fourth_quarter emphas season adjust phenomenon will bounc number around time futur depreci rule compani buy someth guess half_year depreci tax reform pile much fourth_quarter tax purpos penal season factor last_sever_year recal wild fourth_quarter_quarter swing probabl begin captur wrong time incent elimin bounc number around futur speaker good point speaker affect third_quarter fourth_quarter swing third_quarter percent speaker ye
1141,1988-02-09,exactli clean slate time certain follow earlier forecast guess feel overal product_growth go tail quit fast built earlier base order trend employ data end_year sens consum_spend fall apart year_end look weak earli fall show much growth end_year seem fall apart surmis everyth els look probabl stock_market psycholog effect great might fear forecast drastic chang mean last forecast talk tenth percent overal gnp certain amount arithmet momentum view chang half great chang note last_time perceiv slow half come way either final_demand will weak produc will react realli fast inventori build inventori begin build adjust product process sort got emerg data final_sale fourth_quarter somewhat disappoint outcom slightli differ stori
1153,1988-02-09,think histori identifi clear trigger point inde econometr effort identifi capac_util effect invest turn modest posit result score tri look beyond econometr evid sift stori find convers peopl think someth indic stori hesit part compani expand capac aggress hand can uncov stori ye plant oper level capac capac expand remov bottleneck expect fairli sizabl gain paper chemic
1155,1988-02-09,ye coupl_year_ago probabl alreadi sign movement paper industri involv plan put product capac servic
1158,1988-02-09,difficult question sort data tri finger dollar worth import inventori overhang arithmet appear present retail sector amount lot dollar best can assess probabl small proport signific factor
1161,1988-02-09,think domest industri net go benefit complic stori best can tell probabl domest industri will experi greatest neg effect inventori_accumul felt begin ship domest firm effect go felt domest firm inventori shelv rel higher import ingredi complic think term foreign econom_activ probabl order factor
1166,1988-02-09,let address start forecast rightli wrongli exampl foreign activ weaker got weaker demand product natur follow tend monetari expans initi movement lower_interest_rate produc offset boost domest_demand need sens kind growth assumpt foreign econom_activ dollar view save_rate question think pick quarter probabl overst perceiv movement consum behavior fourth_quarter big increas farm subsidi farm proprietor incom sharpli think group tend compar low margin propens consum tend boost save_rate somewhat similar phenomenon quarter big increas govern transfer fund social secur cola increas unless spent rapidli tend short_run slightli higher save_rate_think potenti fairli margin propens
1168,1988-02-09,ye think question quickli occur look averag save_rate year versu averag last_year let alon middl coupl quarter last_year versu year_think notic increas save_rate view gener consist kind wealth_effect build stock_market crude gener model result suggest might someth order percent higher save_rate period_time gradual adjust think_reason comfort rang show tail next_year came forecast cannot realli provid particular explan save_rate extent residu forecast process though check view realli signific movement latter part year latter part next_year consum retrench big segment economi substanti offset action sort keep economi track sens realli crucial
1484,1988-03-29,statement_appendix
1486,1988-03-29,mr chairman might appris committe data avail morn lead indic seri show increas percent compar percent declin previou month home_sale percent level around fourth_quarter averag consist hous data
1488,1988-03-29,signific
1490,1988-03-29,current number fourth_quarter nonfarm inventori billion annual_rate billion greenbook went gnp releas much differ slightli differ level auto inventori primarili forecast rate inventori_accumul declin billion quarter around billion sens signific drag output_growth quarter occur basic auto_industri essenti billion dollar swing rate inventori_invest auto_industri account someth order percentag_point gnp surpris data look point build forecast outsid automobil rate inventori_accumul seem slow quarter last forecast_think someth order billion declin rate non auto inventori_accumul sens extent busi anxiou reduc stock view someth plu economi quarter rel expect
1492,1988-03-29,think feel zone consider uncertainti capac_util_rate across industri alreadi price_pressur industri think function dollar declin actual pressur capac backlog order built manufactur custom alloc seem rather restrain date price fact case probabl aggress seem move longer_run consider custom relationship kind increas capac_util signal major chang pictur point_think_risk write higher number degre discomfort worri pressur materi chang
1495,1988-03-29,hypothesi want test
1497,1988-03-29,think suggest forecast uncertainti element labor_market side suggest work date fail find convinc evid natur_rate unemploy nairu lower current rang estim around higher_level other look thing differ come conclus give bit room downsid labor_market side mayb quit razor edg kind forecast suggest capac side thing turn mix demand rapidli expans capac occur particular industri demand strongest character pictur littl mushier precis number suggest think pretti close bottom line assess
1508,1988-03-29,model gener construct discontinu thing emerg know cannot pinpoint look differ variat structur model differ estim period can broad rang estim
1510,1988-03-29,last_year matter interpret degre mathemat term term equat expect price given surpris last_year oppos natur_rate differ anticip model someth taken account forecast individu set expect recent inflat experi suggest necessari maintain real wage fear lose job competit intern marketplac particularli
1512,1988-03-29,look
1514,1988-03-29,depend term want adjust entir clear fact natur_rate recent experi suggest built forecast price expect develop usual natur_rate around percent calcul realli think natur_rate_low think someth els go term expect labor manag stage consist forecast
1516,1988-03-29,guess question glass half empti half full much price_increas come materi view part broader phenomenon time rel price adjust list item purchas_manag report short suppli lengthen consider seem lot report suppli tight variou materi compon
1518,1988-03-29,seem terribl anxiou get good order much farther advanc quarter bottom line area look care think right think thing tighten clear immin danger broad acceler
1520,1988-03-29,mixtur thing capac_util point product market gotten tighter price discret part manufactur continu effect import_price declin dollar wage begin pick lag adjust price_increas alreadi lower_rate unemploy environ think price firm consider
1545,1988-03-29,guess usual forecast_think thrift earn might cyclic sorri
1563,1988-06-29,thank mr chairman shall refer materi label staff present feder open_market committe statement_appendix secretari note transcript exist remaind afternoon session presum includ question staff follow present meet recess morn session
1991,1988-08-16,thank mr chairman ted will follow comment morn trade data remark implic recent foreign_exchang_market develop statement mr prell appendix statement mr truman appendix
2008,1988-08-16,look next coupl quarter real bfi account third gnp growth third fourth_quarter cours next_year account percent growth
2010,1988-08-16,clearli key dynam incom gener sector forecast
2012,1988-08-16,note look inventori half_year posit contribut gnp growth look significantli manufactur area relat part durabl_good strength busi equip particular
2014,1988-08-16,bulk right forecast neg nonresidenti structur half essenti flat next_year whole stori produc durabl equip larg part stori read current trend comput offic equip area grow rapidli tail notic forecast_period remain_strong element forecast
2016,1988-08-16,think overst contribut make pde deflat declin
2019,1988-08-16,inde look total pde number
2021,1988-08-16,total pde deflat declin someth percent year forecast given pde rise percent year percent next_year whole stori mean
2023,1988-08-16,much think fix weight question want realli deflat comput expenditur rate
2025,1988-08-16,
2029,1988-08-16,think thing consid sens potenti actual growth lower token measur real_growth_slower potenti real_growth_slower resourc_util quotat short_run materi differ think get distort number effect base base year measur pde price comput price particular think real crux matter matter slice level resourc_util much higher expect realli drive inflat_forecast
2031,1988-08-16,assert gnp growth overst use price deflat presum potenti gnp growth commensur overst give room maneuv think_import handl happen capit stock assess product potenti much longer horizon issu sort question relat possibl mismeasur output anyth els affect actual potenti_output much gap
2033,1988-08-16,get complic almost metaphys issu sure realli problem sens overestim
2035,1988-08-16,sure depend question
2044,1988-08-16,thought must amount quantit work done date much think want time hard fix household portfolio assess probabl amount might call rate sensit asset exceed amount rate sensit liabil quit proport previous balanc increas interest_rate tend augment household cash_flow think chang occur realli big differ respons household sector short_run ball game extent distribut question real good fix think someth worth give thought investig basic assess big differ
2047,1988-08-16,re thing quarterli pattern end next_year reflect signific measur quarterli pattern food price_increas strong next spring tail toward end_year thing reflect particular pattern oil_price energi_price assum forecast element contribut inflat part next_year essenti flat half_year bulg somewhat mislead fundament think trend acceler much next_year tend slight upward tilt compens underli price trend assum interest_rate will continu move next coupl quarter essenti percent area fund_rate reach earli next spring
2056,1988-08-16,express recogn uncertainti thing want excess precis character involv forecast basic rate get level quarter next_year stay
2058,1988-08-16,modest downward_revis hous start way upward adjust mortgag_rate forecast mortgag_rate run bit tighter treasuri previous mortgag_rate get toward percent half possibl around percent
2164,1988-08-16,nomin current_quarter exist fund_rate given end
2168,1988-08-16,ye basic gnp forecast interest drift next sever quarter
2317,1988-09-20,thank statement_appendix
