,start_date,content
19320,2000-05-16,data foreign econom_activ come meet run rel prior expect pass much surpris level foreign output project half much reason alter pace subsequ expans despit brighter prospect level activ abroad dollar appreci percent rel major currenc intermeet_period evid upsid surpris activ unit_state outstrip abroad interest_rate rose take account widen interest_rate advantag oblig though hard press explain much strength dollar especi rel euro true econom_activ continu_expand rapidli euro area cacophoni offici respons euro weak rais doubt necessari structur reform will forthcom strong extern impetu stem weak euro grow momentum domest spend euro area expand percent year_next underli forecast belief european central_bank like tighten short order eventu rais polici rate total percentag_point end downsid_risk outlook spend european offici concern valu euro near_term will extend beyond essenti symbol act steril intervent happen firm monetari_polici sooner assum cours risk palpabl depend action today concern japanes offici will fail deliv polici stanc appropri ensur sustain_econom expans suffici work consider stockpil unus resourc littl doubt near_term read pace spend japan will side abstract problem measur news favor half perform come bank japan like pick short rate zero floor small amount view near_term strength economi temporari spurt much bounc sharp contract half last_year go forward household will burden doubt job secur will reluct consum lag effect earlier appreci yen will cut net_export fiscal_polici schedul shrink stimulu result japanes real_gdp_growth forecast settl percent last six quarter forecast_period expans activ among trade partner seem assur add forecast call output_growth foreign economi percent year percent next_year cours outlook shape importantli past project path exchang_rate respect flow exchang_rate act tilt global spend toward region capac pressur bind thu today strong dollar help direct spend toward foreign market make substanti pressur resourc bit intens time though level exchang_rate contribut substanti deepen current_account_deficit increas relianc foreign investor willing hold increas amount claim unit_state abl convinc foreign investor will continu voluntarili hold larger stock debt current_level exchang_rate indefinit written path dollar valu fall forecast_period sens return dollar asset will look attract time foreign investor help explain rise longer_term yield dollar denomin asset mike outlook forecast wont project path dollar declin rel smooth part repres equivoc process adjust will start orderli contain perhap relev polici consider declin dollar impli foreign sector will longer forc help absorb robust domest spend restrain domest inflat rather excess domest_demand will satisfi foreign capac import_price like tradabl price gener will ad domest inflat compon revis outlook offset implic net_export current_account go forward stronger level foreign activ rais world demand good servic overal benefit export dollar begin project path glide higher altitud rel price forecast_period work favor import discourag export previous net forc incorpor arithmet staff_forecast shrink neg contribut net_export gdp_growth_year_next roughli similar greenbook anticip current_account_deficit deepen billion fourth_quarter deficit repres percent nomin_gdp billion forecast extent agre staff assess impli accumul oblig abroad will strain foreign investor patienc likelihood dollar depreci project risk attend outlook seem bit consider
19338,2000-05-16,sure talk environ equal risk adjust return worldwid case intern portfolio diversif household move_toward
19340,2000-05-16,right move_toward share fact household hold fewer foreign asset model think counter histor properti hold asset test rang reserv share answer factual part question intern flow fund account give inform level foreign asset distribut across countri can perspect unit_state fact survey come cannot answer_question belgian dentist dutch broker
19361,2000-05-16,think signific fraction higher growth cyclic estim output_gap work industri_countri fact foreign growth moder forecast realli suggest find economi effect work success abroad case unit_state right tent piec puzzl suggest product_growth probabl pick canada rais estim potenti_output_growth countri rise product case smaller european countri particularli use inform technolog rather heavili smaller countri contribut total foreign output rel modest will someth major industri_countri go foreign econom_growth top line forecast major industri_countri structur problem seem sever problem will actual drag activ japan imped progress necessari toward take full advantag economi hard
19363,2000-05-16,reason look harder last_coupl_month fact equiti_price risen much part europ better perform sector equiti rel major index preced data
19366,2000-05-16,small countri europ mind oecd studi look peripher countri argu trend output per_hour pick
19368,2000-05-16,right rel modest number front think order percentag_point
19376,2000-05-16,involv distinct level growth consumpt will longer impetu wealth ad boost consumpt growth although earlier wealth_effect will support level consumpt fact stock_market level longer kick consumpt
19859,2000-11-15,outlook foreign economi greenbook seem familiar share key properti past project prepar committe year staff anticip econom_growth major industri economi develop world will solid next_year albeit somewhat slower rapid pace record half step rate gdp_growth owe age expans pent demand increasingli satisfi monetari_polici firm around world resourc_util rise europ percentag_point polici_tighten european central_bank within next_year will work offset stimulu net_export eman earlier depreci euro hold growth around percent forecast_period develop countri output ultim settl around percent pace japan outlier read incom_data lead believ japanes real_gdp will virtual flat half recent announc fiscal packag mere keep level deficit unchang impli net impetu growth fiscal_polici huge ongo fiscal deficit rapidli mount debt policymak japan will look opportun begin scale govern spend rais tax inde mount challeng current prime minist appear hing importantli call scale public work spend increasingli japan ineffect meanwhil household appear reluct spend environ japanes economi tread water next coupl_year expand percent percent respect think slight pickup growth will provid bank japan enough rational tighten_polici small amount toward end forecast_period take cue oil futur_market_expect oil_price declin go forward essenti revers almost half run wit end futur price align assess fundament anticip current pressur will lift lean inventori restock near_term global capac expand fill increas demand associ steadi world econom_growth intermedi run lean inventori cours impli current cushion absorb unexpect fluctuat suppli demand place wide uncertainti band around point forecast particularli near_term stick outlook dollar will depreci go forward specif assumpt greenbook broad real foreign_exchang valu_dollar will shed percent next_year_year owe view step econom_growth profit unit_state accumul current_account_deficit will tax foreign investor willing continu add oblig portfolio net basic structur project differ much past greenbook tri convey sens chang tone risk foreign outlook seem better balanc recal much year posit catch surprisingli good incom read foreign economi project econom_growth accordingli edg higher meet meet time backward look read activ unfold past six_week expect forward_look indic spend europ japan includ survey household busi_confid bit softer balanc lead notch lower half project real_gdp_growth addit fund difficulti argentina past week serv remind style financi crise remain possibl world economi underscor notion downsid_risk fiscal deficit around percent gdp extern debt amount percent gdp argentina overli reliant confid foreign investor offici done much extend debt matur line conting fund roll bulg debt matur next_year look close run thing news bueno air washington weekend includ promis govern effort trim social secur system rein civil servic compens provinci spend return fund imf multilater develop bank gener favor report late suggest difficult provinci governor board reform bandwagon work assumpt remain greenbook argentina will squeak fund problem keep currenc board arrang intact case note altern simul part greenbook suggest crisi mostli contain latin_american debt market effect unit_state quit limit recent movement dollar might indic return side risk economi foreign_exchang_market true foreign_exchang valu_dollar term major currenc index rose intermeet_period net past coupl week move lower balanc inflect point came releas third_quarter gdp figur weaker expect market reaction slower_growth exampl mechan expect will sap dollar strength go forward increasingli investor come realiz growth step effect trim tail economi premium expect return foreign oblig will look increasingli better result dollar depreci smooth forecast_period lack precis notion investor sentiment will chang impli foreign sector will longer forc help restrain domest inflat impli foreign industri economi will reli increasingli momentum domest market sustain_econom_growth stimulu strong extern demand wane
19885,2000-11-15,think tri sort thing problem assum asset market price adopt path futur_market curv assum stock_price exchang valu_dollar
