,start_date,content
14889,1996-07-02,comfort recommend mr chairman extrem hard explain current set fact model use implicitli explicitli intrigu construct frankli none realli know happen seem move tighten_polici demonstr feder_reserv knee jerk reaction growth clear evid increas compens let alon price think mistak tighten economi stronger unclear asymmetr_direct convey ask sever peopl includ got differ confus answer want know exactli laughter person guess will quandari will inform will unsur exactli happen reason admit shock occur intermeet_period caus assum anyway name phone along happili recommend
14939,1996-07-02,basic level seem welcom respect leadership role world mr mcdonough point seem will accord work close possibl major central_bank keep thing keel avoid financi crise purpos seem world get complic probabl go need quit flexibl set instrument quit flexibl set group countri deal differ way persuad staff paper current swap probabl obsolet instrument worri elimin much surer kind structur want go forward think_need rethink care need light coupl set polit sensit set concern friend alli around world worri perceiv unit_state withdraw world believ inward look hell rest_world stanc moment draw foreign aid pay bill due intern organ rid swap line might indic withdraw world think anybodi around_tabl want set polit sensit exactli peopl respond congression set fear somehow go becom entangl structur set relationship think care foreign aid mutual arrang among central_bank avoid world crisi must view give away creat problem anyth extens credit arrang obscur mysteri get togeth central_banker might thought good polit seem sensit set issu work care think thing harm overturn exist arrang though modern one
15097,1996-08-20,support_recommend mr chairman seem move evid slow economi hard thing explain risk differ kind credibl humphrey_hawkin testimoni expect economi slow see suddenli move direct suggest slow clearli risk_inflat remain vigil believ possibl will move think gener view around_tabl gener view seem question rather will know time like will move time economi slow predict greenbook believ time decis
15151,1996-09-24,worri face around_tabl think remind worri best set problem think central_banker around world wish set statist think mike_prell other rightli emphas uncertainti difficulti forecast particular moment overdon bit fact develop intermeet_period reinforc previou intermeet_period given reason confid sens happen economi abil forecast reason short_run thing thought knew economi_grow strongli expans like slow data certainli consist expect slowdown especi consum side although certain noth certain slowdown will last labor_market prove tighter thought tight_labor_market someth want gener speak want incent tight_labor_market creat employ effici possibl employ employe focu upgrad skill worker need badli thought knew wage begin creep tight_labor_market mitig stagnat wage inde begun happen rais cost labor despit slower_growth cost benefit third thought wage_increas begin pass along price_increas slowdown expans begin edg robust economi time keep inflat control thought risk clearli side stand readi move quickli forestal price_inflat economi prove robust thought last_meet might find answer quickli evid around_tabl behavior price peopl point surprisingli good seem situat time_last_meet watch care potenti inflat agre governor yellen danger zone higher_inflat yet pleas fact thing turn understood current situat
15181,1996-09-24,mr chairman strongli support_recommend respect current monetari_polici respect asymmetri intrigu other think disaggreg product data provid partial explan mysteri wage rise profit hold price_inflat go hope will give chanc work think appropri worri strongli inflat advers inform next week think prepar reconsid
15274,1996-11-13,find good situat remark uniform stori around_tabl suggest tight_labor_market potenti make consider contribut run effici economi provid opportun peopl modest skill increas skill move job provid moder increas incom shortag peopl comput skill result peopl obtain comput skill will lot better go forward bob mcteer young interview learn pronounc conserv better job good time slow expans predict littl evid rise_inflat economi gener kind mix signal realli although littl uncomfort forecast difficult tell will happen next build case think expect economi will rebound rapidli mystifyingli proper behavior inflat sever member suggest temporari consum come roar holiday beyond build case excess slow suggest consum remain cautiou face rise debt clearli valu stock_market might head perhap sharpli much depend post elect polit develop strong evid might fairli quickli bipartisan will continu deficit reduct process reassur consum financi_market give lower term_rate solid basi continu moder_growth best gift newli elect candid white hous congress deliv will easi will lot harder progress deficit last_sever_year sum greenbook_forecast look good risk sever peopl point seem lot symmetr time_last_meet expect month look much problem
15299,1996-11-13,support asymmetr presid_jordan feel nearli asymmetr time_last_meet alreadi think move question win formula let stick
15375,1996-12-17,know smart lucki seem bless nearli ideal economi_grow rate close potenti reason quarrel greenbook_forecast certainli reason concern futur inflat given tight_labor_market begin acceler wage_increas think rememb can keep labor_market_tight run increas potenti economi_grow without inflat tight_labor_market encourag train give job experi worker otherwis encourag invest effici equip product enhanc process good_deal evid think happen improv potenti econom_growth without inflat futur wage_increas begin low end wage scale augur sens will encourag transit welfar work hope will next sever_year will give worker job experi clearli worrisom problem horizon stock_market sure will work contribut upward bounc consum_spend suggest signific correct will reduc confid cut spend futur share staff optim prospect budget agreement want underlin fuss six_month pessimist final gotten littl optimist budget outlook think right believ congress presid will togeth next_month work deal will keep deficit rise bring significantli main element medicar agreement reduc reimburs rate possibl mean test part premium aggress action medicar fraud action alreadi seem pay quit congress administra tion hung medicaid sens intens congression republican demand block grant state begin realiz taken lot alreadi actual soften harsh treatment legal immigr welfar reform expect will mean lot spend although eas disabl legal immigr seem_like near_term cut discretionari spend creat realist track time spend previou spend agreement unrealist trajectori precipit declin discretionari spend period close year_think chanc presid congress might tackl longer_run social secur problem take advantag boskin report solv rel easi run social secur problem downward shift cpi adjust probabl percent mayb half futur benefit cut form higher retir age happen admit pretti optimist clear near_term effect spend reduc benefit pare slightli might posit effect confid true consum_spend save worri social secur term retir incom might actual posit effect consumpt
15386,1996-12-17,year includ mean test
15401,1996-12-17,agre especi vice_chair formul reason move moment fine risk clearli side though thought launch asymmetr pattern enough convinc revert symmetri although must find mean asymmetri littl mysteri
