,Date,content
43,1976-04-20,"  Mr Chairman, I would hope, after listening to this discussion, that whatever  action may be taken today, it is on the basis of weighing off the Memorandum of Discussion  against the Record of Policy Actions as to which of those would best serve the public and the  nation  I would hope that we wouldn’t make that kind of a decision based upon the lawsuit that  is now pending     The reason I say that is, I understand your statement as to time, but this lawsuit is one in  which there will either be an appeal taken very soon by this Committee, I should hope, and a  final decision as to what we have to release; or, in the alternative, I don’t see that we’ll be  plagued with having to go through the same process that you have had to go through with the  Secretary and General Counsel week after week  Therefore, I’d like to separate the decision  If  the Memorandum of Discussion should be done away with and there would be better service by  preparing a record, as has been suggested, I’d like the vote be taken on that principle alone     4/20/76 - 69 -            Just to express my own view on the issue, as I hope I framed it, I would opt  to do away with the Memorandum of Discussion, because it means nothing to me as a new  member, I guess  And it would be appropriate to have an expanded Record of Policy Actions,  which I think would serve very well  Of course, whether it is released within 30 days or 45 days  is another issue  "
69,1976-05-18,"  Mr Chairman, in announcing this change and its [unintelligible] publicly,  will the rationale behind the change be explained or what will that rationale be--I mean in other  words, why does the public think we are doing this?    Mr Chairman, we in St Louis are conducting a regularly scheduled series of  meetings, not only with industrial economists from various industries but chief executive officers  of the largest industrial firms in the area, and their economists attend these meetings  We find  that they are most enthusiastic about participating  And as a result of their participation, not only  do we receive valuable information, but I think from the point of view of the image of the  System--these people are very flattered to be invited, and we found this to be very productive  both in terms of gathering information and in terms of further identifying the importance and  seriousness of our activities    Mr Chairman, couldn’t these contacts with industry not only [cover] the  subject of industrial capacity but inventory accumulation and capital spending plans, things like  that  I mean we get a lot of valuable information covering a broad spectrum from these regular  meetings that we have  I don’t think we have to limit it     Mr Chairman, briefly I think that if we have to take a step, then no time is  better than the present, and I would shudder to think if the appendix table 4 projections are valid   If we procrastinate and have to, in the fourth quarter of this year and the first quarter of next  year, face up to the sort of projection which is shown under alternative A and under alternative  B, table 4, I think that could have disastrous effects--it would be a clamping down that would be  really very painful to the economy  So I would agree with Mr Balles  If I were a voting  member, I would be a 4 to 7 man on M1, 5 to 9 on M2, and 5 to 6 on the federal funds range  "
96,1976-06-22,"  Mr Chairman, may I just ask a question?  Is the significance of the lowering  of the upper end of the fed funds rate from 6 to 5-3/4 the psychological effect that the publication  of 6 versus 5-3/4 would have?  In other words, why do we tend to artificially restrict ourselves  from moving 1/4 of a point higher if circumstances in the aggregates dictated our doing that   Does that have a detrimental or a depressing psychological effect when it’s published?  Is that it?      Yes, that was my question    Briefly, if we are going to agree with the wisdom of a policy of temporary  pause, and if we do look ahead to the projections of rates in the 7-1/2 to 8 percent range, fourth  quarter [of 1976], first quarter of ‘77, I think we should be alert to the possible need to gradually  get toward those rate levels If I had my druthers as a voting member, I would prefer to see us go  to the 6 percent upper limit [on the federal funds rate] even though the Desk did not reach that  level  But we would certainly accept the wisdom for thirty days of sticking to 5-1/4 to 5-3/4   We would prefer narrower M1 and M2 ranges, reducing the upper limits of each of those  aggregates   "
125,1976-07-19,"  I wonder if we should not be very aware of the public relations aspect of this  whole issue at a time when everybody from presidential candidates on down are harping on  openness and sunshine, etc, etc  From the point of view of our image with the public, it seems  to me that it is an awfully difficult thing to defend in the public arena that [we are] having this  record [made public only] after five years  I don’t suggest that we should flip flop, because I  don’t think we want to be frogs, but if I were a Reuss or a Proxmire, I could have a field day  exaggerating how secretive we are and how fearful we are and how we are dragged screaming to  the summons of sunshine     I think that, in the public arena and in the political arena, we’re vulnerable in these  positions we’re taking, but maybe the other concerns are far more compelling than just the public  relations or public image of it    Mr Chairman, please sir, may I ask that you read the first two or three  sentences of your report, just as a lead-in because--    I have the feeling in listening to this that the lead-in has a rather negative ring  to it and that everything that you referred to [later] in your report and Mr Gramley’s remarks are  much more positive    Excuse me, Mr Chairman, did you mean based on the quarterly adjustment  of the base or on the original--    Perhaps I should understand--if we were to take a position of maintaining the  same ranges and apply those to the first quarter base instead of moving it up, would that signal to  the public and to the markets a greater degree of restraint?  In other words, that wouldn’t give the  same impression that we’re holding the line?  "
194,1976-10-19,"  Mr Chairman, I don’t share the pessimism that has been expressed by some,  and I base my impressions on some very extensive and real contacts that we’ve made in recent  weeks throughout our District  While some of you have traveled the distant lands, we’ve gone to  such exotic places as Evansville, Indiana; Columbia, Missouri; Quincy, Illinois  In these tours,  which we refer to as our Autumn Grand Tour in the Eighth District, we meet with bankers and     10/19/76 - 27 -   with businessmen, usually substantial businessmen  I’d say that we have touched base with  maybe 150 to 175 such people in the last five or six weeks, and we get a relatively optimistic  reaction from these people     Retailers in this area, oh, they are not setting records, but they look forward to expanding  sales later in the year  Our chemical firms, which are substantial, large, multinational firms, are  optimistic as they look into 1977 for maybe a 10 percent increase in their business in the 12  months ahead  A large manufacturer of motors is operating at full capacity  They’ve got a full  backlog, and generally, the input that we get from these sources is not one to result in  discouragement  And I wonder whether our problem might be that we are tending to be  somewhat shocked by comparing what has happened recently with what happened with the rate  of growth and the rate of the recovery after the trough of the recent recession     If you take, for example, GNP, and if our economists are correct, I’m told that over the  past five years, real GNP has grown an average of maybe 27 percent and that, over the past 40 to  50 years, the average has been, and I can’t substantiate these figures, about 3-1/2 percent annual  growth  So if we’re growing at 4 or a little over 4 percent, I’m not sure that this is the time to  pull the panic button     I might close by just pointing out one matter--maybe it should be reserved until our next  item on the agenda--but at the end of each of these meetings, we poll these people in a similar  way  We give them three mythical, or general, or simplistic alternatives  stimulating the  economy, or greater restraint, or holding the line  There was not one individual who indicated a  desire for economic--for monetary stimulus  The majority of them said, don’t rock the boat   And if there was any deviation from that, it was a little bit on the side of greater monetary  restraint  And for whatever it’s worth, those are real people and this is a recent--I did not mean  that, sir, in a--     I would prefer the 4-1/2 to 8-1/2 for Ml, 8-1/2 to 12-1/2 on M2, and 4-1/2 to  5-1/4 on the federal funds rate      Mr Chairman, I prefer staying where we are    "
233,1976-11-16,"  Mr Chairman, is there a vulnerability to us if there’s great variance [across  Reserve Banks], which I would assume there will be, in the style and depth in which minutes  [are written]--we’re stars, at present, in having taken minutes over the years that are absolutely  meaningless  Now, would he ridicule this and say that Presidents of the Reserve Banks do  nothing?    Mr Chairman, I would respond in this way, that I don’t think that this should  be interpreted to our boards in any way other than a ridiculous request coming--I refer not to our  Chairman--in other words, I think that the reaction of our directors will be one of great  indignation and that I would do little to disabuse them of that feeling  I would also think that if  this involves a lot of work, which it will, needless work, that someone on Mr Reuss’s  committee, a friendly individual, should know what we’re being called upon to do  Because I  think this can be used against Mr Reuss if we react intelligently  And, as I see it in the St Louis  case, it’s appalling how skimpy or meaningless our minutes are  I’m sure we did this with great  wisdom knowing that a man named Reuss would ask for them  The minutes are really terribly  shallow  Tell nothing    How do we protect ourselves from the reverse of giving meaningful  information to him?  If he has too little information, he comes back and says one of two things,  either we’re highly [unintelligible] in the case we do nothing, or we are so secretive in our  activities that we don’t dare put down our nefarious activities  I mean, it seems to me he’s got us  either way if he wants to play that game, and I don’t know--    I would very briefly like to report, Mr Chairman, that the head of one of the  largest retail food market chains in our part of the country reported that, for the first time in  several years, their industry is seeing a reemergence in artificial increases in prices, which he  attributed totally to an anticipation of the possible reimposition of price controls, with all types of  discount deals being offered as a means of keeping prices at their proper level but hedging  against the possibility of controls  And this was echoed in one or two of the other industrial  reports at our recent board meeting  I think it’s just interesting to put on the record    Second from last    Mr Chairman, if one of our purposes is to throw out signals and to affect  sentiment, I think it’s terribly important that we do not adopt a posture of very recognizable ease   Regardless of what we do, I think the primary attention of the economic community will be on  what the incoming Administration is going to do  I think the confidence of the business     11/16/76 - 43 -           community basically will depend on the determination--should the incoming Administration  move toward ease--[of] the willingness or a demonstration of the fact that the Federal Reserve is  going to stick by its guns  For us to feel that there would be a constructive reaction to a  recognizable easing by this [Committee], I think, is misjudging the ball game  I think that if we  were to signal something that amounts to significant ease, it would destroy confidence and would  be a deterrent to positive activity on the part of the business community     Structurally, I think that alternative A is less than acceptable if we believe in our long- range targets, because if we do accelerate the growth of M1 over the next two quarters, and if  we’re going to stick within our target range, it’s going to mean a substantial deceleration of M1  growth in the second and third quarters of next year  And a corresponding rise in the fed funds  rate--if we take this action today, if we do go the [alternative A] route, I think we could at least  say to ourselves that we will be prepared to bite the bullet in the middle of next year to correct  this course  I wonder whether we’re really prepared to do that  "
263,1976-12-20,  I support alternative B for the reasons that have been cited     12/20-21/76 - 70 -        
288,1977-01-17,"  Mr Chairman, may I just follow up on John Balles’s complications  Our  people feel very strongly that the projections of growth in the Greenbook are impossible to  achieve at the rate of money growth which is assumed in those projections  We feel that our  model, although it probably has been frozen in recent weeks--I’m glad that John comes from a  warmer climate than we--projects about 1 percentage point less in the rate of real growth in the  year ahead than the staff here projects, and I think maybe it’s just important to reiterate the  possibility of differences of opinion on this subject    Fuel injection has been changed recently  "
314,1977-02-15,"  Mr Chairman, does the emphasis that we’re placing on this argument on  whether or not members of the FOMC are appointed by the President, confirmed by the Senate,  does that strengthen Mr Reuss’s position on the appointment of Reserve Bank Presidents, and  will that stimulate further efforts on his part, based on this Government in the Sunshine issue, to  try to force through Congress the bill that he was unable to get out of the Committee last year?   Is that--    Well, I become a voting member possibly next month, so I’ll keep my  powder dry, Mr Chairman  B is fine, though   "
339,1977-03-15,"  May I borrow Mr Zeisel?  Do you feel comfortable you’ve projected a  growth through the four quarters for this year in GNP of about 6-1/4 percent?  And I assume  that’s predicated on M1 and M2 growth roughly in the middle of the ranges that are presently set   Our evidence indicates that it would be difficult to reach that goal  We show projections of  maybe 4-1/2 percent GNP growth using our present midranges, or conversely, having to maybe  increase growth in M1 and M2 to maybe 7 and 11-1/2 percent to achieve that target--which is, of  course, the stated target of the Administration--unless there is exceptionally high growth in  velocity  Do you feel comfortable with that 6-1/4 percent projection?    It assumes the rate of growth in velocity, which is sort of historically high,  isn’t it?    In connection with this, just last week the head of one of our very large  industries with significant activity in the western part of the nation said that, as important as the  continued drought in that part of the country might be as an effect on food prices, they feel that  there’s a terribly serious possibility of a drought affecting the generation of electrical energy,  with the very real possibility of plants having to actually curtail operations due to an inadequate  supply of energy as a result of the low water in the dams  Now this is just an aside, but he was  very strong in this    Well, I have nothing of value to add other than to say that I’m fully agreeable  with 4-1/2 to 8-1/2 for M1; 7 to 11 on M2; and perhaps the upper limit of the fed funds rate  placed at 5-1/4  "
