,Date,Speaker,content
6613,2000-08-22,SANTOMERO,"  Thank you, Mr Chairman  In the Philadelphia District business   conditions have been mixed recently, with improvements in some sectors and slowing in others  In   many respects District developments are similar to what we have heard around the table this   morning but with some interesting differences     The pace of manufacturing activity has picked up after a two-month pause  On the other   hand, recreation and tourism has remained strong as summer spending has hit the region  Certainly   the hotels in the region got a boost from the political convention, filling them to capacity  But in fact   the evidence is broader than that about a good season for our recreational areas  Growth in retail   sales in the region has flattened out this summer, although discount stores and specialty stores did       52  better than department stores  And most auto dealers in the region indicated that sales have slowed   this month  On the construction side, residential, commercial, and public construction activity,   although still strong, has been somewhat reduced in strength over the last several months  The   number of new construction projects coming into the pipeline is beginning to decline  And industry   contacts report that while vacancy rates are low and real estate prices and rents are rising, there has   been a lot of caution, particularly in our urban centers, again noting Philadelphia in that mix   Bank lending continues to rise moderately, but with some slowing on the consumer side,   including residential lending and non-credit-card consumer spending in general  Business lending   continues to be strong, however  Labor markets remain tight, with our region's unemployment rate   slightly below the nation’s in the most recent months, and that is unusual  But reports of outsized   increases in wages and signing bonuses seem to have become less widespread than earlier this year    More retailers in Philadelphia and in Pennsylvania more generally are reporting that they are seeing   increased costs and are passing them on in the retail network  That's not true, however, on the   manufacturing side  Our business outlook survey in August still shows a very high index for prices   paid by manufacturers, but the survey indicates that the index of prices received by manufacturers   declined this month to its lowest level for the year  The manufacturers are still having difficulty   passing on input costs to final customer prices  Businesses and banks generally expect moderate   growth for the remainder of the year   Turning to the nation, we too see mixed signals in the recent national economic data  On   balance these data suggest to us a moderation in the pace of final demand that is moving the   economy toward a more sustainable growth path  Even though the economy remains strong and the   labor market remains tight, recent consumer and producer price measures indicate that inflationary   pressures are not as strong as they were in the first quarter  I also note with interest the Greenbook's       53  latest upward revisions in the trend growth of productivity and potential GDP  I do think that the   outlook for core inflation is not as worrisome as it looked several months ago when I was first   deciding on this position  I also am encouraged by the fact that longer-term expected inflation has   been quite stable, as indicated in the release of our Federal Reserve Bank survey of professional   forecasters and the Michigan survey  The stability of these measures of long-term expected inflation   suggests that people believe that the FOMC will keep inflation under control and leads me to   conclude that the Fed is not behind the curve in this regard     In sum, signs of slower growth are encouraging, especially since we have not yet seen the   full effect of the increases in the fed funds rate and the discount rate that have already been put in   place over the last year  Thank you    I support your proposal not to change the fed funds rate and to retain   the statement that the balance of risks is on the side of higher inflation  I think we need more time to   see what is happening with the real economy  Nonetheless, the balance of risks appears to remain on   the side of higher inflation over the horizon  If the indicators of inflation point consistently toward   higher inflation, then we should respond, and I think we should remind the markets of our resolve in   that regard  "
6637,2000-10-03,SANTOMERO,"  Thank you, Mr Chairman  It is a pleasure to have an opportunity   to talk about conditions in the Third District  Activity in our District is basically flat, with some   decline in interest rate sensitive sectors  Employment declined for the first two months of the third   quarter, but most of that was attributable to the Verizon strike and the layoffs of Census workers    The unemployment rate has remained steady at about 39 percent for the three states, slightly below   the nation's 41 percent rate  Consumer price inflation is accelerating in the District but remains   below that of the nation  Employment costs accelerated in the first half of the year reflecting tighter   labor markets  Somewhat surprisingly, given the recent increases in oil prices, manufacturers in our   Business Outlook Survey reported less upward pressure on prices paid than they did earlier in the   year  Most manufacturers are holding their own prices steady  Signs of slowing are found in   construction and bank loan growth  Housing permits, employment in the construction sector, the   value of residential and nonresidential contracts, and both existing and new home sales are down   from levels at the beginning of the year  At the same time, C&I, consumer, and residential mortgage   lending have slowed somewhat since June  While retail sales did show a rebound as a result of   back-to-school sales, year-over-year increases were below expectations, contrary to some of the      45  comments of others here today  And retail sales were flat this summer  The outlook over the next   six months is that growth will resume but that the pace will be no faster than in the first half   In terms of our perspective on the nation, economic growth in our view slowed in the third   quarter toward its long-term trend rate but may be picking up in the fourth quarter  Household   investment in housing and vehicles slowed from the pace we saw earlier in the year but appears to   have stabilized  Still, if oil prices remain high, the effect on growth could be negative, though   probably not as big as the effects in the 1970s and 1980s  Equity market investors suggest that there   is a fear of a slowdown and their violent reaction to earnings disappointment is noteworthy   On the inflation side, rising oil prices have led to an acceleration in consumer and   producer price inflation  More troubling is the fact that core inflation has also shown a moderate   acceleration  Over this expansion CPI inflation has averaged about 25 percent, but it is not likely to   fall further based on recent inflation figures and the staff forecast  Both of these factors suggest that   inflationary expectations are a real concern going forward, so I share some of the reservations about   the future that have been expressed here today   We like to think about this in an historical perspective  In the fall of 1998 the Fed lowered   the fed funds rate by 75 basis points in three steps in the wake of a financial crisis  It is likely that   the data after that point really reflect the core inflation reacting to the expansion  The Fed has   subsequently raised the fed funds rate to 65 percent and that may be enough to stem the acceleration   of core inflation The tightening the Fed has done to date has not yet been fully felt in the economy,   but higher productivity growth suggests that the equilibrium real rate should be higher  Observed   inflation is likely to be higher and the growth of the goods and labor markets is still something to   watch  Long-term inflation expectations in our Survey of Professional Forecasters have been   holding steady, which is interesting  Respondents still anticipate that the CPI over a ten-year period      46  will be 25 percent  They believe, I guess, that inflation will be held in check by the Federal   Reserve   That is the end of my formal remarks, but I feel some obligation to commend the staff  I   can't do so on a relative basis; I don’t have that framework  But in an absolute sense I can say that I   did enjoy and appreciate the hard work they did in the materials provided to us  Thank you    I support the recommendation   "
6661,2000-11-15,SANTOMERO,"  There has been little change in my view of the state of the   economy since our meeting six weeks ago  We have more complete data since that time and   those data ratify earlier indications that economic growth has slowed from its very robust pace at   the beginning of the year and that core inflation is accelerating   On the District level, conditions in our region show a similar path  Economic activity   continues to grow but at a slower pace than earlier in the year  Slowing is especially evident in   the interest-sensitive sectors, as one would expect given the Committee’s earlier actions of   tightening monetary policy  Manufacturing, auto sales, housing, and bank lending have eased   off somewhat, but the declines are from relatively high levels of activity  For the first time this   year October’s business outlook survey of manufacturers in our District showed declines in the   general level of activity and in new orders and shipments  That was reversed somewhat in   November, but the latest readings indicate weaker activity than earlier in the year  Housing   permits remain on a downtrend in the three states in our District as they are elsewhere in the   nation    The Third District’s retail picture is also similar to the national one  Dealers in our   region report that auto sales fell in October from September’s levels but remained above the   figures posted in these months last year  Retail sales are coming in below what firms expected   earlier in the year but are up modestly from September to October compared to last year                50      Retailers report that consumer confidence remains high, although there is some concern about oil   prices and stock market volatility   Reflecting the softening of the housing sector, our banks reported fewer residential   real estate loans in October  Consumer lending has slowed somewhat while business lending has   remained fairly strong  Although the banks reported no general signs of deterioration in the   credit quality of local customers, they did see some potential problems in larger shared credits   I would still characterize the labor market in our District as tight despite the fact that   employment actually fell in the third quarter in all three states in our District  Some of that drop   was due to the Verizon strike and reductions in Census employment  The unemployment rate   has remained at 39 percent for the last two quarters, which is the lowest in 30 years in our area    We believe part of the labor market tightness reflects a problem of skill gaps as well as cyclical   activity   It's important to keep in mind the distinction between levels and growth rates in this   situation  Even though growth is slowing, it is slowing from a relatively high level  Our   business contacts give us the first indication of a change and they are talking about a change in   the tone of the economy  But we would be wise not to over-emphasize this anecdotal evidence   while ignoring the level of economic activity  Businesses still see profits rising but not at the   same robust pace as last year and earlier this year  Within this context the news that inflation is   still moving up is troublesome     We conduct three surveys of the business community in our area the Business   Outlook Survey of manufacturers, the Pennsylvania Retail Survey of area retailers, and the South   Jersey Business Survey, which includes businesses in both the manufacturing and the services               51      sectors  All three of the surveys had continued reports of rising input prices, with more increases   than declines  While manufacturers have not found it easy to pass these higher costs on to their   customers, other types of businesses report that they have been able to raise their own prices    Labor costs in our region continue to rise, although they don't appear to be accelerating  In the   Northeast the employment cost index rose 43 percent for the 12 months ending in September,   the same 12-month rate as that reported in June  Our Pennsylvania Retail Survey shows wage   and benefit costs rising in the third quarter but at a somewhat lower pace than in the second   quarter  Similarly, in South Jersey we're seeing record wage and benefit increases and they are   moving to high levels  Anecdotally, firms indicated to us that they are seeing boosts in wages   and salaries by larger amounts this year than in previous years  Firms are also reporting sharper   increases in health insurance costs, as others around the table have reported for their Districts    Perhaps more troubling is that respondents to our Business Outlook Survey continue to expect   their costs and prices to increase over the next six months   On the national level we are seeing pretty much what everyone is talking about here    Growth definitely has slowed in the third quarter--to a reported 27 percent pace, which is below   estimates of potential--and there is an indication that this number might be revised downward    Business fixed investment, an important driver of the robust expansion, grew at half the second-  quarter pace and well below the pace in the fourth quarter of last year and the first quarter of   2000  Residential investment showed a significant decline in the third quarter  Still, this   slowdown in economic growth is from a high level  Recall that growth in real GDP in the   second half of 1999 and the first half of 2000 averaged a bit over 6 percent, significantly above   what many would consider potential noninflationary growth  And even in the third quarter, the               52      consumer, another important driver of the expansion, continued to spend at a good pace  While I   expect that the leveling off of the stock market will mean less impetus in consumption spending,   past increases in permanent income will support spending, and I don't see a major drag on the   consumer side  Labor markets remain tight nationally as they do in our own region  Income is   expected to grow  Thus, while growth has slowed from its extraordinary pace at the beginning of   the year, my feeling is that the economy is still robust   For next year, we looked at our survey of professional forecasters, which will be   released on Monday, November 20th, and I can share the views here  The current outlook for   real GDP and unemployment is about the same as it was three months ago  The forecasters   expect real GDP to grow at an annual rate of 32 percent for the fourth quarter, which is the same   as they reported last quarter  For next year they see the growth rate at 32 percent and   unemployment moving to 42 percent on average  And the median probability that GDP will   decline in any quarter over their forecast horizon is less than 20 percent  They are putting a   slight increase on the probability of a decline, but it is still a relatively small number  One factor   affecting their projection is oil prices  Forecasters were asked to predict these prices, and they   assumed that oil prices will fall somewhat next year to about $29 a barrel rather than the $23 a   barrel in the Greenbook  While they believe the run-up in oil prices in 1999 affected the   economy’s growth rate, they argue that it was not substantial  In our forecasters’ view the   increase in oil prices in 1999 cut only 01 percent from the real GDP growth rate in 2000, and   they forecast that the effect for next year will be only 02 percent     I continue to be concerned about inflation  Measures of inflation continue to   accelerate; and not all of the increase is due to oil prices, since the core measures also have been               53      moving up  Core CPI, the Cleveland Fed’s median CPI, and even core PCE inflation have   moved up  This consistency across measures is troubling  And these measures are likely to   continue to accelerate in the short run, as the rise in oil prices passes through to other prices and   the expected depreciation of the dollar puts pressure on other prices in the index  Long-term   inflation has remained steady in our forecasters’ view, but I still believe that the real concern is   one of inflation rather than softness in the economy  So, as for the tilt we were talking about   earlier, I tend to think that's where the tilt ought to be  Thank you    I support the proposed statement  I, too, came prepared   with a long list of arguments on why we should remain where we were in terms of the   tilt  I'll forgo those and forgo any request to come back and discuss them further   I find myself in complete agreement with both the wording and the logic   behind it  I recognize that we may not have seen any long-term or major changes in   inflation expectations, but the Fed must remain vigilant against that possibility and focus   the markets on our continued concern over inflation  Given the tools at the Fed’s               95      disposal, the best way for us to ensure maximum sustainable growth is to stay focused on   our goal of price stability  With due regard given to the current economic vulnerability, it   is essential that the Fed maintain its credibility, and I believe the proposed statement does   that  Thank you    "
6684,2000-12-19,SANTOMERO,"  Thank you, Mr Chairman  Incoming data suggest that the   slowdown in economic growth continues in our region and in the nation  The real question is   whether growth is slowing too much so that the economy will enter a recession  My own reading is   that this is still a growth slowdown and that the economy is not heading toward a recession   Conditions in the Third District are similar to those that I reported at the last meeting    Growth is down appreciably from earlier in the year, with economic activity in the region expected   to grow at a slow pace over the next six months  Manufacturing activity in particular has slowed   considerably since last spring and manufacturing employment has declined this year  Our business   outlook survey of area manufacturers, which will be released this Thursday, shows declines in the   level of economic activity in December, and new orders remain weak  Increased energy costs and   increased import competition stemming from the strong dollar were cited by steel and metal   producers as drags on their businesses  And manufacturers' near-term outlook has weakened   appreciably in recent months   In contrast, indicators in the construction industry are mixed, with the residential housing   sector weakening but the nonresidential sector remaining robust  Housing permits continue on a   downward track in our three states, similar to the pattern in the nation  And home sales are relatively   weak in Pennsylvania and New Jersey  On the other hand, the value of nonresidential construction   in our region rebounded in the third quarter and for the year to date has risen about 6 percent, in   contrast to the 2 percent decline for the nation as a whole  The demand for office and commercial   space remains strong in our region, and rents have moved up as a result   The Third District retail picture continues to be similar to that of the nation  Retail sales   are increasing modestly and area retailers remain somewhat optimistic about holiday sales, expecting   an increase of about 4 percent in nominal sales compared to last year  Motor vehicle sales, by      49  contrast, remain quite weak  Bank lending has improved in recent weeks, mainly in the consumer   area  Bankers report a slowing in demand for business loans and indicate that they have begun to   tighten credit standards because of concern about slower economic growth and declining corporate   profits  Nonetheless, bankers expect overall loan demand to continue at a slow pace for the   remainder of this year and into next   I would characterize our labor markets in the District as still tight  A decline in   employment in the third quarter, which I reported earlier, appears to have been reversed this quarter    The unemployment rate in our region has remained at 4 percent or less all year  Price pressures in   our region appear to be lower than in the nation, with the CPI inflation in Philadelphia running at a   lower pace than the national average this year  And employment costs in the Northeast are also   increasing somewhat more slowly than in the nation  According to our business outlook survey,   there's less upward pressure in industrial prices than reported earlier in the year  And the prices paid   diffusion index is at its lowest level since September 1999  But this good news is tempered by the   fact that businesses in Philadelphia and elsewhere in the nation have suffered sharp increases in the   cost of health benefits  In Philadelphia the cost has gone up 8-1/2 percent this year, the largest rise   since 1992, and many employers are reporting increases in health benefit costs in the 10 to 20   percent range for next year  So inflation concerns remain   Turning to the national condition, the data received since the last FOMC meeting   confirmed that the economy is growing at a slower and indeed a below-trend pace  But a period of   below-trend growth is needed to bring the economy back to potential growth  Compared to a few   months ago, the risks of economic weakness are now higher  The question is whether growth will   slow too quickly and turn negative, given the current stance of policy  In my view, we are about   where we want to be  Consumption and investment spending have been the driving forces in this      50  expansion  A drop in equity prices has had an impact on consumer spending via the wealth effect    However, holiday sales are expected to be fairly good, though not as strong as last year  Sales of   motor vehicles have shown a drop in November but that, too, is not surprising given their recent   extraordinary pace  Investment spending has also slowed over the first three quarters, but monthly   data on orders and shipments of capital goods show continued strong growth  Employment   indicators point to an easing in the labor market; although the unemployment rate edged up to 4   percent in November and initial claims have risen, conditions remain tight   On the inflation front, there are hints that price pressures are easing and that acceleration   in core inflation may be ending  In my view, we would be wise not to reach this conclusion too   soon, however  The core PCE and the core CPI ticked downward in October, but core CPI ticked   back up in November, and the Cleveland Fed’s median price index continues to accelerate  Inflation   expectations have remained in check so far, but recent developments have added to price pressures   and inflation remains a concern to me  Thank you    I support your proposal for the reasons you stated, Mr Chairman    As President McDonough indicated, it’s also important that we recognize what we don't know and   not communicate to the marketplace something that we didn't intend to convey by moving at this   point  "
6704,2001-01-03,SANTOMERO,"  Mr Chairman, this is Tony Santomero  I also want to support your   recommendation and would join my colleagues in support of a fairly straightforward   representation of it as an action taken in light of the new data   "
6730,2001-01-30,SANTOMERO,"  Thank you, Mr Chairman  I actually find it very   difficult to address this issue in less than about a week and a half      I also want to thank the people who put together the   study  There’s a lot of material and some of it is close to my heart  It was very well   done, in my view   Let me try to restrict my comments at this moment to two points that seem   central to this whole issue  Those two points are the question of risk in the Fed’s   portfolio and the role of the discount window   Notwithstanding President Broaddus’ perspective, I think the Fed will have to   accept the fact that assets other than Treasuries are going to be part of its portfolio  That   being the case, those assets are going to carry credit risk or counterparty risk, or both    The key is for the Fed to ensure that appropriate risk monitoring and risk management   systems are in place to deal with this type of risk in the SOMA portfolio  As you all   know, this concept is not new  The financial sector as a whole has been building risk   management systems in the last 5 to 10 years to monitor and manage its risks, and it’s   also not new to the Federal Reserve System itself  We already have in place a process   developed by the Subcommittee on Credit, Reserves, and Risk Management (SCRRM)   for the System’s discount window borrowing, and I think we would need to set up   something to monitor aggressively what we do in regard to credit and counterparty risk    It’s rather straightforward to extend the type of risk management procedures that already   exist on Wall Street and to a certain extent here at the Fed  Nevertheless, we should     1/30-31/01 31  remember that the Fed can and should impose high quality standards on its counterparties   and on the assets it places in its portfolio so that in practice, on an operational level, the   risk exposure can be set at a very low level   Holding aside for the moment the issue of whether we should operate in certain   specific asset categories, the quality equivalents that seem sensible to me are the top two   grades or ratings, whether we’re using CAMEL or Moody’s ratings  Doing outright   transactions in such assets is acceptable to me in principle, but RPs do have additional   security  They have two main creditors and they also allow us to be somewhat more   distant from individual issues  Mortgage-backed securities have some attractiveness for   the same reason  They involve the backing of more than one party and, therefore, are in   some sense more secure and less subjective  RPs and mortgage-backed securities are also   attractive because they don’t involve direct purchases of debt of individual firms and   institutions  And I think RPs are less likely to convey a sense of the Fed’s imprimatur on   any institution or any GSE  I think in practice that’s where we are going to have to go    So we should probably just face up to that   Turning to the second issue, the discount window, I think the notion of a non-  administered credit facility is a nonstarter  By contrast, the auction credit facility may be   a useful way for the Fed to provide part of the base, in the permanent portfolio people   have been talking about, with an ongoing cycling of credit advances through an auction   process  That would give us the base on which we can conduct standard open market   operations on a daily basis  I think it might be useful to start a small ACF program as   another discount window facility soon so that we can work on the mechanics of how to     1/30-31/01 32  do it  Whether we’re talking about an eventual size of $200 billion or $40 to $50 billion,   I’d start off with $1 billion, get the mechanics of it working, and see how it goes     There are number of reasons why I think this actually seems logical  First,   depository institutions are in some sense competitors for direct market borrowing and for   the GSEs that we will implicitly be supporting as we go into non-Treasury debt  So   expanding the way we provide credit to the depository institutions as we expand the use   of other debt instruments in the open market seems to me to help level the playing field    I believe it’s a useful way to proceed  If RPs and/or outright holdings of different types   of debt are going to be among the alternatives we have for replacing Treasuries, then   perhaps we will need some way of broadening the Fed’s capabilities to provide credit to   the depository institutions as well  Another element that hasn’t been mentioned that I   find rather intriguing is that it will also help to level the playing field within the banking   sector itself  Large and small banks can in fact enter the market to obtain funds, so this is   going to be pro-competitive  Many in the banking community talk about the need for a   funding base, and this would give smaller institutions an opportunity to participate   through standard procedures at their local Fed in a manner that would in fact increase   their capability to compete with the larger institutions     At the end of the day, the ACF is nothing more than an alternative mechanism   for providing funding  Because it happens not to be a security, we think about it as   different, but in many respects through the ACF we’re providing funding in much the   same way we would with commercial paper or repos or any of the other instruments   we’ve discussed  Thank you    I support your recommendation in “B” and I would even   support a proposal to expand the set of instruments available to the Desk because I think   it’s important that you have the flexibility to operate as necessary in markets as they   evolve  In practice, however, I believe we need to be careful about moving into   sovereign debt because it is in fact a change for us, no matter how we cut it, and it is a   substantive change  I’m much less concerned about the mortgage portfolio for the   reasons just indicated--that the RPs are set up in such a way that we can protect our   position rather easily in a very thick, rich market  I don’t have any objections to   sovereign debt if you’re going to apply the criteria religiously, but it involves crossing a   line that is not a minor one  The fact that other central banks do it may not be sufficient   reason for explaining why we have not in the past nor why we suddenly would be willing   to do so tomorrow  So, to go in that direction I think is a substantive matter    In my view your agenda list is exactly right  One   request I would make is that you not think about the ACF process in a manner that is   overly complicated  At the end of the day we’re talking about the potential of an   occasional auction that is routinely offered--it could be once a month--for a block of   funds that would provide a base  It doesn’t have to be elaborate  It doesn’t have to be   daily  It doesn’t have to be complicated even with 8,000 bidders  I believe we can   actually get where we want to go in a rather straightforward manner just by dealing with   the question at hand, which is  Is there a way to make some funds available in the   financial sector by means of the ACF?    Thank you, Mr Chairman  It seems to me that the   question we’re facing at this meeting is whether the economy in 2001 will behave more   like the economy we had in 1995 or more like the one we had in 1990  In 1995 growth   slowed substantially after the Fed had tightened policy over the previous year but there   was no recession  In 1990 the economy was growing very slowly and then went into   recession by the middle of the year   Most incoming regional information seems to be more consistent with the   1995 scenario  We are seeing a significant slowdown in our regional economy  We   don’t seem to be slipping into a recession, at least not yet  Currently Pennsylvania is   doing worse than New Jersey and Delaware, and that was the case in 1995    Manufacturing in our District is a key area of weakness and reports from manufacturers   are more consistent with the recession scenario  Many of the component measures in our   latest business outlook survey of manufacturing firms--including the indexes of general   activity, new orders, and shipments--registered their second largest decline in the   survey’s 32-year history  Reports from these firms that we received after the Fed’s   easing move in early January were worse than those received before the Fed’s action,   [laughter] confirming the need for action  But those later reports were somewhat more   optimistic about activity six months ahead, presumably because we did act  The decline   in manufacturing in the District has been widespread  The slowdown in the region’s   durable manufacturing activity has been evident over a period of several months  In   contrast, nondurable manufacturing activity declined sharply only recently     Several other sectors of the District do not appear to be as weak; they have   shown slower growth, but not the sharp drop evident in manufacturing  Construction     1/30-31/01 140  contracting in our region has slipped in recent months but office and industrial vacancy   rates continue to be quite low  And quite a few projects are under way or scheduled  Our   real estate contacts generally indicate that the real estate sector is not overbuilt  Housing   permits are holding up pretty well, particularly for single-family housing  Contacts in the   industry suggest that housing is likely to be fairly steady in the District this year  And   banks report that their lending, including refinancing activity, is up  Although the   unemployment rate in the District has edged up slightly, particularly in Pennsylvania,   labor markets continue to be quite tight in many areas     From talking to business people in the District I don’t get the sense that they   feel they have big inventories that have to be worked off  Many I’ve contacted recently   have made comments like ""things are pretty good""  Outside of manufacturing, regional   businesses do not convey a sense that their business or the economy is going into the   tank; in fact, quite the contrary  On the price front, retailers report that wage and benefit   increases are not accelerating  And in our regional surveys of retailers and   manufacturers, price pressures seem less evident than before   Turning to the national perspective, incoming data tend to confirm the views   expressed here that the economy has slowed significantly, particularly in the   manufacturing sector  As of now, the economy is softer than I had expected it to be just   two months ago  We may indeed get a negative quarter of output growth but I don’t see   signs of a credit crunch, which we had in 1990-1991, that would impede a rebound in   economic activity  And absent something like an adverse oil price shock that could tip   the economy into recession, I don’t see such broad-based weakness across all sectors of   the economy that I am led to conclude that a recession is imminent     1/30-31/01 141  Accordingly, our forecast for real GDP growth and unemployment through this   year is not quite as pessimistic as the Board staff’s  We think the slowdown in the first   half of the year will be somewhat smaller and less lengthy; the adjustment portrayed in   the charts is a bit more dramatic than we see  Part of the difference involves the size of   the inventory correction in the two forecasts  This is in turn related to how quickly   consumer and business investment spending return to higher growth paths  Since there   are wide confidence intervals around these forecasts, however, I cannot ignore the   possibility that the staff’s forecast will be correct  And given the deterioration in   consumer and business sentiment that we have seen so far, certainly there is reason to   continue to be concerned about the downside risks to the economy  That is, the range of   outcomes for economic growth this year seems to me to be skewed toward less growth,   while the outcome for inflation is of less concern  So I worry that if my forecast is   wrong, it’s likely to be because we overestimated economic growth  In sum, I think it’s   important for the Committee to insure that the year 2001 turns out to be more like 1995   than 1990  Thank you, Mr Chairman    I support your recommendation, Mr Chairman  I also   want to associate myself with President Guynn’s comments about the need to be careful   with regard to the psychology associated with the wording of our press statement  "
6753,2001-03-20,SANTOMERO,"  Thank you, Mr Chairman  Incoming data suggest that   the slowdown in economic growth is continuing in our region and in the nation  Neither   the District nor the nation appears to be slipping into recession, however, and there are   signs that conditions have improved since the turn of the year  Still, in my opinion the   risks remain squarely on the down side    Conditions in the Third District are similar to those reported at the time of our   last meeting  Manufacturing is the key source of weakness in our District as well as in   other regions  Our Business Outlook Survey for March shows that manufacturing   activity is still declining, albeit at a slower pace than earlier in the year  The indexes of     3/20/01 41  general activity, new orders, shipments, employment, and the average workweek were all   negative  Still, manufacturers were not entirely discouraged, as suggested by survey   indicators of future activity that were mostly positive  Respondents expected general   activity and shipments to pick up over the next six months; moreover, their outlook has   improved somewhat since earlier in the year  Capital expenditure plans are relatively   weak, however, suggesting that respondents do not expect the improvement in   manufacturing to be strong enough to spur general increases in capacity   We have seen a modest improvement in retail sales in our District  January   sales tax collections in Pennsylvania indicated that a slowing around the holiday season   at the end of last year has been reversed in the beginning of this year  Some retailers   have expressed concern that increased consumer expenditures on gasoline, electricity,   and natural gas will continue to limit sales growth  The increase in energy prices added   nearly a percentage point to Philadelphia’s CPI between January of last year and January   of this year  And PECO, the local utility, introduced another 25 percent increase in   natural gas prices effective March 1st  Other retailers appear to be quite optimistic as they   begin placing orders for summer items     Data on the value of construction contracts suggest that work on nonresidential   building and non-building projects will sustain our region at least through the first half of   the year  Housing permits, however, are expected to decline slightly this year     Labor markets in our District are still characterized as tight  The   unemployment rate in Pennsylvania, New Jersey, and Delaware stood at 4 percent in   January, less than that of the nation  Our directors tell us that it continues to be difficult   to hire skilled labor in such fields as legal, financial services, and health care  But one of     3/20/01 42  our board members reports that cutbacks in manufacturing are increasing the pool of both   skilled and unskilled workers available in the Philadelphia area temporary employment   agency market  In fact, many people who are currently employed are coming in to fill   out applications at temp firms in anticipation of losing their current jobs   To summarize our regional outlook, we still expect economic growth to pick   up to a moderate pace in the second half of the year, but the upturn may well occur a bit   later than we previously had expected     Turning to the nation, incoming real sector data suggest that the US economy   is in somewhat better condition than it was at the turn of the year, but again I would   characterize the risks as clearly on the down side  Growth in aggregate demand for goods   and services appears to have stopped decelerating  The retail sales figures suggest that   consumer spending is growing at a moderate pace, but I would acknowledge that some of   the strength, especially in autos, could be reflecting temporary incentives and discounts    The employment data show that payrolls are increasing at a pace well above that of the   fourth quarter of last year, and the unemployment rate remains low  Manufacturing   remains in decline but the rate of decline seems to have abated somewhat from earlier in   the year  The recent increases in inventories and the cutbacks in production and sales   suggest that inventories remain higher than desired and that the inventory correction will   not be over as soon as originally thought or as I might have hoped   The recent drop in equity prices is worrisome  Developments in the stock   market could have important consequences for real demand and, therefore, economic   growth  The rise in the market over the past few years bolstered consumer confidence   and spending through the wealth effect  Now, with the fall in stock prices, a reverse     3/20/01 43  wealth effect is likely, as are more significant declines in consumer confidence and a   retrenchment in consumer spending  Another risk comes from abroad  The world   economy seems to be slowing, as we heard this morning  That would have a negative   implication for US exports and possibly for the US financial market      The one upside factor I see is the final tax cut passed by Congress, which   might have an extraordinary effect in terms of increased consumer spending  I don’t   believe that is a significant risk, however, given the uncertainty about the effects of recent   stock price declines, which seem likely to overwhelm any concerns about the tax   reduction  Thank you, Mr Chairman      I agree with your proposition, Mr Chairman  I think a   50 basis point decrease in the fed funds rate is appropriate at this time  And since I   believe the risks are still on the down side, I favor retaining the balance of risks language   in the direction of weakness, as you indicated   I, too, have become uncomfortable with the possibility that observers might get   the impression that the Committee’s decisions are driven by what the markets expect and   by the direction of stock prices  I’d like to dissuade them of that view  Therefore, I think   it’s important that our press statement indicate that our action was taken to counteract the   real economic effects of falling stock prices, as you suggested  "
6771,2001-04-11,SANTOMERO,"  Mr Chairman, this is Tony Santomero  I agree with   your concern about the state of the economy and your focus on capital expenditure and   earnings issues  Whether that should lead us to an intermeeting movement is, in my   view, subject to what we find out over the next 10 days  So, one way of interpreting your   discussion is to argue that we should be aware of the vulnerabilities that exist and we   should be watching the data very closely  I agree with all of that  I think having an   extended period of time between meetings is really a structural issue, and we may want to   address that as we think about our calendar for next year   As for the local situation around the Philadelphia District, it pretty much   corresponds to what we have been hearing from other Districts in terms of mixed   reviews, although there is one piece of information that you might find interesting  Our   BOS survey, which will not be coming out for another 10 days, is being tabulated as we   speak  Our results suggest that the outlook continues to be negative but considerably less   so than earlier  Our March data suggested an index of minus 23; the new data series will   have an index of minus 7  So we are seeing some stabilization in the real economy as the   slowdown starts to slow down, if you will   Now, what does that mean in terms of an intermeeting move?  A number of my   colleagues have indicated that it would be useful to have a reason to move as opposed to     4/11/01 17   stepping in at some ill-defined time  I hope we don’t have such a reason, in the sense that   I’d like not to have some bad news that precipitates an immediate response  So where I   come out on all of this is that I think we clearly will be easing as we go forward and we   have to remain vigilant as we look at the data and see whether or not it is an appropriate   time to act  Thank you, Mr Chairman  "
6792,2001-04-18,SANTOMERO,"  Mr Chairman, this is Tony Santomero  I concur with   your recommendation  I support it for a number of reasons  I think the new data support   increased concern about the consumer sector, and that concern is being reinforced by the     4/18/01 8   slowdown in capital goods expenditures  A cut in the funds rate today strikes me as the   appropriate action at the appropriate time  "
