,start_date,content
19687,2000-08-22,thank mr chairman philadelphia district busi condit mix recent improv sector slow other respect district develop similar heard around_tabl morn interest differ pace manufactur_activ pick month paus hand recreat tourism remain_strong summer spend hit region certainli hotel region got boost polit convent fill capac fact evid broader good season recreat area growth retail_sale region flatten summer although discount store specialti store better depart store auto dealer region indic sale slow month construct side residenti commerci public construct_activ although strong somewhat reduc strength last_sever_month number construct project come pipelin begin declin industri contact_report vacanc_rate_low real_estat price rent rise lot caution particularli urban center note philadelphia mix bank lend continu rise moder slow consum side includ residenti lend non credit card consum_spend gener busi lend continu_strong labor_market_remain tight region unemploy_rate slightli nation recent_month unusu report outsiz increas wage sign bonus seem becom widespread earlier_year retail philadelphia pennsylvania gener report see increas cost pass retail network true manufactur side busi outlook survey show index price paid manufactur survey indic index price receiv manufactur declin month lowest level year manufactur difficulti pass input cost final custom price busi bank gener expect moder_growth remaind year turn_nation mix signal recent nation econom data balanc data_suggest moder pace final_demand move economi toward sustain_growth path though economi remain_strong labor_market_remain tight recent consum produc price measur indic inflationari_pressur strong quarter note interest greenbook latest upward_revis trend_growth product potenti gdp think outlook core_inflat worrisom look sever_month_ago decid posit encourag fact longer_term expect_inflat quit stabl indic releas feder_reserv bank survey profession forecast michigan survey stabil measur term expect_inflat suggest peopl believ fomc will keep inflat control lead conclud fed behind_curv regard sum sign slower_growth encourag especi yet full effect increas fed_fund_rate discount_rate alreadi place last_year thank
19716,2000-08-22,support propos chang fed_fund_rate retain statement balanc_risk_side higher_inflat_think_need time happen real_economi nonetheless balanc_risk appear remain side higher_inflat horizon indic inflat point consist toward higher_inflat respond think remind market resolv regard
19784,2000-10-03,thank mr chairman pleasur opportun talk condit third district activ district basic flat declin interest_rate sensit sector employ declin month third_quarter attribut verizon strike layoff censu worker unemploy_rate_remain steadi percent state slightli nation percent rate consum_price_inflat acceler district remain nation employ cost acceler half_year reflect tighter labor_market somewhat surprisingli given recent increas oil_price manufactur busi outlook survey report upward_pressur price paid earlier_year manufactur hold price steadi sign slow found construct bank loan growth hous permit employ construct sector valu residenti nonresidenti contract exist home_sale level begin year time consum residenti mortgag lend slow somewhat retail_sale show rebound result school sale year_year increas expect contrari comment other today retail_sale flat summer outlook next six_month growth will resum pace will faster half term perspect nation econom_growth view slow third_quarter toward term trend rate pick fourth_quarter household invest hous vehicl slow pace saw earlier_year appear stabil oil_price remain effect growth neg though probabl big effect equiti_market investor suggest fear slowdown violent reaction earn disappoint noteworthi inflat_side rise oil_price led acceler consum produc price_inflat troubl fact core_inflat shown moder acceler expans cpi_inflat averag percent like fall base recent inflat figur staff_forecast factor suggest inflationari_expect real concern go forward share reserv futur express today think histor perspect fall fed lower fed_fund_rate_basi_point step wake financi crisi like data point realli reflect core_inflat react expans fed subsequ rais fed_fund_rate percent enough stem acceler core_inflat tighten fed done date yet fulli felt economi higher product_growth suggest equilibrium_real_rate higher observ inflat like higher growth good labor_market someth watch term_inflat_expect survey profession forecast hold steadi interest respond anticip cpi ten_year period will percent believ guess inflat will held check feder_reserv end formal remark feel oblig commend staff cannot rel basi framework absolut sens can enjoy appreci hard work materi provid thank
19843,2000-10-03,support_recommend
19927,2000-11-15,littl chang view state economi meet six_week_ago complet data time data ratifi earlier indic econom_growth_slow robust pace begin year core_inflat acceler district level condit region show similar path econom_activ continu_grow slower pace earlier_year slow especi evid interest sensit sector expect given committe earlier action tighten monetari_polici manufactur auto_sale hous bank lend eas somewhat declin rel level activ time year busi outlook survey manufactur district show declin gener level activ order shipment revers somewhat latest read indic weaker activ earlier_year hous permit remain downtrend state district elsewher nation third district retail pictur similar nation dealer region report auto_sale fell level remain figur post month last_year retail_sale come firm expect earlier_year modestli compar last_year retail report consum_confid remain although concern oil_price stock_market volatil reflect soften hous sector bank report fewer residenti real_estat loan consum lend slow somewhat busi lend remain fairli strong although bank report gener sign deterior credit qualiti local custom potenti problem larger share credit character labor_market district tight despit fact employ actual fell third_quarter state district drop due verizon strike reduct censu employ unemploy_rate_remain percent last_quarter lowest year area believ part labor_market_tight reflect problem skill gap cyclic activ import keep mind distinct level growth_rate situat though growth_slow slow rel level busi_contact give indic chang talk chang tone economi wise emphas anecdot_evid ignor level econom_activ busi profit rise robust pace last_year earlier_year within context news inflat move troublesom conduct survey busi commun area busi outlook survey manufactur pennsylvania retail survey area retail south jersey busi survey includ busi manufactur servic sector survey continu report rise input price_increas declin manufactur found easi pass higher cost custom type busi report abl rais_price labor_cost region continu rise although appear acceler northeast employ cost index rose percent month end month rate report pennsylvania retail survey show wage benefit cost rise third_quarter somewhat lower pace quarter similarli south jersey see record wage benefit increas move level anecdot firm indic see boost wage salari larger amount year previou year firm report sharper increas health insur cost other around_tabl report district perhap troubl respond busi outlook survey continu expect cost price_increas next six_month nation_level see pretti_much everyon talk growth definit slow third_quarter report percent pace estim potenti indic number might revis downward busi_fix_invest import driver robust expans grew half quarter pace pace fourth_quarter last_year quarter residenti invest show_signific declin third_quarter slowdown econom_growth level recal growth_real_gdp half half averag bit percent significantli consid potenti noninflationari growth third_quarter consum import driver expans continu spend good pace expect level stock_market will mean impetu consumpt spend past increas perman incom will support spend major drag consum side labor_market_remain tight nation region incom expect grow thu growth_slow extraordinari pace begin year feel economi robust next_year look survey profession forecast will releas monday can share view current outlook real_gdp unemploy month_ago forecast expect real_gdp grow annual_rate percent fourth_quarter report last_quarter next_year growth_rate percent unemploy move percent averag median probabl gdp will declin quarter forecast_horizon percent put slight increas probabl declin rel small number factor affect project oil_price forecast ask predict price assum oil_price will fall somewhat next_year barrel rather barrel greenbook believ run oil_price affect economi_growth_rate argu substanti forecast view increas oil_price cut percent real_gdp_growth_rate forecast effect next_year will percent continu concern inflat measur_inflat continu acceler increas due oil_price core measur move core_cpi cleveland fed median cpi core_pce_inflat move consist across measur troubl measur like continu acceler short_run rise oil_price pass price expect depreci dollar put pressur price_index term_inflat remain steadi forecast view believ real concern inflat rather soft economi tilt talk earlier tend think tilt thank
19989,2000-11-15,support propos statement came prepar list argument remain term tilt will forgo forgo request come discuss find complet agreement word logic behind recogn term major chang inflat_expect fed must remain vigil possibl focu market continu concern inflat given tool fed dispos best ensur maximum sustain_growth stay focus goal price_stabil due regard given current econom vulner essenti fed maintain credibl believ propos statement thank
20055,2000-12-19,thank mr chairman incom_data_suggest slowdown econom_growth continu region nation real question growth_slow much economi will enter recess read growth_slowdown economi head toward recess condit third district similar report last_meet growth appreci earlier_year econom_activ region expect grow slow pace next six_month manufactur_activ particular slow consider last spring manufactur employ declin year busi outlook survey area manufactur will releas thursday show declin level econom_activ order remain weak increas energi cost_increas import competit stem strong dollar cite steel metal produc drag busi manufactur near_term outlook weaken appreci recent_month contrast indic construct industri mix residenti hous sector weaken nonresidenti sector remain robust hous permit continu downward track state similar pattern nation home_sale rel weak pennsylvania jersey hand valu nonresidenti_construct region rebound third_quarter_year date risen percent contrast percent declin nation whole demand offic commerci space remain_strong region rent move result third district retail pictur continu similar nation retail_sale increas modestli area retail remain somewhat optimist holiday sale expect increas percent nomin sale compar last_year motor_vehicl_sale contrast remain_quit weak bank lend improv recent_week mainli consum area banker report slow demand busi loan indic begun tighten credit standard concern slower econom_growth declin corpor profit nonetheless banker expect overal loan_demand continu slow pace remaind year_next character labor_market district tight declin employ third_quarter report earlier appear revers quarter unemploy_rate region remain percent year price_pressur region appear lower nation cpi_inflat philadelphia run lower pace nation_averag year employ cost northeast increas somewhat slowli nation accord busi outlook survey upward_pressur industri price report earlier_year price paid diffus index lowest level good_news temper fact busi philadelphia elsewher nation suffer sharp increas cost health benefit philadelphia cost gone percent year largest rise employ_report increas health benefit cost percent rang next_year inflat concern remain turn_nation condit data receiv last fomc_meet confirm economi_grow slower inde trend pace period trend_growth need bring economi potenti growth compar month_ago risk econom_weak higher question growth will slow quickli turn neg given current stanc_polici view want consumpt invest_spend drive forc expans drop equiti_price impact consum_spend via wealth_effect holiday sale expect fairli good though strong last_year sale motor_vehicl shown drop surpris given recent extraordinari pace invest_spend slow quarter monthli data order shipment capit_good show continu_strong_growth employ indic point eas labor_market although unemploy_rate edg percent initi claim risen condit remain tight inflat front hint price_pressur eas acceler core_inflat end view wise reach conclus soon core_pce core_cpi tick downward core_cpi tick cleveland fed median price_index continu acceler_inflat_expect remain check far recent develop ad price_pressur inflat remain concern thank
20097,2000-12-19,support propos reason state mr chairman presid mcdonough indic import recogn know commun marketplac someth intend convey move point
20203,2001-01-30,thank mr chairman seem question face meet economi will behav economi_growth_slow substanti fed tighten_polici previou year recess economi_grow slowli went recess middl year incom region inform seem consist scenario see signific slowdown region_economi seem slip recess yet current pennsylvania wors jersey delawar case manufactur district key area weak report manufactur consist recess scenario compon measur latest busi outlook survey manufactur firm includ index gener activ order shipment regist largest declin survey year histori report firm receiv fed eas move earli wors receiv fed action laughter confirm need action later report somewhat optimist activ six_month ahead presum act declin manufactur district widespread slowdown region durabl manufactur_activ evid period sever_month contrast nondur manufactur_activ declin sharpli recent sever sector district appear weak shown slower_growth sharp drop evid manufactur construct contract region slip recent_month offic industri vacanc_rate continu quit low quit project schedul real_estat contact gener indic real_estat sector overbuilt hous permit hold pretti particularli singl_famili hous contact industri suggest hous like fairli steadi district year bank report lend includ refinanc activ although unemploy_rate district edg slightli particularli pennsylvania labor_market continu quit tight area talk busi_peopl district sens feel big inventori work contact recent comment thing pretti_good outsid manufactur region busi convey sens busi economi go tank fact quit contrari price front retail report wage benefit increas acceler region survey retail manufactur price_pressur seem evid turn_nation perspect incom_data tend confirm view express economi slow significantli particularli manufactur_sector economi softer expect month_ago inde neg quarter output_growth sign credit_crunch imped rebound econom_activ absent someth advers oil_price shock tip economi recess broad base weak across sector economi led conclud recess immin accordingli forecast real_gdp_growth unemploy year quit pessimist board_staff think slowdown half_year will somewhat smaller lengthi adjust portray chart bit dramat part differ involv size inventori correct forecast turn relat quickli consum busi_invest_spend return higher growth path wide confid interv around forecast cannot ignor possibl staff_forecast will correct given deterior consum busi sentiment far certainli reason continu concern downsid_risk economi rang outcom econom_growth_year seem skew toward growth outcom inflat concern worri forecast wrong like overestim econom_growth sum think_import committe insur year turn thank mr chairman
20266,2001-01-30,support_recommend mr chairman want associ presid_guynn comment need care regard psycholog associ word press statement
