,Date,Speaker,content
2733,1984-07-16,SEGER," May I ask another productivity question? I haven't seen your model but I've been very interested in the productivity issue and I too have seen a lot of people with fundamentally different ideas about what is happening to productivity Did your model forecast the size of the improvement of productivity last year?  Perhaps because I live in Si Keehn's District, I'm inclined to emphasize the uncertainties that we seem to face today and the lack of our ability to hit bull's eyes with forecasts Therefore, I think it makes sense to go either with alternative I or possibly to pick up for M1 the 4 to 7-1/2 percent range, which would be simply a signal of narrowing the range a bit This would leave us with the option in February to review the situation and at that point take off another half point from the upper end It leaves us more latitude to move  My basic reason for going this way is that I'm impressed by the slowing that I see in the economy Certainly, at least in the Detroit area, [economic activity] is way above where it was two years ago and yet the rate of increase is definitely slowing And I'm also impressed by the chances for an auto strike this fall No one knows for sure, certainly, but I think that definitely is a possibility; and if it does occur, chances are good that it would be [against] GM which would put a big dent in overall economic activity So that's on my mind Also, I think we have made some tremendous changes in the economy that are not showing up yet in the econometric models, etc In terms of our basic inflationary problem, I think the capacity figures are underestimating what the capacity is in this country; therefore, I believe the capacity utilization rates show us operating much more closely to our ceilings than, in fact, is the case Also, looking in a very microeconomic way industry-by-industry, it's hard for me to find one that's in a boil or is really bumping against or even close to its ceiling So, that influences me  On the productivity question, I think there are changes going on in the business community that are really dramatic a great commitment in manufacturing to modernize, to adopt the latest  -41-    7/16-17/84  technology, and to gut existing factories and put in more modern kinds of equipment I think management today realizes that they either have to do this or they are not going to survive very long; that commitment is really there Also, with the improved profits, they are able to fund some of these improvements, which is very important It probably doesn't show up in our productivity numbers right this minute, but I think it definitely will show up In non-manufacturing industries also, I think management has a commitment to greater efficiency The profits squeeze back in '81 and '82 and a little in '83 really punished them There's a bottom line discipline in business that maybe people in government don't understand And I think that also is going to show up more and more Finally, in terms of wage settlements, there are obviously the union settlements that the Chairman referred to, but there are also a lot of nonunionized workers and a lot of small businesses that Mr Boehne's personnel department doesn't bother to include in its survey And many of these employers haven't given any wage increases for the last couple of years; a lot of people were just darn happy to hold onto their jobs which, again, is a big change in attitude And the fact that we have had good inflation numbers in '82 and '83 and so far in '84 is convincing management that they can be tougher Furthermore, they are doing more discriminating in the good sense of the word; that is, they're trying to reward the producers and the high achievers very well and the ""dud"" types can get zero or something less than zero So, all of this to me suggests that the inflation outlook for next year is probably somewhat more optimistic than I've been hearing around this table Thank you  What I see is a difference of opinion between the Sun Belt and the Rust Bowl Coming from the Rust Bowl, as I said earlier, I think the economy does show signs of slowing--not that we have gone into a decline, certainly, but the rate of growth is slowing Also, I don't feel that the participants in the economy have fully adjusted to the interest rate increases we've had so far--for example, the last increase in the prime rate, which was rather recent Business people don't adjust overnight and not even in a week or two weeks; I think we have to factor that in Also, like the Chairman, I'm extremely concerned about the condition of banks I don't think it's just Continental Out in the other states there are banks with  -63-    7/16-17/84  problems and there are also tremendous problems with the thrifts The ones that squeaked through the '81-'82 period by holding their breath have certainly had a little chance to get healthy, but they need more time to get healthy And even with that 25 basis point increase on what they have to pay for funds we're going to have a lot of them in the soup very quickly Also, there are tremendous consumer risks I haven't heard this pointed out, I don't believe, but more and more consumer loans have become variable rate loans While that has helped the financial institutions get rid of some of their interest rate risk, it has also enhanced the credit risk by a great deal I think many consumers don't realize what they signed on for I'm not just talking about ARMs; there are other kinds of variable rate consumer loans--car loans, etc And I think there is tremendous vulnerability as I look at this whole package here So, if I had to vote for ""A,"" ""B,"" or ""C,"" I would go along with the ""B"" [specifications] and with the idea that the fed funds rate could range around 11 percent I don't think financial market participants would think we had gotten sloppily easy if the fed funds rate were to drop, say, to 10-3/4 percent on a given day  Yes, I'm voting for ""B""  Yes "
2758,1984-08-21,SEGER," [Unintelligible] in the early '70s  I would like to make a couple of comments about the auto negotiations, following up on Si's comments I know most people seem to be betting that there won't be a strike, but there is also a chance that there will be I think the primary risk is that the cast of characters has changed dramatically Doug Frazier, of course, has left as head of the UAW and this has triggered a lot of movements within the union Mr Beaver is not Doug Frazier and no one knows exactly how he will come down in the final days of negotiations next month Furthermore, if there is no strike and if they settle for a ""modest"" in quotes 4 to 6 percent, maybe the auto industry can make that up with productivity gains; but to the extent that these settlements are duplicated by other industries that cannot make it up by productivity gains it can have an inflationary impact I think, by the way, that the auto executives are more aware of that this time around than they used to be when they just went zipping along on their own, not giving a darn what they left in their wake I think they have come to their senses a little  Actually, if you compare what some of them make to what some top people in banks make, including some banks that got into trouble, I don't think the comparison is that adverse! [Laughter] Also, if there is a strike--as I said, the jury is still out--I think we will have to pay some attention to this in our forecast for the remaining months of this year I know that the econometric models show that that is quickly made up, but those of us in the trenches who don't just go by models know that there is an adjustment period that isn't smooth necessarily It does mean a loss in momentum, particularly at the time of the year when the new models are being introduced, and this could have an effect I generally agree, Jim, with your forecast on auto sales, etc but that's assuming there isn't a strike  A second point about inflation prospects that I don't hear mentioned very much around this table involves the changing attitudes on the part of business management A lot of these people were really beaten up in these two recessions we had back to back and I think they have gotten new religion about cost control Again, the old notion of who cares--the attitude of write a blank check to the unions or to anybody else because we can always pass these higher costs along--if it hasn't been completely eliminated is 90 some percent on its way out I think we are going to see the effect of this different attitude, In line with that is a greater commitment to improving the efficiency of production This is tied in, by the way, to the good capital spending numbers A lot of those capital expenditures are for  -19-    8/21/84  equipment that will allow them to operate more efficiently-- expenditures on robotics, for example I know it's nice to look back at historical trends but when things of this nature are developing that are different from history, I don't think extrapolating past trends is necessarily going to tell us what's coming up So, on the one hand, I'm more encouraged about inflation prospects than some of you; on the other hand, looking at the auto side, I'm concerned about what that could do  They toned down the formula--not the last time around but two times ago--so that they don't get a complete percentage [passthrough]  But when the auto industry talks about their costs they have to think in terms of total costs  I would go along with the idea of keeping the specifications the same as they were at the last meeting As I read Steve's words here on page 5 [of the Bluebook], they suggest that alternative A comes closest to those adopted at the last meeting So, that would be the one I would go along with For reasons of concern about the health of the financial system, I would be reluctant to have the fed funds rate go above where it currently is, again because I think there are some special and technical reasons that are keeping it up there If it could be allowed to back off a bit, I would certainly welcome that In terms of the borrowing target, I would go with Mr Partee's $800 million number  Since I'm still intrigued by this fed funds matter, would it be possible to request the research people at the individual Federal Reserve Banks to call around to some commercial banks to see if, in fact, they are more carefully analyzing the banks that they will sell fed funds to or if they've changed their approach in the last couple of months?  Yes, I've talked to two individual banks that have I have not done a survey  I didn't mean a written survey, just some-- "
2783,1984-10-02,SEGER," As someone who was pessimistic rather early on, I guess I'm pleased to see the statistics finally supporting my woman's intuition in that the statistics across the board are certainly looking much weaker than they did back in July when I arrived here I'm also viewing this as a good sign, as are people in Philadelphia, and not a bad sign I think it's healthy that we are looking at some downward revisions in our forecast for the rest of this year and for 1985 because it's important to keep inflation under control and having these signs takes some of the heat off here to jam on the brakes So, I'm pleased to see that this is happening Also, I'm optimistic-- maybe more optimistic than most people here--about some of the fundamental changes going on in the economy I have mentioned these before, particularly those things that are influencing productivity favorably There are other [developments] that influence the management of companies and increase their commitment to doing things efficiently, which of course is tied in to productivity Their stronger moves in labor negotiations, some innovations, and more emphasis on R&D are the kinds of things that I think will pay big rewards longer term I'm also concerned, though, about the problems of the thrifts Maybe it's because I just gave a talk a week ago to some treasurers of savings and loans and I'm carrying those cards, but there are big problems there There are big problems there even if interest rates don't rise, but the numbers I heard with even a modest increase in interest rates in the future are terribly scary I think a very large group will be going down the chute rather than a somewhat smaller group So, those are my concerns But, as I said, overall I'm rather pleased with what is going on  -13-    10/2/84  I'm leaning toward the A alternative, with my first reason being the performance of the monetary aggregates in the third quarter When I look at what the various alternatives are expected to produce in the way of monetary growth in the fourth quarter and for the 12 months in 1984, it looks as if even with alternative A the results would be within the longer-run targets with the exception of M3, which would be just outside by a very small amount Also, as I mentioned earlier, the economy is definitely slowing I don't believe we are heading straight for a recession but I think there has been a significant slowing I happen to agree that it's going to continue to be on the moderate side of the spectrum and that would suggest that some easing, as in alternative A, is appropriate To repeat what a number of people have mentioned, the strong dollar is a consideration here and I hope that we can do something to maybe at least stop its strong advance  Finally, I repeat my continuing concern about the thrifts and the health of the financial system in general When I look at where the fed funds rate would likely go based on alternative A, as I read the statement here, it looks as if it would go somewhere between 10-1/4 and 10-1/2 percent; and I don't see that as a precipitous drop in interest rates Maybe it's my bias, having seen a lot of volatility in interest rates, but from where the fed funds rate is now I would say that's on the modest side Also, I am thinking of the signals that we sent to money market participants this summer when many of them assumed that the Fed had in fact tightened I don't remember sitting here and voting for tightening [That was] the conclusion that many of them drew from asymmetrical language Consequently, I think we got an upward movement in the fed funds rate that in fact exceeded what we were talking about here at the time--at  -31-    10/2/84  least what I thought we were hoping for Having said all that, I would prefer to go with some easing and in general what is shown here in alternative A "
2807,1984-11-07,SEGER," I have been somewhat concerned about slowing business conditions for several months and I still am I won't repeat all the signs; I heard them earlier and you have also I will just  -13-    11/7/84  add two things that I haven't heard mentioned so far One is that in talking with a number of business economist friends who are neither kooks nor politicians I sense a big change in their attitudes in the last six weeks or so In general their confidence in their forecasts for next year seems to have diminished Frankly, if I had to point my finger at one factor that is responsible for this, it would be the signals that we have been sending from this building They are looking at the slower monetary growth in the last four months and as a group are not interpreting that as poor marksmanship or the inability to hit our targets They are interpreting these numbers as an actual tightening, particularly when they saw the fed funds rate shoot back up in August So, I think that has led to some of the changes in attitude Secondly, I was talking to a top economist for one of the Big Three auto companies who said that when they were doing their modeling and trying to forecast auto sales for next year they looked at the usual relationships among employment, income growth, credit availability and all the things that they know influence auto sales They came up with a particular forecast, yet because of their lack of faith in that number, they peeled off about 300 to 400 thousand units from that because in the pit of their stomachs they didn't think they could hit the number that came out of their model I am mentioning this to suggest that if there is a risk, I think it is that these numbers [forecast] for the fourth quarter and for 1985 will be too high rather than too low I am not saying that there is a recession around the corner; I am not that good a forecaster But I think there is the risk  I am voting for alternative A for two basic reasons One, of course, is what I see as the slowing in the economy and the sobering of the moods out there in the business world Secondly, although I am not obsessed with what happens to M1, I am depressed with what has happened to M1 growth in the four months from July to October In fact, what is shown even under alternative A for the final quarter this year does not look like red hot growth Also, looking at M2, whose expected growth in the fourth quarter is 7-1/2 percent, which would be the midpoint of the long-term range, that doesn't seem excessive either And then getting to where this would put us at year-end, we would be below the midpoint though within the long-term ranges for both M1 and M2 So, this doesn't strike me as easing irresponsibly Also, when I look at the reserve figures, I am not surprised that monetary growth was as slow as it was in October I guess I am surprised it wasn't slower when I see the dive in nonborrowed reserves and total reserves So, I would vote for alternative A In terms of the directive, I would use the number II alternative I don't feel that the relationship between borrowing and the fed funds rate is clear enough to me to know what kind of borrowing numbers would come through It seems to me this is somewhat of a crap shoot; there is obviously a number out there some place that is the right one, whatever that is, and it will give us fed funds in the range of 7 to 11 percent and would satisfy me "
2833,1984-12-17,SEGER," I admit to being confused--to make a general statement The second thing that strikes me is that whether or not I think M1 is important, there are a lot of Fed watchers who do So, maybe it's like gold It isn't the theoretical matter but whether a lot of people assume it's important that makes it important It's hard for me to divorce the slowdown in M1 growth from the very dramatic drop in total reserves And just hearing Jerry Corrigan's remarks about the slowdown in the economy--that this is what produced the M1 slowdown--it is as if the Fed had nothing to do with the slowdown I think it is pretty hard to argue that either we had nothing to do with the slowdown in the economy or the slowdown in M1 Also, I heard in the past couple of meetings concern about allowing the fed funds rate to drop much because then we might have to retrace the steps and jerk the economy around and or jerk the markets around; yet when the funds rate shot up from 10-1/2 percent or so to 11-3/4 percent, which did jerk the markets tremendously, I didn't hear the same kind of concern So, again, I don't know the answer to this, but somewhere along the line I think we've got to make some changes  Yes, but I think the slowdown in the economy is real That's all I'm saying And I think there is some association between that and what happened to monetary policy, particularly if you want to look at total reserve creation since late spring  Versus the Ms or including total reserves?  Okay  I don't want to repeat what I have said the last couple of months about my concerns about the slowing economy because it would just be boring I have hoped that the pause that we might be going through would certainly disappear and that the growth rate would speed up, but it hasn't so far I've not felt that we really were risking a recession, although I do think we were flirting with one or skating on thin ice, you might say, where we'd need a lot of good luck and a strong tail wind to get across in a hurry before the ice breaks through And that's sort of the way I feel I think the staff forecast that Jim and his people prepared is probably about right, given what our policies have been I would like to see more in the way of economic growth, certainly Also, I think the staff is relying heavily on the revival of consumer spending and I would hate to look at the advance monthly retail sales figure or the auto sales report for the first 10 days in December and conclude from that that  -55-    12/17-18/84  consumers are back on a spending spree because I don't put much faith in either one of those statistics  In terms of what we should be shooting for, I would like to see economic growth that's closer to 4 percent than to 3 percent The reasons are a whole long list One is that if you look at our commodity prices just about any one I could pick--copper, lumber, oil, and even gold, which is getting down close to $300 an ounce--has been weak and they are still weak And I think having faster growth in this economy first of all would stabilize some of these prices that have been falling rapidly and in effect would help the industries that produce lumber or copper, for example Also, I think that faster growth amazingly would help corporate profits--maybe not so amazingly, since that's the way it usually has happened in the past When you get faster economic growth and more rapid growth in sales volume, since companies today tend to have a tremendous amount of more or less fixed costs, the additional volume tends to drop through to the bottom line That, in turn, relieves some of the pressure on businessmen or women to raise prices because their profits are rebounding without the benefit of higher prices Believe it or not, this also helps productivity If you look at corporate balance sheets and income statements over the last 20 years in which this move toward a larger chunk of fixed cost and capital investment has occurred, when there is more rapid growth and faster output, the person standing there is not [only] pushing a button that starts a machine but the machine [also] produces 10 percent more an hour and the one guy is still standing there This does tremendous things for productivity growth as well as for profits By the way, both of those factors, I think, would be a positive in the capital spending picture With the negatives in the capital spending picture--namely, the question mark about possible tax hikes or how the tax reform measures will actually shape up when Congress and the Executive branch get through--I feel that the uncertainties have been forcing many businesses to set their plans on the shelf until they see exactly what is going to materialize But I think we can offset some of that uncertainty by having the better profit performance And, for sure, a lower interest rate would help to get some marginal projects, short payoff kinds of projects, approved and through the mill even with the uncertainties about taxes  It seems to me that we would have to change monetary policy more toward ease in order to achieve the 4 percent or 4 percent plus growth that I would like to see There's no doubt about it But if we did, then I think the declining interest rates would have some additional benefits besides helping on the growth side--namely, we still have to deal with this problem of the fragility of the financial system worldwide and particularly in this country where we still have thrift institutions with big problems We have the third world debt situation which, as I understand it, has not gone away I just visited both Kansas City and Dallas and those people tell me there are problems [in their regions] with agriculture and with the oil industry This is a minority view, but I also think lower interest rates would help on the dollar side It may not help immediately, but if we drop our interest rates or pursue an easier monetary policy here, then that would allow other countries to pursue an easier monetary policy Even if they matched us on the down side basis point for basis point, it still would help each of our economies even if the differential did not change at all Ultimately, if that did lead to a speed-up in the economic growth of, say, the major European countries,  -56-    12/17-18/84  I think that should help our export situation and eventually might even have some positive impact on the so-called super dollar  Let's see, there's one other thing I wanted to mention Should we emphasize M1, M2, or M17? As I indicated yesterday, I'm not particularly a narrow monetarist; in fact, I'm not a monetarist at all But I've talked to a lot of people who do follow what the Fed is doing, the so-called Fed watchers Many of them advise major investors They are movers and shakers on Wall Street and in commercial banking And my feeling is that, as long as they think M1 is important and they emphasize it and they hang around every Thursday afternoon a little after 400 pm with bated breath waiting for that number to come out, then it has achieved an importance even when we don't want it to Certainly, I would never argue that we should look just at M1, but I think we should pay plenty of attention to it and particularly when we set the targets for next year make sure that the bands for M1 growth are adequate to give us some faster economic growth I would argue, too, at least in the early part of the year, for viewing this in a parallel line fashion rather than as a cone just to broaden out those numbers and for suggesting that it's okay to hit the upper end of the range rather than shooting for the midpoint or cruising at the low end That's a lot; I think I've hit everything I wanted to say Thank you  Well, I'm an ease advocate and I could certainly support you in alternative B and wouldn't be upset if you pushed over into the dimensions of alternative A, using the $250 million or so borrowing target Also, I'd keep an eye on total reserves to make sure that they go along and allow the kind of expansion we need I realize we don't set the discount rate here but I would like to encourage a discount rate cut of about 1/2 percentage point soon to go with this because I'm afraid that if we don't, we are going to have the market disappointment Furthermore, if we cut it immediately, it would nudge some of the commercial bankers who have been flirting with the idea of cutting their prime rate into adopting the 1/2 percentage point cut that was launched yesterday  They are waiting for us  But I think this would push them to act  And the economy  7, 9, and 9  When the popular magazines call it the ""super dollar,"" people are looking at it  $300 million with a 7-1/2 percent discount rate  What is the question?  Yes  Yes  Maybe in the spirit of Christmas we can give him $50 million  That's what I put down I voted for 7, 9, and 9 "
2876,1985-02-12,SEGER," I just have a question Hearing your comments after hearing Sam's, I wondered How much coordination is there between the two--[the foreign and the domestic operations]? I heard you talk about tilting, which would lead to a higher fed funds rate etc, and yet I heard [Sam talk] about the problems of the dollar and how when rates ticked up the--  I guess what I'm saying is If, as you saw the fed funds rate tick up you also saw a rather immediate impact in the foreign exchange markets, if we're concerned about a super dollar and we're concerned about whether or not we're intervening enough, I just wondered if we ever close the loop or get any feedback in here?  But it never made you think that it might be inappropriate to allow the fed funds rate to continue to move upward?  I'm just trying to educate myself  Just hearing the one presentation following on the heels of the other made me connect the two  Second  First, in terms of the inflation outlook, I came up with 3-1/2 percent without taking into account the value of the dollar; then Ted Truman convinced me that the dollar is going to depreciate so eventually I rounded my number up to 4 percent If I had assumed it was going in the other direction, I would have rounded it down to 3 percent because I just do these in whole numbers; I don't have the confidence that I can do it any more finely than that In terms of productivity--and this is something that I'm very interested in--one factor I think we're soft peddling, if not ignoring, in this whole productivity discussion is simply the commitment of business managers to be more productive I deal with some of the same kinds of people that Si Keehn does out in the Rust Belt and they are viewing this as a very high priority item It's shape up or you're going to be dead; it's as simple as that Therefore, this has given them a strong incentive to be more productive I understand that, unfortunately, that doesn't fit very well into the econometric models, but that doesn't mean it isn't a factor and that doesn't mean it isn't a very important factor Furthermore, I think this notion ties in with what we're seeing in plant and equipment spending that in order to get the kinds of productivity gains they feel they have to have to compete with the imports, they have to bring in state-of-the-art equipment I just saw a plant on Friday that had robots all over the place at $90,000 per unit It's not a small investment but they have to do this to improve their productivity I think we're going to see more and more of this even in offices; maybe not in Washington, but in other parts of the country they are having to be more productive They are having to use word processors; they are having to stretch clerical help by giving them better tools I think we have to pay more attention to this because, as Jim said, it is important with respect to inflation possibilities and also to our growth potential  Finally, [I am concerned about] the continuing strong dollar, the agricultural problem that Si has already referred to, the third world debt situation--I went to a meeting last week at the State Department about the latter and that doesn't seem to me to be a problem that has gone away--and the thrifts, which are still hanging on the edge of the cliff Looking at all four of those factors, I find it very difficult to think in terms of interest rates going any higher at all, because I think that would push all of those problems into a still more serious mode And heaven knows they are bad enough!  May I just ask a question? I haven't seen what it would do to the numbers to have an average of the months for the preceding year used as the base I think that was one of the proposals that--  I think they have it two ways  I support alternative I I'll just say ""ditto"" to Governor Partee's comments plus add another observation about M1 And that is In 1984, using the revised numbers, M1 growth was 52 percent, which was 08 below the midpoint of last year's goal, if I did the arithmetic correctly I know we decided not rebase Still, if the targets for last year were appropriate and if that's the way M1's actual performance came in, then I don't think we should ignore that when we set the targets for this year Therefore, I would like to add that to all the other reasons for having the M1 range at 4 to 8 percent Also, as I listen to comments--and I also went back and re- read materials for the last two years--I'm not convinced that we really have identified in any exact way the relationship between money growth and the economy I don't think we always know what's going to happen to velocity; we may think we do, or would like to, but I don't think it works out that way So, maybe it's more honest to send a signal that we don't have these precise measures and, therefore, we will go with broader bands  Did you say 6-1/2 to 9-1/2 percent?  That's what I want; I want the 9-1/2 percent high end  I would too  I can handle no change from the present [stance], if that's what alternative B is I would be concerned, though, if no change brought about a substantial rise in the fed funds rate because of how that is interpreted in the markets as a signal of what we're doing and also because of the very severe problem with the super dollar and some of the other special factors that I've mentioned before  Those that have checking  Just to educate me, if we go with the 4 to 7 percent for M1, can you tell me why we can't tie it to the midpoint of the fourth quarter--that is, the range for last year that we shot for?  Making that up was one of the reasons why I wanted to have a wider band So, I can go with the narrower band if it's calculated from a higher level  Are we supposed to make a certain assumption about the value of the dollar to be consistent?  The staff have [M1] at 6-1/2 percent in their assumptions "
2900,1985-03-26,SEGER," I want to thank the Chairman for visiting with some of the same people who have been talking to me for the last six months If there's one theme that I get from these individuals, it's basically that their concerns involve the strong dollar--the surge in imports and the loss of export markets These people include anyone from farmers to manufacturers but are primarily manufacturers I heard within just the last couple of weeks, for example, that Ford Motors is closing the tractor plant that's right near where I have lived in the Detroit suburbs because they can no longer manufacture profitably in this country They're going to move the operation overseas I would just like to point out that once these movements are made they don't quickly reverse course The dollar could take a dive in six months and it's unlikely, in my judgment, that they would then move back So, I think the longer this goes on the more serious the consequences And I don't think that we should take them lightly  Another thing I'd like to mention involves what I see as the risks in the staff forecast As a cynic looking at consumer spending, what I see besides a lot of the spending going to imports is a lot of spending supported by credit--those magic plastic cards and things like that In the auto industry, particularly, there are special terms--extending from 4 years to 5 years the term on a new car loan in order to get the monthly payment down sufficiently to qualify a buyer You're living on borrowed time when that goes on to a very great degree Also, there are tremendous special rate inducements; 88 percent is one number that you see, again as a means of trying to drag the people in off the streets and to get the monthly payments down so that they qualify I think this is producing some good auto sales numbers at the moment, but it is the kind of foundation that to me looks like mush The risk in business fixed investment has been mentioned by numerous people but I will repeat it There are high vacancies in office buildings; there are major lags here and I don't think we've seen the full impact of these tax reform proposals on  -24-    3/26/85  business spending In the multifamily residential area, I would say ditto There are substantial vacancies in apartment buildings and, also, I don't believe the tax response has shown up entirely  In terms of the dominant factors I think we should look at-- and maybe this reflects my background, having held their hands and nursed the sick thrifts in 1981 and 1982--I see this fragility of the financial system as going far beyond Ohio It is not that Ohio was an unimportant event It certainly was a media event and made a lot of individuals aware of this problem But I think there would be a lot of sick people around this country if they knew the condition of the rest of the thrifts and if they knew that probably a good 10 percent will go in the soup between now and sometime next year And that's not because of somebody dipping in the till or a governor acting overly enthusiastically These are fundamental problems with solvency and insolvency And think what that does to FSLIC To me it's like being reinsured by somebody who is three weeks from bankruptcy rather than bankrupt already But I don't think that that word is generally out and that the problems are generally appreciated  The other factor I think we ought to give primary attention to in formulating monetary policy is this dollar strength that I've already referred to I would be extremely concerned about any further rise in interest rates I don't care if M1 growth goes to 37 percent next month, which I don't think it will But this is the one thing-- in case people haven't followed the thrift situation carefully--that does impact on thrifts very directly It is the one thing that we do have an influence on that does hurt them or does influence them If the increase in money market rates that has occurred since the last FOMC meeting--30 to 75 basis points or whatever it was--would just go on to total one percentage point and if that were factored into the cost of funds for thrifts, it would put somewhere between 50 and 75 percent of the industry in a loss situation And that's on top of the ones that are already staring at insolvency So, I think that interest rates are the connecting link and I don't think that we can ignore them if we're really concerned about this fragility problem In fact, if I had been told at the last FOMC meeting that Steve and Peter would have been producing interest rate increases of 30 to 75 basis points, I would have dissented So I hope that our move today will be moderate and that whatever we do we will take careful notice of what our steps are doing and will be doing to interest rates  I guess I would like to begin with a question Is the borrowing target really a target or isn't it? I sit here and I hear these numbers; yet at the next FOMC meeting I see what we come in with--  It's higher than I thought I understood at the last meeting  At some point, though, do we at this Committee meeting have to take into account these changing attitudes toward excess reserves?  Well, okay  It still seems that we're getting more of an interest rate impact than we expect or plan for at these meetings  I understand that we're not operating on an interest rate target But when we're trying to look at the various alternatives, one of the things I look at is what the expected interest rate impact will be given one choice versus another And that's all I'm saying  In terms of the alternatives, if I had to choose among them, I'd take alternative B but with a tilt toward ""A"" rather than a tilt toward ""C"" because of my concerns about the impact of any additional increase in short-term interest rates on the financial system  I wanted $350 million; I don't think I said it  Right  And put the ease first "
2924,1985-05-21,SEGER," I have been very impressed with the size of the downward revision in the official staff forecast since our Humphrey- Hawkins FOMC meeting in February That shows a far more significant change than just the change from the March meeting to this meeting I must say that I concur with those downward revisions because of the problems with the manufacturing sector of this country and the import competition The fact that imports are hurting not just the auto industry and not just textiles but a broad spectrum of companies in many, many different industries really depresses me Also, I see the kinds of people who are aware of this individuals I would expect to be unsophisticated and not even know what exchange rates are But they are tuned in to the super dollar; they also are tuned into why it's super; and they know that it is hitting them very directly I think that we have not seen the full extent of this yet  Also, I continue to be very concerned about the fragilities of the financial system I got on this jag early; unfortunately, it has been going on since '81 and '82 and I don't see it getting better I see it getting a lot worse because it is not just a couple of states that have had specific problems, namely local depressions; it is now a lot broader Unlike Jerry, I don't think this is because free markets don't work I think the problems with the financial system go back to poor public policy in the '70s namely, a very inflationary policy that sent bad signals to financial institutions and participants in financial markets Then when the gears were shifted and we went into a more moderate approach to public policy, ie, fighting inflation and producing deflation in certain sectors of the economy, it was a real adjustment for those people to make Also, I think we have to be candid and say we probably have not regulated them as well as we could have Supervision has left a lot to be desired That is the message that I think comes through from Ohio and Maryland It isn't that free markets don't work but that the supervisor did a crummy job I think further that if you really started to dig into the asset portfolios of many institutions that have not been looked at, you're going to find a lot of water in there to squeeze out We haven't seen it all yet And when that squeezing takes place, I think we are going to see many, many more insolvencies I am not just talking about thrifts; I am talking about banks This is, of course, a problem for those institutions themselves but I am more and more worried about how that will impact on consumer confidence in general and on business confidence--and particularly how it will impact on these little towns in rural areas If you want to have some fun, go back and read about  -16-    5/21/85  the 1920s and the problems in the agricultural community in that decade and what that did not just to agriculture but to whole sections of the country when the problems with farms brought down farm banks and the result was tremendous local recessions or depressions I think this is one thing we have to take very, very seriously  Finally, I just want to mention that I talked to three of the highest level economists in the auto industry and I'll just relay to you a couple comments from them because I think they are rather interesting In general, their sales forecasts are below what we are talking about One is using 105 million units or possibly slightly above that as total new car deliveries for calendar year 1985 Some of the sales that used to be in the form of autos are now going to be for small trucks, so there might be a little more in there; they think truck sales will be about 45 million The big point this fellow made was that it takes a lot more marketing money to move cars In other words, consumers are not coming in and beating the doors down to buy; they are having to be dragged in to purchase Interest rate incentives are being used very heavily The customers are interest rate sensitive, and the special promotional rates of 85 to 88 percent for slow moving cars have worked to move those specific cars Auto makers are putting those incentives on some other cars--small cars--because they want to help their ""cafe"" ratings with the US government The penalties are going to be severe if they don't average out okay for this year, so they want to move more of these fuel economy cars to help that Another chief economist is talking about 106 million deliveries for the year and truck deliveries of 44 million But again, he mentioned this interest rate incentive to move new cars It is substantial He said that the going regular rate for new car loans would be about 145 percent and they are using 88 percent on selected lines The third fellow says that the market at the moment is the strongest in this recovery if you just look at sales volume, year-to-date According to his numbers they are coming out with 109 million [currently] but for the whole year he still thinks deliveries will be down somewhere around 106 to 107 million And they're having to buy the business He said the incentives provided on some of the big car purchases are $2,000 He also mentioned the competition from imports, such as Mercedes Benz, on the big car lines, and he brought up the matter of the strong dollar In his view, we have not seen the full impact of the rise in the dollar in lower auto prices and, therefore, they have a lot of room to cut prices if they want to go after sales because this has just been going into their pockets in the form of profits If they really wanted to go after sales more aggressively, he thinks they could Anyway, [these economists] are not complacent about the economy as a whole and they see a slowdown being something that would cool off their numbers still more  As I reviewed the table here and the charts on the various monetary aggregates, it seemed to me that what I saw for M2 and M3 was, as Chuck said, that as of April we were already not only within the parallel lines but within the cones Also, as I look at where the various alternatives A, B, and C are plotted for the end of the quarter, they are not really that far apart They are within the cones at that point For M1 I see that as of April we're a touch above but with each alternative--A, B, or C--we are going to be above the parallel line So if we're concerned about how the financial market participants would view this, I don't see that it makes more than about a nickel's worth of difference I don't think that they just look at M1 to begin with; and secondly, I don't think that they would be that sensitive to these short-range positions we are taking So I guess I could practically roll the dice here and say that if everyone is going with alternative B, I certainly can But I hope if there is a way to lean that we would lean toward alternative A rather than toward tightening, particularly because I think we have to be very careful about what our actions do to the fed funds rate and what message that sends to market participants about what we did today In terms of the borrowing target, frankly, I'm so confused about how the thrift numbers come in here that I really don't know exactly what  -31-    5/21/85  number to pick up But I think I would rather have it lower than higher, which is a very vague way to put it  Yes, that's high  Zero to 12 percent "
