,start_date,content
22,1987-08-18,guess want play game respect oil_price expert foreign affair kind affair disrupt persian gulf think definit impact oil_price mention earlier sweep mine away tension reliev oil_price come let per barrel estim assum happen kind chang factor overal forecast seem read materi number time oil_price rise oil_price drive concern forecast rest year_next_year
25,1987-08-18,think honor among thiev price rise think peopl go tempt cheat will continu cheat cheat exceed quota one set among guess prepar think will religion real quickli
29,1987-08-18,forecast
31,1987-08-18,help trade balanc seem higher_price oil import neg assum cut current dollar import anyway noth els chang
75,1987-08-18,hope staff_forecast right target question doubt guess express yesterday staff brief board involv emphasi trade turnaround convinc will much boost overal econom pictur trade turnaround count forecast either rest year mention earlier trade partner econom situat far short robust think key factor mention trade barrier busi_peopl tell obviou one involv tri japanes market convinc dollar go fall much assum forecast realiz can bang governor johnson thing go prevent happen staff talk gradual upward drift interest_rate happen depend cours polici stanc guess much bite economi upward drift might expect look auto near_term situat think go lot tougher reduc inventori appar think mike specif make day suppli work easili percent interest_rate reason lot sex appeal model give away saturday night know anyhow think lot greater challeng
77,1987-08-18,right final comment involv inflat governor angel point commod_price think guarante go keep rise know commod_price volatil influenc thing beyond monetari_polici believ factor work matter fact keep control particularli think crude oil situat certain go staff_forecast labor_market shortag think labor_market_think sort labor_market differ skill differ industri differ geograph area know make sens talk natur_rate unemploy know use guid final thing realli think emphas enough real chang manageri attitud backbon among corpor execut labor negoti whole work career time realli delight longer assum can pass higher labor_cost use particularli major industri compani head awar import competit awar need effici effici push employe move enhanc product go time auto negoti emphasi job secur talk freez actual wage extent pay adjust number major compani make sure product_gain offset percent whatev overal nation number product_gain specif compani think tend tie wage settlement product enhanc move think_good togeth zero inflat percent head toward percent either thank
130,1987-08-18,favor chang altern million borrow target main reason think governor angel emphas uncertainti face reason week meet next fomc_meet chanc soon look thing chang approach base addit read economi third reason economi current boil forecast certainli look pretti_good question go hit trade turnaround expect reason propos keep reserv pressur statement deemphas impact dollar want tilt direct
251,1987-09-22,ye coupl question tie matter discuss yesterday pre fomc brief involv complet factor rise interest_rate alreadi plu wholli factor increas think yet come particular hous start last_month million annual_rate know problem vacanc_rate multifamili area part countri incent built kind hous shift greatli tax reform act singl_famili start peopl sensit interest_rate_chang guess hard time believ start will fall million hope sort skittish
253,1987-09-22,true singl_famili multifamili
255,1987-09-22,mean lag longer mayb full impact spike quit dramat
257,1987-09-22,question tie yesterday brief relat heavi relianc trade turnaround produc good read number right half real gnp growth fourth_quarter fourth_quarter expect come improv net_export think difficult billion increas export year name year tack billion next_year lot produc
342,1987-09-22,prior life work corpor plan sit think discuss morn work corpor plan boss alway challeng forecast will allow mine allow util singl forecast alway wonder weak someth might hit busi allow bet bank bet compani forecast want mention coupl thing think look look ahead sort hint earlier suffici incorpor interest move alreadi forecast incorpor interest move expect yet come question dollar fact declin much depend upon trade turnaround think weaker dollar need produc part think vulner forecast mention angel bob heller realli think pay much attent chang fiscal_polici billion deficit billion heard morn might come billion major chang year_next necessarili keynesian think thing fiscal_polici certainli work lag rememb summer sit around_tabl peopl today easi simpli project trend earli look tremend strong frankli miss fact busi go slow time thought look terrif got degre turn hope today interest_rate question ladi rememb financi_market inflat big deal mainli interest_rate_move reason govern move involv simpli volum financ cours tie deficit bob heller recent problem bump debt ceil postpon auction sudden congress get religion take care auction push short period_time jerk thing around yet talk inflat_think happen certainli happen probabl go happen next coupl week uncertainti go uncertainti think help problem releas minut earlier peopl analyz tea leaf tri figur think contribut situat improv commun inform flow person around america around world crt desk gunsling sit wherea use told thing watch told thing watch relationship dollar yen dollar foreign_exchang_market peopl economist trader give easi piec guidanc trade contribut instabl think transmiss exchang_market bond_market speed light almost lot player think necessarili realli weigh go real_economi neither think thorough analysi inflationari forc work work
388,1987-09-22,favor chang reserv pressur guess realli state option somewhat million borrow target prefer symmetr_languag
438,1987-09-22,minut come think lot fact fed_fund rang move can someon look say clear deck next big tighten screw batten hatch speaker realli
440,1987-09-22,know peopl pick everyth can big deal move
447,1987-09-22,will explan
500,1987-11-03,want tell mike admir courag attempt specif number sheet paper although older peopl sit tabl cannot think_time lifetim compar event financi_market sure know econometr model can pick anyth data fed last_coupl week
502,1987-11-03,thing concern formal formal mathemat experienc kind period suffer uncertainti will bring wonder percent declin dow day realli equival month worth percent declin month feel compar know feel lot thing base inexperi cannot realli judg
522,1987-11-03,give thing away day
538,1987-11-03,word think describ complet go confus uncertainti busi economist busi_peopl spoken last_coupl week admit practic pretend know exactli impact financi_market disturb will almost everyon expect sort impact probabl dramat adjust wit unfortun event caught middl plan season immedi knock percent sale forecast next_year look plant close truck plant car plant view earli auto_industri go pink cut finger time rather major surgeri time around want prepar dramat signific adjust fact need watch care actual go can addit adjust necessari dramat chang manag pension fund larg cut percentag invest equiti cut percentag bond move liquid posit mention think specif exampl peopl busi world react know go happen guess nightmar might happen consum will cut spend mike laid greenbook estim except will cut littl dramat estim next coupl quarter rich lawyer will continu buy merced peugeot honda thing produc abroad will cut consumpt domest produc item therefor will sort doubl whammi will weak consumpt will import situat improv much expect much certainli yet say go recess realli know think think_risk ask recess go help problem corrigan tick think go recess heavi debt load usual debt load lighter make look lot heavier servic think recess help trade partner read growth number germani japan canada countri seem robust anyway depend lot upon busi deal therefor cannot imagin turn found abil export lot difficult advantag somebodi buy export can produc effici summar concern realli think watch incom_data extrem care sign weak expect
640,1987-11-03,think market know mean
642,1987-11-03,okay
673,1987-11-03,guess can reread bluebook seventh time look don kohn say altern assum financi_market will return condit normalci whatev
675,1987-11-03,deep stomach ask fact altern vote vote possibl allow greater opportun deal abnorm time assum roof fall will point polici shift
677,1987-11-03,someth corrigan languag asymmetr_languag tilt toward_eas target fed_fund_rate frankli rather littl soft side percent rather percent think fed_fund_rate view line short_term_rate realli interest commun clearli market_particip
679,1987-11-03,rang statement say oper matter rather low side percent rather go percent rather realli target somewher percent think fund_rate quit bit line short_term_rate
693,1987-11-03,chang
718,1987-11-03,asymmetr right
720,1987-11-03,thought lesser reserv_restraint slightli greater might
774,1987-12-15,quit influenc articl read morn wall street journal marshal field si keehn live suburb chicago shop anyhow think retail_sale report comment number revis downward show modest gain caus downward_revis real gnp estim quarter think someth will spill year sure heard
776,1987-12-15,lead next question happen inventori build plan past often led sort liquid mayb around time typic happen retail level wholesal level etc point might kick
778,1987-12-15,final question involv trade statist guess number disappoint side export ran quit bit expect point_think might mean seriou troubl month blip screen lot egg basket next_year mainli assumpt strong trade turnaround order kind real_growth read forecast anyway
781,1987-12-15,cautiou person lot egg basket think realli sure check assumpt care
783,1987-12-15,billion estim
785,1987-12-15,know expect big turnaround rememb exact number
835,1987-12-15,
841,1987-12-15,month
