,start_date,content
4277,1989-08-22,chairman correct issu claim accept show ongo benefit bl instanc know file claim can sort monitor thing administr count normal will note chairman
4305,1989-08-22,clearli case circumst someth combin net chang item worri level inventori_invest turn instanc realli case
4307,1989-08-22,problem time
4833,1989-11-14,governor angel let answer_question account assumpt boe fact rather smooth deceler pde growth near_term
7070,1991-02-05,turn quarter actual liquid go rate liquid slower quarter gnp account sens show posit number start accumul begin half_year amount accumul small dollar term swing rapid liquid slower liquid small accumul gnp term wind ad real gnp realli tri show preced chart chart can part project period gnp final_sale rise gradual think modest amount inventori_accumul take place fact inventori_sale_ratio consist actual fall basic flatten histor low_level
7077,1991-02-05,actual small amount can term forecast basic come state_local purchas small grow percent small number feder net real purchas fall realli term state_local sector construct go much
7079,1991-02-05,right turn happen growth_rate
7081,1991-02-05,happen match instanc
7419,1991-05-14,rel happen gnp atyp word
7421,1991-05-14,falloff gnp assum forecast right half typic peak trough declin gnp look ratio person_incom gnp ratio cyclic pattern
10141,1993-02-02,think main effect household might feel liquid constrain wealth increas abil household liquifi wealth boost consumpt point case turnov hous stock argu capit gain realiz evid realiz capit gain plow hous industri can mortgag debt data feel capit gain use support consumpt note refinanc data fair amount cash taken direct econometr evid kind ancillari inform seem suggest go
10174,1993-02-02,true chart_show shift babi boomer peak life cycl save year demograph factor tend rais save_rate suggest work econom factor primarili fact net worth posit bit stronger household percept incom job prospect seem improv substanti tend give lower save_rate final though statist question know real level save anyway
10176,1993-02-02,ye true longer_run sens thing equal expect demograph work toward higher save_rate
10721,1993-07-06,within consumpt pce place commerc use cpi exampl think air fare know player season problem use independ inform rather cpi inform
13469,1995-07-05,statement_appendix
13640,1995-08-22,let add comment work direct chang bea consid implement next sever_year particular work inclus softwar final output present softwar bundl comput count intermedi product output softwar grow faster output push true output_growth thing servic relat bea plan implement procedur tri better handl servic output issu softwar thing will reflect next benchmark will reflect follow benchmark revis fact product grow faster measur output properli
13643,1995-08-22,recent quarter statist discrep particular trend
13645,1995-08-22,recent coupl quarter
13647,1995-08-22,think trend phenomenon
14314,1996-01-30,statement_appendix
15811,1997-07-01,thank mr chairman will refer packet materi titl staff present feder open_market committe dave stockton ted truman will jointli share honor afternoon statement_appendix
15818,1997-07-01,think purpos chosen stretch deliveri done past know bust will inevit follow boom
15825,1997-07-01,quantifi suggest remark think will rel modest neg effect lag consum_spend
15827,1997-07-01,anticip slow activ will result primarili stock adjust follow larg increas invest_spend recent_year
15829,1997-07-01,right consum_spend busi_invest
