,start_date,content
41,1987-08-18,alreadi touch done analysi impact higher energi_price acceler_inflat far year
71,1987-08-18,consider comfort greenbook_forecast meet seem thrust latest statist economi revis serv bolster underpin credibl forecast mind think revis import stori think help thing consist pictur throughout expans seem consist strong increas employ see weaker increas expect gnp forth mind gap reduc think look economi realli perform rather certainli consist go ninth district talk tier economi diverg happen urban area rural area latest develop suggest gap diminish rural economi better part agricultur better part aspect natur resourc industri rural area ninth district depend better encourag might comment fact receiv number unsolicit report businessmen district increas interest export opportun potenti foreign custom come explor possibl sale abroad variou product everyth tech end world basic commod think consist happen economi recent forecast suggest think_good_news probabl approach critic point come inflationari_pressur mike indic think can attribut much acceler broad price_index far year effect higher energi_price think look_forward number thing horizon give paus energi_price_level mayb come bit clearli see bond_market elsewher around world sign heighten inflationari_expect manifest term_rate secondli guess confid fiscal will achiev feder budget deficit significantli year level fact higher bit lucki final far labor_market know natur_rate unemploy whatev certainli lot closer today recent surprisingli look unemploy variou demograph group expect lowest rate unemploy gener case group use quarterli averag data find unemploy_rate_low think benefit heretofor rigid wage determin process familiar talk union busi run think can count rigid wage determin process alway work favor particularli price_index start move
109,1987-08-18,seem anyth certainli open end current written
126,1987-08-18,suggest earlier think princip risk like face time higher_inflat key question mind time sens inflat problem fait accompli hand think can afford sit wait obviou reason mention earlier cost undo place balanc consider prepar far altern view someth perhap posit help preemptiv strike point time entail judgment rel littl risk econom_outlook turn wrong terribl difficult undo perspect think merit consider
128,1987-08-18,right around ye
149,1987-08-18,agre part direct publish seem awkward time downplay dollar dollar continu last day think gain much
178,1987-08-18,
307,1987-09-22,regard view economi condit district think see quit consist someth greenbook_forecast gener econom_condit district quit good improv consist time area hear reserv residenti_construct report tend mediocr loan_demand banker demand speak labor_market_tighten good_deal gener strike regard discern increas rate salari wage rise yet appar point peopl take strategi fill job fill slowli otherwis environ regard question interest_rate forth guess definit answer either start dollar seem sometim talk declin dollar equal start posit seem matter heck lot dollar fall exampl fiscal_polici posit budget deficit declin sustain time might predict real_interest_rate go declin sustain therefor dollar might declin environ fine think character current situat think situat fact adjust unlik come fiscal_polici therefor particularli light trade number lot market_particip seem feel adjust go come polici step countri think kind mike ted truman talk earlier go continu_improv trade requir higher real_rate damp residenti_construct nonresidenti_construct forth altern cours point situat prepar rate_rise fashion sort arrest improv trade stronger domest_demand stall improv trade balanc think kind box fiscal_polici outlook situat seem discourag quit time
370,1987-09-22,favor specifi includ million borrow target think mild prefer retain current asymmetri direct reason point realli cannot find concret sign acceler_inflat price wage data yet seem give opportun perhap littl_better inflat_side greenbook suggest lower_inflat next_year bit care think asymmetri direct help score think near_term outlook next six_week seem risk like term dollar weak disrupt bond_market produc higher term_rate associ sign tighten labor_market grow concern acceler_inflat road asymmetr_direct posit better materi like risk short_run
372,1987-09-22,doubt wage_price data time horizon
374,1987-09-22,right peopl attitud unfold
519,1987-11-03,respons district happen financi_market lot cours peopl preoccupi basebal season recent
521,1987-11-03,sure staff can prepar memo initi lot concern come financi commun seem diminish scatter report postpon purchas big ticket item seem expect reiter word scatter mean univers junctur contact pretti plug retail pictur local nation report compani open six store day collaps stock_price busi terrif
