,start_date,content
460,1987-09-22,good
461,1987-11-03,ye mr chairman leeway request current project suggest somewhat enlarg need outright purchas upcom intermeet_period normal season need currenc increas requir reserv enlarg current financi_market tension persist want leav sizabl margin need met repurchas agreement use flexibl substanti outright activ recommend billion temporari increas normal billion leeway although need much enlarg amount
564,1987-11-03,think point regard kind thing within flexibl state direct
1054,1987-12-15,footnot don comment turn number bank borrow weekend throw borrow number particular period
1286,1988-02-09,borrow million last_week previou reserv period million guess million weak
1814,1988-06-29,statement date today percent earlier today
1817,1988-06-29,today quarter end statement date fund trade earlier percent area littl higher earli repurchas agreement fund_rate came percent level last heard pretti
1819,1988-06-29,yesterday
1823,1988-06-29,past quarter end pressur expect certainli
1872,1988-06-29,think terribl hard governor johnson committe confer call look fund_rate_come percent thought put place million tend valid accept final week month gotten higher fund_rate quarter end pressur period end yesterday end borrow million modest bulg thought final day guess fund_rate averag percent week know statement
1874,1988-06-29,guess quarter end pressur fade fund_rate will toward someth look mid stay million percent shade feel comfort say million like around percent argu strongli percent shade
2972,1988-12-13,agre think discount_rate_increas immin expect employ number think kind expect seem much edg tabl mayb week_ago market
3036,1988-12-13,awar come year_end period season factor add someth
3740,1989-05-16,ye think rate area percent
3755,1989-05-16,think correct talk view expect overt activ polici_move_toward_eas emerg rate relationship earlier statement suggest seem impli look month slight eas exist market relationship
3757,1989-05-16,ye
3759,1989-05-16,right
3786,1989-05-16,earlier_year cut million mid consid eas technic adjust
4317,1989-08-22,think hard categor clearli treasuri step borrow final emerg compromis go come tack last minut billion cash manag bill rather explicitli tie need billion budget expenditur fiscal year rather promptli ad regular weekli bill might add anyway impress ad somewhat year issu sold week think plan though billion will spent impress aim spend come lower cash balanc billion mayb
4322,1989-08-22,tie dollar dollar
4324,1989-08-22,look treasuri financ standpoint alreadi come market billion
4326,1989-08-22,know
4329,1989-08-22,impress go aim billion instead billion someth
6111,1990-08-21,mayb respond offici estim anywher area assum soft economi skirt along edg recess privat estim actual recess definit weaken revenu budget packag thrift bail expenditur greater current fiscal year
6548,1990-10-02,problem middl week reserv period
6935,1990-12-18,agre can convey think someth move number peopl market_expect help abl convey intent
6937,1990-12-18,
6940,1990-12-18,think peopl look action necessarili immedi noth done go let think element disappoint market
6957,1990-12-18,think intens pressur reach peak end subsid increas rate last_coupl day anyway without sens stringenc near panic seem late want run cours think pressur want monitor mayb deal
6959,1990-12-18,term market look think critic thing will next employ_report believ come quit earli look weak eas will look quit disappoint normal expect year_end pressur unwind week turn year ad complic reserv requir reduct bank respond respond respons
6961,1990-12-18,particular sens
8600,1992-05-19,statement_appendix
