,start_date,content
2323,1988-09-20,appear upward_revis fix weight index occur servic categori area addit use inform cpi bring bear addit inform instanc use wage rate hospit worker help estim medic care cost inform get bank industri estim bank margin addit inform addit cpi
3096,1989-02-07,percent consum_price_inflat push overal growth_real dispos incom
3990,1989-07-05,data date retail_sale inventori data_suggest larg revis gnp much larger probabl danger firm statement time
4187,1989-07-05,expect cent gallon gasolin price period percent declin weaken gasolin margin place expect cpi price rise percent summer month ppi expect zero percent rise month late summer earli fall
6068,1990-08-21,thank statement_appendix
6072,1990-08-21,think go estim someth roughli order higher_price_inflat chang outlook path offset dollar obvious go provid littl boost domest price downward_revis mention estim potenti_output part downward adjust trend product impli bit pressur price previous thought
6074,1990-08-21,imprecis calcul import point rememb downward_revis potenti_output extend downward_revis potenti_output therefor cumul effect level potenti_output time quit larg essenti tri year receiv gnp revis tri feel around determin sort underli trend product best explain cours activ entir busi_cycl absenc particular reason assum pronounc break growth_rate potenti_output last_year essenti adjust entir path extend previou peak term level slack end appear revis percentag_point last_year real gnp figur revis much might impli somewhat greater slack cumul effect revis trend_year impli end slack much differ
6076,1990-08-21,sensit
6081,1990-08-21,fourth_quarter fix weight number princip reason fix weight deflat show larg effect cpi obvious consum energi produc weight energi sever percentag_point differ cpi gnp fix weight princip reason differ slight differ assum fourth_quarter low increas feder sector fix weight deflat fourth_quarter help pull thing
6083,1990-08-21,true differ weight energi share cpi energi share gnp biggest factor
6085,1990-08-21,thing mention mike point yet receiv benchmark revis employ hour data will receiv typic benchmark revis occur time revis compens per_hour figur come commerc depart alreadi incorpor revis result realli wish discuss figur greenbook think point pretti meaningless
