,start_date,content
3162,1989-02-07,mike given ted oil_price greenbook got earlier alway make point estim view symmetri risk_inflat_side particularli refer staff inflat project forecast compens halv given happen last half
3229,1989-02-07,let start thrift issu think point taken term effect rate short_run thrift figur look save loan industri whole show neg percent gap basi_point_increas rate roughli cost billion capit assum current circumst translat roughli done term give assist think differ short_term term sens obviat need step prevent inflat get hand time sure staff done work linear function cost thrift rate_rise largest thrift institut hedg hump sens feel protect go basi_point residu go basi_point hedg fall cliff get situat dramat increas decreas matter rate_think someth factor equat look thrift view real_economi probabl quit redund peopl littl differ greenbook_forecast come somewhat_higher_inflat_side come actual slightli central_tendenc area impact expect rate_growth will unemploy_rate honest probabl relat part experi region feel risk quit asymmetr england pronunci asymmetr guess doubli asymmetr sens inflat_think difficulti deal issu harder inflationari situat discuss tomorrow far region see soft rel england contradict think_reason see soft realli boom period_time look massachusett exampl massachusett half england per capita incom state percent nation_averag wherea percent adjust rel cost realli consist wage rise quit rapidli bob boykin talk louisiana remind work done look manufactur cross section data hourli earn versu unemploy_rate manufactur state highest england state louisiana state lowest consist say local price_level want assign real weight given small sampl show price rise percent overal rate greater boston area think interest southern england much poorli start poorli northern england experienc rel prosper later industri right southern england better nation construct industri happen come fairli late region busi_cycl quit soft real_estat_market lesson draw nation_economi problem region result grown strongli period_time pace sustain mayb influenc view approach polici nation
3231,1989-02-07,use last_year
3259,1989-02-07,mr chairman clarifi question might
3261,1989-02-07,essenti propos altern bluebook bluebook note altern recent rate_increas might fact slip might declin rate altern approach talk want absent sign weaken real_economi event intern market
3263,1989-02-07,can propos want declin rate short_term
3265,1989-02-07,ye fund_rate
3267,1989-02-07,okay
3271,1989-02-07,essenti correct
3273,1989-02-07,concern
3327,1989-02-07,think ed boehn period substanti uncertainti weigh symmetri risk fulli agre analysi alway easier loosen later tighten later staff_forecast seem good forecast go find place worrisom implic term_inflat exclud energi get beyond forecast_period unconstrain world tend favor approach somewher agre strongli import commun institut harmoni point time given number thing go comfort posit given suggest consult within matter coupl week declin effect market rate interim period sent signal go opposit direct might revers within coupl week
3329,1989-02-07,prefer comfort
3405,1989-03-28,mike question think know answer regard rate_increas implicit greenbook_forecast essenti straight line linear forecast throughout year
3407,1989-03-28,guess part question will later interest specul straight line increas potenti impact import
3409,1989-03-28,part question relat question governor johnson ask model fair lead risk get natur_rate somewher around quarter
3457,1989-03-28,consist bob parri respond sort lag england see lower hous_activ might expect consid variabl rate appreci declin substanti actual gone neg real_term peopl buy hous shelter buy longer figur invest point sort fall cliff sens strong neg reaction whole thing
3491,1989-03-28,mayb sit next bob england economi sort perform invers texa sure causal relationship contemporan measur region_economi strong unemploy_rate percent person_incom grow faster nation_level look littl beyond particularli use anecdot_inform talk peopl certainli sign number area problem manufactur employ declin absolut term substanti period_time mention comput industri nation basi reflect greater extent england largest employ digit equip corpor major declin stock_price last_week reflect problem earn consist see wage_pressur pretti strong unskil end labor_market skill end labor_market pressur seem abat somewhat happen past go beyond varieti thing think go lead rel slow england economi seriou tax problem six state account percent popul percent econom_activ district incipi problem bank sector delinqu risen actual ultim anecdot_inform last sunday paper page ad singl_famili hous unusu grant big ad end take lot space interestingli particularli hous area think drive rate much realiz peopl longer go buy hous year later turn around sell talk bob parri point peopl buy shelter maintain much go england realli reflect monetari_polici overal constraint nation_economi sort suppli constrain rel cost gotten district actual small district term weight nation term nation_economi differ much hardli greenbook_forecast slight differ unemploy path staff_forecast agre much tone comment mike_prell morn find project somewhat disconcert sens agre impli difficult situat know inflationari_pressur seem much question regardless right differ will use word reed wind possibl slowdown think broad sign certainli substanti increas person_incom know go reflect later realli convinc evid substanti slowdown rather depend forecast_greenbook_forecast will littl problem show take drought quarter fairli strong rate_growth discuss natur_rate_think difficult posit believ risk symmetr risk lead want conserv
3561,1989-03-28,person comfort someth closer think_probabl go tighten point prefer tighten sooner rather later comfort suggest asymmetr state point certainli want consist eas market rate sure exact number import point immedi period terribl concern continu_grow rather slowli sanguin thrift problem term deposit outflow go continu immedi period ahead base part look data fslic insur thrift compar fdic insur thrift
3593,1989-05-16,technic question mike rais talk inventori behavior greenbook_forecast fairli notic declin chang busi inventori time wonder look tradit relationship sale price expect sort thing reflect judgment part structur chang time inventori kind pattern part manufactur reason fundament declin chang busi inventori
3655,1989-05-16,recogn commerci banker
3666,1989-05-16,think england economi northeast slow markedli past think slow month larg reflect idiosyncrat kind factor mix differ evid slow reflect big system nation kind trend retail_sale soft realli across board particularli durabl area think larg interest_rate excess past hous soft substanti overhang particularli condominium market matter fact headlin last sunday boston globe greatli overdon inch black type busi page word bankruptci number develop other gone bankruptci say rate_increas bankruptci england district cost greater dalla level extrem low neg commerci space absorpt greater boston area time
3668,1989-05-16,neg absorpt commerci space consolid firm cutback space rent recent period period lead increas vacanc_rate suburban area
