,Date,content
52,1987-08-18, I don't have anything to add to Mr Cross' comments 
53,1987-08-18," In nominal terms, you have a slight weakness We are expecting, after all, that in the translation that you go through, we will end up later this month with a trade balance for the second quarter which is essentially the same, in nominal terms, as we had in the first quarter But you would still have some small improvement in the second quarter in real terms on top of improvements in both the first quarter and the fourth quarter [of last year] Basically, the effect of the sustained period of exchange rate depreciation that we have had, despite the slower growth abroad which you quite correctly point to, is now giving an added boost; in fact, it's striking something off   That is correct   In the third quarter, we think we're going to have this special effect with the oil--   Beyond that, we expect essentially the same forecast as this time--most of it accounted for by the exchange rate depreciation, taking account of the weak growth abroad   Governor Seger, we have not raised our oil price assumption for next year; in fact, it's the same one we had in February So, in some sense, you have to have some drawback in order for our forecast to be correct Obviously, there are some risks we were talking about the risk that the OPEC agreement that they made late last year would fall apart and that--   Well, that's one of the reasons why you're damned if you do, and damned if you don't; it's one of the reasons why    8/18/87  we had essentially stuck with an assumption that was close to what they were targeting six or eight months ago What will come out over this forecast period, not certainly that there was cheating among-- The real issue has to do with the behavior of the key producers in the Gulf region--[whether] Saudi Arabia, just as it is now producing more oil, will cut back sufficiently to sustain the price at something like $18 a barrel One of the factors which is [unintelligible] production over this period more than is necessary to take off being driven by the stockpiling   In the short run, I think it's going to be the other way "
108,1987-09-22," I don't think that should govern [unintelligible] If you look at outside forecasts that go into detail on real exports you will [not] find that much difference between [unintelligible] and exports over the forecast horizon from ours Generally, they do show very substantial declines over the period DRI, for example, has something very close, almost shockingly close, to what we have    9/22/87 -6-   Well, the truth of the matter is, President Boehne, that there are some examples where this has been successful A lot of them come from the early 1980s and, of course, during that period where you had essentially [slow growth of] GNP without going through a recession--that is essentially the question you are asking-- in a relatively short period of time There are several examples in    9/22/87  the early 1980s and, of course, those were [unintelligible] The other side of the equation, which you mentioned, is faster growth in the rest of the world, which was then the United States And there are some other examples We did look at this record about 18 months ago and that is basically what it showed   Germany and Japan [unintelligible] We tend to forget that they had deficits in the late 1970s and at the beginning of the 1980s They moved from small deficits to very large surpluses One feature of the forecast is that, while we don't have a recession in a GNP sense built in, we do have relatively slow growth in domestic demand In fact, we have a quite dramatic slowing of domestic demand built into this forecast In some sense, as Peter was saying earlier in answer to your question, that's part of the process--the process that makes room for this external adjustment in an environment in which growth of production as a whole is kept relatively high but domestic demand growth is low   It depends a bit, I think, on what else is going on at the same time Much of the impetus to net exports from the dollar, at least as far as this forecast horizon goes, is what is already in train Less than half of the increase next year in net exports is directly traceable to a further projected dollar decline But, presumably, if you didn't have the dollar decline, then you wouldn't have the same kind of pressures on interest rates So you would have less pressures in the interest-sensitive sectors of the economy So you have some compensation in terms of the economy's operation as a whole which, in turn, would tend to feed back again on the net exports, so you would have less improvement in net exports too But, there is a certain sense of [unintelligible] that is basically the way we think about this   Under that scenario, maybe instead of a $50 billion change in net exports you would have something like $20-$25 billion So you would have less than 1 percent of GNP in this forecast, and that's well within the error Mike put it that way in the overall forecast   If I remember, it was just about 100; maybe I'm off by a few points The non-oil price deflator was running about 1003 in the second quarter   Well, you would get some impact, I guess, from that   I don't know about extraordinary; maybe some of the comments earlier suggested that One problem is that, to the extent you get this going on, you're producing things which, of course, you're shipping abroad; and you don't see it showing up in consumption and things like that And that is part of the adjustment that President Boehne was talking about You are not going through a recession actually, but you are going through a much slower growth in [economic] welfare, as measured in current consumption "
109,1987-09-22, Their long-term rates essentially rose during that period   Their long-term real interest rates rose during that period 
229,1987-12-15," With respect to the Canadians, part of what you said is certainly correct they had a longer time period They didn't adjust [each year]; they didn't always go from fourth quarter to fourth quarter   That is correct They abandoned the target partly for exchange rate reasons, because it was so sensitive, but there also was the conflict between the relationship of the monetary aggregates to the economy relative to what they were [unintelligible] the exchange rates The main reason they abandoned it was because the relationship between the aggregates and nominal GNP broke down for financial deregulation reasons And, in fact--   Well, for a long period of time They abandoned it in 1982, five years ago I don't know if they can go back, particularly to something like an M2 target, because they have this financial deregulation in mind to play with It is true that they had a somewhat longer horizon, though I don't think you described it exactly the way--   They had different base points And sometimes they extended the targets longer into a year, until they changed the base, and then they went back and picked up a new base I think it would be rather difficult for us to do that, given the structure of Humphrey-Hawkins; I suppose it might be more difficult to do it for Humphrey-Hawkins Also, the base period could be varied--like taking the base in the second quarter and projecting up to the end of 1988 That would put you partly in the Canadian-Japanese [unintelligible]   We have taken a look at this question recently in trying to get a better handle on domestic production costs and how they have been moving in some of these countries over the last several years The work that we've done suggests that there probably has been more saving on domestic production costs than aggregate measures of prices in some of these countries would suggest That, in turn, would suggest that there has been less of a [decline in] profit margins than a 50 percent decline in the dollar would lead one to think initially, though all things working together do produce the results that you'd like, President Boehne As a consequence, we have had less price increase and less decrease in quantity on the import side, though most of the aggregate equations have price elasticities that are close to 1 So, in terms of the trade balance and what you have to finance, it washes out You get less price and, therefore, you get less quantity adjustment Anyhow, the mix is a little different As far as our forecast is concerned, partly based upon these considerations and perhaps some reluctance to project these trends in the future, as well as some factors like the rise in commodity prices, which have increased more over the last eighteen months than over the previous eighteen months, we have projected a much more rapid rise in import prices in the forecast period than we've had to date   My sense is that the forecasts, essentially, [unintelligible] If anything, the prognostications are for an increasing rate of decline Last year you might have seen something projected in the 3 to 5 percent range; now you frequently are seeing it built into the international component of a blue chip business They are talking about an expected 10 percent decline through the end of 1988, or whatever point they set, whereas a year ago they were saying in the 5 percent range Forecasters were wrong about the turning point If anything, in that part of the market they are projecting a more rapid decline than they had been before by maybe--   The rate of decline against the G-10 countries is something on the order of 1 or 2 percent over the next year If you look at just the yen market, it's on the order of three or four percent So that's not anything like this Essentially, that's where we have been for the last 2-1/2 years   A little less than 10 percent against the yen   Including the question of [unintelligible], the closest thing to getting legislation without legislation [Unintelligible] that Taiwan in particular enjoys, [unintelligible] all the events you have cited [unintelligible] legislation   [Unintelligible] Mr Volcker's speech   President Black, President Hoskins' question is that if the intervention has no effect, then the switching from dollars to DM also has no effect, other than the effect on psychology Essentially, if it doesn't work, it doesn't work "
230,1987-12-15," Well, Governor Seger, as Mike said, most of the disappointment was on the nonagricultural export side The press was disappointed by the imports, and if there was a surprise it was in the oil That seems to build up imports of products, which seem to fall into the inventories, and I could tell a better story [unintelligible] statistical effect in the first half of 1988 The surprise was on the side of the nonagricultural exports and if that's a true indication of the trend, then obviously they are much weaker than the outlook that we have [unintelligible] I don't think there's anything in the anecdotal evidence that suggests that month is anything other than a fluke; but if the next two months of the quarter begin to look like October, then I would be worried about the outlook   Well, we think we will have something close to $40 billion or a bit less in nonagricultural exports, in 1982 dollars, over the four quarters of 1987; and we have a little more in [our forecast for] next year In percentage terms it is slightly less, but with a higher base it's essentially the same pattern of growth as over the four quarters of 1987 Now, there are people who have forecasts that are much more optimistic than ours We have tried to be a bit conservative That's not to say that we can't have a boom in exports, but not an explosive pattern And the forecast, while it probably is off by several billion dollars one way or the other, is a reasonable projection, I think I am much more comfortable about making the forecast for the four quarters of 1988 than I was a year ago when I was making a similar forecast for the four quarters of 1987   Essentially, we have had nonagricultural exports right on--plus or minus a few billion dollars--since the beginning of the year   There was some slight offset in GNP terms but where we have been wrong has been on the nominal import side because we haven't had the price, we haven't had the quantity trade balances [unintelligible] We've had more imports; therefore, the statistical GNP has been not quite what we thought it would  -51-    12/15-16/87   We went back maybe about $4 or $5 billion Now again, part of that is in oil [Unintelligible] because consumption picked up on that side; and on the export side, if you don't take the [unintelligible] out of production, the exports going into inventories might drop by a billion dollars, in 1982 dollars, in the fourth quarter; so we have [net exports] going down from $185 billion to $13 to $14-1/2 billion GNP [basis]--   Mr Chairman, the one thing I want to say about this is that it's got 1 percent more growth abroad than any foreign official is prepared to target   And, if you put their growth not at 3-1/2 percent, but at 1-1/2 to 2 percent--which has been the experience so far--then I think you get a very different set of scenarios "
293,1988-02-09," Yes, [unintelligible]   Well, I think it's puzzling If you ask the Germans why they're high, they say that German savers won't accept interest rates that are lower than 6 percent because they assume that the long-term inflation rate will be much higher than it is currently No matter how you talk your way around that, that's the answer you get back And it is true that even during the last year, or a couple of years, when [market] interest rates have come down, [rates] have stayed above 6 percent In fact, this series that we used here slightly understates the movements in rates, because it's an average of all longer-term or under ten-year public authority issues And some of it is much less than ten years in maturity So we have some sluggishness in that series For example, for the ten-year bonds they have outstanding, the rate is above 6 percent, about 6-1/4 percent It has come down a bit more than that series itself showed recently, but it is still very high And other than the savings story, some people would point to some critical imperfections and cartelization of the financial markets in Germany; but it's not much of an explanation   Well, it's a little less than 10 percent, depending where you start out from    2/9-10/88   Yes, but a lot of that you had by the time of the December 22 Greenbook So the change from the average in January is under 10 percent That is, in fact, one of the reasons why we presented the last chart here with this middle panel on it So you'd not think somehow the dollar is really the problem, the way we set it up was to say, this is what the impact would be--you wouldn't see very much difference for 1988 But at a minimum, as I said in my comments, if the dollar is not going to go down, you're not going to get much difference [as may be seen] from that chart And [if] everybody seems happy with the current account deficit, as we have it, then they're probably going to have less than we thought Then looking forward to 1989, you might want to have an easier monetary policy--that's what that chart was designed to deal with--where the stronger dollar is brought about not by any difference in the policy assumption but by what the staff sometimes calls a levitation It's a risky business forecasting exchange rates, and we have to make some sort of assumption I find it more useful to make an assumption that eventually more price adjustment will have to take place But there's no reason why it is essential, within the time frame of the forecast, for a lot of adjustment to be in the pipeline If the world could stand still why [unintelligible] places we are? That's one of the reasons why we have, on the one hand ""more moderate"" as we have sometimes said in the past, [unintelligible] On the other hand, we presented this alternative scenario for the four quarters   Well, that forecast is only slightly different from the one for this year And the ""export boom"" itself is only, essentially, the same as we had in 1987   Apart from Japan, it doesn't seem to have helped   To give you an example, I think one number we came up with was something like $2 billion plus If we spread that out over the four quarters, lets say, of 1988, it's well within the noise factor on the monthly trade numbers So it may be there; in some sense, it is built into the forecast because we have a lower level of imports in general--that's part of the cost of production But, in the first half of the year, based on what we know now, it's not going to show up decisively in the import numbers And, therefore, we are not going to set off a mini-cycle in the rest of the world   Well, I wouldn't want to suggest that the difference between 2 percent growth and zero wouldn't have an effect on our forecast It would be something on the order of [unintelligible] If you had 1 percent lower growth throughout this period in G-10 countries, we would say it could produce something like $13 billion, at an annual rate, lower growth of exports in the fourth quarter of 1989 That would be next year against this year That would have a considerable impact on the forecast That's relatively small, but it would be noticeable in terms of our output, especially to the extent that in some sense you have so much external stimulus-- one thing that the forecast itself doesn't completely recognize In a sense we have export-led growth here, and some of the income out of that is being driven by that growth, and so you have multiplier effects   Yes The problem, as with many of these series, was that the series got to be so bad and unrelated to anything that you thought they were predicting There was a big powwow--in the early '80s, I think--to figure out what to do with them The advice of the staff at the time was either improve them or throw them out  SPEAKER(?) They did the latter?   [Yes]   It was one of those series that just did not have enough--  -22-    2/9-10/88 "
345,1988-03-29," The question is whether institutions themselves would be supporting the dollar in this period, since it also affects the institutions--not just the ones that are accepting the 15% rule but the ones that are on a mark-to-market basis [unintelligible] particular interest    3/29/88   It may affect the general institutions a lot more across the board   This is an impressive movement with a [unintelligible] for the large banks  SPEAKER(?) Right   In fact, they have been progressively tightening over the last several months and this [unintelligible] they've obviously done their [unintelligible] this is one more out of about 3 or 4 now this seems to have been [unintelligible]   Yes, the research has been done--much of it here--and some of it was in the report on intervention that was done multilaterally The actual report on intervention was done by [the G- 7 central banks and finance ministers] and suggested that sterilized intervention may be effective in the short run but was not likely to have lasting effects We do end up somewhat tied into a semantic problem, in that it's a little hard to say there was $100 billion or $150 billion of intervention last year and it had no effect whatsoever I think that the thrust of the research might say that it had some effect, but it's on the whole--small [unintelligible] "
346,1988-03-29," [Statement--see Appendix]   In the forecast, where we have a decline in the dollar at an annual rate of a little less than 10 percent occurring smoothly over the forecast period, that's not a big factor, vis-a-vis an absolutely stable dollar, because half of it comes after the first part of 1989 Remember now, inflation is a little higher than it was earlier With a situation in which you have something like a 10 percent decline in the first quarter of 1988, the rule of thumb-- taking into account feedback effects, such as a damping in demand abroad and increased demand here--would say that that would add 2 to 3 percent to the level of goods output in the fourth quarter of next year Goods output is now running $16 trillion in 1982 dollars It's a nontrivial amount, but most of it is in 1989 But that's the aggregate amount; it's certainly true that you could well get severe pressures in particular industries   Roughly, yes   It would be investment   Yes Right "
428,1988-06-29," I think you're right The first part of the period and before the last meeting they were moving the other way,   And they moved back over the short and long ends in the last couple of weeks   To some [extent] that's a reaction of the market--the other side of what's going on in the exchange market It's difficult to disentangle the movement that's essentially the [unintelligible] from the exchange rate expectations   We're just distinguishing between the period up to the Summit, if you want to put it that way--during which there was a gradual movement--and what came after that, whether kicked off by the Summit communique or other factors or sort of a general sense of reassessing these factors and what they implied for longer-term trends But we've had the phenomenon of short covering, and that in itself could--   We have these informal limits of 12--    6/29-30/88   $12 billion, but because the evidence--   They could work--   There are also [unintelligible], of course, the Committee's Procedural Instructions, which limit the amount of operations within daily and--   It works on both sides   Actually, Governor Angell, I think implicitly in his report Sam said that, because there was a growing sense of exchange rate stability during the first part of the period [Funds] were, therefore, then moved into the higher interest rate currencies This is consistent with your proposition--if there was exchange rate stability it [unintelligible] shift from pressure on one or more rates You would expect to see some adjustment in interest rates and that's simply what Sam is saying in response to President Parry's question and yours The question is how firmly held those expectations are and how long they're going to be sustained "
