,Date,Speaker,content
20,1976-03-29,WINN,"  Mr Chairman, on that score how much do we really know about the impact  of small changes in rates on economic activity and how much of this [unintelligible]?  "
47,1976-04-20,WINN,"  I sense, however, Lyle, a change taking place very quickly in business  attitudes along this line  For example, in steel, they cleaned out inventory from one end of the  system to the other  They are now actually talking allocations by the third quarter in a few lines  and real allocations by the fourth quarter  They are expecting that the first quarter earnings are  not going to be too much of an improvement over the first quarter of last year, but they are  expecting to put super earnings together back to back in the second and third quarter  That’s  going to be the basis for the real plant expansion that has to come if we are going to see growth  over a period of time, and they are really talking about fantastic kinds of numbers   Now, if you get to this allocation problem, the thing that is going to be reflected, of course,  is price changes  And that’s the sort of thing that is bothersome  In the rubber industry, for  example, they are talking about 8 percent tire price increases without the cost-of-living aspect of  [their labor negotiations] that they are fighting very desperately  But [industrial customers] don’t  look for any shortage of tires from manufacturers because they all have private companies that  are outside the big four that will take over if [the unionized workers] strike, so the strike doesn’t  really pose a real problem for them in that sense of the term  The paper industry is talking about  allocation by the fourth quarter of this year    So you really get a dramatic kind of a change in attitude  But figuring what this is going to  do to price--I suspect you are going to get a swing back because everybody will scramble for  inventory with this kind of a shift that’s taking place     The other side of this thing is the feeling that we may be starting to have more trouble in  the [unintelligible] reactions--their feeling is that the comeback is all political, and they are  [now] very quiet  But they feel that they have been “had” in the last economic downturn, and  they are going to be quite aggressive to catch up, and so you see it in the cost of living effort [in  contract negotiations]  But I think in the labor set-up you are going to see an even more dramatic  kind of solution to get economic recovery  If [the unions] become convinced that things are  really good, I think you are going to see a far more aggressive attitude than we have seen in the  last several years    I don’t know what the set-up is  You know, the companies have their own  private companies  You’ve got Kelly and Springfield and all of those  And the automobile  companies have stockpiled some tires in anticipation of a strike, and they feel that these other  manufacturers can pick up the slack, so they don’t feel as exposed as you might think    [Vehicle manufacturers] have put all of their new investment into the  independents  They haven’t put it into their own companies, so you’ve had Kelly and some of  these with big plant expansions  This has been their effort to deal with some of these problems   You’ve got more flexibility there than you think     4/20/76 - 10 -            I think that is correct    Dave’s comment on the country banks showing a little more strength than the  city banks reminded me that I was surprised to discover what rapid strides the credit unions had  made as a source of consumer credit and the relative proportion of increase that has taken place  in their status as a supplier in this area  It’s the most striking change of all the groups    I concur in your recommendations, Mr Chairman  And I am thankful, at  least psychologically as well as economically, that you are required to do this every three months  because I think the scenario that we’ve outlined here on 4(a) and (b) is not likely to be very real  in the light of the changes in the underlying assumptions  I think we may have more problems  down the road to meet this in terms of rates than we realize at the present time  Psychologically I  think it’s bright news as well [unintelligible]     I got a deafening silence  With that I’ll retreat    I think this would be my thinking too    As a random member, nostalgia doesn’t enter my mind in this regard, but--    --but I have in recent years been involved with people who have this  obsession for sunshine phenomena of various sorts  And I would think that in this discussion, we  seem to be intermingling certain factors that I don’t really feel follow each other  If we are doing  this with the hope of convincing those people who are forcing us in this direction that we are  really complying with their wishes, I don’t think that those individuals will ever be convinced  unless we invite them to sit around this table and to be with us 24 hours a day  I don’t think we  would achieve the public relations or the convincing part with these individuals by doing this     It seems to me also that while the Government in the Sunshine bill is in the works, we  don’t know how that legislation will come out  We think that it may pass in its present state  We  also are not sure, if I understood Tom correctly, that it would apply to this group  That isn’t a  certain fact as yet  We still have the litigation pending  We still are not certain what the ultimate  decision of the court or courts, if we appeal it, will be     Unless we’re doing this for the sake of reducing the expenditure of time and the burden on  our staff for the immediate foreseeable future, or unless this has a bearing on the litigation that is  presently pending, I think that we’re being somewhat premature  I think we might be causing  waves, creating with the best of intentions a reaction that is just the opposite from what we  would hope for in the minds of the people that are driving toward this total disclosure     And I think that unless there is an operational [reason], or cost, or politically good reason  to move now, I would think that it would be wiser to wait and see what comes out of the     4/20/76 - 68 -           Congress, what comes out of the courts, and not do something that we may have to undo because  it’s misinterpreted by the very people that we’re trying to pacify by this action    Mr Chairman, would that leave leeway to reverse that if, after further  deliberation, it was decided to be not in our interest?  "
74,1976-05-18,WINN,"  Supposing we’d had a phone meeting last Friday, then would that be  included this Friday in your release?      Two observations, Mr Chairman  First, if you look at the oil import figures  and look at what’s happening in the Middle East, plus informed guesses, and they are only  guesses, of the 10 percent increase in oil prices with the summer coming on, you [become]     5/18/76 - 28 -         troubled in the price area on that score  Second, with respect to automobiles and their  importance in the recovery, we get reports of all kinds of 60-month credit terms being given   Sixty-month credit terms  Now, that’s showing up always [in terms of] the other fellow [giving  60 months], of course, but the frequency with which we run into this disturbs me--that it will  alter your cyclical behavior in terms of replacements here down the road     That’s right  That’s the problem    But they all talk about the other fellow giving 60 months, and the frequency  with which we run into this--they who [claim that it is happening], of course, never [give 60  months], it’s the other fellow--but the frequency with which we run into it makes me realize that  this has happened     Well, they say it’s always the finance companies  But I’m suspicious even in  terms of some of our banks of [unintelligible] competitive relationships       Just one more comment  As you look at the capacity expansion efforts, you  want to keep in mind the energy bottlenecks, with gas and some of these other things not being  as expandable as [other] plants in certain of these areas      Mr Chairman, Bruce really made my speech and so I won’t really elaborate  on that except to indicate that I think we really need to think of the longer scenario in terms of  what we do today rather than in just the short run  If we take the lower M1 and M2 targets as     5/18/76 - 46 -         suggested, it seems to me we are in trouble already with what we have built into May in this  period  We would have to be at the top of the range already to achieve our objectives, so it  seems to me that [we] are inconsistent in the way we’re trying to formulate them     I would prefer the 5 to 6 range, thinking that the market’s absorption of the 50 [basis] point  increases has been really quite outstanding  I would hate to see us get above the 5-3/4, but I’d  rather be on record as being in favor of 5 to 6 to face the issues should they develop in this  direction  And I think we have got to give a little wider spread to M1 and M2 than I’d like  purely because of what we’ve built in already in the May figures  And certainly in terms of  estimates, we are already at the top of the range  So I think you would have to have a 5 to 9 M1  range to give any kind of maneuverability    May I ask a question on that  What would that mean to the Desk in view of  what we know about the aggregates already?    "
100,1976-06-22,WINN,"  Two things, Mr Chairman  One, there is perhaps more seasonality in retail  inventories than we recognize, and to the extent that they get caught with spring merchandise,  particularly in the nondurable things, they can’t always have price sales to get rid of it in  summertime  So it takes a little time to work some of these things off, and price cutting just  doesn’t always do it     Second is a remark on commodities  I think the tremendous pickup in the volume of  commodity transactions, particularly in copper, lead, and zinc, would lead you to believe that  maybe there’s more than just consumption in that area, but perhaps we have a new international  payments mechanism hedging against gold, which is no longer so attractive to many people, and  also foreign exchange, with its greater fluctuations  And more people are turning to copper, lead,  and zinc as a way of protecting themselves in terms of international transactions, as well as  inflation and other things  I think the tremendous pickup in volume in that area is rather  significant    I have no quarrel with the sense of the discussion, Mr Chairman, and if we  are right, then the behavior is going to be pretty much on target anyway  But I think if we are  wrong, we ought to consider whether we ought to go to a money market target at this stage  because of the difficulty of extricating ourselves if we are wrong on either side  I would be a lot     6/22/76 - 37 -           happier to stay with an aggregate target than I would a money market target, even though I have  no desire to do anything but keep a low visibility and hope things will stay about the same   "
129,1976-07-19,WINN,"  Mr Chairman, I’m afraid I’m suffering from data indigestion  The new  orders data, to what extent is that influenced by primary metals?  What’s the weight of primary  metals in there, and to what extent is their price behavior distorting the figures?    What, about 10 percent?    Not about 20, not 18 percent or more?    Our second problem, Mr Chairman, is what’s our productivity assumptions  in the model?  Three percent, is that what you’ve got in there, or--    Now, is that built into the projection?  It’s not in the model, as I understand  it?    As I understand the models, they show rather weird productivity assumptions  for the period ahead    The third data problem I have is with our weekly reporting banks  I wonder  how characteristic that is in terms of the total bank data  The Federal Trade Commission data  would show an upturn in loans, you know, and the total bank data show  a downturn  You start  to examine the weekly reporting in the total and you get some really weird data behavior    I apologize for indigestion on some of these things  One comment, and  Governor Jackson probably is in a better position to comment than I am, but when you look at  the vacancy rate and some increase in rents, I think you can take some encouragement on the  multiple housing prospects, at least for next year  There is an interesting institutional barrier to  that, which is the fact that the savings banks and the insurance companies are very reluctant to go  back into this market, even though there are some other attractive deals    Commercial banks go if the others go in on the construction; there’s money  there    Yeah, I think this is true of savings banks and insurance companies, and yet  the economics are starting to look much more favorable    Yeah, they’ve been burned    The other interesting thing is that while the single-family homes are starting  to price themselves out of the market, the manufactured home, which is the successor to the  trailer and the mobile home, really looks like it might have a bigger potential with the $20  thousand to $30 thousand developments showing up here in this area  And so I think there are  some plus factors showing up here to alter our outlook in some of these areas    It’s the mobile home adaptation    And they got away from the box idea  They’ve got artificial basements to  put in    Yeah, yeah, it’s unbelievable, some of the things they do  And they’re  getting away from the trailer park idea, and they’re putting them on larger lots  And this is  altering--     7/19-20/76 - 36 -    It’s boxed in at the bottom so it looks like there is a basement, and it doesn’t  look like it’s on a block, like those today    Mr Chairman, when are you testifying on this?    I was thinking that, while we adjust to the second quarter, the market is going  to adjust to the latest reporting data that we give out on the aggregates    How do you show no change in policy under those circumstances, because  we are kind of hung either way we move  It’s kind of a lose-lose situation  If you really go back  to the second quarter, it would indicate that we ought to move a little bit  On the other hand, I  expect it would be easier to explain that we kept the percentages right where we had them  This  week’s data plus the June data are the things they’re going to look at     7/19-20/76 - 57 -    I’d stay with it  I think what Chuck Partee--    I think that, since our posture this morning was to indicate no change, I’d  hope that our short-range objectives could be in the same sort of a pattern  Therefore I’ve been  associating myself with B, pretty well as given, and [with] the aggregate approach rather than the  money market approach at this time  "
152,1976-08-17,WINN,"  Mr Chairman, the thing that bothers me is when you look at all of the  projections in economic activity, you come out with about the same picture [from each one], and  the unanimity of opinion frightens me  And I can’t say that I disagree with what’s said  But just  as a sort of probing effort, take some of the factors that we’re looking to for support [of  economic activity]  Take consumer demand and you’re struck by the average weekly earnings  flattening out, and you don’t see much kick-out of [unintelligible] settlements in areas of that  type     Take automobile out of retail sales and you get [what is] not the most exciting kind of a  picture  Automobile sales are stimulated by this extension of maturities of consumer credit, and  I don’t see how you can really project that continuing or expanding  When you look at the prices  of services, utilities, taxes, insurance, that area, you really don’t see much opportunity for the  commodity side, the goods side, to come back because it is really a quite sharp increase that has  taken place there       8/17/76 - 5 -     When you look at what the decline in the oil tariff did and the dependence we have on the  one supplier for oil, you get frightened as to what this means in terms of consumption over a  period of time  And you can’t really see too much stimulus coming in from deficits or other  items, and so are we really going to get this upswing in consumer demand that we’re sort of  looking for?     State and local purchases of goods and services have gone up from 7 percent to 14 percent  of GNP over the last year, roughly  And I can’t see much stimulus coming in this area, with the  New York City situation sort of typifying problems in that area  The solution of their medical  problem struck me as being a Band-Aid because [the hospital workers] gave up their cost of  living increase in exchange for what they think is not going [to be] any more layoffs  And I  don’t see how they can have layoffs that can come within that scope  You’ve got the New York  state court decision in October possibly affecting them  It looks like they are playing for time,  for the election, to get another solution for their problem, and so I can’t really see any big  increase in expenditures in the state and local area     In investment demand, you’re struck by the tremendous increase in construction costs   And I don’t know whether we have elasticity of demand in this area or not  But look what  happened in the postal service; they increased prices, but revenue hasn’t really gone up as they  projected     And I wonder if more and more companies aren’t looking at this in a more critical sense   On the capacity side, the steel companies are not really having a boom period, except for  automobile steel, and more and more of them are talking about pushing back their expansion  program  The utility companies had a cool summer, and so they’ve more than handled any  demand coming out of the industrial sector, and their projections now look like they are being  pushed back  Raw materials costs are going up, with some squeeze on working capital in spite  of the huge [amount of] liquidity that corporations have acquired  And with the shift in the  composition of output, with steel going down next year--[even though] the automobile industry  booms--you surely don’t have as much need for steel     And so I’m really wondering if we can expect the support from the investment side that  we’ve factored in  I’m really searching for what’s going to be the push here for carrying us on,  even though I agree with [the assessment that] I’m questioning    No, I’m trying to go to the extreme, Chuck, probing at the forecast    If you take autos out of that, what does it look like?    Related to the automobile industry    That’s right    I just hate to speak again, but this is a technical question, Mr Chairman  To  what extent are our M measures affected by the balances in branches of US banks abroad?   When we measure income velocity in other [unintelligible], we’re not measuring it only against  domestic?     8/17/76 - 18 -      Thank you  "
172,1976-09-21,WINN,"  In the housing area, Mr Chairman, I think we would make a mistake not  factoring in the home remodeling and renovation expenditures  In ’73, I understand, single  homes were running around $47 billion and home remodeling was about 18  Apparently they’re  estimating on a single home now 43 or something like that and estimating remodeling would be  30 some odd, which is a very big factor  And I understand that the changes in FHA requirements  on the [unintelligible]  I understand that this reduces the interest cost about 2 percentage points,  and that makes a difference in terms of multifamily dwellings because interest is such a large  cost in their construction, and some people [unintelligible] get 7 to 7-1/2 percent money    Yes, this is going to make a difference to multifamily construction  The  second comment I would make would be [that the] machine tool business has shown the same  lag [unintelligible] in construction as the energy area  This has been very weak  They’re  projecting a 10 percent price increase, with only about a 6 percent increase in cost, which makes  their margins a lot better  Business had dropped off for about two months prior to the trade show  in Chicago last week, and they were expecting that to be a big turn, and it happens to be in that  area    When you look back over history you can almost prove anything you want,  but [what] you’re struck [by] in the last five years, except for ’72, is the first half’s behavior  versus the second  But bear in mind, most of these dates--you go back and look at the estimates,  and we start out the month, estimates are high, and we tail off each time  Is there a feeling that  that’s going to change?    You know, if we go back to the middle of the previous month and look at our  estimates of what’s going to happen in the next month     9/21/76 - 21 -      Well, of M1    In the second half?    Mr Chairman, if I were the publisher of Penthouse magazine or any other  mischievous person, and I know that a gadget was used by the System, and then I learned from  an unhappy Telerate salesman or a dealer that it was withdrawn as a means of furthering the  alleged secrecy of what we’re doing--I think we’re sticking our neck out a mile, if after  something is in place, we pull back on it  I may see it totally wrong, but I think--    Well, that’s correct  I think this is one of those little cute situations that  could be magnified to make us look sort of bad by someone who wants to make us look bad  "
198,1976-10-19,WINN,"  Mr Chairman, I hate to be the voice of contrary opinion around here, but our  actions remind me of weather forecasters taking barometric readings in August and September  and predicting November weather  We did a very brief and unscientific phone survey of retail  sales yesterday, and I was amazed to discover about a 20 percent increase for the first weeks in  October  It was a surprise to the merchants as well as to everybody else  This is [relative to]  September figures, and this is [relative to] a year ago, and October a year ago was quite good   There has been a lot of sales effort, but there are also some changes in merchandising factors  underneath  For example, they are able to offer merchandise at $25 with a full markup that three  months ago they were trying to sell at $39  That kind of change is very significant, and men’s  and women’s clothing has been very slow [but] has moved very well in October  I’m not  predicting any boom in any sense the term, but I am concerned with the [data] lag problem that  we face here    These are up to yesterday’s sales in October, the first two weeks of October    The sample may be different     10/19/76 - 17 -    My second [question], Mr Chairman, has to do with the automobile market,  which has been basic here in terms of what’s happening to us consumerwise  I’m personally still  disturbed by the lengthening in the credit terms [that] are being evidenced as more widespread  and the interest rates that are being charged in this area    They’ve never come down very greatly, their interest rates on automobile  paper    Well--    You’re probably right, it’s going to be a hard thing to sell the consumers  when they realize what’s happening, but I think that’s something else again  But I think there’s  something also taking place, and that is that, with concern about fuel consumption and changing  the size of cars, my guess is that instead of the second- and third-car kind of a family approach,  you are going to see much more use of the leasing device as a way of providing transportation,  with people leasing a large station wagon to take their vacation or their children to school, and  not providing the second and third  So the lengthening terms and the basic underlying change  may lead to a change in the automobile market down the road that hasn’t in fact [unintelligible]  replacements    Come down, and this sort of thing providing the same transportation almost    That’s short-term leasing, that is correct  That’s right    I think I can live with the range that we specified here among the group  I  think my preference would be for the 4-1/4 to 5-1/4 short-term range [for the federal funds rate]   I am more nervous about your long-term suggestion, however, Mr Chairman    "
213,1976-11-08,WINN,"  My concern, Mr Chairman, is not so much with the philosophy you have  expressed, but you did not mention the problem of our floating base  And this is the problem  that concerns me  That we really get a double reduction as the result of the third-quarter level  versus our targets  And in view of the sophisticated nature of our criticism, I have a feeling that  if we could take as our base our targeted objective for the third quarter rather than our achieved  objective, then a reduction in the range from 7 to 6-1/2 percent would be appropriate     But it seems to me that with our third-quarter base down, we’re getting a double impact,  which strikes me as a problem from which criticism could be more extreme than I would like to  see at this time  Therefore, if the base could be the third-quarter objective rather than the  achievement, 4-1/2 to 6-1/2 I think would be quite appropriate  In view of our base problem, it  seems to me that we are indicating a reduction by sticking to the same range that we have for the  previous quarter    I think I ought to associate myself with that position, Mr Chairman, with Mr  Wallich’s    Mr Chairman, can we address ourselves to some of these other issues, if we  can reasonably in the near term, such as the base problems and some of these other issues that  we’ve mentioned?    I agree on that  "
238,1976-11-16,WINN,"  Obviously, this does not include Branch board minutes?    I’d just like to pick up Steve Gardner’s point, which I certainly share  I think  this uncertainty is going to disappear in a way that will be constructive before the trees come into  blossom in Washington in the spring  And again, we have our old cliché, perhaps maybe we are  worried too much about it at this point--we have nothing to fear but fear itself  And, indeed,  when we discover a little more about the philosophy of a new government, we will find that  business confidence will have a resurgence that will make our present projections look very  conservative    I found the Greenbook this time terribly depressing reading  It seems to me  that we have to show some concern in that area, whether you accept it or not  I would be  interested to know whether we have run the projections on the basis of the high end and the low  end of the aggregates to see what difference it made in the outcome, in contrast with the median  figure we used for our monetary estimate, because I feel flying blind is [not] knowing what the  implications would be    Mr Chairman, [unintelligible] I think my feeling would be to associate  myself with alternative A modified to the funds rate of 4-1/4 to 5-1/4 as an indication of concern  over the current outlook  The second is, by changing the rate, hopefully we’ll change some of  what I consider some of the sticky market rates and get the effect both in the short-term area and  in the long-term area, which I think would be conducive at this time     I think my preference would be to take advantage of an easing situation to move the  reserve requirements because I think we’re going to be faced more and more with [Federal  Reserve System] membership problems as [banks] look at their earnings  On the other hand, a  change in the discount rate would have a psychological [unintelligible]  Rather than  complicating the Desk management problems in a series of changes, I would be in favor of the  4-1/4 to 5-1/4 [for the federal funds rate] and a move down [in] the discount rate  "
