,start_date,content
12483,1994-08-16,issu import assess current econom situat much momentum expans much slack economi close potenti_output respect issu momentum find larg agreement staff analysi present greenbook real_growth_slow think remain enough momentum keep aggreg_demand grow rate somewhat excess growth_rate potenti_output enough push economi potenti absenc monetari restraint estim degre momentum demand increas last_month import think declin valu_dollar upward_revis estim concern strength foreign economi will reduc drag demand stem net_export line staff_forecast expect declin dollar feed mild upward_pressur import_price economi close potenti higher import_price creat bit scope american produc import substitut rais_price want overemphas impact dollar declin aggreg_demand price margin especi context economi near potenti seem sourc momentum intern factor offset extent moder influenc higher interest_rate hous consum durabl spend strength order durabl_good strong profit project suggest continu strength invest staff analysi convinc risk slowdown demand insuffici absent tighten prevent overh respect issu close economi potenti confess uncertainti nevertheless basi econometr anecdot_evid seem output yet pass potenti although approach yet strong enough indic tight_labor_market enough sign increas wage_pressur suffici indic pickup growth unit_labor_cost conclud ventur beyond potenti capac_util histor standard invest ad capac rapid rate scatter evid lengthen lag fill order balanc sens economi stay term unemploy shave tenth unemploy_rate without risk significantli pickup inflat inclin toward feel tighten_polici reduc momentum somewhat greenbook assum greenbook_forecast real_growth somewhat low opinion end economi oper near enough potenti
12524,1994-08-16,mr chairman_support propos believ good chanc basi_point_increas fund_rate will suffici absenc signific news propos statement read
12642,1994-09-27,agre central messag greenbook inform accumul last six_week point continu strength aggreg_demand incom_data yet provid signific evid suffici slowdown real_gdp_growth base great_deal evid lot data will come next_month will clarifi impress correct person concern quit bit restraint pipelin good share quit recent yet impact felt greenbook assumpt addit basi_point rise fund_rate consider pessimist greenbook_forecast real_growth exampl mp model impact tighten becom realli discern quarter name earli eight quarter rise percent real_gdp leav sens forecast percent real_growth overli optimist ad restraint key question concern behavior price evid stage inflat acceler view especi import issu given concern inflat ultim polici goal feel economi oper close potenti decid risk_inflat begin creep analysi differ somewhat staff_forecast particular think see will continu time increas rel price raw materi import good higher_price will feed cpi period_time caus temporari increas rate_inflat perman increas trend inflat_rate wors yet acceler_inflat_think increas_inflat will temporari enough restraint hold unemploy_rate present level roughli natur_rate given staff estim think market overreact increas produc price greenbook_forecast consum_price_inflat will next_quarter will return roughli percent end agre forecast differ greenbook concern period unemploy excess natur_rate need inflat line think greenbook think will requir period unemploy excess natur_rate latter half subdu inflat someth quibbl govern view much addit restraint go hold inflat present level elabor bit think wit perfectli normal cyclic phenomenon name rel price primari commod raw materi tend natur increas level domest importantli world econom_activ price materi increas rapidli year initi depress level expect price rise due faster global growth expect stop rise econom_activ stabil similarli signific depreci dollar caus will probabl continu caus time rise level import_price staff expect dollar depreci continu expect import_price rise stop rise conclus shock feed faster cpi_inflat time adjust complet inflat revert toward previou level expect occur cpi increas feed partial wage although greater feedback longer temporari burst inflat will persist agre governor kelley danger inflationari_expect can overreact histor think evid like pass temporari price shock wage quit inconclus caveat want add analysi assum along greenbook unemploy_rate go allow fall natur_rate mean much lower current signific period_time respect question natur_rate_think wage behavior provid best direct evid fact wage behav averag hourli earn rise percent last_month exampl convinc overshot natur_rate
12692,1994-09-27,support propos mr chairman_think conceiv suffici evid accumul next_month warrant rate hike next_meet quit bit convinc tighten prior next_meet order
12811,1994-11-15,last_meet evid continu accumul enough momentum aggreg_demand carri economi past potenti_output yet much slowdown interest sensit sector easier lend term offset somewhat impact higher interest_rate news intern side yet upward_revis foreign gdp_growth reinforc view economi will overshoot nairu potenti inflationari consequ recent declin dollar exacerb concern although fortun dollar risen bit yen greenbook bed amount slack economi measur clearli diminish think perform wage_price accord quit predict phillip curv model economi current vicin natur_rate surpris surpris see earli warn sign rise_inflat includ busi report will price_increas year anecdot rise wage retain attract qualifi employe think staff inflat_forecast cpi will rise percent half quit reason base histor experi difficult though construct scenario inflat next_year rise lot staff_forecast_think limit upsid_risk_inflat_rate_increas next_year key question cours quickli modest rise core_inflat becom embed inflationari_expect feed wage_price format think_risk unless aggreg_demand restrain concern connect greenbook_forecast assum tighten basi_point entail consider downsid_risk economi will concentr light current strength interest sensit sector tempt conclud monetari tighten far produc will produc slowdown desir time honor view among economist monetari_polici oper lag consid view support consider empir evid real risk hard land instead soft land impati overract demand strong monetari condit easi last spring tighten realli_quit recent impact like yet fulli felt inde presid_jordan note comment michigan survey suggest sharp deterior household apprais buy condit hous signific declin willing use credit save survey suggest current strength hous stem belief interest_rate_rise better buy later view name remain restraint pipelin seem consist greenbook_forecast given lag monetari_polici greenbook_project slowdown must primarili relat interest_rate_increas alreadi occur along factor cannot relat primarili assum tighten basi_point staff_forecast implicitli assum alreadi enough restraint slow_growth enough bring unemploy natur_rate end case argument addit basi_point restraint rest staff assumpt without restraint demand rebound strongli view correct logic strong rebound demand without basi_point addit restraint seem compel think distinct possibl much extra restraint repres overkil overkil felt addit point greenbook_forecast assum tighten go rel littl addit effect term_rate good forecast movement term_rate certainli assumpt proven incorrect thu far conclud degre tighten assum greenbook pose seriou risk hard land although absenc tighten think unaccept risk_inflat acceler
12850,1994-11-15,mention seem clear tighten_polici need prevent inflat acceler strong doubt need addit basi_point guess will job done can live basi_point today balanc guess agre ed boehn favor today share concern don mention worri absenc announc type issu can backfir instead simpli flatten yield_curv see littl effect term_rate_rise magnitud rais market_expect risk_inflat concern market_expect ultim expect tighten intend concern possibl bond yield rise greenbook_forecast provok stock_market reaction prefer today can live
12966,1994-12-20,opinion concern strength like futur direct economi chang margin last_meet certainli evid continu accumul economi good head steam employ_report signific rise help want index grow order backlog frankli surpris michigan index car applianc hous buy intent turn fallen case substanti must admit surpris littl evid slowdown although continu feel state last_time see part lag effect prolong period low interest_rate governor blinder note certainli risk real_growth will slow greenbook_forecast assum overshoot potenti_output nevertheless will continu emphas other past previou action ad great_deal restraint pipelin last_meet real_interest_rate_risen consider bill mcdonough emphas real_interest_rate variou measur low histor standard final declin stock_market will bring wealth_effect consum_spend play dollar appreci re enforc direct interest_rate effect play moder influenc inflat_forecast addit cours mike emphas inventori_accumul bound slow seem possibl acceler mechan can kick slow economi significantli number chang pipelin expect work cool demand substanti lag frankli stage remain uncertain economi basi_point_increas assum greenbook share concern number privat forecast degre tighten near_term slow demand growth end produc boom bust scenario avoid outcom seem fund_rate fall rather quickli greenbook assum growth_slow trend economi nairu
13009,1994-12-20,mr chairman favor altern hold fund_rate percent meet favor reason suggest bluebook concur sentiment express governor blinder lindsey presid forrest think wait strategi reason given magnitud previou tighten particularli given uncertainti much economi like slow uncertainti much addit tighten go need prefer symmetr_direct strong presumpt wait next_meet order act
13100,1995-01-31,governor kelley mention possibl spin rather differ scenario concern econom forecast point agre scenario signific slowdown sight inflat_outlook pretti worrisom slowdown progress alreadi sign larger greenbook anticip frankli moment lose amount sleep worri possibl think baselin greenbook_forecast resolv variou uncertainti extrem sensibl come point forecast give reason weight data point slowdown maintain skeptic magnitud want convey compliment chef forecast want add thank chang present grate help think polici conclud though risk_forecast increas lot level uncertainti thing head higher previou time_last six_month seem read newspap press almost uncrit accept slowdown scenario produc anecdot support view almost day think sign economi slow governor blinder explain expect slowdown base idea restraint pipelin make big differ explain go review reason want comment evid surpris unanticip slowdown retail_sale result consumpt expenditur fourth_quarter lower greenbook anticip inventori_accumul higher governor lindsey point massiv buildup consum debt arguabl will soon lead signific retrench think end larger inventori cycl anticip greenbook reinforc possibl slowdown declin durabl_good order defens order exclud look though number somewhat consist capit_spend growth cool anecdot_evid report home build suggest industri verg declin dodg report yesterday point signific slide construct spend automobil compani offer rebat popular model lower product plan shut assembl line period dealer order inventori appear declin mayb cost carri higher mayb traffic showroom declin intern front governor blinder point risk declin export import trade partner mexico canada possibl mexican crisi harm emerg market export can suffer passag balanc budget amend hous talk fiscal restraint certainli know head disagre greenbook done produc point forecast downsid_risk coupl neg demand side factor fact inflat contain run lower fourth_quarter think anyon expect eci number suggest signific evid wage_pressur tight_labor_market includ midwest agre assess phillip curv model think signific reason chang estim nairu stage coupl number seem within rang forecast error yet buy idea nairu lower percent possibl aliv mind close mind think consid live possibl yet readi person endors come issu bob forrest mention think_import especi given lag polici want cross barrier polici can ask rate point low histor standard come assess low histor standard real fed_fund_rate_low given busi_cycl coupl_year_ago taylor stanford professor member council econom advis devis simpl monetari_polici rule look provid rough sens fund_rate reason level properti call taylor rule quit sensibl sens take forward_look econometr model look rule perform mention yesterday taylor rule hybrid rule polici rule base output_gap deviat inflat target percent perform mayb importantli provid incred close approxim fed reaction function sole except fed eas tighten earli rule call inflat output_gap present level rule right forecast fund_rate percent sensibl rule includ nomin_gdp target rule mention yesterday look fed_fund_rate point percent rang far target seem discount slowdown look evid slowdown worri say wish think retail_sale number trend consum debt incom debt servic burden household rise consum optim order backlog grow durabl_good order taper level remain hardli presag downturn invest_spend ye inventori risen bit inventori_sale_ratio downsid_risk sourc somewhat limit case greenbook anticip declin inventori_invest inventori downturn larger creat signific downsid_risk automobil manufactur cours want sale fall count slacken demand auto respect hous strong employ person_incom grow argu see will believ realli anyth much happen yet spite anecdot assign probabl differ scenario moment strong scenario weak start come exactli greenbook balanc conclus want leav level uncertainti increas enorm think potenti forecast error point extrem polici conclus follow idea risk point extrem
13141,1995-01-31,associ fulli governor blinder analysi conclus drew indic think forecast risk moment agre data help decid hand absolut decid today favor basi_point_increas fund_rate knew need increas fund_rate agre sooner better later hand short delay impos minim cost think feel compel rais fund_rate today definit benefit wait littl longer decid fear act today move turn will regret realiz cours wait week governor blinder suggest will data definit addit retail_sale read employ_report cpi ppi number hous start number auto_sale number mind reduc uncertainti scenario right favor wait next_meet week look data understand expect part market go move_basi_point today think forc move today market_expect read basi_point_increas stop tighten_polici coincid basi current inform envis basi_point_increas given know economi uncertainti natur_rate lot inform contempl go basi_point part reason mention taylor rule give sens think fund_rate find peopl_talk reason follow actual growth exce growth potenti_output economi_grow faster percent fund_rate rais sometim find fall pattern think economi_grow quickli mean tighten crazi think definit run risk end much tighten can move_basi_point basi_point time end overkil think sensibl notion right level toward head stop slowdown greenbook come level percent disagre greenbook strategi taylor rule rule distribut call rate percent rang alreadi therefor imagin basi_point spite choic wait intend vote propos reason think differ larg concern tactic strategi guess prefer wait probabl week want along prefer basi_point_increas grant view tactic wrong therefor intend dissent
