date,start_date,end_date,decision,d_a,d_b,d_c,d_d,d_e,alt_chosen,Justify Alt Chosen,mult_match,no_match,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,C_TREATMENT_alt_a,C_TREATMENT_SIZE_alt_a,justify_alt_a,Sentences_alt_a,C_TREATMENT_alt_b,C_TREATMENT_SIZE_alt_b,justify_alt_b,Sentences_alt_b,C_TREATMENT_alt_c,C_TREATMENT_SIZE_alt_c,justify_alt_c,Sentences_alt_c,C_TREATMENT_alt_d,C_TREATMENT_SIZE_alt_d,justify_alt_d,Sentences_alt_d,C_TREATMENT_alt_e,C_TREATMENT_SIZE_alt_e,justify_alt_e,Sentences_alt_e,comments
1988-02-10,1988-02-09,1988-02-10,-0.125,-0.5,0,0.5,,,[],,False,True,6.58,6.625,6.625,E,-0.5,,"Alternative A would be associated with a reduction in the federal funds rate of about 1/2 percentage point--achieved by a lowering of the borrowing objective to $100 million, a near-frictional level--or by a 1/2 percentage point cut in the discount rate. (19) Although some easing of reserve conditions is now thought by market participants to be in train or at least in prospect, the reserve specifications of alternative A embody a larger move by the Federal Reserve than has been anticipated in market rates. The easier conditions of alternative A are likely to put considerable downward pressure on the dollar, though the extent to which this would show through in dollar declines over the near-term would be affected by the incoming trade data. Under alternative A, growth of the aggregates would accelerate noticeably relative to the pace of the last two months, leaving both M2 and M3 at or a little above the midpoints of their tentative long-run ranges in March.",U,0,,"Current reserve and money market conditions would be maintained under alternative B while alternatives A and C would involve somewhat easier or somewhat tighter conditions, respectively. The level of adjustment plus seasonal borrowing associated with alternative B, $250 million, is expected to entail federal funds trading around recent 6-1/2 to 6-3/4 percent levels. C Growth from November to March M2 7 6-1/2 6 M3 6-1/4 6 5-3/4 Ml 6-3/4 6 5-1/4 Associated federal funds rate range 4 to 8 4 to 8 5 to 9 Implied growth from December to March M2 8-1/2 8 7-1/2 M3 7-1/2 7-1/4 7 M1 10 9 8 (16) Alternative B contemplates a continuation of reserve conditions now expected to prevail after the recent slight easing. (17) Under the specifications of alternative B, M2 would be expected to grow in February and March at nearly a 7 percent annual rate, a little above the average pace of December and January. (18) M3, under alternative B, would advance at a 6 percent annual rate from November to March as growth over February and March strengthens somewhat from the 5 percent average of December and January.",T,0.5,,"Alternative C would be associated with an increase in the borrowing objective to about $450 million and a rise in the federal funds rate of approximately 1/2 percentage point. (20) The tightening of conditions under alternative C would be entirely unexpected, and probably would result in substantial increases in both short- and, at least initially, long-term interest rates. Under the tighter reserve conditions of alternative C, the broad aggregates would remain within the lower halves of their tentative ranges through March. By reversing most of the interest rate declines since October, Alternative C would tend to keep money growth on a fairly slow path over coming months, dropping further below the midpoint of the tentative ranges, and might be most consistent with the growth rates in long-run alternative III.",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1988-03-29,1988-03-29,1988-03-29,0.25,0,0,0.5,,,[],,False,True,6.64,6.5,6.5,U,0,,"Under alternative A, federal funds would be expected to trade around the current 6 percent discount rate; this could be accomplished by reducing the discount rate by 1/2 point while keeping the $200 million borrowing objective, or by decreasing this objective. (16) Under alternative A, the easing of reserve market condi- tions would ripple through other financial markets.",?,0,,"--II - II -r 0% -4 820 -- 800 -- 780 -- 760 740 I I I I I I I I I I O N D J F M A M J J A S O N D 720 1988 - Actual Level -- - Estimated Level ------ Growth From Fourth Quarter - Short Run Altematives 900 - 880 -1 860 I I I 1987 c Chart 4 DEBT Billions of dollars - Actual Level 9400 -1 9300 11% 9200 - 9100 - 9000 7% 8900 8800 8700 -8600 -8500 8400 - 8300 8200 -- 8100 I I I I I I I I I I I I I I O N D J F M A M J J A S O N D 8000 1987 1988 (10) With recent conditions in the reserves market maintained under alternative B, interest rates would tend to remain around current levels, at least for a time. (11) Given the financial conditions associated with alternative B, M2 and M3 are expected to grow at 7 and 6-1/2 percent annual rates, respectively, from March to June, leaving them well into the upper halves of their 4 to 8 percent annual ranges. On a March-to-June basis, M1 is expected to increase at a rate of about 4-1/2 percent under alternative B. Demand deposits are anticipated to strengthen only a little on balance over the next three months, after the somewhat inexplicable weakness through the first quarter.",T,?,,"Under alternative C, the borrowing objective would be raised to $400 million and the funds rate would move up to the vicinity of 7 percent. (14) The more restrictive monetary posture of alternative C, at least at this time, would come as some surprise to financial markets. (15) The broader monetary aggregates under alternative C would post a more marked slowing over the course of the quarter than under the other alternatives, as the effects of the rebound in market interest rates increasingly took hold.",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1988-06-30,1988-06-29,1988-06-30,0.0625,-0.25,0,0.5,,,[],,False,True,7.68,7.4375,7.4375,?,?,,"Under alternative A, borrowing is assumed to decline only $100 million, to $450 million, reversing the most recent increase and part of the tightening early in the period. Federal funds are expected to trade in a range around 7-1/2 percent or a little below under alternative B and would move up toward the 8 percent area under alternative C and down to 7-1/4 percent or a bit below under alternative A. (17) The table below gives June-to-September growth of the monetary 2 aggregates anticipated under the three alternatives. (23) The reversal of part of the recent tightening, as envisioned under alternative A, would result in some edging down of short-term rates, espe- cially on private securities, perhaps heading off any increase in the prime rate.",?,0,,"Alternative B would continue to specify adjustment plus seasonal borrowing at the discount window of $550 million. Federal funds are expected to trade in a range around 7-1/2 percent or a little below under alternative B and would move up toward the 8 percent area under alternative C and down to 7-1/4 percent or a bit below under alternative A. (17) The table below gives June-to-September growth of the monetary 2 aggregates anticipated under the three alternatives. -14- Growth from June to September M2 6-1/4 5-1/2 4 M3 7-1/4 7 6-1/2 M1 4-1/2 3-1/2 1-1/2 Associated federal funds rate range 5 to 9 5 to 9 6 to 10 (18) Market rates appear to have incorporated the recent firming of policy, which would be retained under alternative B, and most rates should remain near current levels over the near term. (19) Under alternative B, the widening of opportunity costs over the spring would continue to exert a restraining influence on M2 and M1 in the months ahead. (20) M3, under alternative B, is expected to pick up a little over June to September from the pace of recent months as outflows from money funds abate with the stable interest rates assumed under this alternative.",T,0.5,,"Alternative C would specify a borrowing level of $750 million. Federal funds are expected to trade in a range around 7-1/2 percent or a little below under alternative B and would move up toward the 8 percent area under alternative C and down to 7-1/4 percent or a bit below under alternative A. (17) The table below gives June-to-September growth of the monetary 2 aggregates anticipated under the three alternatives. (21) The market does not appear to be anticipating an immediate further monetary tightening as contemplated in alternative C. Thus, the half-point increase in the funds rate under this alternative would prompt other private short-term rates to move up by a similar amount. (22) The boost in opportunity costs under alternative C would reduce monetary growth substantially below the pace of recent months.",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1988-12-14,1988-12-13,1988-12-14,0.3125,,0,0.5,,,[],,False,True,8.58,8.375,8.375,N,N,,No Sentences Alternative A,?,0,,"Under Alternative B, a borrowing objective of $400 million would be retained, and federal funds would be expected to settle mainly into an 8-3/8 to 8-1/2 percent range, though slightly higher rates are possible through year-end. C Growth from November to March M2 4 3 M3 7 6-1/2 M1 1-1/2 0 Associated federal funds rate range 6 to 10 7 to 11 (10) Short-term market interest rates are likely to retreat some- what under alternative B. (11) From a November base, M2 growth is expected to average 4 per- cent at an annual rate through March under alternative B, maintaining its average pace of October and November. (12) M3 growth of 7 percent at an annual rate is anticipated from November to March under alternative B, somewhat above the average of the last two months. In the household sector, mortgage borrowing is likely to continue near the pace of the last few quarters as home sales are anticipated to hold close to recent levels for several months, especially to the extent that interest rates stabilize or ease off under alternative B. Consumer credit growth may pick up tempo- rarily early next year if, as expected, auto makers step up their sales promotions to boost demand.",T,?,,"Alternative C incor- porates an increase in intended discount borrowing to $600 million, with the federal funds rate likely to move up to around 8-7/8 to 9 percent. Under both alternatives, M2 growth over coming months would be relatively restrained, reflecting recent and, under alternative C, prospective increases in mar- ket interest rates. (14) Although market rates incorporate some near-term firming of policy, an immediate rise in federal funds to the 8-7/8 to 9 percent area associated with alternative C likely would elicit some further increase in short-term market interest rates. (15) M2 growth probably would be held down to a 3 percent annual rate from November to March under alternative C, placing this aggregate just at the lower end of its tentative 1989 target range.",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1989-02-08,1989-02-07,1989-02-08,0.125,,0,0.5,,,[],,False,True,9.08,9,9,N,N,,No Sentences Alternative A,U,0,,"With funds continuing to trade at or a little above 9 percent, as expected under alternative B, some of the rate increases registered most recently may unwind, with Treasury bill rates moving back to around 8-3/8 percent or a little below. As maintaining the reserve pressures of alternative B causes international investors to begin recon- sidering the likelihood of an imminent U.S. monetary policy tightening, the value of the dollar could begin to slip. I I i I I I I I I I I I I I I I I I I I I I O N D J F M A M J J A S O N D J F M A M J J A S O N D 7800 10200 9900 9600 -1 9300 -- 9000 -- 8700 -- 8400 -- 8100 I i I 1987 1988 1989 -18- (23) Increases in short-term market rates over recent months should restrain M2 growth through this quarter under alternative B. The 2 percent M2 growth of alternative B from December to March implies quarterly average growth of only 3 percent for this aggregate. (24) M3 growth under alternative B should strengthen from its January lull to a 4-1/2 percent annual rate over February and March, bringing growth from December to March to a 3-1/2 percent annual rate.",T,0.5,,"-15- Short-run policy alternatives (20) The two near-term policy alternatives presented involve adjustment plus seasonal discount borrowing of $600 million for alterna- tive B with funds trading at around 9 percent or a bit above, and borrow- ing of $800 million for alternative C with funds 1/2 percentage point higher.",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1989-05-16,1989-05-16,1989-05-16,0.0625,-0.25,0,0.5,,,[],,False,True,9.79,9.75,9.75,E,-0.25,,"Under alternative A, the funds rate would decline to the 9-1/4 to 9-3/8 percent area with borrowing around $400 million, and under alter- native C federal funds would rise to 10-1/4 to 10-3/8 percent and borrow- ing to $800 million. As a consequence, this aggregate through June should remain below the 3 percent lower bound of its target cone, even under the reduced interest rates of alternative A. However, if money market conditions of either alternative A or B were maintained through the summer, the waning effects of earlier increases in market interest rates, reinforced by the delayed upward adjustment of liquid deposit rates, likely would bring M2 within its annual range by the end of the third quarter, assuming spending and income growth close to the green- book projections. (12) The easing of the federal funds rate under alternative A would result in further declines in short-term rates of an additional 1/4 percentage point.",U,0,,"Under alternative B, funds would continue to trade in the 9-3/4 to 9-7/8 percent range; in light of recent experience, unchanged reserve market conditions are likely to involve borrowing of around $600 million. (11) Since market yields now appear to have built in some near- term easing of monetary policy, maintaining current conditions under alternative B probably would be associated with some back-up in short-term rates.",T,?,,"(13) The tightening of policy under alternative C would be a considerable surprise to financial markets, and would likely induce a substantial-backup in rates.",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1989-07-06,1989-07-05,1989-07-06,-0.25,-0.5,0,0.25,,,[],,False,True,9.49,9.5625,9.5625,E,?,,"The easing of policy under alternative A might be associated with less than the usual $200 million reduction in borrowing. As a consequence, the staff estimates that a funds rate in the 9 to 9-1/8 percent area under alternative A would be consis- tent with borrowing of perhaps around $550 million. (29) The extent of the easing of policy embodied in alternative A would be larger than expected by market participants for the very near term, although the current structure of market rates appears to reflect expectations of a drop in rates of this magnitude in the next few months. (30) With money market rates and opportunity costs dropping under alternative A, M2 growth would strengthen to an 8 percent rate over the June-to-September period, bringing this aggregate into the lower end of its annual target cone in August.",U,0,,"Under alternative B, federal funds would continue to trade in the 9-1/2 to 9-5/8 percent area. (27) Under alternative B, M2 would grow at a 6-1/2 percent rate over the June-to-September period, lifting this aggregate to the bottom of its annual target cone in September. (28) M3 growth would strengthen to a 7 percent clip over the June-to-September period under alternative B. Bank credit is projected to be somewhat stronger in coming months, partly reflecting the possibility of major corporate restructuring activity, which would be funded initially by banks.",T,?,,"Under alternative C, funds would trade around 10 percent or a bit higher with borrowings of $850 million. (31) The tightening of reserve conditions under alternative C would come as a surprise to the financial markets. (32) Under alternative C, M2 would expand over the June-to-Sep- tember period at a 5 percent rate and would remain below the lower bound of its annual growth cone in September (though on a trajectory to touch that lower bound in the fourth quarter).",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1989-12-19,1989-12-18,1989-12-19,-0.25,-0.5,0,0.5,,,[],,False,True,8.56,8.5,8.5,E,?,,"Under alternative A, the federal funds rate would decline to the 8 percent area accompanying a decline in adjustment plus seasonal borrowing to $100 million. (15) The easing of policy under alternative A would be a little more than now seems to be anticipated by market participants over coming weeks. -14- (16) With the further drop in interest rates, growth in M2 would strengthen under alternative A to a 9 percent annual rate over the Novem- ber-to-March period, placing this aggregate noticeably above the upper end of its tentative growth cone. Under alternative A, growth in M3 would firm to a 6 percent rate over the November-to-March period, a bit above the midpoint of its tentative 1990 range.",U,0,,"The specifications of alternative B involve federal funds continuing to trade in the 8-1/2 percent area in association with adjust- ment plus seasonal borrowing of $150 million. SJ A S O N D 19901988 1989 10750 10500 10250 10000 9750 9500 9250 9000 -11- (11) The markets have built in some additional easing of policy in the near term, and as federal funds continue to trade around 8-1/2 percent under alternative B, money market rates might firm a little. (12) Under alternative B, M2 would expand at an 8 percent annual rate over the November-to-March period, near the pace of recent months. (13) M3 is expected to grow at a 5-1/2 percent annual rate under alternative B, in line with its faster pace of October and November.",?,?,,"Federal funds would return to the 9 percent area under alternative C, associated with adjustment plus seasonal borrowing of $200 million. (17) Alternative C would restrain M2 growth to around the upper bound of its 1990 growth cone by March, putting it on a track toward the middle of its tentative range; such a move would seem to increase the odds on more noticeable progress toward price stability, with assistance from a stronger dollar, albeit with greater risk of an economic downturn.",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1990-11-13,1990-11-13,1990-11-13,-0.25,-0.5,0,0.25,,,[],,False,True,7.73,7.75,7.75,E,-0.5,,"Under alternative A, the funds rate would move down to the 7-1/4 percent area, while under alternative C it would firm slight- ly, returning to around the 8 percent level prevailing at the last meet- ing. Under alternative A, the initial level of borrowing would be lowered to $200 million (or the discount rate could be cut by 1/2 percentage point), while under alternative C it would be raised to $275 million. (10) In view of the expectations of some easing already built into rates, short-term interest rates would decrease somewhat less than the 50 basis point decline in the federal funds rate, under alternative A. Banks may be encouraged to advance credit less reluctantly by the wider margins they would enjoy, and by greater confidence of repayment as lower interest rates countered weakness in the economy and bolstered asset prices. Under alternative A, the drop in opportunity costs would boost M2 to a 2-3/4 percent rate over the Alternative Levels and Growth Rates for Key Monetary Aggregates M2 M3 M1 Alt.",U,0,,"Under alternative B, federal funds would continue trading around 7-3/4 percent. The associated level of adjustment plus seasonal borrowing under alternative B would be set at $250 million in the first maintenance period after the meeting and might need to be lowered another $50 million over the intermeeting period to accommodate the ongoing decline in the demand for seasonal credit. Nevertheless, market rates are not likely to back up significantly under the unchanged reserve conditions of alternative B, since expectations of an easing would be maintained if, as expected, incoming information confirms a weakening economy. C Growth from Sept. to Dec. M2 2 1-1/2 1-1/4 M3 0 0 0 M1 1-1/2 1 3/4 Associated federal funds rate ranges 5-1/2 to 9-1/2 6 to 10 6 to 10 (13) Under alternative B, M2 probably would strengthen, but only a bit--to a 1-3/4 percent rate over November and December.",T,?,,"Under alternative A, the funds rate would move down to the 7-1/4 percent area, while under alternative C it would firm slight- ly, returning to around the 8 percent level prevailing at the last meet- ing. Under alternative A, the initial level of borrowing would be lowered to $200 million (or the discount rate could be cut by 1/2 percentage point), while under alternative C it would be raised to $275 million. (11) Under alternative C, the dollar would retrace at least some of its recent decline in response to a rise in the federal funds rate. The firming in M2 growth under alternative C would be quite modest and this aggregate would be entering the new year around the lower end of its tentative 1991 range.",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
1990-12-18,1990-12-18,1990-12-18,-0.25,-0.5,0,,,,[],,False,True,7.44,7.25,7.25,E,-0.5,,"3 Under alternative A, the funds rate would decline to the vicinity of 6-3/4 percent. Alter- native A could be implemented through a reduction in the borrowing assump- tion of only $25 million to $75 million or through a half-point cut in the discount rate combined with the same borrowing assumption as specified for alternative B.4 (11) Implementing alternative A through a reduction in borrowing would bring the funds rate below the discount rate and borrowing to fric- tional levels. Another $25 million reduction perhaps would be called for as sea- sonal borrowing moves down to its normal annual trough in mid-January; this would also apply to alternative A. 4. Funds rate volatility would tend to increase a bit if borrowing were reduced to implement alternative A. The potential for volatility in the funds rate under alternative A would be reduced a little if instead this alternative were implemented through a 1/2 percentage point cut in the discount rate, leaving a larger cushion of borrowing. (13) With the easing of the funds rate by 1/2 percentage point under alternative A, other short-term market rates would decline, but by smaller amounts given current market expectations. The reaction of foreign exchange and other financial markets to alternative A may depend on how it is implemented. (18) Selection of alternative A would provide added impetus to M2 growth but would affect M3 and credit expansion only a little, at least over the next few months.",U,0,,"Under alternative B, federal funds would con- tinue to trade in the 7-1/4 percent area and adjustment plus seasonal bor- rowing would initially be specified at $100 million. Alter- native A could be implemented through a reduction in the borrowing assump- tion of only $25 million to $75 million or through a half-point cut in the discount rate combined with the same borrowing assumption as specified for alternative B.4 (11) Implementing alternative A through a reduction in borrowing would bring the funds rate below the discount rate and borrowing to fric- tional levels. Hence, market interest and exchange rates would not react much to the unchanged reserve conditions of alternative B, at least initially. B Growth from November to March M2 5 3-1/2 M3 1 1/2 M1 6 4 (15) In the staff's judgment, M2 growth under the unchanged funds rate of alternative B will pick up to a 3-1/2 percent pace from November to March, placing the aggregate just above the lower bound of the cone associated with the Committee's provisional growth range of 2-1/2 to Alternative Levels and Growth Rates for Key Monetary Aggregates M2 Alt. (16) Some of the acceleration in M2 under alternative B would show through to M3.",N,N,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
