Date,Voters,voters_expected,voters_observed
1966-06-07,,11.0,12.0
1967-11-27,,9.0,10.0
1968-04-19,,11.0,10.0
1968-08-19,,10.0,9.0
1969-11-25,,11.0,10.0
1970-06-23,,12.0,11.0
1971-02-09,,11.0,12.0
1975-02-19,,11.0,12.0
1975-08-19,,12.0,11.0
1978-05-05,,10.0,4.0
1979-05-22,,10.0,5.0
1979-10-06,,12.0,5.0
2010-03-16,,10.0,1.0
2010-04-28,,10.0,1.0
2010-06-23,,10.0,1.0
2010-08-10,,10.0,1.0
2010-11-03,,11.0,1.0
2011-01-26,,11.0,1.0
2011-08-09,,10.0,1.0
2011-09-21,,10.0,1.0
2011-11-02,,10.0,1.0
2011-12-13,,10.0,2.0
