Date,Voters,voters_expected,voters_observed
1980-03-07,"['Mr. Volcker', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn', 'Mr. Altmann']",11.0,11.0
1980-03-18,"['Mr. Volcker', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn', 'Mr. Altmann']",11.0,11.0
1980-04-22,"['Mr. Volcker', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mr. Solomon', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn']",11.0,11.0
1980-05-06,"['Mr. Volcker', 'Mr. Guffey', 'Mr. Morris', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mr. Solomon', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Altmann']",10.0,10.0
1980-05-20,"['Mr. Volcker', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mr. Solomon', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn']",11.0,11.0
1980-07-09,"['Mr. Volcker', 'Mr. Gramley', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mr. Solomon', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn', 'Mr. Black']",12.0,12.0
1980-08-12,"['Mr. Volcker', 'Mr. Gramley', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mr. Solomon', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn', 'Mr. Altmann']",12.0,12.0
1980-09-16,"['Mr. Volcker', 'Mr. Gramley', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mr. Solomon', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn']",12.0,12.0
1980-10-21,"['Mr. Volcker', 'Mr. Gramley', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mr. Solomon', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn']",12.0,12.0
1980-11-18,"['Mr. Volcker', 'Mr. Solomon', 'Mr. Gramley', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn']",12.0,12.0
1980-11-26,"['Mr. Volcker', 'Mr. Solomon', 'Mr. Gramley', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Schultz', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Altmann']",11.0,11.0
1980-12-05,"['Mr. Volcker', 'Mr. Solomon', 'Mr. Gramley', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Winn']",11.0,11.0
1980-12-12,"['Mr. Volcker', 'Mr. Solomon', 'Mr. Gramley', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mrs. Teeters', 'Mr. Winn']",11.0,11.0
1981-02-24,"['Mr. Volcker', 'Mr. Solomon', 'Mr. Gramley', 'Mr. Guffey', 'Mr. Morris', 'Mr. Partee', 'Mr. Rice', 'Mr. Roos', 'Mr. Schultz', 'Mrs. Teeters']",10.0,10.0
1981-03-31,"['Mr. Volcker', 'Mr. Solomon', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Corrigan', 'Mr. Partee', 'Mr. Rice', 'Mr. Schultz', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Axilrod']",11.0,11.0
1981-05-06,"['Mr. Volcker', 'Mr. Solomon', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Corrigan', 'Mr. Gramley', 'Mr. Rice', 'Mr. Schultz', 'Mrs. Teeters']",9.0,9.0
1981-05-18,"['Mr. Volcker', 'Mr. Solomon', 'Mr. Boehne', 'Mr. Boykin', 'Mr. Corrigan', 'Mr. Gramley', 'Mr. Partee', 'Mr. Rice', 'Mr. Schultz', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Axilrod']",12.0,12.0
1981-08-18,"['Mr. Volcker', 'Mr. Solomon', 'Mr. Boykin', 'Mr. Corrigan', 'Mr. Gramley', 'Mr. Keehn', 'Mr. Partee', 'Mr. Rice', 'Mr. Schultz', 'Mrs. Teeters', 'Mr. Wallich', 'Mr. Axilrod']",12.0,12.0
