,speaker,date,speaker_id,votingmember,ambdiss,tighterdiss,easierdiss,decision
11,kelley,1988-02-10,id_28,1,0,0,0,b
12,boehne,1988-02-10,id_5,1,0,0,0,b
13,stern,1988-02-10,id_55,1,0,0,0,b
14,johnson,1988-02-10,id_25,1,0,0,0,b
15,keehn,1988-02-10,id_27,1,0,0,0,b
16,seger,1988-02-10,id_54,1,0,0,0,b
17,boykin,1988-02-10,id_6,1,0,0,0,b
18,heller,1988-02-10,id_21,1,0,0,0,b
19,corrigan,1988-02-10,id_8,1,0,0,0,b
20,angell,1988-02-10,id_0,1,0,0,0,b
21,greenspan,1988-02-10,id_18,1,0,0,0,b
22,angell,1988-03-29,id_0,1,0,0,0,c
23,forrestal,1988-03-29,id_15,1,0,0,0,c
24,hoskins,1988-03-29,id_24,1,0,0,0,c
25,johnson,1988-03-29,id_25,1,0,0,0,c
26,parry,1988-03-29,id_45,1,0,0,0,c
27,seger,1988-03-29,id_54,1,0,0,1,
28,black,1988-03-29,id_3,1,0,0,0,c
29,corrigan,1988-03-29,id_8,1,0,0,0,c
30,greenspan,1988-03-29,id_18,1,0,0,0,c
31,kelley,1988-03-29,id_28,1,0,0,0,c
32,heller,1988-03-29,id_21,1,0,0,0,c
33,parry,1988-05-17,id_45,1,0,1,0,
34,corrigan,1988-05-17,id_8,1,0,0,0,b
35,hoskins,1988-05-17,id_24,1,0,1,0,
36,forrestal,1988-05-17,id_15,1,0,0,0,b
37,johnson,1988-05-17,id_25,1,0,0,0,b
38,seger,1988-05-17,id_54,1,0,0,0,b
39,kelley,1988-05-17,id_28,1,0,0,0,b
40,black,1988-05-17,id_3,1,0,0,0,b
41,greenspan,1988-05-17,id_18,1,0,0,0,b
42,heller,1988-05-17,id_21,1,0,0,0,b
43,angell,1988-05-17,id_0,1,0,0,0,b
44,parry,1988-06-30,id_45,1,0,0,0,c
45,seger,1988-06-30,id_54,1,0,0,1,
46,black,1988-06-30,id_3,1,0,0,0,c
47,johnson,1988-06-30,id_25,1,0,0,0,c
48,forrestal,1988-06-30,id_15,1,0,0,0,c
49,hoskins,1988-06-30,id_24,1,0,0,0,c
50,greenspan,1988-06-30,id_18,1,0,0,0,c
51,heller,1988-06-30,id_21,1,0,0,0,c
52,angell,1988-06-30,id_0,1,0,0,1,
53,kelley,1988-06-30,id_28,1,0,0,1,
54,corrigan,1988-06-30,id_8,1,0,0,0,c
55,seger,1988-08-16,id_54,1,0,0,0,b
56,parry,1988-08-16,id_45,1,0,0,0,b
57,forrestal,1988-08-16,id_15,1,0,0,0,b
58,black,1988-08-16,id_3,1,0,0,0,b
59,johnson,1988-08-16,id_25,1,0,0,0,b
60,greenspan,1988-08-16,id_18,1,0,0,0,b
61,laware,1988-08-16,id_31,1,0,0,0,b
62,hoskins,1988-08-16,id_24,1,0,1,0,
63,angell,1988-08-16,id_0,1,0,0,0,b
64,corrigan,1988-08-16,id_8,1,0,0,0,b
65,heller,1988-08-16,id_21,1,0,0,0,b
66,laware,1988-09-20,id_31,1,0,0,0,b
67,black,1988-09-20,id_3,1,0,0,0,b
68,hoskins,1988-09-20,id_24,1,0,0,0,b
69,seger,1988-09-20,id_54,1,0,0,0,b
70,heller,1988-09-20,id_21,1,0,0,0,b
71,kelley,1988-09-20,id_28,1,0,0,0,b
72,johnson,1988-09-20,id_25,1,0,0,0,b
73,forrestal,1988-09-20,id_15,1,0,0,0,b
74,corrigan,1988-09-20,id_8,1,0,0,0,b
75,parry,1988-09-20,id_45,1,0,0,0,b
76,angell,1988-09-20,id_0,1,0,0,0,b
77,greenspan,1988-09-20,id_18,1,0,0,0,b
78,seger,1988-11-01,id_54,1,1,0,0,
79,black,1988-11-01,id_3,1,0,0,0,b
80,forrestal,1988-11-01,id_15,1,0,0,0,b
81,corrigan,1988-11-01,id_8,1,0,0,0,b
82,angell,1988-11-01,id_0,1,0,0,0,b
83,greenspan,1988-11-01,id_18,1,0,0,0,b
84,laware,1988-11-01,id_31,1,0,0,0,b
85,parry,1988-11-01,id_45,1,0,0,0,b
86,kelley,1988-11-01,id_28,1,0,0,0,b
87,hoskins,1988-11-01,id_24,1,0,0,0,b
88,heller,1988-11-01,id_21,1,0,0,0,b
89,johnson,1988-11-01,id_25,1,0,0,0,b
90,black,1988-12-14,id_3,1,0,0,0,c
91,johnson,1988-12-14,id_25,1,0,0,0,c
92,laware,1988-12-14,id_31,1,0,0,0,c
93,forrestal,1988-12-14,id_15,1,0,0,0,c
94,corrigan,1988-12-14,id_8,1,0,0,0,c
95,seger,1988-12-14,id_54,1,0,0,1,
96,greenspan,1988-12-14,id_18,1,0,0,0,c
97,kelley,1988-12-14,id_28,1,0,0,0,c
98,parry,1988-12-14,id_45,1,0,0,0,c
99,angell,1988-12-14,id_0,1,0,0,0,c
100,hoskins,1988-12-14,id_24,1,0,0,0,c
101,heller,1988-12-14,id_21,1,0,0,0,c
102,angell,1989-02-08,id_0,1,0,0,0,b
103,johnson,1989-02-08,id_25,1,0,0,0,b
104,forrestal,1989-02-08,id_15,1,0,0,0,b
105,heller,1989-02-08,id_21,1,0,0,0,b
106,kelley,1989-02-08,id_28,1,0,0,0,b
107,greenspan,1989-02-08,id_18,1,0,0,0,b
108,hoskins,1989-02-08,id_24,1,0,1,0,
109,parry,1989-02-08,id_45,1,0,1,0,
110,seger,1989-02-08,id_54,1,0,0,0,b
111,laware,1989-02-08,id_31,1,0,0,0,b
112,corrigan,1989-02-08,id_8,1,0,0,0,b
113,black,1989-02-08,id_3,1,0,0,0,b
114,kelley,1989-03-28,id_28,1,0,0,0,b
115,angell,1989-03-28,id_0,1,0,0,0,b
116,syron,1989-03-28,id_56,1,0,0,0,b
117,johnson,1989-03-28,id_25,1,0,0,0,b
118,greenspan,1989-03-28,id_18,1,0,0,0,b
119,seger,1989-03-28,id_54,1,0,0,1,
120,laware,1989-03-28,id_31,1,0,0,0,b
121,melzer,1989-03-28,id_37,1,0,0,0,b
122,corrigan,1989-03-28,id_8,1,0,0,0,b
123,keehn,1989-03-28,id_27,1,0,0,0,b
124,guffey,1989-03-28,id_19,1,0,0,0,b
125,heller,1989-03-28,id_21,1,0,0,0,b
126,keehn,1989-05-16,id_27,1,0,0,0,b
127,angell,1989-05-16,id_0,1,0,0,0,b
128,kelley,1989-05-16,id_28,1,0,0,0,b
129,melzer,1989-05-16,id_37,1,0,0,1,
130,laware,1989-05-16,id_31,1,0,0,0,b
131,heller,1989-05-16,id_21,1,0,0,0,b
132,johnson,1989-05-16,id_25,1,0,0,0,b
133,guffey,1989-05-16,id_19,1,0,0,0,b
134,greenspan,1989-05-16,id_18,1,0,0,0,b
135,seger,1989-05-16,id_54,1,0,0,0,b
136,syron,1989-05-16,id_56,1,0,0,0,b
137,corrigan,1989-05-16,id_8,1,0,0,0,b
138,laware,1989-07-06,id_31,1,0,0,0,a
139,greenspan,1989-07-06,id_18,1,0,0,0,a
140,keehn,1989-07-06,id_27,1,0,0,0,a
141,kelley,1989-07-06,id_28,1,0,0,0,a
142,johnson,1989-07-06,id_25,1,0,0,0,a
143,seger,1989-07-06,id_54,1,0,0,1,
144,melzer,1989-07-06,id_37,1,0,0,0,a
145,guffey,1989-07-06,id_19,1,0,0,0,a
146,corrigan,1989-07-06,id_8,1,0,0,0,a
147,angell,1989-07-06,id_0,1,0,0,0,a
148,syron,1989-07-06,id_56,1,0,0,0,a
149,guffey,1989-08-22,id_19,1,1,0,0,
150,greenspan,1989-08-22,id_18,1,0,0,0,b
151,keehn,1989-08-22,id_27,1,0,0,0,b
152,johnson,1989-08-22,id_25,1,0,0,0,b
153,seger,1989-08-22,id_54,1,0,0,0,b
154,corrigan,1989-08-22,id_8,1,0,0,0,b
155,angell,1989-08-22,id_0,1,0,0,0,b
156,syron,1989-08-22,id_56,1,0,0,0,b
157,melzer,1989-08-22,id_37,1,0,0,0,b
158,kelley,1989-08-22,id_28,1,0,0,0,b
159,laware,1989-08-22,id_31,1,0,0,0,b
160,greenspan,1989-10-03,id_18,1,0,0,0,b
161,syron,1989-10-03,id_56,1,0,0,0,b
162,kelley,1989-10-03,id_28,1,0,0,0,b
163,angell,1989-10-03,id_0,1,0,0,0,b
164,corrigan,1989-10-03,id_8,1,0,0,0,b
165,johnson,1989-10-03,id_25,1,0,0,0,b
166,seger,1989-10-03,id_54,1,0,0,1,
167,melzer,1989-10-03,id_37,1,0,0,0,b
168,guffey,1989-10-03,id_19,1,1,0,0,
169,keehn,1989-10-03,id_27,1,0,0,0,b
170,laware,1989-10-03,id_31,1,0,0,0,b
171,seger,1989-11-14,id_54,1,0,0,1,
172,guffey,1989-11-14,id_19,1,0,0,0,b
173,greenspan,1989-11-14,id_18,1,0,0,0,b
174,melzer,1989-11-14,id_37,1,0,0,0,b
175,laware,1989-11-14,id_31,1,0,0,0,b
