"19870211","Refco May Change Name","Business","LEAD: Refco Partners, one of 40 primary dealers in Treasury securities recognized by the Federal Reserve Bank of New York, may soon change its name, a source at the company said yesterday. The name change could come within a month and would follow a move by Refco Inc., a separate company, to pull $22 million of capital from the New"
"19870211","DOLLAR MOVES HIGHER AMID SHORT COVERING","Business","LEAD: The dollar moved higher yesterday, largely because traders who had sold the currency short earlier began buying out of their positions late in the day. Dealers said the late demand came after a day of lackluster trading in which prices overseas and in New York had moved in extremely narrow ranges."
"19870211","Note and Bond Prices Mixed","Business","LEAD: The Treasury sector followed the lead of the currency and overnight loan markets yesterday, with prices falling early in the day as the dollar weakened and overnight rates rose. But as the dollar strengthened and overnight loan rates fell, prices rebounded for Treasury issues."
"19870211","SPECTER OF A RECESSION IS SEEN IN FALLING DOLLAR","Business","LEAD: Last Friday, Edward M. Marwell&#x27;s small factory in Mount Kisco, N.Y., shipped its first forklift truck parts to a Japanese manufacturer. He credits this small coup to the sharp decline of the dollar relative to the yen, which made his product more competitive."
"19870211","Dow Gains 13.92 to Close at 2,171.96","Business","LEAD: A dip in interest rates, a firmer dollar and new-found enthusiasm for technology stocks gave Wall Street what it needed yesterday to break a three-day slide."
"19870211","G.M. CHIEF SEES PROFIT GAIN SOON","Business","LEAD: Roger B. Smith, chairman of the General Motors Corporation, predicted today that his company&#x27;s cost-cutting efforts would start to improve earnings this year, but many analysts doubt that big short-term gains are likely."
"19870331","Prime Rise Aborts Recovery","Business","LEAD: The bond market was recovering some of Monday&#x27;s sharp losses when it was shaken anew late yesterday after Citibank raised its base lending rate to 7 3/4 percent, from 7 1/2 percent. Chase Manhattan quickly followed suit."
"19870331","Economic Scene; U.S.: &#x27;Borrower Of Last Resort&#x27;","Business","LEAD: IN their highly charged state of nervousness, financial markets initially reacted to the United States announcement that it would impose punitive tariffs, amounting to $300 million, against Japan for its failure to comply with a semiconductor agreement as though the end of civilization as we have known it might be approaching."
"19870519","BOND PRICES DECLINE SHARPLY","Business","LEAD: Bond prices fell sharply yesterday afternoon, just a few hours before Citicorp announced plans to increase its provision for loan losses by $3 billion and take an estimated $2.5 billion second-quarter loss."
"19870519","BUSINESS DIGEST: WEDNESDAY, MAY 20, 1987","Business","LEAD: THE ECONOMY Citicorp will increase its reserves for possible loan losses by $3 billion, a move that will result in a $2.5 billion quarterly loss for the nation&#x27;s largest banking company. Citicorp also said it would step up its efforts to reduce its debt exposure in the third world. The company&#x27;s action is likely to cause an upheaval in the banking community and in financial markets."
"19870519","Economic Scene; A Dependence On Foreigners","Business","LEAD: FOREIGNERS now supply more savings to the United States economy than do Americans. In 1986, the inflow of foreign savings to the United States totaled $142 billion, or 3.4 percent of gross national product, while domestic savings totaled only $83 billion, or 2 percent of G.N.P."
"19870519","DOW TUMBLES BY 37.38 ON CITICORP RUMORS","Business","LEAD: The stock market was battered yesterday by rumors that Citicorp would restructure its portfolio of loans to developing nations and by fears of higher interest rates."
"19870707","BANKS WIN RULING ON EXPANSION","Business","LEAD: A Federal appeals court today upheld a Federal Reserve Board decision clearing the way for banks to offer both investment advice and brokerage services to institutional or wealthy clients."
"19870707","BUSINESS DIGEST: WEDNESDAY, JULY 8, 1987","Business","LEAD: International The Senate defeated, 55 to 41, an amendment to the trade bill that would restore Presidential discretion in deciding to grant relief to domestic industries hurt by imports. The limiting of Presidential discretion is one of the main provisions of the trade bill and one that the Administration has said could provoke a veto."
"19870707","BOND PRICES CONTINUE CLIMB","Business","LEAD: Bond prices moved moderately higher in light trading yesterday, helped by another strong performance by the dollar on foreign currency markets."
"19870707","20.25 RISE PUTS DOW NEAR PEAK","Business","LEAD: Led by energy issues and bolstered by foreign buying, the stock market staged a strong rally yesterday, pushing the Dow Jones industrial average to a point just short of its record high."
"19870707","HOW TO GAUGE INFLATION RATE","Business","LEAD: SOME days, inflation seems worse than others."
