DATE,INDPRO_PC1
1920-01-01,15.46964
1920-02-01,20.81072
1920-03-01,22.02304
1920-04-01,13.44948
1920-05-01,15.69743
1920-06-01,9.83662
1920-07-01,1.03120
1920-08-01,0.00000
1920-09-01,-1.55481
1920-10-01,-4.71140
1920-11-01,-11.16937
1920-12-01,-17.80009
1921-01-01,-29.18726
1921-02-01,-30.62131
1921-03-01,-31.21895
1921-04-01,-27.31926
1921-05-01,-27.13531
1921-06-01,-28.35816
1921-07-01,-27.04042
1921-08-01,-24.87398
1921-09-01,-21.57899
1921-10-01,-13.18625
1921-11-01,-6.58637
1921-12-01,-1.27421
1922-01-01,8.78370
1922-02-01,15.86104
1922-03-01,25.53077
1922-04-01,21.27692
1922-05-01,24.13647
1922-06-01,31.24781
1922-07-01,32.16585
1922-08-01,25.00183
1922-09-01,30.87344
1922-10-01,30.37824
1922-11-01,37.81857
1922-12-01,42.57991
1923-01-01,34.16171
1923-02-01,30.35638
1923-03-01,27.68484
1923-04-01,35.08605
1923-05-01,29.99980
1923-06-01,22.75168
1923-07-01,21.69319
1923-08-01,22.16193
1923-09-01,13.33309
1923-10-01,6.79615
1923-11-01,2.32621
1923-12-01,-2.71564
1924-01-01,1.85235
1924-02-01,2.28371
1924-03-01,-2.65555
1924-04-01,-7.79115
1924-05-01,-12.82079
1924-06-01,-15.94783
1924-07-01,-16.52144
1924-08-01,-11.94676
1924-09-01,-6.78747
1924-10-01,-4.09034
1924-11-01,-2.27168
1924-12-01,2.79145
1925-01-01,3.63732
1925-02-01,1.78617
1925-03-01,3.63732
1925-04-01,7.97986
1925-05-01,12.25462
1925-06-01,16.41081
1925-07-01,21.35415
1925-08-01,15.07376
1925-09-01,9.70954
1925-10-01,11.37390
1925-11-01,11.62748
1925-12-01,9.95409
1926-01-01,4.82420
1926-02-01,4.82420
1926-03-01,6.14032
1926-04-01,5.21878
1926-05-01,4.80478
1926-06-01,7.04707
1926-07-01,4.72072
1926-08-01,7.86079
1926-09-01,11.06158
1926-10-01,6.80875
1926-11-01,4.16623
1926-12-01,2.46980
1927-01-01,3.76515
1927-02-01,4.60218
1927-03-01,4.54512
1927-04-01,2.06515
1927-05-01,3.74945
1927-06-01,2.05816
1927-07-01,0.40995
1927-08-01,-0.80993
1927-09-01,-3.98366
1927-10-01,-5.97620
1927-11-01,-5.60001
1927-12-01,-4.81908
1928-01-01,-2.41853
1928-02-01,-2.40062
1928-03-01,-2.76751
1928-04-01,-0.80993
1928-05-01,-0.40171
1928-06-01,0.80666
1928-07-01,3.26617
1928-08-01,5.30606
1928-09-01,7.88283
1928-10-01,12.28827
1928-11-01,14.40594
1928-12-01,16.03334
1929-01-01,15.28866
1929-02-01,13.93518
1929-03-01,13.41524
1929-04-01,15.91964
1929-05-01,16.53222
1929-06-01,16.39993
1929-07-01,16.60077
1929-08-01,13.17900
1929-09-01,11.53873
1929-10-01,7.54640
1929-11-01,0.37047
1929-12-01,-5.81840
1930-01-01,-7.16902
1930-02-01,-7.19481
1930-03-01,-8.96030
1930-04-01,-11.26793
1930-05-01,-14.18683
1930-06-01,-17.18164
1930-07-01,-22.03467
1930-08-01,-22.94498
1930-09-01,-23.79310
1930-10-01,-24.56160
1930-11-01,-22.50856
1930-12-01,-20.84937
1931-01-01,-21.23557
1931-02-01,-20.54250
1931-03-01,-17.71680
1931-04-01,-16.66667
1931-05-01,-16.53222
1931-06-01,-16.18370
1931-07-01,-13.47715
1931-08-01,-14.66722
1931-09-01,-17.19416
1931-10-01,-18.13937
1931-11-01,-17.14384
1931-12-01,-15.61036
1932-01-01,-17.64643
1932-02-01,-20.00000
1932-03-01,-22.48868
1932-04-01,-28.09561
1932-05-01,-29.46933
1932-06-01,-30.19718
1932-07-01,-31.15644
1932-08-01,-26.56197
1932-09-01,-18.03347
1932-10-01,-11.93090
1932-11-01,-10.91834
1932-12-01,-12.13785
1933-01-01,-11.31029
1933-02-01,-8.53664
1933-03-01,-12.96197
1933-04-01,0.00000
1933-05-01,20.54859
1933-06-01,43.97009
1933-07-01,62.04433
1933-08-01,51.06410
1933-09-01,34.00178
1933-10-01,23.22477
1933-11-01,16.12851
1933-12-01,19.07918
1934-01-01,25.50288
1934-02-01,30.66757
1934-03-01,45.38889
1934-04-01,35.76143
1934-05-01,18.75090
1934-06-01,0.98548
1934-07-01,-13.96434
1934-08-01,-11.26878
1934-09-01,-11.44387
1934-10-01,-2.61660
1934-11-01,4.44360
1934-12-01,10.49797
1935-01-01,15.50835
1935-02-01,12.24437
1935-03-01,6.82931
1935-04-01,4.87758
1935-05-01,2.86983
1935-06-01,6.34138
1935-07-01,14.13609
1935-08-01,19.57813
1935-09-01,30.33696
1935-10-01,28.49405
1935-11-01,29.78756
1935-12-01,23.49872
1936-01-01,12.50000
1936-02-01,7.72766
1936-03-01,9.58992
1936-04-01,18.60629
1936-05-01,20.93082
1936-06-01,21.56038
1936-07-01,23.85291
1936-08-01,21.23798
1936-09-01,20.25931
1936-10-01,18.41024
1936-11-01,19.26299
1936-12-01,21.45729
1937-01-01,23.04549
1937-02-01,27.84770
1937-03-01,29.16660
1937-04-01,21.56846
1937-05-01,19.61639
1937-06-01,15.84907
1937-07-01,14.44563
1937-08-01,12.04433
1937-09-01,6.45199
1937-10-01,-2.82758
1937-11-01,-14.77676
1937-12-01,-24.66598
1938-01-01,-26.08664
1938-02-01,-27.72289
1938-03-01,-29.35537
1938-04-01,-30.64603
1938-05-01,-32.47605
1938-06-01,-30.94440
1938-07-01,-27.50815
1938-08-01,-23.12714
1938-09-01,-18.18281
1938-10-01,-9.45440
1938-11-01,4.43519
1938-12-01,15.92848
1939-01-01,18.55198
1939-02-01,20.54842
1939-03-01,21.00516
1939-04-01,22.79178
1939-05-01,25.23773
1939-06-01,26.88685
1939-07-01,23.66037
1939-08-01,19.06817
1939-09-01,22.63534
1939-10-01,25.70227
1939-11-01,23.93899
1939-12-01,22.51947
1940-01-01,20.99235
1940-02-01,16.28801
1940-03-01,13.20688
1940-04-01,15.90912
1940-05-01,19.77153
1940-06-01,20.81778
1940-07-01,18.77224
1940-08-01,17.79303
1940-09-01,13.42260
1940-10-01,9.58490
1940-11-01,9.34596
1940-12-01,13.08412
1941-01-01,17.35015
1941-02-01,24.75505
1941-03-01,31.66663
1941-04-01,29.41114
1941-05-01,31.42883
1941-06-01,28.30715
1941-07-01,28.26834
1941-08-01,29.00298
1941-09-01,26.33063
1941-10-01,25.65641
1941-11-01,23.36166
1941-12-01,21.21164
1942-01-01,20.69950
1942-02-01,19.32154
1942-03-01,16.96287
1942-04-01,13.38464
1942-05-01,8.69531
1942-06-01,8.15386
1942-07-01,9.47854
1942-08-01,11.47588
1942-09-01,14.05182
1942-10-01,16.70549
1942-11-01,18.93754
1942-12-01,19.77300
1943-01-01,18.48546
1943-02-01,19.47517
1943-03-01,19.04706
1943-04-01,24.05321
1943-05-01,24.66678
1943-06-01,23.72473
1943-07-01,24.45815
1943-08-01,23.31927
1943-09-01,23.61416
1943-10-01,21.47098
1943-11-01,20.19380
1943-12-01,15.93932
1944-01-01,16.16483
1944-02-01,14.10223
1944-03-01,13.09106
1944-04-01,11.66944
1944-05-01,10.16118
1944-06-01,10.39437
1944-07-01,6.95710
1944-08-01,6.13262
1944-09-01,2.82345
1944-10-01,1.63650
1944-11-01,-0.48420
1944-12-01,0.49113
1945-01-01,-1.61796
1945-02-01,-2.72886
1945-03-01,-3.21569
1945-04-01,-4.98406
1945-05-01,-6.95796
1945-06-01,-8.76674
1945-07-01,-10.73154
1945-08-01,-21.02698
1945-09-01,-27.62487
