DATE,PCEPI_PCH
2/1/59,0.09332
3/1/59,0.06837
4/1/59,0.19876
5/1/59,0.04959
6/1/59,0.28501
7/1/59,0.21006
8/1/59,0.14797
9/1/59,0.25856
10/1/59,0.24561
11/1/59,0.06125
12/1/59,0.11631
1/1/60,-0.05503
2/1/60,0.104
3/1/60,0.055
4/1/60,0.36648
5/1/60,0.10346
6/1/60,0.04256
7/1/60,0.17623
8/1/60,0.16985
9/1/60,0.06056
10/1/60,0.11499
11/1/60,0.33853
12/1/60,0.01807
1/1/61,0.01807
2/1/61,0.09636
3/1/61,-0.06017
4/1/61,-0.0602
5/1/61,0.05422
6/1/61,0.04817
7/1/61,0.21665
8/1/61,0.08407
9/1/61,0.114
10/1/61,-0.00599
11/1/61,0.00599
12/1/61,0.02397
1/1/62,0.18574
2/1/62,0.2751
3/1/62,0.13121
4/1/62,0.11317
5/1/62,0.0595
6/1/62,0.06541
7/1/62,-0.05942
8/1/62,0.14864
9/1/62,0.49276
10/1/62,-0.10634
11/1/62,0.07688
12/1/62,-0.04728
1/1/63,0.24832
2/1/63,0.10616
3/1/63,-0.07659
4/1/63,-0.0059
5/1/63,0.1592
6/1/63,0.21781
7/1/63,0.19972
8/1/63,0.13483
9/1/63,-0.01756
10/1/63,0.19323
11/1/63,0.14026
12/1/63,0.15174
1/1/64,0.20978
2/1/64,0.13956
3/1/64,0.05807
4/1/64,0.08125
5/1/64,0.0058
6/1/64,0.14496
7/1/64,0.12738
8/1/64,0.07517
9/1/64,0.15602
10/1/64,0.05769
11/1/64,0.14415
12/1/64,0.14394
1/1/65,0.10924
2/1/65,0.0402
3/1/65,0.13204
4/1/65,0.1548
5/1/65,0.22325
6/1/65,0.2913
7/1/65,0.07404
8/1/65,0.02276
9/1/65,0.04552
10/1/65,0.03412
11/1/65,0.17055
12/1/65,0.36322
1/1/66,0.1131
2/1/66,0.41798
3/1/66,0.24187
4/1/66,0.3479
5/1/66,0.12302
6/1/66,0.25133
7/1/66,0.18942
8/1/66,0.38367
9/1/66,0.31574
10/1/66,0.26505
11/1/66,0.14869
12/1/66,0.20346
1/1/67,0.01098
2/1/67,0.11523
3/1/67,0.05481
4/1/67,0.16434
5/1/67,0.19141
6/1/67,0.32205
7/1/67,0.33734
8/1/67,0.31452
9/1/67,0.30272
10/1/67,0.27486
11/1/67,0.33323
12/1/67,0.1607
1/1/68,0.45994
2/1/68,0.40992
3/1/68,0.32872
4/1/68,0.31179
5/1/68,0.36877
6/1/68,0.32018
7/1/68,0.30346
8/1/68,0.41208
9/1/68,0.34805
10/1/68,0.44003
11/1/68,0.33502
12/1/68,0.21061
1/1/69,0.38958
2/1/69,0.2502
3/1/69,0.47369
4/1/69,0.43597
5/1/69,0.4038
6/1/69,0.48763
7/1/69,0.43524
8/1/69,0.27894
9/1/69,0.41725
10/1/69,0.34131
11/1/69,0.42889
12/1/69,0.45651
1/1/70,0.36159
2/1/70,0.39437
3/1/70,0.25218
4/1/70,0.5031
5/1/70,0.31767
6/1/70,0.25909
7/1/70,0.36849
8/1/70,0.26224
9/1/70,0.44702
10/1/70,0.49711
11/1/70,0.39101
12/1/70,0.4458
1/1/71,0.21023
2/1/71,0.29371
