DATE,PCEPI_PCA
1959-02-01,1.12559
1959-03-01,0.82353
1959-04-01,2.41134
1959-05-01,0.59672
1959-06-01,3.47420
1959-07-01,2.55002
1959-08-01,1.79011
1959-09-01,3.14719
1959-10-01,2.98746
1959-11-01,0.73751
1959-12-01,1.40465
1960-01-01,-0.65835
1960-02-01,1.25518
1960-03-01,0.66203
1960-04-01,4.48749
1960-05-01,1.24857
1960-06-01,0.51187
1960-07-01,2.13535
1960-08-01,2.05737
1960-09-01,0.72913
1960-10-01,1.38866
1960-11-01,4.13889
1960-12-01,0.21711
1961-01-01,0.21707
1961-02-01,1.16250
1961-03-01,-0.71964
1961-04-01,-0.72007
1961-05-01,0.65255
1961-06-01,0.57953
1961-07-01,2.63095
1961-08-01,1.01350
1961-09-01,1.37658
1961-10-01,-0.07189
1961-11-01,0.07194
1961-12-01,0.28805
1962-01-01,2.25179
1962-02-01,3.35165
1962-03-01,1.58593
1962-04-01,1.36652
1962-05-01,0.71629
1962-06-01,0.78770
1962-07-01,-0.71073
1962-08-01,1.79835
1962-09-01,6.07600
1962-10-01,-1.26863
1962-11-01,0.92650
1962-12-01,-0.56584
1963-01-01,3.02081
1963-02-01,1.28135
1963-03-01,-0.91519
1963-04-01,-0.07073
1963-05-01,1.92719
1963-06-01,2.64530
1963-07-01,2.42312
1963-08-01,1.63006
1963-09-01,-0.21056
1963-10-01,2.34358
1963-11-01,1.69617
1963-12-01,1.83611
1964-01-01,2.54658
1964-02-01,1.68763
1964-03-01,0.69905
1964-04-01,0.97936
1964-05-01,0.06961
1964-06-01,1.75347
1964-07-01,1.53933
1964-08-01,0.90584
1964-09-01,1.88833
1964-10-01,0.69452
1964-11-01,1.74359
1964-12-01,1.74106
1965-01-01,1.31878
1965-02-01,0.48349
1965-03-01,1.59603
1965-04-01,1.87348
1965-05-01,2.71217
1965-06-01,3.55210
1965-07-01,0.89206
1965-08-01,0.27350
1965-09-01,0.54757
1965-10-01,0.41023
1965-11-01,2.06592
1965-12-01,4.44682
1966-01-01,1.36563
1966-02-01,5.13275
1966-03-01,2.94139
1966-04-01,4.25567
1966-05-01,1.48629
1966-06-01,3.05796
1966-07-01,2.29681
1966-08-01,4.70250
1966-09-01,3.85534
1966-10-01,3.22734
1966-11-01,1.79900
1966-12-01,2.46908
1967-01-01,0.13179
1967-02-01,1.39159
1967-03-01,0.65970
1967-04-01,1.98999
1967-05-01,2.32130
1967-06-01,3.93382
1967-07-01,4.12406
1967-08-01,3.84018
1967-09-01,3.69372
1967-10-01,3.34862
1967-11-01,4.07282
1967-12-01,1.94557
1968-01-01,5.66109
1968-02-01,5.03151
1968-03-01,4.01675
1968-04-01,3.80631
1968-05-01,4.51611
1968-06-01,3.91050
1968-07-01,3.70290
1968-08-01,5.05860
1968-09-01,4.25751
1968-10-01,5.41001
1968-11-01,4.09511
