DATE,PCE_PCH
2/1/59,1.14342
3/1/59,1.00129
4/1/59,-0.1599
5/1/59,1.2492
6/1/59,0.66435
7/1/59,-0.12571
8/1/59,0.75519
9/1/59,1.24922
10/1/59,-0.43183
11/1/59,0.03098
12/1/59,0
1/1/60,0.21679
2/1/60,0.52534
3/1/60,1.5063
4/1/60,1.90793
5/1/60,-1.93165
6/1/60,0.0303
7/1/60,0.39382
8/1/60,0.06035
9/1/60,0.54282
10/1/60,0.59988
11/1/60,0
12/1/60,-1.22242
1/1/61,0.27166
2/1/61,0.45154
3/1/61,1.19868
4/1/61,-0.02961
5/1/61,0.68128
6/1/61,0.2942
7/1/61,-0.088
8/1/61,0.4404
9/1/61,0.67232
10/1/61,0.60976
11/1/61,0.98124
12/1/61,0.71449
1/1/62,0.22701
2/1/62,0.2265
3/1/62,0.96045
4/1/62,0.44768
5/1/62,0.83565
6/1/62,-0.44199
7/1/62,0.27747
8/1/62,0.41505
9/1/62,1.62579
10/1/62,-0.62364
11/1/62,1.41883
12/1/62,0.51116
1/1/63,0.21413
2/1/63,-0.26709
3/1/63,0.42849
4/1/63,0.37333
5/1/63,0.21254
6/1/63,1.193
7/1/63,0.70736
8/1/63,0.49428
9/1/63,-0.20709
10/1/63,0.1297
11/1/63,0.88083
12/1/63,1.36107
1/1/64,0.53205
2/1/64,0.85685
3/1/64,0.3998
4/1/64,0.24888
5/1/64,1.39027
6/1/64,0.73457
7/1/64,0.85075
8/1/64,0.67486
9/1/64,-0.26335
10/1/64,0.72012
11/1/64,-0.76263
12/1/64,1.10471
1/1/65,0.8076
2/1/65,1.64939
3/1/65,0.44043
4/1/65,0.87699
5/1/65,0.11439
6/1/65,-0.54845
7/1/65,1.33272
8/1/65,0.77098
9/1/65,1.71017
10/1/65,1.43805
11/1/65,0.13086
12/1/65,0.56633
1/1/66,0.75807
2/1/66,1.07481
3/1/66,1.02084
4/1/66,0.4
5/1/66,-0.79681
6/1/66,0.50729
7/1/66,1.07256
8/1/66,0.54099
9/1/66,1.24172
10/1/66,-0.18397
11/1/66,0.36863
12/1/66,0.34687
1/1/67,0.488
2/1/67,-0.24282
3/1/67,0.56795
4/1/67,1.10932
5/1/67,0.17953
6/1/67,0.91597
7/1/67,-0.01973
8/1/67,0.6118
9/1/67,1.1377
10/1/67,-0.65943
11/1/67,1.01523
12/1/67,1.48821
1/1/68,1.10455
2/1/68,0.50857
3/1/68,2.00525
4/1/68,-0.05512
5/1/68,1.06618
6/1/68,1.18225
7/1/68,1.24034
8/1/68,0.67472
9/1/68,0.21164
10/1/68,0.59838
11/1/68,0.89223
12/1/68,-0.03468
1/1/69,1.21422
2/1/69,0.89117
3/1/69,0.03397
4/1/69,0.84904
5/1/69,1.07762
6/1/69,0.09995
7/1/69,0.29955
8/1/69,1.19462
9/1/69,0.54107
10/1/69,0.86432
11/1/69,0.32336
12/1/69,0.37067
1/1/70,0.94733
2/1/70,0.84301
3/1/70,-0.26814
4/1/70,0.58517
5/1/70,1.00629
6/1/70,0.6071
7/1/70,0.3404
8/1/70,0.67849
9/1/70,0.94961
10/1/70,-0.12138
11/1/70,-0.25824
12/1/70,1.3707
1/1/71,1.57752
2/1/71,0.48809
3/1/71,0.38269
4/1/71,0.99707
5/1/71,0.33391
6/1/71,1.25886
7/1/71,-0.12861
8/1/71,0.85849
9/1/71,1.1491
10/1/71,0.39271
11/1/71,0.71249
12/1/71,1.04037
