year,start_date,end_date,event_type,file_name,file_size,file_type,link,grouping,document_class
1936,1936-03-18,1936-03-18,Meeting,Historical Minutes,400 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19360318.pdf,Historical Minutes,Meeting Summary
1936,1936-03-18,1936-03-18,Meeting,Historical Minutes,400 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19360318.pdf,Historical Minutes,Meeting Summary
1936,1936-03-19,1936-03-19,Meeting,Record of Policy Actions,271 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/fomcropa19360319.pdf,Record of Policy Actions,Meeting Summary
1936,1936-03-19,1936-03-19,Meeting,Historical Minutes,694 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19360319.pdf,Historical Minutes,Meeting Summary
1936,1936-03-19,1936-03-19,Meeting,"Intermeeting Executive Committee Minutes:March 19, 1936",85 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360319.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-03-19,1936-03-19,Meeting,Record of Policy Actions,271 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/fomcropa19360319.pdf,Record of Policy Actions,Meeting Summary
1936,1936-03-19,1936-03-19,Meeting,Historical Minutes,694 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19360319.pdf,Historical Minutes,Meeting Summary
1936,1936-03-19,1936-03-19,Meeting,"Intermeeting Executive Committee Minutes:March 19, 1936",85 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360319.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-05-25,1936-05-25,Meeting,Record of Policy Actions,143 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/fomcropa19360525.pdf,Record of Policy Actions,Meeting Summary
1936,1936-05-25,1936-05-25,Meeting,Historical Minutes,734 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19360525.pdf,Historical Minutes,Meeting Summary
1936,1936-05-25,1936-05-25,Meeting,"Intermeeting Executive Committee Minutes:May 25, 1936, 11:30 a.m.",231 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360525.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-05-25,1936-05-25,Meeting,"Intermeeting Executive Committee Minutes:May 25, 1936, 6:25 p.m.",87 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec219360525.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-05-25,1936-05-25,Meeting,Record of Policy Actions,143 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/fomcropa19360525.pdf,Record of Policy Actions,Meeting Summary
1936,1936-05-25,1936-05-25,Meeting,Historical Minutes,734 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19360525.pdf,Historical Minutes,Meeting Summary
1936,1936-05-25,1936-05-25,Meeting,"Intermeeting Executive Committee Minutes:May 25, 1936, 11:30 a.m.",231 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360525.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-05-25,1936-05-25,Meeting,"Intermeeting Executive Committee Minutes:May 25, 1936, 6:25 p.m.",87 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec219360525.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,Historical Minutes,176 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19361119.pdf,Historical Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,"Intermeeting Executive Committee Minutes:May 27, 1936",83 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360527.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,"Intermeeting Executive Committee Minutes:June 24, 1936",549 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360624.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,"Intermeeting Executive Committee Minutes:September 2, 1936",282 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360902.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,"Intermeeting Executive Committee Minutes:November 19, 1936",223 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119361119.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,Historical Minutes,176 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19361119.pdf,Historical Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,"Intermeeting Executive Committee Minutes:May 27, 1936",83 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360527.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,"Intermeeting Executive Committee Minutes:June 24, 1936",549 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360624.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,"Intermeeting Executive Committee Minutes:September 2, 1936",282 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119360902.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-19,1936-11-19,Meeting,"Intermeeting Executive Committee Minutes:November 19, 1936",223 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119361119.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-20,1936-11-20,Meeting,Record of Policy Actions,198 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/fomcropa19361120.pdf,Record of Policy Actions,Meeting Summary
1936,1936-11-20,1936-11-20,Meeting,Historical Minutes,554 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19361120.pdf,Historical Minutes,Meeting Summary
1936,1936-11-20,1936-11-20,Meeting,"Intermeeting Executive Committee Minutes:November 20, 1937",125 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119361120.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1936,1936-11-20,1936-11-20,Meeting,Record of Policy Actions,198 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/fomcropa19361120.pdf,Record of Policy Actions,Meeting Summary
1936,1936-11-20,1936-11-20,Meeting,Historical Minutes,554 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChistmin19361120.pdf,Historical Minutes,Meeting Summary
1936,1936-11-20,1936-11-20,Meeting,"Intermeeting Executive Committee Minutes:November 20, 1937",125 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119361120.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,Record of Policy Actions,272 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/fomcropa19370126.pdf,Record of Policy Actions,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,"Historical Minutes, 10:30 a.m.",131 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminfc119370126.pdf,Historical Minutes,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,"Historical Minutes, 2:45 p.m.",0.99 MB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminfc219370126.pdf,Historical Minutes,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,"Intermeeting Executive Committee Minutes:December 21, 1936",284 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119361221.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,"Intermeeting Executive Committee Minutes:January 26, 1937, 11:45 a.m.",130 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119370126.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,"Intermeeting Executive Committee Minutes:January 26, 1937, 5:30 p.m.",121 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec219370126.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,Record of Policy Actions,272 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/fomcropa19370126.pdf,Record of Policy Actions,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,"Historical Minutes, 10:30 a.m.",131 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminfc119370126.pdf,Historical Minutes,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,"Historical Minutes, 2:45 p.m.",0.99 MB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminfc219370126.pdf,Historical Minutes,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,"Intermeeting Executive Committee Minutes:December 21, 1936",284 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119361221.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
1937,1937-01-26,1937-01-26,Meeting,"Intermeeting Executive Committee Minutes:January 26, 1937, 11:45 a.m.",130 KB,PDF,https://www.federalreserve.gov/monetarypolicy/files/FOMChminec119370126.pdf,Intermeeting Executive Committee Minutes,Meeting Summary
