macro_variable,meeting_date,forecast_date,projection
gRPCE,19850206,1984.1,4.6
gRPCE,19850206,1984.2,7.9
gRPCE,19850206,1984.3,0.7
gRPCE,19850206,1984.4,3.9
gRPCE,19850206,1985.1,4.9
gRPCE,19850206,1985.2,4.5
gRPCE,19850206,1985.3,3.8
gRPCE,19850206,1985.4,3.3
gRPCE,19850206,1986.1,2.7
gRPCE,19850206,1986.2,2.6
gRPCE,19850206,1986.3,2.5
gRPCE,19850206,1986.4,2.0
gRPCE,19850320,1984.1,4.6
gRPCE,19850320,1984.2,7.9
gRPCE,19850320,1984.3,0.7
gRPCE,19850320,1984.4,3.6
gRPCE,19850320,1985.1,6.2
gRPCE,19850320,1985.2,4.1
gRPCE,19850320,1985.3,3.5
gRPCE,19850320,1985.4,3.2
gRPCE,19850320,1986.1,2.8
gRPCE,19850320,1986.2,2.7
gRPCE,19850320,1986.3,2.5
gRPCE,19850320,1986.4,2.1
gRPCE,19850515,1984.2,7.9
gRPCE,19850515,1984.3,0.7
gRPCE,19850515,1984.4,3.6
gRPCE,19850515,1985.1,4.7
gRPCE,19850515,1985.2,2.6
gRPCE,19850515,1985.3,2.8
gRPCE,19850515,1985.4,2.7
gRPCE,19850515,1986.1,2.6
gRPCE,19850515,1986.2,2.2
gRPCE,19850515,1986.3,2.0
gRPCE,19850515,1986.4,1.8
gRPCE,19850703,1984.3,0.7
gRPCE,19850703,1984.4,3.6
gRPCE,19850703,1985.1,5.2
gRPCE,19850703,1985.2,4.2
gRPCE,19850703,1985.3,2.2
gRPCE,19850703,1985.4,2.1
gRPCE,19850703,1986.1,2.1
gRPCE,19850703,1986.2,2.0
gRPCE,19850703,1986.3,2.0
gRPCE,19850703,1986.4,1.8
gRPCE,19850814,1984.3,0.7
gRPCE,19850814,1984.4,3.6
gRPCE,19850814,1985.1,5.2
gRPCE,19850814,1985.2,5.2
gRPCE,19850814,1985.3,1.3
gRPCE,19850814,1985.4,2.0
gRPCE,19850814,1986.1,2.0
gRPCE,19850814,1986.2,1.9
gRPCE,19850814,1986.3,1.8
gRPCE,19850814,1986.4,1.7
gRPCE,19850925,1984.3,0.7
gRPCE,19850925,1984.4,3.6
gRPCE,19850925,1985.1,5.2
gRPCE,19850925,1985.2,4.8
gRPCE,19850925,1985.3,4.3
gRPCE,19850925,1985.4,-2.0
gRPCE,19850925,1986.1,3.2
gRPCE,19850925,1986.2,1.7
gRPCE,19850925,1986.3,1.5
gRPCE,19850925,1986.4,1.3
gRPCE,19851030,1984.4,3.6
gRPCE,19851030,1985.1,5.2
gRPCE,19851030,1985.2,4.8
gRPCE,19851030,1985.3,4.8
gRPCE,19851030,1985.4,-2.2
gRPCE,19851030,1986.1,3.3
gRPCE,19851030,1986.2,1.8
gRPCE,19851030,1986.3,1.5
gRPCE,19851030,1986.4,1.5
gRPCE,19851211,1984.4,3.6
gRPCE,19851211,1985.1,5.2
gRPCE,19851211,1985.2,4.8
gRPCE,19851211,1985.3,5.4
gRPCE,19851211,1985.4,-0.7
gRPCE,19851211,1986.1,3.0
gRPCE,19851211,1986.2,2.0
gRPCE,19851211,1986.3,1.6
gRPCE,19851211,1986.4,1.5
gRPCE,19860205,1985.3,4.6
gRPCE,19860205,1985.4,-0.2
gRPCE,19860205,1986.1,3.7
gRPCE,19860205,1986.2,3.2
gRPCE,19860205,1986.3,2.3
gRPCE,19860205,1986.4,2.0
gRPCE,19860205,1987.1,1.8
gRPCE,19860205,1987.2,1.9
gRPCE,19860205,1987.3,1.9
gRPCE,19860205,1987.4,2.3
gRPCE,19860326,1985.3,4.6
gRPCE,19860326,1985.4,0.1
gRPCE,19860326,1986.1,2.5
gRPCE,19860326,1986.2,3.3
gRPCE,19860326,1986.3,3.4
gRPCE,19860326,1986.4,3.3
gRPCE,19860326,1987.1,2.5
gRPCE,19860326,1987.2,2.2
gRPCE,19860326,1987.3,2.0
gRPCE,19860326,1987.4,2.0
gRPCE,19860514,1985.3,4.6
gRPCE,19860514,1985.4,0.1
gRPCE,19860514,1986.1,4.3
gRPCE,19860514,1986.2,3.2
gRPCE,19860514,1986.3,3.2
gRPCE,19860514,1986.4,3.2
gRPCE,19860514,1987.1,2.5
gRPCE,19860514,1987.2,2.2
gRPCE,19860514,1987.3,2.0
gRPCE,19860514,1987.4,2.0
gRPCE,19860702,1985.3,4.6
gRPCE,19860702,1985.4,0.1
gRPCE,19860702,1986.1,3.8
gRPCE,19860702,1986.2,6.0
gRPCE,19860702,1986.3,2.5
gRPCE,19860702,1986.4,2.7
gRPCE,19860702,1987.1,2.5
gRPCE,19860702,1987.2,2.2
gRPCE,19860702,1987.3,1.8
gRPCE,19860702,1987.4,1.7
gRPCE,19860813,1985.3,5.3
gRPCE,19860813,1985.4,1.7
gRPCE,19860813,1986.1,3.6
gRPCE,19860813,1986.2,5.9
gRPCE,19860813,1986.3,2.4
gRPCE,19860813,1986.4,2.7
gRPCE,19860813,1987.1,2.4
gRPCE,19860813,1987.2,2.4
gRPCE,19860813,1987.3,1.9
gRPCE,19860813,1987.4,1.7
gRPCE,19860917,1985.3,5.3
gRPCE,19860917,1985.4,1.7
gRPCE,19860917,1986.1,3.6
gRPCE,19860917,1986.2,6.5
gRPCE,19860917,1986.3,5.3
gRPCE,19860917,1986.4,-0.7
gRPCE,19860917,1987.1,2.6
gRPCE,19860917,1987.2,2.4
gRPCE,19860917,1987.3,1.9
gRPCE,19860917,1987.4,1.7
gRPCE,19861029,1985.4,1.7
gRPCE,19861029,1986.1,3.6
gRPCE,19861029,1986.2,6.2
gRPCE,19861029,1986.3,7.2
gRPCE,19861029,1986.4,-2.7
gRPCE,19861029,1987.1,2.3
gRPCE,19861029,1987.2,2.3
gRPCE,19861029,1987.3,2.1
gRPCE,19861029,1987.4,2.1
gRPCE,19861210,1985.4,1.7
gRPCE,19861210,1986.1,3.6
gRPCE,19861210,1986.2,6.2
gRPCE,19861210,1986.3,6.5
gRPCE,19861210,1986.4,-4.0
gRPCE,19861210,1987.1,3.0
gRPCE,19861210,1987.2,2.6
gRPCE,19861210,1987.3,2.2
gRPCE,19861210,1987.4,2.1
gRPCE,19870204,1986.3,6.7
gRPCE,19870204,1986.4,-0.5
gRPCE,19870204,1987.1,-0.3
gRPCE,19870204,1987.2,2.4
gRPCE,19870204,1987.3,2.1
gRPCE,19870204,1987.4,1.9
gRPCE,19870204,1988.1,1.7
gRPCE,19870204,1988.2,1.2
gRPCE,19870204,1988.3,1.3
gRPCE,19870204,1988.4,1.4
gRPCE,19870325,1986.3,6.7
gRPCE,19870325,1986.4,-0.4
gRPCE,19870325,1987.1,-1.8
gRPCE,19870325,1987.2,3.7
gRPCE,19870325,1987.3,1.5
gRPCE,19870325,1987.4,0.5
gRPCE,19870325,1988.1,1.1
gRPCE,19870325,1988.2,1.1
gRPCE,19870325,1988.3,1.3
gRPCE,19870325,1988.4,1.1
gRPCE,19870513,1986.3,6.7
gRPCE,19870513,1986.4,-0.4
gRPCE,19870513,1987.1,-0.4
gRPCE,19870513,1987.2,3.9
gRPCE,19870513,1987.3,1.8
gRPCE,19870513,1987.4,0.2
gRPCE,19870513,1988.1,1.0
gRPCE,19870513,1988.2,0.9
gRPCE,19870513,1988.3,1.0
gRPCE,19870513,1988.4,0.9
gRPCE,19870701,1986.3,6.7
gRPCE,19870701,1986.4,-0.4
gRPCE,19870701,1987.1,-1.1
gRPCE,19870701,1987.2,2.5
gRPCE,19870701,1987.3,3.6
gRPCE,19870701,1987.4,0.6
gRPCE,19870701,1988.1,0.8
gRPCE,19870701,1988.2,1.0
gRPCE,19870701,1988.3,1.0
gRPCE,19870701,1988.4,1.0
gRPCE,19870812,1986.3,7.3
gRPCE,19870812,1986.4,0.5
gRPCE,19870812,1987.1,-0.7
gRPCE,19870812,1987.2,2.1
gRPCE,19870812,1987.3,4.9
gRPCE,19870812,1987.4,-0.3
gRPCE,19870812,1988.1,1.8
gRPCE,19870812,1988.2,1.5
gRPCE,19870812,1988.3,1.5
gRPCE,19870812,1988.4,1.3
gRPCE,19870916,1986.3,7.3
gRPCE,19870916,1986.4,0.5
gRPCE,19870916,1987.1,-0.7
gRPCE,19870916,1987.2,2.1
gRPCE,19870916,1987.3,6.5
gRPCE,19870916,1987.4,-0.8
gRPCE,19870916,1988.1,1.9
gRPCE,19870916,1988.2,1.6
gRPCE,19870916,1988.3,1.6
gRPCE,19870916,1988.4,1.3
gRPCE,19871028,1986.4,0.5
gRPCE,19871028,1987.1,-0.7
gRPCE,19871028,1987.2,1.9
gRPCE,19871028,1987.3,4.8
gRPCE,19871028,1987.4,-2.6
gRPCE,19871028,1988.1,0.4
gRPCE,19871028,1988.2,0.9
gRPCE,19871028,1988.3,1.6
gRPCE,19871028,1988.4,1.7
gRPCE,19871209,1986.4,0.5
gRPCE,19871209,1987.1,-0.7
gRPCE,19871209,1987.2,1.9
gRPCE,19871209,1987.3,4.9
gRPCE,19871209,1987.4,-2.1
gRPCE,19871209,1988.1,0.3
gRPCE,19871209,1988.2,0.5
gRPCE,19871209,1988.3,1.8
gRPCE,19871209,1988.4,2.2
gRPCE,19880203,1987.3,5.4
gRPCE,19880203,1987.4,-3.8
gRPCE,19880203,1988.1,1.4
gRPCE,19880203,1988.2,1.8
gRPCE,19880203,1988.3,2.0
gRPCE,19880203,1988.4,2.1
gRPCE,19880203,1989.1,1.8
gRPCE,19880203,1989.2,1.8
gRPCE,19880203,1989.3,1.5
gRPCE,19880203,1989.4,1.5
gRPCE,19880323,1987.3,5.4
gRPCE,19880323,1987.4,-3.1
gRPCE,19880323,1988.1,2.8
gRPCE,19880323,1988.2,1.7
gRPCE,19880323,1988.3,2.0
gRPCE,19880323,1988.4,1.7
gRPCE,19880323,1989.1,1.3
gRPCE,19880323,1989.2,1.4
gRPCE,19880323,1989.3,1.2
gRPCE,19880323,1989.4,1.2
gRPCE,19880511,1987.3,5.4
gRPCE,19880511,1987.4,-2.5
gRPCE,19880511,1988.1,3.8
gRPCE,19880511,1988.2,2.3
gRPCE,19880511,1988.3,2.7
gRPCE,19880511,1988.4,1.6
gRPCE,19880511,1989.1,1.0
gRPCE,19880511,1989.2,0.9
gRPCE,19880511,1989.3,1.1
gRPCE,19880511,1989.4,1.0
gRPCE,19880622,1987.3,5.4
gRPCE,19880622,1987.4,-2.5
gRPCE,19880622,1988.1,4.3
gRPCE,19880622,1988.2,1.5
gRPCE,19880622,1988.3,3.0
gRPCE,19880622,1988.4,2.2
gRPCE,19880622,1989.1,1.6
gRPCE,19880622,1989.2,0.6
gRPCE,19880622,1989.3,0.9
gRPCE,19880622,1989.4,1.0
gRPCE,19880810,1987.3,4.6
gRPCE,19880810,1987.4,-2.1
gRPCE,19880810,1988.1,4.5
gRPCE,19880810,1988.2,2.3
gRPCE,19880810,1988.3,2.6
gRPCE,19880810,1988.4,2.3
gRPCE,19880810,1989.1,1.3
gRPCE,19880810,1989.2,1.3
gRPCE,19880810,1989.3,1.3
gRPCE,19880810,1989.4,1.3
gRPCE,19880914,1987.3,4.6
gRPCE,19880914,1987.4,-2.1
gRPCE,19880914,1988.1,4.5
gRPCE,19880914,1988.2,2.7
gRPCE,19880914,1988.3,3.1
gRPCE,19880914,1988.4,2.5
gRPCE,19880914,1989.1,1.7
gRPCE,19880914,1989.2,1.3
gRPCE,19880914,1989.3,1.3
gRPCE,19880914,1989.4,1.3
gRPCE,19881026,1987.4,-2.1
