meeting_date,article_date,source,headline,content
1997-08-19 00:00:00,1997-08-20 00:00:00,The New York Times,FEDERAL RESERVE LETS RATES STAND,
1997-08-19 00:00:00,1997-08-20 00:00:00,The Wall Street Journal,Fed Holds Key Short-Term Rate at 5.5% --- New Data Show Economy Is Growing Moderately And Inflation Is Low,
2001-12-11 00:00:00,2001-12-12 00:00:00,The Wall Street Journal,Money Rates,
2001-12-11 00:00:00,2001-12-12 00:00:00,The New York Times,"With the Economy Still Fragile, the Fed Again Cuts Rates",
2001-12-11 00:00:00,2001-12-12 00:00:00,The New York Times,Text of Federal Reserve's Statement,
2008-12-16 00:00:00,2008-12-17 00:00:00,The Wall Street Journal,New Index Fund: Small and Foreign --- Is Vanguard's Offering Novel or Mistimed?,
2008-12-16 00:00:00,2008-12-17 00:00:00,The Wall Street Journal,"Large Stock Focus: J.P. Morgan, Goldman Lead Stocks Higher",
2008-12-16 00:00:00,2008-12-17 00:00:00,The New York Times,Text of the Fed's Statement on Interest Rates,
2009-11-04 00:00:00,2009-11-05 00:00:00,The Wall Street Journal,"For Money Funds, Wait Till Next Year --- Rate Relief Seen in '10 as Fed Stands Pat",
2009-11-04 00:00:00,2009-11-05 00:00:00,The Wall Street Journal,Money on Autopilot,
2009-11-04 00:00:00,2009-11-05 00:00:00,The Wall Street Journal,Mutual-Fund Streak Hits 33,
2009-11-04 00:00:00,2009-11-05 00:00:00,The New York Times,Credit Card Bill Wipes Out Investor Optimism,
1990-11-13 00:00:00,1990-11-14 00:00:00,The Wall Street Journal,"Dollar Closes Slightly Higher, but Takes A Back Seat to the Market-Moving Mark",
1990-11-13 00:00:00,1990-11-14 00:00:00,The Wall Street Journal,Bond Prices Climb Sharply as Bullish Sentiment Is Encouraged by View That Inflation Is Easing,
2002-06-26 00:00:00,2002-06-27 00:00:00,The Wall Street Journal,"Currency Trading: Dollar Falls Against Key Rivals, Amid Fallout From WorldCom",
2002-06-26 00:00:00,2002-06-27 00:00:00,The New York Times,Fed Leaves Interest Rates Unchanged,
2002-06-26 00:00:00,2002-06-27 00:00:00,The New York Times,Fed Statement On Rate Stance,
2006-05-10 00:00:00,2006-05-11 00:00:00,The Wall Street Journal,Dow Ends Flat As Fed's Signal Stumps Investors,
2006-05-10 00:00:00,2006-05-11 00:00:00,The Wall Street Journal,"Fed Raises Rates, Keeps Its Options Open for Future --- Central Bank Cites Worries Of Inflation Amid Growth, But Hints of a Possible Pause",
2006-05-10 00:00:00,2006-05-11 00:00:00,The Wall Street Journal,Treasury Prices Are Little Changed --- Market Expects a Pause In Interest-Rate Increases As Fed Leaves Options Open,
2006-05-10 00:00:00,2006-05-11 00:00:00,The New York Times,Fed Raises Rates Again but Clouds Next Move,
2006-05-10 00:00:00,2006-05-11 00:00:00,The New York Times,Text of the Fed's Statement On Interest Rate Increase,
2001-10-02 00:00:00,2001-10-03 00:00:00,The New York Times,Fed's Statement on Interest Rates,
2001-10-02 00:00:00,2001-10-03 00:00:00,The Wall Street Journal,Money Rates,
2001-10-02 00:00:00,2001-10-03 00:00:00,The Wall Street Journal,Dollar Shows Little Reaction to Fed Rate Cut,
2005-09-20 00:00:00,2005-09-21 00:00:00,The New York Times,"Unswayed By Storm, Fed Raises Key Rate",
2005-09-20 00:00:00,2005-09-21 00:00:00,The New York Times,Text of Statement by the Fed Policy Panel,
2005-09-20 00:00:00,2005-09-21 00:00:00,The Wall Street Journal,Stocks Decline As Fed Raises Rates Yet Again,
2005-09-20 00:00:00,2005-09-21 00:00:00,The Wall Street Journal,Dollar Moves Up On Fed's Decision To Increase Rates,
2005-09-20 00:00:00,2005-09-21 00:00:00,The Wall Street Journal,Fed's Move Tightens Yield Spreads --- Rate Increase and Signal Of More to Come Support Longer-Dated Maturities,
1991-03-26 00:00:00,1991-03-27 00:00:00,The New York Times,Brady Sees No Bailout Of Banks,
2002-09-24 00:00:00,2002-09-25 00:00:00,The Wall Street Journal,"Small-Stock Focus: Abgenix, Meridian Gold and Skyworks Post Gains",
2002-09-24 00:00:00,2002-09-25 00:00:00,The Wall Street Journal,Bond Prices Rise Amid Signals Rates May Fall --- Heavy Buying From Dealers Is Seen After Announcement By Fed Policy Committee,
2002-09-24 00:00:00,2002-09-25 00:00:00,The New York Times,Text of Statement by the Fed,
2002-09-24 00:00:00,2002-09-25 00:00:00,The New York Times,Dow Plunges To 4-Year Low After Dissent On Fed Panel,
1994-07-06 00:00:00,1994-07-07 00:00:00,The New York Times,Dow Rises 22.02 as Most Other Indexes Fall,
1994-07-06 00:00:00,1994-07-07 00:00:00,The New York Times,Fed Fails To Move On Rates,
2006-06-29 00:00:00,2006-06-30 00:00:00,The New York Times,Text of the Fed Statement on Interest Rates,
2006-06-29 00:00:00,2006-06-30 00:00:00,The Wall Street Journal,"Fed's Latest Rate Boost Contains A Hint of a Pause, Lifting Stocks",
2006-06-29 00:00:00,2006-06-30 00:00:00,The Wall Street Journal,Treasurys Gain After Fed Statement --- Bonds Encouraged by Signs Another Boost Is Unlikely; Willis Group Cancels Offer,
1995-08-22 00:00:00,1995-08-23 00:00:00,The New York Times,CREDIT MARKETS; Treasury Prices Fall as Fed Leaves Rates Unchanged,
1995-08-22 00:00:00,1995-08-23 00:00:00,The New York Times,"Fed Leaving Rates Alone, As Expected",
1995-08-22 00:00:00,1995-08-23 00:00:00,The New York Times,"In a Session Lacking Focus, the Dow Rises 5.64 Points",
1995-08-22 00:00:00,1995-08-23 00:00:00,The Wall Street Journal,"Fed Leaves Interest Rates Unchanged --- Money Supply in Germany Shrinks, and Bundesbank Could Cut Rates Soon",
1990-10-02 00:00:00,1990-10-03 00:00:00,The New York Times,"THE BUDGET AGREEMENT; In Appeal for Support for Budget, President Calls Plan Best for Now",
2000-12-19 00:00:00,2000-12-20 00:00:00,The New York Times,"FED, SHIFTING GOAL, STRESSES FIGHTING RISK OF RECESSION",
2000-12-19 00:00:00,2000-12-20 00:00:00,The New York Times,What Tax Cuts Can't Do,
2000-12-19 00:00:00,2000-12-20 00:00:00,The New York Times,Text of Statement by Fed,
2002-01-30 00:00:00,2002-01-31 00:00:00,The Wall Street Journal,"Bond Prices Fall as Fed Leaves Rates Unchanged, Stocks Gain and the Economic Outlook Improves",
2002-01-30 00:00:00,2002-01-31 00:00:00,The Wall Street Journal,Money Rates,
2002-01-30 00:00:00,2002-01-31 00:00:00,The New York Times,The Statement By the Fed,
