,DATE,DFEDTAR,DFEDTARL,DFEDTARU,DFF,INDPRO,PCEPI,UNRATE,TRY_3M,TRY-2Y,TRY-10Y,FF1_COMDTY,FF2_COMDTY
0,1982-09-27,10.25,,,10.18,,,,7.83,11.69,11.99,,
1,1982-09-28,10.25,,,9.7,,,,7.72,11.42,11.85,,
2,1982-09-29,10.25,,,9.88,,,,7.84,11.38,11.80,,
3,1982-09-30,10.25,,,12.17,,,,7.88,11.23,11.73,,
4,1982-10-01,10.0,,,10.87,48.7874,48.215,10.4,7.60,11.13,11.51,,
5,1982-10-02,10.0,,,10.87,,,,,,,,
6,1982-10-03,10.0,,,10.87,,,,,,,,
7,1982-10-04,10.0,,,10.9,,,,8.21,11.51,11.72,,
8,1982-10-05,10.0,,,10.27,,,,8.44,11.42,11.69,,
9,1982-10-06,10.0,,,9.45,,,,8.33,11.21,11.50,,
10,1982-10-07,9.5,,,9.82,,,,8.04,10.46,10.91,,
11,1982-10-08,9.5,,,9.63,,,,8.00,10.15,10.83,,
12,1982-10-09,9.5,,,9.63,,,,,,,,
13,1982-10-10,9.5,,,9.63,,,,,,,,
14,1982-10-11,9.5,,,9.63,,,,ND,ND,ND,,
15,1982-10-12,9.5,,,9.2,,,,7.61,9.69,10.53,,
16,1982-10-13,9.5,,,9.69,,,,7.67,9.68,10.39,,
17,1982-10-14,9.5,,,9.57,,,,7.79,9.84,10.61,,
18,1982-10-15,9.5,,,9.43,,,,7.80,10.00,10.75,,
19,1982-10-16,9.5,,,9.43,,,,,,,,
20,1982-10-17,9.5,,,9.43,,,,,,,,
21,1982-10-18,9.5,,,9.59,,,,7.66,9.80,10.58,,
22,1982-10-19,9.5,,,9.42,,,,7.73,9.82,10.56,,
23,1982-10-20,9.5,,,9.81,,,,7.80,9.72,10.69,,
24,1982-10-21,9.5,,,9.49,,,,7.81,9.79,10.69,,
25,1982-10-22,9.5,,,9.42,,,,7.88,9.87,10.81,,
26,1982-10-23,9.5,,,9.42,,,,,,,,
27,1982-10-24,9.5,,,9.42,,,,,,,,
28,1982-10-25,9.5,,,9.55,,,,8.12,10.09,11.11,,
29,1982-10-26,9.5,,,9.4,,,,8.24,9.89,10.87,,
30,1982-10-27,9.5,,,9.41,,,,8.28,9.94,10.90,,
31,1982-10-28,9.5,,,9.44,,,,8.17,9.89,10.77,,
32,1982-10-29,9.5,,,9.41,,,,8.17,9.85,10.71,,
33,1982-10-30,9.5,,,9.41,,,,,,,,
34,1982-10-31,9.5,,,9.41,,,,,,,,
35,1982-11-01,9.5,,,9.43,48.592,48.358999999999995,10.8,8.06,9.68,10.56,,
36,1982-11-02,9.5,,,9.25,,,,ND,ND,ND,,
37,1982-11-03,9.5,,,9.68,,,,8.06,9.65,10.46,,
38,1982-11-04,9.5,,,9.55,,,,7.99,9.64,10.42,,
39,1982-11-05,9.5,,,9.4,,,,8.04,9.73,10.48,,
40,1982-11-06,9.5,,,9.4,,,,,,,,
41,1982-11-07,9.5,,,9.4,,,,,,,,
42,1982-11-08,9.5,,,9.45,,,,8.18,9.81,10.55,,
43,1982-11-09,9.5,,,9.31,,,,8.28,9.74,10.51,,
44,1982-11-10,9.5,,,9.64,,,,8.36,9.77,10.48,,
45,1982-11-11,9.5,,,9.64,,,,ND,ND,ND,,
46,1982-11-12,9.5,,,9.61,,,,8.56,9.87,10.58,,
47,1982-11-13,9.5,,,9.61,,,,,,,,
48,1982-11-14,9.5,,,9.61,,,,,,,,
49,1982-11-15,9.5,,,9.82,,,,8.80,9.91,10.65,,
50,1982-11-16,9.5,,,9.56,,,,8.70,9.90,10.67,,
51,1982-11-17,9.5,,,9.42,,,,8.65,9.90,10.59,,
52,1982-11-18,9.5,,,9.5,,,,8.55,9.81,10.46,,
53,1982-11-19,9.0,,,9.06,,,,8.38,9.79,10.42,,
54,1982-11-20,9.0,,,9.06,,,,,,,,
55,1982-11-21,9.0,,,9.06,,,,,,,,
56,1982-11-22,9.0,,,8.79,,,,8.26,9.73,10.43,,
57,1982-11-23,9.0,,,8.54,,,,8.22,9.73,10.53,,
58,1982-11-24,9.0,,,8.36,,,,8.20,9.80,10.59,,
59,1982-11-25,9.0,,,8.36,,,,ND,ND,ND,,
60,1982-11-26,9.0,,,8.54,,,,8.19,9.76,10.51,,
61,1982-11-27,9.0,,,8.54,,,,,,,,
62,1982-11-28,9.0,,,8.54,,,,,,,,
63,1982-11-29,9.0,,,8.83,,,,8.54,9.94,10.78,,
64,1982-11-30,9.0,,,8.93,,,,8.56,9.96,10.79,,
65,1982-12-01,9.0,,,9.1,48.2424,48.431999999999995,10.8,8.55,9.96,10.74,,
66,1982-12-02,9.0,,,9.09,,,,8.32,9.89,10.68,,
67,1982-12-03,9.0,,,8.93,,,,8.10,9.72,10.47,,
68,1982-12-04,9.0,,,8.93,,,,,,,,
69,1982-12-05,9.0,,,8.93,,,,,,,,
70,1982-12-06,9.0,,,8.81,,,,8.13,9.73,10.46,,
71,1982-12-07,9.0,,,8.51,,,,8.19,9.72,10.48,,
72,1982-12-08,9.0,,,8.7,,,,8.24,9.85,10.62,,
73,1982-12-09,9.0,,,8.84,,,,8.23,9.83,10.58,,
74,1982-12-10,9.0,,,8.83,,,,8.31,9.87,10.66,,
75,1982-12-11,9.0,,,8.83,,,,,,,,
76,1982-12-12,9.0,,,8.83,,,,,,,,
77,1982-12-13,9.0,,,8.99,,,,8.27,9.84,10.61,,
78,1982-12-14,8.5,,,8.55,,,,7.93,9.54,10.46,,
79,1982-12-15,8.5,,,9.13,,,,7.88,9.49,10.50,,
80,1982-12-16,8.5,,,8.99,,,,8.10,9.59,10.59,,
81,1982-12-17,8.5,,,8.79,,,,8.13,9.66,10.64,,
82,1982-12-18,8.5,,,8.79,,,,,,,,
83,1982-12-19,8.5,,,8.79,,,,,,,,
84,1982-12-20,8.5,,,8.6,,,,8.14,9.67,10.70,,
85,1982-12-21,8.5,,,8.39,,,,8.17,9.54,10.54,,
86,1982-12-22,8.5,,,8.5,,,,8.18,9.55,10.53,,
87,1982-12-23,8.5,,,8.62,,,,8.18,9.52,10.47,,
88,1982-12-24,8.5,,,8.58,,,,ND,ND,ND,,
89,1982-12-25,8.5,,,8.58,,,,,,,,
90,1982-12-26,8.5,,,8.58,,,,,,,,
91,1982-12-27,8.5,,,8.7,,,,8.16,9.54,10.44,,
92,1982-12-28,8.5,,,8.99,,,,8.33,9.52,10.44,,
93,1982-12-29,8.5,,,9.46,,,,8.43,9.54,10.47,,
94,1982-12-30,8.5,,,10.75,,,,8.29,9.52,10.44,,
95,1982-12-31,8.5,,,11.2,,,,8.20,9.48,10.36,,
96,1983-01-01,8.5,,,11.2,49.1762,48.659,10.4,,,,,
97,1983-01-02,8.5,,,11.2,,,,,,,,
98,1983-01-03,8.5,,,9.19,,,,8.17,9.29,10.32,,
99,1983-01-04,8.5,,,9.47,,,,8.28,9.43,10.37,,
100,1983-01-05,8.5,,,8.46,,,,8.25,9.39,10.35,,
101,1983-01-06,8.5,,,8.48,,,,8.20,9.39,10.39,,
102,1983-01-07,8.5,,,8.27,,,,8.02,9.26,10.36,,
103,1983-01-08,8.5,,,8.27,,,,,,,,
104,1983-01-09,8.5,,,8.27,,,,,,,,
105,1983-01-10,8.5,,,8.34,,,,7.96,9.24,10.38,,
106,1983-01-11,8.5,,,8.47,,,,7.94,9.19,10.34,,
107,1983-01-12,8.5,,,8.87,,,,7.94,9.22,10.32,,
108,1983-01-13,8.5,,,8.64,,,,7.92,9.11,10.27,,
109,1983-01-14,8.5,,,8.43,,,,7.79,9.09,10.28,,
110,1983-01-15,8.5,,,8.43,,,,,,,,
111,1983-01-16,8.5,,,8.43,,,,,,,,
112,1983-01-17,8.5,,,8.54,,,,7.85,9.17,10.28,,
113,1983-01-18,8.5,,,8.36,,,,7.90,9.14,10.30,,
114,1983-01-19,8.5,,,8.59,,,,7.94,9.20,10.41,,
115,1983-01-20,8.5,,,8.47,,,,8.04,9.26,10.43,,
116,1983-01-21,8.5,,,8.28,,,,8.29,9.46,10.61,,
117,1983-01-22,8.5,,,8.28,,,,,,,,
118,1983-01-23,8.5,,,8.28,,,,,,,,
119,1983-01-24,8.5,,,8.53,,,,8.37,9.54,10.70,,
120,1983-01-25,8.5,,,8.56,,,,8.32,9.44,10.62,,
121,1983-01-26,8.5,,,8.69,,,,8.36,9.52,10.69,,
122,1983-01-27,8.5,,,8.45,,,,8.30,9.49,10.67,,
123,1983-01-28,8.5,,,8.39,,,,8.26,9.47,10.71,,
124,1983-01-29,8.5,,,8.39,,,,,,,,
125,1983-01-30,8.5,,,8.39,,,,,,,,
126,1983-01-31,8.5,,,8.56,,,,8.36,9.58,10.80,,
127,1983-02-01,8.5,,,8.63,48.8688,48.74100000000001,10.4,8.45,9.60,10.78,,
128,1983-02-02,8.5,,,8.9,,,,8.45,9.71,10.88,,
129,1983-02-03,8.5,,,8.54,,,,8.43,9.71,10.93,,
130,1983-02-04,8.5,,,8.46,,,,8.52,9.82,10.99,,
131,1983-02-05,8.5,,,8.46,,,,,,,,
132,1983-02-06,8.5,,,8.46,,,,,,,,
133,1983-02-07,8.5,,,8.56,,,,8.50,9.80,10.96,,
134,1983-02-08,8.5,,,8.44,,,,8.57,9.83,10.99,,
135,1983-02-09,8.5,,,8.58,,,,8.55,9.89,11.00,,
136,1983-02-10,8.5,,,8.64,,,,8.45,9.74,10.83,,
137,1983-02-11,8.5,,,8.53,,,,8.42,9.70,10.80,,
138,1983-02-12,8.5,,,8.53,,,,,,,,
139,1983-02-13,8.5,,,8.53,,,,,,,,
140,1983-02-14,8.5,,,8.49,,,,8.53,9.78,10.80,,
141,1983-02-15,8.5,,,8.6,,,,8.60,9.77,10.84,,
142,1983-02-16,8.5,,,9.0,,,,8.48,9.69,10.81,,
143,1983-02-17,8.5,,,8.67,,,,8.38,9.65,10.71,,
144,1983-02-18,8.5,,,8.42,,,,8.26,9.56,10.60,,
145,1983-02-19,8.5,,,8.42,,,,,,,,
146,1983-02-20,8.5,,,8.42,,,,,,,,
147,1983-02-21,8.5,,,8.42,,,,ND,ND,ND,,
148,1983-02-22,8.5,,,8.48,,,,8.17,9.41,10.46,,
149,1983-02-23,8.5,,,8.49,,,,8.24,9.44,10.44,,
150,1983-02-24,8.5,,,8.39,,,,8.20,9.40,10.42,,
151,1983-02-25,8.5,,,8.22,,,,8.08,9.28,10.26,,
152,1983-02-26,8.5,,,8.22,,,,,,,,
153,1983-02-27,8.5,,,8.22,,,,,,,,
154,1983-02-28,8.5,,,8.53,,,,8.21,9.31,10.27,,
155,1983-03-01,8.5,,,8.65,49.2654,48.803999999999995,10.3,8.26,9.26,10.22,,
156,1983-03-02,8.5,,,8.83,,,,8.30,9.30,10.26,,
157,1983-03-03,8.5,,,8.53,,,,8.25,9.24,10.23,,
158,1983-03-04,8.5,,,8.5,,,,8.29,9.25,10.27,,
159,1983-03-05,8.5,,,8.5,,,,,,,,
160,1983-03-06,8.5,,,8.5,,,,,,,,
161,1983-03-07,8.5,,,8.82,,,,8.48,9.46,10.43,,
