meeting_date,article_date,headline,content,link
2003-09-16 00:00:00,2003-09-17 00:00:00,Federal Reserve Statement on Rates,"Following is the text of a statement released by the Federal Reserve yesterday after the Fed's monetary policy panel, the Federal Open Market Committee, decided to leave interest rates unchanged:The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent.The committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity. The evidence accumulated over the intermeeting period confirms that spending is firming, although the labor market has been weakening. Business pricing power and increases in core consumer prices remain muted.The committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. In contrast, the probability, though minor, of an unwelcome fall in inflation exceeds that of a rise in inflation from its already low level. The committee judges that on balance, the risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future. In these circumstances, the committee believes that policy accommodation can be maintained for a considerable period.Voting for the F.O.M.C. monetary policy action were: Alan Greenspan, chairman; Ben S. Bernanke; Susan S. Bies; J. Alfred Broaddus Jr.; Roger W. Ferguson Jr.; Edward M. Gramlich; Jack Guynn; Donald L. Kohn; Michael H. Moskow; Mark W. Olson; Robert T. Parry; and Jamie B. Stewart Jr.
We are continually improving the quality of our text archives. Please send feedback, error reports,
        and suggestions to archive_feedback@nytimes.com.
A version of this article appears in print on September 17, 2003, on Page C00009 of the National edition with the headline: Federal Reserve Statement on Rates.  Order Reprints| Today's Paper|Subscribe
Continue reading the main story",http://www.nytimes.com/2003/09/17/business/federal-reserve-statement-on-rates.html?searchResultPosition=1
2003-09-16 00:00:00,2003-09-17 00:00:00,Fed Leaves Short-Term Rates Unchanged,"The Federal Reserve retained its cautious outlook for the economy today, leaving short-term interest rates unchanged at 1 percent.The decision was not a surprise as Fed officials announced a month ago that they were prepared to keep the benchmark federal funds rate at its current low levels ''for a considerable period.''If there was an added nuance to the decision today by the Federal Open Market Committee, which sets monetary policy, it was in its slightly more pessimistic tone about unemployment. In its statement accompanying today's decision, the Fed noted that the labor market had been weakening. That reflected the continued loss of jobs last month and several unexpected jumps in the number of people seeking unemployment claims. By contrast, the Fed described labor conditions last month as mixed.The wording suggested that Alan Greenspan, chairman of the Federal Reserve, was more worried than before that a continuation of the relatively high unemployment rate -- slightly above 6 percent of the work force -- could affect economic growth in the months ahead.
Advertisement
Continue reading the main story
Fed officials have made it clear they expect the economy to grow at a robust annual rate of 4 percent for the rest of the year and much of next. Continue reading the main story",http://www.nytimes.com/2003/09/17/business/fed-leaves-short-term-rates-unchanged.html?searchResultPosition=2
1988-12-14 00:00:00,1988-12-15 00:00:00,CREDIT MARKETS; Treasury Bonds and Notes Drop,"View page in TimesMachine
 December 15, 1988, Page 00015Buy Reprints The New York Times Archives
Prices of Treasury bonds and notes moved lower yesterday, with the bulk of the losses recorded among long-term issues.The Commerce Department's merchandise trade data, which showed only a marginal narrowing of the deficit in October from September, were in line with market expectations.Nevertheless, the figures, which showed that the deficit fell to $10.35 billion in October from a revised $10.67 billion for September, were a disappointment to many traders.''The Street was secretly thinking that the deficit figure would be $9 billion or lower,'' one government securities trader said. ''Also, the number we got told us that we will not be getting any further improvement, that with the dollar where it is we may continue to run monthly deficits in the $10 billion to $11 billion range.'' $1 Billion Bond Sale While the trade data provided an early impetus to sell, the bulk of the downward move in bond prices was provided by what market participants described as a huge move out of 30-year bonds and into 10-year notes. According to some traders, the transaction, which was done for a domestic account, involved the sale of $1 billion worth of bonds.
Advertisement
Continue reading the main story
By late in the day, the Treasury's 9 percent bonds that mature in 2018 were offered at a price of 99 17/32, down more than three-quarters of a point on the day, to yield 9.04 percent. Despite the rise in yield from Tuesday's levels, yields on the bellwether issue remain below those offered on securities of much shorter maturity. Continue reading the main story",http://www.nytimes.com/1988/12/15/business/credit-markets-treasury-bonds-and-notes-drop.html?searchResultPosition=1
1988-12-14 00:00:00,1988-12-15 00:00:00,U.S. Trade Gap Narrows Again As Imports Fall,"View page in TimesMachine
 December 15, 1988, Page 00001Buy Reprints The New York Times Archives
The nation's trade deficit narrowed modestly in October to $10.3 billion, as imports declined twice as much as exports, the Commerce Department reported today.It was the second straight month in which the deficit has narrowed, but the $400 million improvement, though about as expected, was far less than in September. Economists and other experts were divided on whether the latest trade figures represented a positive development.Some economists said the slower pace of both imports and exports indicated a welcome slowdown in the economy that might relieve some pressure on the Federal Reserve to raise interest rates further to counter a possible speed-up in inflation. 'A Little Moderation'''It does suggest we're seeing a little moderation,'' Evelina M. Tainer, a senior economist at the First National Bank of Chicago, said of the trade numbers. She added that ''there still is an improving trend'' in trade.
Advertisement
Continue reading the main story
Other analysts disagreed. Even though the economy showed signs of settling back into a more sustainable growth path during the summer, this now appears to have been only a temporary lull partly as a result of the drought. Most of the recent indicators, including stunningly strong November employment growth reported on Dec. 2, have been buoyant to strong. Continue reading the main story",http://www.nytimes.com/1988/12/15/business/us-trade-gap-narrows-again-as-imports-fall.html?searchResultPosition=2
1988-12-14 00:00:00,1988-12-15 00:00:00,Transcript of Bush's Remarks on Domestic and Foreign Issues,"View page in TimesMachine
 December 15, 1988, Page 00024Buy Reprints The New York Times Archives
Following is a transcript of President-elect Bush's remarks and some of Clayton Y. Yeutter's remarks at a news conference in Washington yesterday, as recorded by The New York Times through the facilities of ABC Radio News:  OPENING STATEMENTSMR. BUSH: Well, I'm pleased today to announce another Cabinet selection and a very, very important one. It is my intention to nominate Clayton Yeutter to serve as Secretary of Agriculture. His wide knowledge of the issues, obviously demonstrated skill and broad experience make him quite simply the best man for this very important job. He himself has worked in farming. He's a noted scholar of agricultural economics and he's twice before held sensitive regulatory and trade posts in the Department of Agriculture. And for many years now he's served the nation with highest distinction as trade representative and international negotiator.Since 1985, Clayton has served in the Cabinet as U.S.T.R. - United States Trade Representative - the man principally responsible for the development and execution of American trade policy. And in that office he's accomplished much in the way of notable work for our country on a number of fronts. Our new and historic free trade agreement with Canada is as much as anything the product of his personal dedication and his personal diplomacy. He's the man who persuaded Congress to remove dangerous protectionist provisions from the omnibus trade and competitiveness bill of 1988, and then his ongoing work in international trade will make a perfect jumping-off point for the important work that lies ahead in American agricultural policy.Ambassador Yeutter has just returned from Montreal where the 96 member nations of GATT completed this midterm review of the Uruguay round of multilateral trade negotiations. Now President Reagan's objectives in these negotiations are mine, and I know they're Clayton Yeutter's as well - a comprehensive reform of world agricultural trade rules by 1990. And I'm confident that Ambassador Yeutter will continue to ably pursue this goal in his new post, and that our shared national goal of free agricultural trade and expanded agricultural exports abroad will have no better spokesman, no greater advocate. So he knows foreign policy domestically, he knows it internationally, and I am just delighted to think that I will be serving with him as our new - when he becomes our new Secretary of Agriculture.
Advertisement
Continue reading the main story
You're entitled to equal time:MR. YEUTTER: Well, thank you Mr. Vice President. I won't take equal time, because that was a very eloquent statement. I would simply say, Mr. Vice President, as you already know, that I really had intended to return to the private sector at the conclusion of the Reagan Administration, and as I said to you this morning there are only a few people in the world who could convince me to carry forward in another stint in Government, but you're one of those few. And I am deeply honored to serve you, Mr. Vice President, in the coming years, and I hope we'll have a lot of fun in dealing with some very difficult issues - difficult and challenging issues in agriculture. But those are the kinds of issues that make life interesting and rewarding. Continue reading the main story",http://www.nytimes.com/1988/12/15/us/transcript-of-bush-s-remarks-on-domestic-and-foreign-issues.html?searchResultPosition=3
2009-11-04 00:00:00,2009-11-05 00:00:00,Stocks Lose Steam at Close on Wall Street,"The Dow Jones industrial average erased almost all of a 156-point rally after the House of Representatives passed a bill to curb rate increases on credit cards, touching off concern about bank earnings. The news outweighed investor optimism after the Federal Reserve said it planned to keep interest rates at a record low, Bloomberg News reported.
“Businesses are still cutting back on fixed investment and staffing, though at a slower pace,” the Federal Open Market Committee said in a statement on Wednesday after meeting in Washington. “Activity in the housing sector has increased over recent months.”
Gold surged, settling at $1,092.20 an ounce, after the Fed announcement. The dollar, meanwhile, slipped as much as 1 percent against a basket of six currencies.
This year, gold has soared 24 percent, heading for a ninth annual gain, as the dollar fell 6.8 percent. Gold has climbed on speculation that central banks and investors will buy more metal to hedge against a falling dollar. India’s central bank said this week that it bought 200 metric tons of gold from the International Monetary Fund last month.
“With interest rates so low, money is seeking markets that have an upside,” Leonard Kaplan, the president of Prospector Asset Management in Evanston, Ill., told Bloomberg News. “Momentum is crucial, and gold has a lot of momentum.”
The Standard & Poor’s 500-stock index wiped out most of a 1.5 percent rally that began after the Fed said it would leave interest rates at “exceptionally low” levels for an extended period.
“If you’re going to limit how much banks could charge in their credit cards, that’s going to limit profits,” said Art Hogan, the chief market analyst at Jefferies & Company. “So it’s certainly another source of pressure.”
At the end of the day, the S.& P. 500 added 0.1 percent, or 1.09 points, to 1,046.5. The Dow increased 30.23 points, or 0.3 percent, to 9,802.14. About five stocks fell for every four that rose on the New York Stock Exchange.
Wells Fargo, JPMorgan Chase and Citigroup led financial shares to the steepest loss among 10 industries. The House legislation would move up the start date of many rule changes that will make it more difficult for banks to increase rates on credit cards.
The S.& P. 500 rallied in morning trading after the Institute for Supply Management’s report on nonmanufacturing businesses showed 1.4 percent growth in new orders and a 2 percent increase in the backlog of orders. The main index in the report fell to 50.6, below analysts’ estimates but still signaling growth.
Some traders may have sold shares in anticipation of the Friday report on the job market in the United States. Economists on average are estimating that the unemployment rate increased to 9.9 percent in October, according to a Bloomberg survey.
The Treasury’s 10-year note fell 16/32, to 100 26/32. The yield rose 3.52 percent, from 3.47 percent late Tuesday.
Go to Article from Bloomberg News via The New York Times »",https://dealbook.nytimes.com/2009/11/05/stocks-lose-steam-at-close-on-wall-street/?searchResultPosition=1
1992-07-01 00:00:00,1992-07-02 00:00:00,Senate Democrats Forge An Economic Strategy,"View page in TimesMachine
 July 2, 1992, Page 00002Buy Reprints The New York Times Archives
Eleven Senate Democrats today brought out a $22 billion package of bills that they said would revive the nation's competitiveness in international markets.Competitiveness and trade policy have faded as issues in the Presidential campaign, as have unsuccessful candidates in both parties who focused on them. And the senators, led by George Mitchell of Maine, the majority leader, conceded that many of the 30 proposals in their package were not new. But they contended that the presentation of their ideas as a package would dramatize the Bush Administration's reluctance to pursue an industrial policy.They called the plan a comprehensive strategy to maintain American technological leadership, rebuild manufacturing, create high-wage jobs and tighten trade laws. At its core is a trade bill with two central provisions.  Reviewing Foreign TradingOne would allow industries to force the Administration to review foreign compliance with trade bills. The other would revive Super 301, a section of American trade law, much criticized by foreign governments, that would force the United States trade representative to challenge foreign trade barriers on a faster and more rigid schedule. The bill would not include restrictions on car imports from Japan.
Advertisement
Continue reading the main story
The plan also includes bills to expand Federal support for research and development, increase vocational training and commercialize products from Government laboratories. Continue reading the main story",http://www.nytimes.com/1992/07/02/business/senate-democrats-forge-an-economic-strategy.html?searchResultPosition=1
1999-08-24 00:00:00,1999-08-25 00:00:00,Statement by Fed Panel on Rate Increase,"Following is the statement by the Federal Open Market Committee, the Federal Reserve's monetary policy panel, after its decision yesterday to raise short-term interest rates:The Federal Open Market Committee today voted to raise its target for the Federal funds rate by 25 basis points, to 5.25 percent. In a related action, the board of governors approved a 25-basis-point increase in the discount rate, to 4.75 percent.With financial markets functioning more normally, and with persistent strength in domestic demand, foreign economies firming and labor markets remaining very tight, the degree of monetary ease required to address the global financial market turmoil of last fall is no longer consistent with sustained, noninflationary economic expansion.Today's increase in the Federal funds rate, together with the policy action in June and the firming of conditions more generally in U.S. financial markets over recent months, should markedly diminish the risk of rising inflation going forward. As a consequence, the directive the Federal Open Market Committee adopted is symmetrical with regard to the outlook for policy over the near term.In taking the discount rate action, the Federal Reserve Board approved requests submitted by the boards of directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Kansas City and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks.
We are continually improving the quality of our text archives. Please send feedback, error reports,
        and suggestions to archive_feedback@nytimes.com.
A version of this article appears in print on August 25, 1999, on Page C00005 of the National edition with the headline: Statement by Fed Panel on Rate Increase.  Order Reprints| Today's Paper|Subscribe
Continue reading the main story",http://www.nytimes.com/1999/08/25/business/statement-by-fed-panel-on-rate-increase.html?searchResultPosition=1
1993-11-16 00:00:00,1993-11-17 00:00:00,CREDIT MARKETS; Traders Await Vote on Trade Pact,"View page in TimesMachine
 November 17, 1993, Page 00016Buy Reprints The New York Times Archives
Prices of Treasury bonds and notes were little changed yesterday in trading ahead of today's vote on the North American Free Trade Agreement in the House of Representatives.The outlook for approval of the trade treaty linking the United States, Canada and Mexico is still unclear. But some traders said yesterday that they were a little more confident that the Clinton Administration could win approval. A vote is not expected until after trading is finished in New York today.In a separate development, the Federal Reserve Bank of New York said that it had requested data on the trading of the 30-year bond from the primary dealers that are at the center of trading in the bond market.The request confirms that the Fed is looking into what the market already knows: there is a shortage of the 30-year bond, which could be pushing price artifically higher. What could happen next is that the Treasury could decide to issue more of the same bond in an effort to relieve the shortage. The speculation in the market yesterday was that this increase could occur even before the next scheduled 30-year auction, which is in Feburary.
Advertisement
Continue reading the main story
The problem with the bond has been created in part by the Treasury itself, which decided to cut the annual issuance of 30-year bonds by about 40 percent and switch to just two bond auctions a year instead of four. Continue reading the main story",http://www.nytimes.com/1993/11/17/business/credit-markets-traders-await-vote-on-trade-pact.html?searchResultPosition=1
1990-07-03 00:00:00,1990-07-04 00:00:00,CREDIT MARKETS;   Prices Rise in a Shortened Session,"View page in TimesMachine
 July 4, 1990, Page 002054Buy Reprints The New York Times Archives
Prices of Treasury notes and bonds rose slightly yesterday and interest rates dipped at the close of an abbreviated trading session.Activity in the credit markets formally closed at 2 P.M., as dealers left to celebrate the Fourth of July. Trading will resume tomorrow.''There is nothing going on, but the market has a good bid to it,'' said Mitchell Stafman, the head of government bond trading at Chemical Bank.''The market is waiting for the employment numbers on Friday, and right now the tone is so good that if we get a weaker-than-expected number we could have a 20-basis-point-to-25- basis-point rally.'' A basis point is a hundredth of a percentage point.
Advertisement
Continue reading the main story
Wide Estimates SeenEstimates on the June employment figures vary widely, but Mr. Stafman and other market participants agreed that an increase in non-farm payroll employment of less than 100,000 would be viewed as positive for the fixed-income market. Continue reading the main story",http://www.nytimes.com/1990/07/04/business/credit-markets-prices-rise-in-a-shortened-session.html?searchResultPosition=1
