,start_date,end_date,event_type,statement_policy_change,statement_policy_action,FFF_0_rate,FFF_1_rate,FFF_2_rate,FFF_3_rate,FFF_4_rate,FFF_5_rate,FFF_6_rate,nyt_article_counts,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_justify_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_justify_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_justify_alt_c,bluebook_treatment_alt_d,bluebook_treatment_size_alt_d,bluebook_justify_alt_d,bluebook_treatment_alt_e,bluebook_treatment_size_alt_e,bluebook_justify_alt_e,bluebook_comments
0,1936-03-18,1936-03-18,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1,1936-03-19,1936-03-19,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
2,1936-05-25,1936-05-25,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
3,1936-11-19,1936-11-19,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
4,1936-11-20,1936-11-20,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
5,1937-01-26,1937-01-26,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
6,1937-03-15,1937-03-15,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
7,1937-04-03,1937-04-04,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
8,1937-05-04,1937-05-05,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
9,1937-06-09,1937-06-09,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
10,1937-09-11,1937-09-12,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
11,1937-11-29,1937-12-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
12,1938-02-28,1938-03-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
13,1938-04-21,1938-04-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
14,1938-04-29,1938-04-29,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
15,1938-08-02,1938-08-02,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
16,1938-09-21,1938-09-21,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
17,1938-12-30,1938-12-30,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
18,1939-03-06,1939-03-07,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
19,1939-03-20,1939-03-20,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
20,1939-04-19,1939-04-19,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
21,1939-06-20,1939-06-21,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
22,1939-09-18,1939-09-18,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
23,1939-12-13,1939-12-13,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
24,1940-03-20,1940-03-20,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
25,1940-05-27,1940-05-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
26,1940-09-27,1940-09-27,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
27,1940-12-18,1940-12-18,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
28,1941-03-17,1941-03-17,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
29,1941-06-10,1941-06-10,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
30,1941-09-27,1941-09-27,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
31,1941-12-12,1941-12-12,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
32,1942-02-28,1942-02-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
33,1942-03-02,1942-03-02,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
34,1942-05-08,1942-05-08,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
35,1942-06-22,1942-06-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
36,1942-08-03,1942-08-03,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
37,1942-09-28,1942-09-29,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
38,1942-12-14,1942-12-14,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
39,1943-01-25,1943-01-26,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
40,1943-03-02,1943-03-02,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
41,1943-05-15,1943-05-15,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
42,1943-06-28,1943-06-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
43,1943-10-18,1943-10-18,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
44,1944-02-29,1944-02-29,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
45,1944-03-01,1944-03-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
46,1944-05-04,1944-05-04,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
47,1944-09-21,1944-09-22,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
48,1944-12-11,1944-12-11,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
49,1945-02-28,1945-02-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
50,1945-03-01,1945-03-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
51,1945-06-20,1945-06-20,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
52,1945-10-17,1945-10-17,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
53,1946-02-28,1946-02-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
54,1946-03-01,1946-03-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
55,1946-06-10,1946-06-10,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
56,1946-10-03,1946-10-03,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
57,1947-02-27,1947-02-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
58,1947-03-01,1947-03-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
59,1947-06-05,1947-06-06,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
60,1947-10-06,1947-10-07,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
61,1947-12-09,1947-12-09,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
62,1948-02-27,1948-02-27,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
63,1948-03-01,1948-03-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
64,1948-05-20,1948-05-20,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
65,1948-10-04,1948-10-04,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
66,1948-11-15,1948-11-15,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
67,1948-11-30,1948-11-30,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
68,1949-02-28,1949-02-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
69,1949-03-01,1949-03-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
70,1949-05-03,1949-05-03,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
71,1949-06-28,1949-06-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
72,1949-08-05,1949-08-05,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
73,1949-12-13,1949-12-13,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
74,1950-02-28,1950-02-28,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
75,1950-03-01,1950-03-01,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
76,1950-06-13,1950-06-14,Meeting,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
