,start_date,end_date,event_type,statement_policy_change,statement_policy_action,d_statement,FFF_0_rate,FFF_1_rate,FFF_2_rate,FFF_3_rate,FFF_4_rate,FFF_5_rate,FFF_6_rate,wsj_article_count,nyt_article_count,ft_article_count,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,bluebook_treatment_alt_a,bluebook_treatment_size_alt_a,bluebook_justify_alt_a,bluebook_treatment_alt_b,bluebook_treatment_size_alt_b,bluebook_justify_alt_b,bluebook_treatment_alt_c,bluebook_treatment_size_alt_c,bluebook_justify_alt_c,bluebook_treatment_alt_d,bluebook_treatment_size_alt_d,bluebook_justify_alt_d,bluebook_treatment_alt_e,bluebook_treatment_size_alt_e,bluebook_justify_alt_e,bluebook_comments,year
0,1936-03-18,1936-03-18,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1936
1,1936-03-19,1936-03-19,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1936
2,1936-05-25,1936-05-25,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1936
3,1936-11-19,1936-11-19,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1936
4,1936-11-20,1936-11-20,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1936
5,1937-01-26,1937-01-26,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1937
6,1937-03-15,1937-03-15,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1937
7,1937-04-03,1937-04-04,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1937
8,1937-05-04,1937-05-05,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1937
9,1937-06-09,1937-06-09,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1937
10,1937-09-11,1937-09-12,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1937
11,1937-11-29,1937-12-01,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1937
12,1938-02-28,1938-03-01,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1938
13,1938-04-21,1938-04-22,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1938
14,1938-04-29,1938-04-29,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1938
15,1938-08-02,1938-08-02,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1938
16,1938-09-21,1938-09-21,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1938
17,1938-12-30,1938-12-30,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1938
18,1939-03-06,1939-03-07,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1939
19,1939-03-20,1939-03-20,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1939
20,1939-04-19,1939-04-19,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1939
21,1939-06-20,1939-06-21,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1939
22,1939-09-18,1939-09-18,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1939
23,1939-12-13,1939-12-13,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1939
24,1940-03-20,1940-03-20,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1940
25,1940-05-27,1940-05-28,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1940
26,1940-09-27,1940-09-27,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1940
27,1940-12-18,1940-12-18,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1940
28,1941-03-17,1941-03-17,Meeting,,,False,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1941
